Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brigitte Cecelia,Michael Cooper,Rob Dunbar,Robert Bruce Fraser,Kathleen Mpulubusi,Greg Springate,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 15","St. Albert",2,150,4,0,28,50,1,235,400
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 16","St. Albert",6,145,6,1,34,38,0,230,438
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 17","St. Albert",6,129,7,1,36,36,2,217,397
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 18","St. Albert",3,138,7,3,46,22,0,219,389
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 19","St. Albert",7,142,5,1,26,41,0,222,380
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 20","St. Albert",4,97,4,1,30,35,1,172,353
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 21","St. Albert",2,105,5,2,29,41,0,184,386
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 22","St. Albert",5,202,9,3,64,43,0,326,477
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 23","St. Albert",4,145,4,0,41,36,0,230,416
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 24","St. Albert",1,153,8,6,49,58,0,275,493
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 25","St. Albert",7,175,8,1,35,41,0,267,523
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 26","St. Albert",0,144,5,0,26,38,0,213,392
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 27","St. Albert",9,112,4,1,36,26,2,190,485
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 28","St. Albert",0,156,0,1,14,24,0,195,351
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 29","St. Albert",2,93,9,3,30,27,0,164,331
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 30","St. Albert",1,107,6,0,29,23,0,166,358
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 31","St. Albert",6,111,7,0,45,22,1,192,394
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 32","St. Albert",5,142,5,1,30,37,0,220,375
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 33","St. Albert",3,148,6,3,31,39,2,232,422
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 34","St. Albert",5,155,4,0,46,40,2,252,478
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 35","St. Albert",3,121,8,1,25,50,1,209,402
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 36","St. Albert",4,119,4,1,42,40,0,210,357
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 37","St. Albert",5,158,4,3,21,50,0,241,494
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 38","St. Albert",4,117,4,0,32,28,0,185,371
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 39A","St. Albert",6,49,5,0,9,17,0,86,250
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 39B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500C,,,,,,,,105
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 40","St. Albert",6,118,5,0,20,29,1,179,348
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 41","St. Albert",8,152,4,0,31,53,1,249,522
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 42","St. Albert",0,104,7,1,26,31,1,170,357
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 43","St. Albert",1,111,2,0,32,35,0,181,368
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 44","St. Albert",4,118,6,0,16,32,0,176,400
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 45","St. Albert",4,146,6,0,24,61,1,242,545
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 46","St. Albert",3,180,5,3,24,60,1,276,498
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 47","St. Albert",3,194,10,0,36,35,1,279,460
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 48","St. Albert",9,111,8,2,30,37,0,197,365
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 49","St. Albert",5,150,10,1,44,41,1,252,433
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 50","St. Albert",11,157,8,0,64,53,0,293,510
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 51","St. Albert",4,112,4,4,18,35,0,177,257
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 52","St. Albert",1,126,3,1,37,44,0,212,360
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 53","St. Albert",3,103,7,0,28,50,0,191,358
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 54","St. Albert",8,148,8,1,31,33,0,229,369
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 55","St. Albert",6,105,5,0,33,38,0,187,359
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 56","St. Albert",10,120,13,2,54,73,0,272,398
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 57","St. Albert",2,140,14,2,64,57,2,281,465
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 58","St. Albert",3,115,3,0,37,56,1,215,350
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 59","St. Albert",1,111,7,0,29,28,1,177,326
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 60","St. Albert",3,223,11,3,41,53,0,334,636
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 61","St. Albert",7,145,8,0,58,52,2,272,432
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 62","St. Albert",3,104,4,1,39,28,1,180,326
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 63","St. Albert",5,166,13,1,40,49,2,276,462
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 64","St. Albert",8,128,9,0,33,26,1,205,363
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 65A","St. Albert",0,163,6,0,33,27,0,229,451
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 65B","St. Albert",5,132,6,0,52,31,0,226,454
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 66A","St. Albert",3,111,3,4,19,18,1,159,398
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 66B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502B,,,,,,,,118
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 67A","St. Albert",3,66,9,2,22,23,0,125,344
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 67B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,106
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 68","St. Albert",5,111,10,0,34,28,1,189,420
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 69","St. Albert",2,113,5,0,24,32,0,176,406
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 70","St. Albert",4,191,5,0,30,51,3,284,491
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 71","St. Albert",6,186,2,1,32,40,1,268,514
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 72","St. Albert",2,155,7,1,49,43,0,257,452
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 73","St. Albert",4,146,5,0,30,55,0,240,433
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 74","St. Albert",5,132,8,4,44,65,1,259,487
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 75","St. Albert",4,117,4,1,46,44,2,218,475
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 76","St. Albert",2,137,11,1,55,61,0,267,491
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 77","St. Albert",9,126,7,5,36,46,0,229,449
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 78","St. Albert",5,119,10,0,43,38,1,216,364
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 79","St. Albert",2,117,10,4,37,67,1,238,413
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 80","St. Albert",3,97,7,1,33,36,1,178,308
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 81","St. Albert",6,115,6,4,41,44,2,218,392
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 82","St. Albert",1,109,10,1,33,48,1,203,338
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 83","St. Albert",4,78,7,5,26,25,0,145,304
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 84","St. Albert",4,137,11,0,55,39,0,246,468
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 85","St. Albert",3,101,12,2,27,50,0,195,413
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 86","St. Albert",10,113,7,2,33,28,2,195,358
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 87","St. Albert",2,107,5,1,24,30,0,169,373
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 88","St. Albert",9,131,6,1,43,29,0,219,395
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 89","St. Albert",2,117,8,0,28,29,0,184,358
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 90","St. Albert",5,126,4,0,42,29,0,206,397
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 91","St. Albert",6,130,10,3,40,83,0,272,509
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 92","St. Albert",1,121,13,0,34,47,2,218,414
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 93","St. Albert",5,121,10,0,38,50,1,225,403
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 94","St. Albert",5,139,7,2,39,42,3,237,409
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 95","St. Albert",6,165,16,2,70,49,2,310,652
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 96","St. Albert",3,107,4,0,31,30,0,175,433
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 97","St. Albert",2,153,7,2,44,47,0,255,453
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 98","St. Albert",4,135,5,3,51,34,1,233,423
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 99","St. Albert",5,107,6,2,48,38,1,207,444
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 100","St. Albert",8,119,10,4,53,35,3,232,426
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 101","St. Albert",9,170,7,1,60,30,0,277,463
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 102","Edmonton",4,82,0,2,31,51,2,172,413
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 103","Edmonton",0,97,3,0,32,37,0,169,416
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 104","Edmonton",0,71,2,0,28,40,1,142,367
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 105","Edmonton",3,113,3,0,48,51,0,218,552
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 106A","Edmonton",0,100,0,0,27,46,1,174,337
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 106B","Edmonton",2,87,2,1,16,35,1,144,347
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 107","Edmonton",8,94,4,3,31,74,0,214,530
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 108","Edmonton",3,178,3,0,36,70,0,290,614
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 109","Edmonton",5,116,3,1,35,54,0,214,494
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 110","Edmonton",3,124,3,0,54,52,2,238,539
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 111","Edmonton",4,129,5,0,31,57,2,228,551
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 112","St. Albert",6,141,10,1,44,35,1,238,415
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 113","St. Albert",4,118,9,3,32,29,1,196,370
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 114","St. Albert",2,128,5,1,53,36,0,225,420
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 115","St. Albert",4,113,5,0,25,25,0,172,357
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 116","St. Albert",0,44,4,0,21,14,1,84,235
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 117","Edmonton",3,151,4,0,47,62,0,267,474
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 118","Edmonton",7,190,2,1,37,45,0,282,545
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 119A","Edmonton",4,105,4,1,30,38,0,182,393
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 119B","Edmonton",8,141,0,1,51,33,1,235,402
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 120","Edmonton",7,236,3,0,41,74,0,361,674
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 121","Edmonton",7,121,2,0,23,37,0,190,390
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 122","Edmonton",2,182,0,1,36,86,1,308,551
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 123","Edmonton",3,115,2,1,28,56,3,208,415
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 124","St. Albert",10,176,13,4,70,51,2,326,536
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 125","St. Albert",10,102,4,4,56,33,1,210,408
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 126","St. Albert",5,134,6,0,36,25,1,207,356
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 127","St. Albert",6,172,8,2,45,45,1,279,553
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 128","St. Albert",1,163,6,4,30,59,0,263,471
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 129","St. Albert",4,165,6,2,39,53,1,270,533
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 130","St. Albert",4,198,8,1,47,37,1,296,555
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 131","St. Albert",8,114,6,3,46,30,0,207,411
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 132","St. Albert",0,160,8,1,32,49,1,251,467
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 133","Edmonton",1,176,5,0,41,56,0,279,622
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 134","Edmonton",0,125,7,3,42,37,2,216,466
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 135","Edmonton",7,163,4,0,40,44,1,259,491
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 136","Edmonton",7,112,7,0,37,43,1,207,499
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 137","Edmonton",2,104,5,0,43,63,0,217,436
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 138","Edmonton",0,75,3,0,22,29,1,130,279
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 139","Edmonton",5,129,2,1,25,57,2,221,446
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 140","Edmonton",9,82,4,1,37,24,1,158,314
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 141","Edmonton",11,149,6,0,49,46,1,262,596
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 142","Edmonton",7,134,2,4,45,75,0,267,520
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 143","Edmonton",9,103,7,2,39,40,2,202,475
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 144","Edmonton",5,127,1,2,43,89,10,277,631
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 145","Edmonton",6,110,7,1,38,47,1,210,453
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 146","Edmonton",3,131,3,2,34,62,1,236,543
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 147","Edmonton",0,104,4,0,13,23,0,144,306
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 148","Edmonton",8,105,2,0,49,52,0,216,475
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 149","Edmonton",0,110,5,2,28,41,0,186,465
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 150","Edmonton",9,58,4,3,16,72,2,164,317
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 151","Edmonton",3,115,4,0,40,33,0,195,380
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 152","Edmonton",4,81,4,0,40,44,1,174,359
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 153","Edmonton",2,112,6,2,41,25,0,188,436
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 154","Edmonton",2,98,6,1,44,32,3,186,417
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 155","Edmonton",5,94,3,0,28,55,4,189,490
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 156","Edmonton",4,103,2,1,30,40,0,180,467
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 157","Edmonton",6,102,2,1,23,43,0,177,466
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 158A","Edmonton",0,60,2,1,14,31,2,110,338
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 158B","Edmonton",3,67,0,3,17,35,0,125,336
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 159","Edmonton",3,96,0,2,26,27,0,154,384
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 160","Edmonton",5,101,1,0,30,39,1,177,422
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 161","Edmonton",5,76,5,0,26,41,0,153,475
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 162","Edmonton",8,82,2,6,24,50,0,172,412
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 163","Edmonton",4,52,6,2,33,37,0,134,333
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 164","Edmonton",5,62,6,1,38,51,0,163,354
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 165","Edmonton",1,93,5,1,30,58,1,189,527
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 166","Edmonton",7,131,9,2,39,37,1,226,473
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 167","Edmonton",5,56,3,1,44,38,1,148,368
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 168","Edmonton",1,99,0,2,26,39,1,168,409
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 169","Edmonton",6,68,2,0,33,32,4,145,422
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 170","Edmonton",3,94,9,0,20,40,1,167,383
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 171","Edmonton",5,214,10,1,42,36,0,308,586
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 172","Edmonton",3,169,4,0,24,34,5,239,395
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 173A","Edmonton",0,91,5,0,29,25,0,150,334
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 173B","Edmonton",1,112,1,0,27,28,0,169,338
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 174A","Edmonton",6,157,1,0,20,22,2,208,421
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 174B","Edmonton",2,147,7,1,30,22,4,213,440
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 175","Edmonton",5,193,4,1,51,49,1,304,563
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 176","Edmonton",2,122,4,1,32,65,0,226,458
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 177","Edmonton",3,101,1,3,60,44,1,213,514
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 178","Edmonton",3,106,3,0,38,40,0,190,400
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 179","Edmonton",1,130,2,0,43,67,0,243,458
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 180","Edmonton",2,162,5,0,38,93,1,301,514
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 181","Edmonton",8,90,1,0,40,51,1,191,465
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 182","St. Albert",3,71,6,1,22,20,0,123,312
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 183","St. Albert",5,114,11,2,30,28,0,190,397
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 184","St. Albert",0,88,2,3,16,32,2,143,399
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 185","St. Albert",4,129,6,3,30,32,1,205,403
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 186","St. Albert",3,82,4,4,16,27,0,136,351
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 187","Edmonton",11,136,6,2,31,69,1,256,586
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 188","Edmonton",1,109,4,2,46,55,1,218,487
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 189","Edmonton",4,90,1,0,29,36,0,160,496
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 190","Edmonton",2,106,3,1,32,62,4,210,439
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 191","Edmonton",6,141,8,1,58,43,0,257,626
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 192","Edmonton",6,55,2,0,15,23,1,102,342
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 193","Edmonton",1,111,4,0,60,49,3,228,598
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 194A","Edmonton",7,104,3,1,54,89,2,260,554
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 194B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,143
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 195","Edmonton",4,88,3,0,26,60,0,181,461
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 196","Edmonton",5,72,7,1,29,32,4,150,376
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 197","Edmonton",5,112,1,2,45,46,2,213,485
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 198","Edmonton",5,76,3,1,24,46,0,155,363
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 199","Edmonton",3,130,7,1,33,69,0,243,467
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 200","Edmonton",5,98,0,0,27,50,1,181,393
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 201","Edmonton",5,81,1,0,26,60,0,173,399
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 202","Edmonton",6,80,4,1,34,40,4,169,364
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 203","Edmonton",2,70,3,1,22,47,0,145,359
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 204","Edmonton",2,117,0,1,26,36,0,182,310
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 205","Edmonton",2,92,5,0,43,33,2,177,412
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 206","Edmonton",1,113,4,1,28,46,0,193,431
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 207","Edmonton",6,81,3,5,25,41,5,166,372
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 500A","Mobile poll/Bureau itinérant",6,84,4,0,8,25,11,138,64
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 500B","Mobile poll/Bureau itinérant",3,61,3,3,12,24,3,109,43
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 500C","Mobile poll/Bureau itinérant",3,131,3,3,10,30,7,187,215
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 501A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502B,,,,,,,,87
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,18
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 502A","Mobile poll/Bureau itinérant",1,112,2,5,16,25,1,162,205
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 502B","Mobile poll/Bureau itinérant",3,84,4,2,20,41,5,159,74
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 600","Villeneuve",10,658,12,2,112,141,2,937,
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 601","St-Albert",12,626,22,2,99,143,2,906,
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 602","St-Albert",19,684,27,5,121,128,4,988,
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 603","St-Albert",6,698,23,2,95,159,3,986,
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 604","St-Albert",10,695,30,5,103,156,1,1000,
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 605","St-Albert",22,717,25,5,132,200,2,1103,
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 606","St-Albert",26,607,19,0,98,162,1,913,
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 607","St-Albert",16,524,25,6,80,126,6,783,
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 608","St-Albert",22,458,18,2,99,90,5,694,
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 609","St-Albert",19,605,38,3,105,116,8,894,
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 610","Edmonton",21,844,18,3,137,205,4,1232,
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 611","Edmonton",15,623,20,4,126,205,5,998,
