Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brogan Anderson,Kody Blois,Stacey Dodge,Martha MacQuarrie,Stephen Schneider,Matthew Southall,Nicholas Tan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Kings--Hants/Kings--Hants"," 76","East Uniacke",42,53,0,39,33,2,1,2,172,401
12007,"Kings--Hants/Kings--Hants"," 77","Mount Uniacke",11,39,0,34,32,1,2,0,119,342
12007,"Kings--Hants/Kings--Hants"," 78","Mount Uniacke",11,87,0,43,39,0,0,2,182,363
12007,"Kings--Hants/Kings--Hants"," 79","South Uniacke",37,66,1,34,50,9,0,3,200,434
12007,"Kings--Hants/Kings--Hants"," 80","Hants Border",20,106,1,40,33,4,2,1,207,419
12007,"Kings--Hants/Kings--Hants"," 81","Hants Border",30,75,0,45,36,1,0,0,187,395
12007,"Kings--Hants/Kings--Hants"," 82","Hants Border",16,38,0,38,21,2,0,1,116,243
12007,"Kings--Hants/Kings--Hants"," 83","Mount Denson",29,102,1,45,42,8,1,0,228,418
12007,"Kings--Hants/Kings--Hants"," 84","Canard",20,50,0,29,18,0,0,1,118,204
12007,"Kings--Hants/Kings--Hants"," 85","Centreville",15,56,1,61,39,1,2,2,177,333
12007,"Kings--Hants/Kings--Hants"," 86","Centreville",19,67,1,47,48,5,0,0,187,371
12007,"Kings--Hants/Kings--Hants"," 87","Centreville",28,64,0,68,23,4,0,0,187,398
12007,"Kings--Hants/Kings--Hants"," 88","Centreville",16,91,0,57,40,1,1,1,207,455
12007,"Kings--Hants/Kings--Hants"," 89","Wolfville",34,109,0,36,47,0,0,2,228,507
12007,"Kings--Hants/Kings--Hants"," 90","Wolfville",28,105,0,34,44,2,0,0,213,420
12007,"Kings--Hants/Kings--Hants"," 91","Port Williams",30,73,0,52,29,3,1,0,188,294
12007,"Kings--Hants/Kings--Hants"," 92","Port Williams",28,145,0,63,54,3,0,2,295,421
