Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Colin Carrie,Afroza Hossain,Eric Mackenzie,Shailene Panylo,Jovannah Ramsden,Jeff Tomlinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35074,"Oshawa/Oshawa"," 110","Oshawa",79,70,7,66,11,0,0,233,462
35074,"Oshawa/Oshawa"," 111","Oshawa",71,48,5,84,16,0,2,226,492
35074,"Oshawa/Oshawa"," 112","Oshawa",101,40,6,48,10,1,0,206,471
35074,"Oshawa/Oshawa"," 113","Oshawa",65,35,7,44,12,0,4,167,423
35074,"Oshawa/Oshawa"," 114","Oshawa",72,46,8,69,9,0,1,205,434
35074,"Oshawa/Oshawa"," 115","Oshawa",73,52,0,60,14,0,2,201,472
35074,"Oshawa/Oshawa"," 116","Oshawa",67,38,3,85,9,0,2,204,442
35074,"Oshawa/Oshawa"," 117","Oshawa",81,41,7,68,9,0,1,207,490
35074,"Oshawa/Oshawa"," 118","Oshawa",52,51,7,56,6,0,0,172,424
35074,"Oshawa/Oshawa"," 119","Oshawa",76,58,4,58,13,0,4,213,429
35074,"Oshawa/Oshawa"," 120","Oshawa",92,65,9,70,25,0,8,269,553
35074,"Oshawa/Oshawa"," 121","Oshawa",53,66,4,91,11,1,4,230,547
35074,"Oshawa/Oshawa"," 122","Oshawa",84,62,4,75,12,1,0,238,493
35074,"Oshawa/Oshawa"," 123","Oshawa",92,65,2,84,13,0,1,257,492
35074,"Oshawa/Oshawa"," 124","Oshawa",90,68,5,84,15,1,1,264,478
35074,"Oshawa/Oshawa"," 125","Oshawa",73,36,10,95,11,2,0,227,520
35074,"Oshawa/Oshawa"," 126","Oshawa",99,46,3,79,6,1,1,235,479
35074,"Oshawa/Oshawa"," 127","Oshawa",111,46,8,83,16,2,7,273,507
35074,"Oshawa/Oshawa"," 128","Oshawa",90,50,5,64,6,0,0,215,428
