Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,Maxime Bernier,Josiane Fortin,François Jacques-Côté,Richard Lehoux,Guillaume Rodrigue,Adam Veilleux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24007,"Beauce/Beauce"," 165","Saint-Georges",67,2,4,12,62,55,28,4,234,523
24007,"Beauce/Beauce"," 166","Saint-Georges",37,5,3,5,43,25,24,4,146,506
24007,"Beauce/Beauce"," 167","Saint-Georges",88,2,1,3,56,43,22,2,217,498
24007,"Beauce/Beauce"," 168","Saint-Georges",78,3,5,10,78,42,34,4,254,506
24007,"Beauce/Beauce"," 169","Saint-Georges",89,6,5,23,95,37,30,3,288,548
24007,"Beauce/Beauce"," 170","Saint-Benoît-Labre",70,6,6,3,77,30,23,4,219,355
24007,"Beauce/Beauce"," 171","Saint-Benoît-Labre",61,3,7,3,79,30,30,2,215,357
24007,"Beauce/Beauce"," 172","Saint-Benoît-Labre",86,1,5,11,64,36,13,4,220,357
24007,"Beauce/Beauce"," 173","Saint-Benoît-Labre",70,4,6,3,78,14,11,7,193,324
24007,"Beauce/Beauce"," 174","Saint-René",63,6,2,7,68,19,19,5,189,327
24007,"Beauce/Beauce"," 175","Saint-René",84,5,1,4,55,18,14,5,186,305
24007,"Beauce/Beauce"," 176","Saint-Georges",58,2,8,6,65,19,24,3,185,290
24007,"Beauce/Beauce"," 177","Saint-Georges",60,0,6,3,86,23,9,2,189,309
24007,"Beauce/Beauce"," 178","Saint-Éphrem-de-Beauce",74,4,13,8,95,24,21,4,243,376
24007,"Beauce/Beauce"," 179","Saint-Éphrem-de-Beauce",77,3,3,3,90,29,20,2,227,352
24007,"Beauce/Beauce"," 180","Saint-Éphrem-de-Beauce",56,4,7,8,63,37,28,6,209,353
24007,"Beauce/Beauce"," 181","Saint-Éphrem-de-Beauce",57,5,11,7,96,35,21,2,234,376
24007,"Beauce/Beauce"," 182","Saint-Éphrem-de-Beauce",65,2,5,1,83,35,29,0,220,363
24007,"Beauce/Beauce"," 183","Saint-Théophile",40,3,7,4,80,25,17,0,176,271
24007,"Beauce/Beauce"," 184","Saint-Théophile",64,6,3,1,66,18,21,3,182,303
24007,"Beauce/Beauce"," 185","Saint-Martin",50,2,6,6,74,24,19,4,185,378
24007,"Beauce/Beauce"," 186","Saint-Martin",44,0,10,4,104,18,12,1,193,389
24007,"Beauce/Beauce"," 187","Saint-Martin",46,5,4,5,54,12,17,1,144,387
24007,"Beauce/Beauce"," 188","Saint-Martin",60,5,0,4,72,29,10,2,182,406
24007,"Beauce/Beauce"," 189","Saint-Martin",51,6,4,1,44,33,13,5,157,367
24007,"Beauce/Beauce"," 190","Saint-Honoré",65,1,4,4,139,20,31,4,268,391
24007,"Beauce/Beauce"," 191","Shenley",79,5,3,7,109,22,37,4,266,417
24007,"Beauce/Beauce"," 192","Saint-Honoré",54,4,5,4,91,21,27,7,213,379
24007,"Beauce/Beauce"," 193A","La Guadeloupe",47,2,4,5,90,29,26,2,205,333
24007,"Beauce/Beauce"," 193B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,,,,32
24007,"Beauce/Beauce"," 194","La Guadeloupe",60,2,6,3,73,36,23,3,206,319
24007,"Beauce/Beauce"," 195","La Guadeloupe",65,2,3,4,78,29,16,10,207,332
24007,"Beauce/Beauce"," 196","La Guadeloupe",46,2,3,5,59,31,14,7,167,295
24007,"Beauce/Beauce"," 197","Saint-Évariste-de-Forsyth",23,3,2,2,54,24,17,2,127,214
24007,"Beauce/Beauce"," 198","Saint-Évariste-de-Forsyth",36,2,2,2,79,19,7,4,151,202
24007,"Beauce/Beauce"," 199","Saint-Gédéon",42,1,4,3,83,24,12,8,177,326
24007,"Beauce/Beauce"," 200","Saint-Gédéon",39,6,2,3,89,25,20,7,191,329
24007,"Beauce/Beauce"," 201","Saint-Gédéon",50,1,7,5,66,18,20,2,169,313
24007,"Beauce/Beauce"," 202","Saint-Gédéon",62,2,4,4,101,25,18,6,222,365
24007,"Beauce/Beauce"," 203","Saint-Gédéon",52,8,5,6,80,30,17,9,207,333
24007,"Beauce/Beauce"," 204","Saint-Hilaire-de-Dorset",9,0,3,3,33,8,7,0,63,82
24007,"Beauce/Beauce"," 400","Sainte-Marie",37,6,1,4,77,16,57,35,233,303
