Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Natalie Dipietra-Cudmore,Kaija Farstad,Leon Jensen,Alex Joehl,Tako Van Popta,Stacey Wakelin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Langley--Aldergrove/Langley--Aldergrove"," 54","Milner",4,21,83,1,107,68,0,284,286
59016,"Langley--Aldergrove/Langley--Aldergrove"," 55","Milner",Merged with No./Fusionné avec le n°54,,,,,,,,263
59016,"Langley--Aldergrove/Langley--Aldergrove"," 56","Milner",8,18,98,5,154,41,3,327,705
59016,"Langley--Aldergrove/Langley--Aldergrove"," 57","Milner",3,26,98,7,177,61,0,372,707
59016,"Langley--Aldergrove/Langley--Aldergrove"," 58","Milner",10,15,74,2,115,56,4,276,578
59016,"Langley--Aldergrove/Langley--Aldergrove"," 59","Forest Knolls",Merged with No./Fusionné avec le n°60,,,,,,,,276
59016,"Langley--Aldergrove/Langley--Aldergrove"," 60","Walnut Grove",3,12,70,3,119,55,1,263,316
59016,"Langley--Aldergrove/Langley--Aldergrove"," 61","Walnut Grove",5,9,64,1,89,46,0,214,446
59016,"Langley--Aldergrove/Langley--Aldergrove"," 62","Walnut Grove",7,8,56,2,91,55,0,219,488
59016,"Langley--Aldergrove/Langley--Aldergrove"," 63","Milner",5,14,84,1,90,52,3,249,578
59016,"Langley--Aldergrove/Langley--Aldergrove"," 64","Forest Knolls",0,9,49,2,110,27,3,200,410
59016,"Langley--Aldergrove/Langley--Aldergrove"," 65","Langley",7,13,47,4,92,41,2,206,552
59016,"Langley--Aldergrove/Langley--Aldergrove"," 66","Langley",3,14,82,1,87,53,1,241,557
59016,"Langley--Aldergrove/Langley--Aldergrove"," 67","Langley",0,14,43,0,108,35,3,203,521
59016,"Langley--Aldergrove/Langley--Aldergrove"," 68","Langley",6,14,78,1,122,79,0,300,623
59016,"Langley--Aldergrove/Langley--Aldergrove"," 69","Langley",5,7,58,3,72,39,0,184,449
59016,"Langley--Aldergrove/Langley--Aldergrove"," 70","Langley",6,16,108,4,136,53,2,325,673
59016,"Langley--Aldergrove/Langley--Aldergrove"," 71","Langley",0,12,67,4,107,69,6,265,662
59016,"Langley--Aldergrove/Langley--Aldergrove"," 72","Langley",8,27,88,2,122,63,0,310,732
59016,"Langley--Aldergrove/Langley--Aldergrove"," 73","Langley",10,21,86,2,123,50,2,294,583
59016,"Langley--Aldergrove/Langley--Aldergrove"," 74","Langley",0,23,63,2,96,72,3,259,557
59016,"Langley--Aldergrove/Langley--Aldergrove"," 75","Fort Langley",4,46,82,4,144,102,0,382,571
59016,"Langley--Aldergrove/Langley--Aldergrove"," 76","Forest Knolls",3,20,53,2,175,35,1,289,530
59016,"Langley--Aldergrove/Langley--Aldergrove"," 77","Forest Knolls",1,23,28,2,142,27,1,224,424
59016,"Langley--Aldergrove/Langley--Aldergrove"," 78","Glen Valley",7,16,35,3,23,144,1,229,413
59016,"Langley--Aldergrove/Langley--Aldergrove"," 79","Forest Knolls",11,31,49,3,131,27,1,253,401
59016,"Langley--Aldergrove/Langley--Aldergrove"," 80","Milner",3,21,85,2,85,40,0,236,609
59016,"Langley--Aldergrove/Langley--Aldergrove"," 81","Milner",5,13,66,2,85,43,2,216,606
59016,"Langley--Aldergrove/Langley--Aldergrove"," 82","Langley",2,14,51,0,95,40,2,204,478
59016,"Langley--Aldergrove/Langley--Aldergrove"," 83","Langley",4,14,108,5,109,50,1,291,687
59016,"Langley--Aldergrove/Langley--Aldergrove"," 84","Milner",9,33,54,4,197,58,4,359,678
59016,"Langley--Aldergrove/Langley--Aldergrove"," 85","Milner",4,27,50,3,125,43,1,253,586
59016,"Langley--Aldergrove/Langley--Aldergrove"," 86","Milner",5,12,54,2,98,37,1,209,581
59016,"Langley--Aldergrove/Langley--Aldergrove"," 87","Langley",1,14,43,3,145,27,1,234,517
59016,"Langley--Aldergrove/Langley--Aldergrove"," 88","Murrayville",3,19,34,3,86,24,0,169,376
59016,"Langley--Aldergrove/Langley--Aldergrove"," 89","Murrayville",3,14,39,0,89,23,2,170,353
59016,"Langley--Aldergrove/Langley--Aldergrove"," 90","Langley",2,14,51,3,101,26,0,197,374
59016,"Langley--Aldergrove/Langley--Aldergrove"," 91","Langley",5,16,58,3,101,43,2,228,477
59016,"Langley--Aldergrove/Langley--Aldergrove"," 92","Langley",7,22,60,1,92,49,1,232,417
59016,"Langley--Aldergrove/Langley--Aldergrove"," 93","Langley",6,18,47,2,112,22,0,207,371
59016,"Langley--Aldergrove/Langley--Aldergrove"," 94","Langley",8,23,56,0,71,31,1,190,381
59016,"Langley--Aldergrove/Langley--Aldergrove"," 95","Langley",3,21,50,0,95,45,1,215,434
59016,"Langley--Aldergrove/Langley--Aldergrove"," 96","Langley",3,22,47,3,106,47,0,228,458
59016,"Langley--Aldergrove/Langley--Aldergrove"," 97","Langley",3,14,79,5,161,55,3,320,611
59016,"Langley--Aldergrove/Langley--Aldergrove"," 98","Langley",11,16,66,1,138,50,0,282,562
59016,"Langley--Aldergrove/Langley--Aldergrove"," 99","Langley",9,24,73,1,154,32,1,294,588
59016,"Langley--Aldergrove/Langley--Aldergrove"," 100","Langley",2,20,51,0,162,29,2,266,502
59016,"Langley--Aldergrove/Langley--Aldergrove"," 101","Langley",4,26,79,0,81,42,2,234,523
59016,"Langley--Aldergrove/Langley--Aldergrove"," 102","Langley",3,17,52,2,150,38,0,262,511
59016,"Langley--Aldergrove/Langley--Aldergrove"," 103","Langley",0,21,58,0,98,60,0,237,452
59016,"Langley--Aldergrove/Langley--Aldergrove"," 104","Langley",1,22,49,4,114,32,1,223,441
59016,"Langley--Aldergrove/Langley--Aldergrove"," 105","Langley",4,19,48,3,94,31,0,199,452
59016,"Langley--Aldergrove/Langley--Aldergrove"," 106","Langley",0,9,38,3,71,41,0,162,367
59016,"Langley--Aldergrove/Langley--Aldergrove"," 107","Langley",4,14,41,6,92,26,1,184,421
59016,"Langley--Aldergrove/Langley--Aldergrove"," 108","Langley",2,14,44,2,70,26,0,158,376
59016,"Langley--Aldergrove/Langley--Aldergrove"," 109","Hopington",3,17,29,1,172,31,2,255,480
59016,"Langley--Aldergrove/Langley--Aldergrove"," 110","Hopington",8,12,59,0,85,27,0,191,396
59016,"Langley--Aldergrove/Langley--Aldergrove"," 111","Hopington",8,17,58,1,129,41,2,256,451
59016,"Langley--Aldergrove/Langley--Aldergrove"," 112","Hopington",4,15,55,4,151,29,3,261,440
59016,"Langley--Aldergrove/Langley--Aldergrove"," 113","Hopington",11,20,66,0,119,40,3,259,450
59016,"Langley--Aldergrove/Langley--Aldergrove"," 114","Langley",15,15,56,5,137,40,2,270,497
59016,"Langley--Aldergrove/Langley--Aldergrove"," 115","Hopington",4,15,66,1,114,45,4,249,493
59016,"Langley--Aldergrove/Langley--Aldergrove"," 116A","Langley",3,21,49,1,88,28,0,190,371
59016,"Langley--Aldergrove/Langley--Aldergrove"," 116B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,6
59016,"Langley--Aldergrove/Langley--Aldergrove"," 117","Langley",4,24,90,3,202,60,14,397,390
59016,"Langley--Aldergrove/Langley--Aldergrove"," 118","Langley",0,14,54,2,125,27,0,222,431
59016,"Langley--Aldergrove/Langley--Aldergrove"," 119","Brookswood",3,14,62,3,93,45,3,223,412
59016,"Langley--Aldergrove/Langley--Aldergrove"," 120","Brookswood",4,17,62,2,90,50,0,225,473
59016,"Langley--Aldergrove/Langley--Aldergrove"," 121","Langley",2,20,45,2,91,49,0,209,457
59016,"Langley--Aldergrove/Langley--Aldergrove"," 122","Langley",Merged with No./Fusionné avec le n°117,,,,,,,,420
59016,"Langley--Aldergrove/Langley--Aldergrove"," 123","Langley",4,24,53,2,144,35,0,262,539
59016,"Langley--Aldergrove/Langley--Aldergrove"," 124","Langley",4,21,48,0,103,37,2,215,479
59016,"Langley--Aldergrove/Langley--Aldergrove"," 125","Langley",6,25,84,2,131,41,2,291,522
59016,"Langley--Aldergrove/Langley--Aldergrove"," 126","Langley",3,13,70,5,102,32,5,230,511
59016,"Langley--Aldergrove/Langley--Aldergrove"," 127","Langley",11,19,53,2,158,50,1,294,536
59016,"Langley--Aldergrove/Langley--Aldergrove"," 128","Langley",2,19,62,2,152,43,1,281,394
59016,"Langley--Aldergrove/Langley--Aldergrove"," 129","Langley",2,19,63,2,160,42,0,288,511
59016,"Langley--Aldergrove/Langley--Aldergrove"," 130","Langley",7,13,60,1,174,28,0,283,563
59016,"Langley--Aldergrove/Langley--Aldergrove"," 131","Hopington",7,15,66,4,156,47,0,295,520
59016,"Langley--Aldergrove/Langley--Aldergrove"," 132","Hopington",9,11,57,7,159,44,1,288,442
59016,"Langley--Aldergrove/Langley--Aldergrove"," 133","Hopington",9,22,51,1,155,36,1,275,423
59016,"Langley--Aldergrove/Langley--Aldergrove"," 134","Hopington",6,23,53,0,156,44,0,282,446
59016,"Langley--Aldergrove/Langley--Aldergrove"," 135","Hopington",4,17,72,3,179,66,2,343,592
59016,"Langley--Aldergrove/Langley--Aldergrove"," 136","Hopington",5,24,65,1,153,41,1,290,518
59016,"Langley--Aldergrove/Langley--Aldergrove"," 137","Aldergrove, Canadian Forces Station",8,14,40,0,124,19,3,208,431
59016,"Langley--Aldergrove/Langley--Aldergrove"," 138","Glen Valley",10,21,40,0,115,42,1,229,496
59016,"Langley--Aldergrove/Langley--Aldergrove"," 139","Abbotsford",13,30,58,0,150,26,2,279,557
59016,"Langley--Aldergrove/Langley--Aldergrove"," 140","Glen Valley",7,32,50,1,126,25,2,243,492
59016,"Langley--Aldergrove/Langley--Aldergrove"," 141","Abbotsford",8,13,40,1,98,29,1,190,404
59016,"Langley--Aldergrove/Langley--Aldergrove"," 142","Aldergrove, Canadian Forces Station",10,17,77,1,134,39,2,280,680
59016,"Langley--Aldergrove/Langley--Aldergrove"," 143","Langley",0,22,43,1,87,25,2,180,367
59016,"Langley--Aldergrove/Langley--Aldergrove"," 144","Langley",5,29,58,3,97,39,0,231,449
59016,"Langley--Aldergrove/Langley--Aldergrove"," 145","Fern Ridge",2,19,44,1,147,33,1,247,467
59016,"Langley--Aldergrove/Langley--Aldergrove"," 146","Langley",6,25,52,3,130,26,1,243,442
59016,"Langley--Aldergrove/Langley--Aldergrove"," 147","Langley",8,22,43,4,93,28,1,199,409
59016,"Langley--Aldergrove/Langley--Aldergrove"," 148","Langley",6,23,59,0,145,25,2,260,547
59016,"Langley--Aldergrove/Langley--Aldergrove"," 149","Fern Ridge",5,25,71,1,129,39,1,271,527
59016,"Langley--Aldergrove/Langley--Aldergrove"," 150","Hopington",6,19,67,5,85,46,1,229,475
59016,"Langley--Aldergrove/Langley--Aldergrove"," 151","Langley",5,23,58,5,163,40,1,295,474
59016,"Langley--Aldergrove/Langley--Aldergrove"," 152","Aldergrove",3,14,28,1,119,22,3,190,405
59016,"Langley--Aldergrove/Langley--Aldergrove"," 153","Langley",2,12,54,3,134,32,2,239,412
59016,"Langley--Aldergrove/Langley--Aldergrove"," 154","Langley",11,37,60,0,117,25,0,250,407
59016,"Langley--Aldergrove/Langley--Aldergrove"," 155","Aldergrove",4,15,63,1,121,46,0,250,429
59016,"Langley--Aldergrove/Langley--Aldergrove"," 156","Aldergrove",6,12,50,4,151,32,1,256,465
59016,"Langley--Aldergrove/Langley--Aldergrove"," 157","Langley",15,23,46,0,142,63,2,291,578
59016,"Langley--Aldergrove/Langley--Aldergrove"," 158","Langley",9,14,47,2,116,58,1,247,453
59016,"Langley--Aldergrove/Langley--Aldergrove"," 159","Langley",11,18,40,1,73,46,6,195,471
59016,"Langley--Aldergrove/Langley--Aldergrove"," 160","Langley",8,24,43,2,73,50,2,202,427
59016,"Langley--Aldergrove/Langley--Aldergrove"," 161","Langley",6,22,36,0,99,42,3,208,449
59016,"Langley--Aldergrove/Langley--Aldergrove"," 162","Langley",9,13,70,2,97,57,2,250,500
59016,"Langley--Aldergrove/Langley--Aldergrove"," 163","Langley",5,15,37,1,108,39,2,207,416
59016,"Langley--Aldergrove/Langley--Aldergrove"," 164","Langley",5,21,61,2,106,40,1,236,530
59016,"Langley--Aldergrove/Langley--Aldergrove"," 165","Langley",9,20,95,4,147,58,0,333,557
59016,"Langley--Aldergrove/Langley--Aldergrove"," 166","Aldergrove",3,17,59,3,98,18,3,201,402
59016,"Langley--Aldergrove/Langley--Aldergrove"," 167","Langley",6,27,49,1,97,52,3,235,515
59016,"Langley--Aldergrove/Langley--Aldergrove"," 168","Langley",7,16,28,0,62,31,1,145,395
59016,"Langley--Aldergrove/Langley--Aldergrove"," 169","Langley",14,10,39,1,92,37,1,194,402
59016,"Langley--Aldergrove/Langley--Aldergrove"," 170","Langley",7,22,59,0,66,88,0,242,540
59016,"Langley--Aldergrove/Langley--Aldergrove"," 171","Aldergrove",2,13,36,1,69,27,1,149,361
59016,"Langley--Aldergrove/Langley--Aldergrove"," 172","Abbotsford",4,13,102,10,146,63,5,343,633
59016,"Langley--Aldergrove/Langley--Aldergrove"," 173","Abbotsford",7,23,77,0,115,28,1,251,495
59016,"Langley--Aldergrove/Langley--Aldergrove"," 174","Abbotsford",8,13,75,3,126,67,0,292,628
59016,"Langley--Aldergrove/Langley--Aldergrove"," 175","Abbotsford",Merged with No./Fusionné avec le n°177,,,,,,,,346
59016,"Langley--Aldergrove/Langley--Aldergrove"," 176","Abbotsford",4,10,64,2,140,56,3,279,523
59016,"Langley--Aldergrove/Langley--Aldergrove"," 177","Abbotsford",3,12,137,9,122,72,4,359,460
59016,"Langley--Aldergrove/Langley--Aldergrove"," 178","Langley",5,17,49,2,113,48,3,237,576
59016,"Langley--Aldergrove/Langley--Aldergrove"," 179","Langley",3,13,29,2,51,51,0,149,389
59016,"Langley--Aldergrove/Langley--Aldergrove"," 180","Langley",3,11,42,2,58,37,0,153,434
59016,"Langley--Aldergrove/Langley--Aldergrove"," 181","Aldergrove",9,16,67,0,80,43,0,215,474
59016,"Langley--Aldergrove/Langley--Aldergrove"," 182","Aldergrove",11,29,72,5,101,56,0,274,495
59016,"Langley--Aldergrove/Langley--Aldergrove"," 183","Aldergrove",10,24,45,1,91,26,1,198,389
59016,"Langley--Aldergrove/Langley--Aldergrove"," 184","Aldergrove",13,23,62,2,164,61,3,328,594
59016,"Langley--Aldergrove/Langley--Aldergrove"," 185","Abbotsford",5,10,40,1,110,35,3,204,386
59016,"Langley--Aldergrove/Langley--Aldergrove"," 186","Abbotsford",8,19,62,4,188,65,3,349,610
59016,"Langley--Aldergrove/Langley--Aldergrove"," 187","Abbotsford",5,10,76,3,121,47,1,263,497
59016,"Langley--Aldergrove/Langley--Aldergrove"," 188","Abbotsford",5,5,78,3,92,36,1,220,465
59016,"Langley--Aldergrove/Langley--Aldergrove"," 189","Abbotsford",4,8,54,2,99,26,4,197,421
59016,"Langley--Aldergrove/Langley--Aldergrove"," 190","Matsqui 4",5,16,89,0,111,54,0,275,371
59016,"Langley--Aldergrove/Langley--Aldergrove"," 400","Walnut Grove",Merged with No./Fusionné avec le n°401,,,,,,,,66
59016,"Langley--Aldergrove/Langley--Aldergrove"," 401","Walnut Grove",6,16,81,1,99,42,0,245,287
59016,"Langley--Aldergrove/Langley--Aldergrove"," 402","Milner",2,13,31,1,33,15,0,95,252
59016,"Langley--Aldergrove/Langley--Aldergrove"," 403","Langley",2,7,34,0,31,42,1,117,257
59016,"Langley--Aldergrove/Langley--Aldergrove"," 404","Walnut Grove",1,6,23,0,35,16,0,81,151
59016,"Langley--Aldergrove/Langley--Aldergrove"," 405","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,98
59016,"Langley--Aldergrove/Langley--Aldergrove"," 406","Langley",1,6,22,2,45,10,0,86,145
59016,"Langley--Aldergrove/Langley--Aldergrove"," 500","Mobile poll/Bureau itinérant",1,12,41,2,39,14,2,111,187
59016,"Langley--Aldergrove/Langley--Aldergrove"," 501A","Mobile poll/Bureau itinérant",3,8,59,5,55,26,3,159,123
59016,"Langley--Aldergrove/Langley--Aldergrove"," 501B","Mobile poll/Bureau itinérant",2,11,14,1,19,18,1,66,66
59016,"Langley--Aldergrove/Langley--Aldergrove"," 502A","Mobile poll/Bureau itinérant",0,9,43,1,50,13,6,122,140
59016,"Langley--Aldergrove/Langley--Aldergrove"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,,36
59016,"Langley--Aldergrove/Langley--Aldergrove"," 503","Mobile poll/Bureau itinérant",2,6,42,2,41,13,1,107,167
59016,"Langley--Aldergrove/Langley--Aldergrove"," 600","Walnut Grove",18,113,264,4,425,150,3,977,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 601","Walnut Grove",17,101,355,11,563,203,2,1252,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 602","Langley",14,101,301,7,576,162,5,1166,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 603","Langley",20,50,292,4,383,139,7,895,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 604","Langley",16,41,261,9,427,144,11,909,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 605","Langley",27,55,340,4,495,163,4,1088,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 606","Forest Knolls",11,87,251,5,449,109,2,914,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 607","Abbotsford",6,36,96,2,288,33,4,465,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 608","Forest Knolls",15,73,260,6,730,117,2,1203,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 609","Hopington",29,83,229,5,463,129,4,942,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 610","Langley",35,81,224,3,584,125,2,1054,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 611","Langley",19,91,227,11,578,113,3,1042,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 612","Langley",12,66,168,8,484,85,4,827,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 613","Aldergrove, Canadian Forces Station",15,41,123,4,271,80,3,537,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 614","Langley",26,66,177,8,357,128,4,766,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 615","Aldergrove",27,54,187,5,440,95,2,810,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 616","Aldergrove, Canadian Forces Station",10,42,240,6,380,104,2,784,
59016,"Langley--Aldergrove/Langley--Aldergrove",,Group 1/Groupe 1, 1,7,47,1,33,18,8,115,169
59016,"Langley--Aldergrove/Langley--Aldergrove",,Group 2/Groupe 2, 25,152,409,6,718,218,28,1556,
