Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leona Aglukkaq,Megan Pizzo Lyall,Mumilaaq Qaqqaq,Douglas Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
62001,"Nunavut/Nunavut"," 25","Sanikiluaq",44,62,118,2,3,229,486
62001,"Nunavut/Nunavut"," 600","Resolute Bay",8,6,6,2,0,22,
62001,"Nunavut/Nunavut"," 601","Pond Inlet",24,18,14,3,0,59,
62001,"Nunavut/Nunavut"," 602","Igloolik",10,10,12,0,1,33,
62001,"Nunavut/Nunavut"," 603","Qikiqtarjuaq",1,3,7,0,0,11,
62001,"Nunavut/Nunavut"," 604","Pangnirtung",19,21,17,0,1,58,
62001,"Nunavut/Nunavut"," 605","Iqaluit",103,210,216,11,4,544,
62001,"Nunavut/Nunavut"," 606","Cape Dorset",5,3,1,0,0,9,
62001,"Nunavut/Nunavut"," 607","Hall Beach",5,3,2,0,0,10,
62001,"Nunavut/Nunavut"," 608","Gjoa Haven",30,6,4,2,0,42,
62001,"Nunavut/Nunavut"," 609","Kugluktuk",9,14,9,2,0,34,
62001,"Nunavut/Nunavut"," 610","Cambridge Bay",24,26,10,0,2,62,
62001,"Nunavut/Nunavut"," 611","Baker Lake",13,22,39,2,0,76,
62001,"Nunavut/Nunavut"," 612","Rankin Inlet",31,40,65,0,0,136,
62001,"Nunavut/Nunavut"," 613","Arviat",19,16,23,1,2,61,
62001,"Nunavut/Nunavut",,Group 1/Groupe 1, 35,53,18,5,2,113,115
62001,"Nunavut/Nunavut",,Group 2/Groupe 2, 78,145,134,15,8,380,
