Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Clifford Albert,Xavier Barsalou-Duval,Simon Chalifoux,Mathieu Daviault,Sean English,Dany Gariépy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 37","Calixa-Lavallée",4,167,50,23,14,23,5,286,426
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 38","Verchères",2,96,23,8,6,5,7,147,298
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 39","Saint-Marc-sur-Richelieu",1,92,37,16,12,4,3,165,334
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 40","Saint-Marc-sur-Richelieu",1,93,32,17,16,18,3,180,339
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 41","Saint-Marc-sur-Richelieu",1,108,46,14,10,14,5,198,354
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 42","Saint-Marc-sur-Richelieu",4,98,55,20,16,13,0,206,337
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 43","Saint-Marc-sur-Richelieu",0,74,53,13,6,3,3,152,285
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 44","Saint-Charles-sur-Richelieu",3,105,36,21,12,12,1,190,317
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 45","Saint-Charles-sur-Richelieu",1,99,42,6,10,12,2,172,316
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 46","Saint-Charles-sur-Richelieu",0,60,29,13,13,3,1,119,264
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 47","Saint-Charles-sur-Richelieu",0,93,37,14,14,12,0,170,353
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 48","Saint-Charles-sur-Richelieu",0,75,32,7,3,4,0,121,226
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 49","Varennes",1,127,53,27,16,17,8,249,553
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 50","Varennes",1,132,63,18,27,17,1,259,493
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 51","Varennes",1,89,37,5,18,2,4,156,344
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 52","Varennes",0,110,21,13,10,13,7,174,348
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 53","Varennes",1,160,131,39,20,13,3,367,700
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 54","Varennes",2,77,36,8,13,6,7,149,304
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 55","Varennes",2,95,45,9,13,5,4,173,340
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 56","Saint-Amable",1,74,14,35,9,2,1,136,316
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 57","Saint-Amable",4,114,31,25,11,6,7,198,423
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 58","Saint-Amable",1,68,15,34,6,1,1,126,268
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 59","Saint-Amable",2,78,30,16,6,9,2,143,330
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 60","Saint-Amable",1,89,27,29,8,3,3,160,263
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 61","Saint-Amable",1,85,24,36,21,10,6,183,455
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 62","Saint-Amable",0,64,17,13,7,6,4,111,272
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 63","Varennes",2,139,67,16,16,13,4,257,566
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 64","Varennes",0,122,58,9,33,15,2,239,460
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 65","Varennes",3,101,60,10,22,11,1,208,410
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 66","Varennes",0,132,56,12,19,12,5,236,432
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 67","Varennes",1,111,47,9,19,12,6,205,461
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 68","Varennes",1,93,49,9,15,6,1,174,383
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 69","Varennes",3,130,49,9,14,12,1,218,393
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 70","Varennes",0,109,56,9,13,11,3,201,406
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 71","Varennes",2,82,31,15,5,4,1,140,323
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 72","Varennes",0,97,50,17,14,11,3,192,544
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 73","Saint-Amable",3,75,39,32,8,7,4,168,404
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 74","Saint-Amable",1,72,28,34,17,11,5,168,385
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 75","Saint-Amable",0,99,35,17,9,7,3,170,336
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 76","Saint-Amable",2,101,35,38,5,4,2,187,404
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 77","Saint-Amable",2,122,39,25,13,9,4,214,412
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 78","Saint-Amable",1,70,42,17,10,7,1,148,283
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 79","Saint-Amable",3,95,53,34,17,7,4,213,375
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 80","Varennes",0,143,60,14,19,11,3,250,424
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 81","Varennes",1,114,56,22,15,8,1,217,400
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 82","Varennes",1,92,53,18,14,14,4,196,378
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 83","Varennes",0,125,56,14,16,12,1,224,431
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 84","Varennes",0,137,52,16,20,16,0,241,459
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 85","Varennes",0,141,48,17,16,12,0,234,521
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 86","Varennes",0,123,33,9,10,16,1,192,385
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 87","Saint-Amable",3,63,14,31,10,5,4,130,303
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 88","Saint-Amable",0,53,19,23,10,6,3,114,300
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 89","Saint-Amable",1,54,11,29,8,3,1,107,298
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 90","Saint-Amable",0,93,28,14,9,7,2,153,421
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 91","Saint-Amable",1,83,58,19,15,13,5,194,471
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 92","Saint-Amable",3,148,61,42,33,16,5,308,656
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 93","Saint-Amable",3,63,34,8,7,3,2,120,256
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 94","Saint-Amable",2,163,95,46,18,16,9,349,783
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 95","Saint-Amable",0,100,25,31,7,2,2,167,312
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 96","Saint-Amable",0,63,16,7,8,3,5,102,218
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 97","Saint-Amable",0,68,14,37,12,8,4,143,335
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 98","Saint-Amable",3,78,45,18,15,11,4,174,350
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 99","Varennes",0,115,50,8,22,5,2,202,436
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 100","Varennes",0,118,63,16,25,12,3,237,433
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 101","Varennes",0,147,38,8,22,8,4,227,398
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 102","Varennes",0,134,62,19,17,14,2,248,449
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 103","Varennes",3,149,77,15,36,15,4,299,547
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 104","Varennes",0,109,45,20,19,4,1,198,363
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 105","Varennes",1,104,62,18,38,14,2,239,421
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 106","Varennes",1,134,61,19,13,11,6,245,528
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 107","Varennes",2,96,72,15,19,8,4,216,384
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 108","Varennes",2,108,61,12,21,9,3,216,436
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 109","Varennes",1,117,73,22,25,10,2,250,415
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 110","Varennes",0,85,42,10,25,12,7,181,410
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 111","Varennes",1,82,68,11,13,2,0,177,314
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 112","Varennes",0,118,82,20,8,6,0,234,379
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 113","Saint-Mathieu-de-Beloeil",0,124,50,22,22,8,3,229,411
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 114","Saint-Mathieu-de-Beloeil",2,125,77,28,16,14,0,262,556
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 115","Saint-Mathieu-de-Beloeil",3,94,64,20,13,9,3,206,387
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 116","Saint-Mathieu-de-Beloeil",3,101,60,27,13,8,3,215,413
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 117","Saint-Mathieu-de-Beloeil",0,56,56,13,8,5,0,138,246
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 118","Saint-Mathieu-de-Beloeil",4,111,44,13,16,8,2,198,418
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 119","Boucherville",0,57,49,5,8,11,2,132,316
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 120","Boucherville",0,117,88,20,29,17,3,274,519
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 121","Boucherville",1,88,86,15,20,13,3,226,423
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 122","Boucherville",1,110,72,8,9,10,0,210,432
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 123","Boucherville",1,83,90,3,21,10,3,211,415
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 124","Boucherville",0,96,71,7,19,14,3,210,369
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 125","Boucherville",9,83,74,6,14,18,0,204,368
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 126","Boucherville",3,85,52,19,12,15,0,186,335
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 127","Boucherville",3,99,71,11,18,16,2,220,425
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 128","Boucherville",3,108,92,11,25,22,2,263,439
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 129","Boucherville",1,106,60,4,20,17,2,210,391
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 130","Boucherville",2,78,48,19,9,8,2,166,314
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 131","Boucherville",1,116,170,32,25,25,3,372,637
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 132","Boucherville",1,88,124,33,19,18,3,286,545
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 133","Boucherville",1,102,91,17,12,9,1,233,497
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 134","Boucherville",0,39,70,7,1,3,1,121,399
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 135","Boucherville",1,85,80,12,19,3,3,203,457
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 136","Boucherville",2,113,102,18,13,11,3,262,557
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 137A","Boucherville",0,100,140,26,19,5,1,291,770
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 137B","Boucherville",6,109,187,17,4,2,16,341,454
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 138","Boucherville",0,65,142,40,25,15,2,289,567
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 139","Boucherville",5,77,51,9,18,7,1,168,369
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 140","Boucherville",0,98,72,9,17,7,0,203,380
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 141","Boucherville",1,110,76,12,15,16,1,231,388
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 142","Boucherville",0,103,55,11,40,18,5,232,407
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 143A","Boucherville",5,146,60,12,20,15,5,263,417
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 143B","Mobile poll/Bureau itinérant",2,16,21,0,0,2,6,47,52
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 144","Boucherville",1,121,76,13,18,19,2,250,414
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 145","Boucherville",1,88,59,12,27,9,7,203,395
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 146","Boucherville",3,128,69,5,12,13,2,232,422
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 147","Boucherville",3,121,58,4,10,14,11,221,452
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 148","Boucherville",2,101,59,18,15,5,1,201,398
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 149","Boucherville",0,71,72,9,16,10,5,183,359
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 150","Boucherville",0,73,88,8,27,12,2,210,386
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 151","Boucherville",3,66,41,5,12,12,1,140,328
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 152","Boucherville",0,69,65,2,9,9,2,156,309
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 153","Boucherville",3,82,85,13,19,12,3,217,382
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 154","Boucherville",0,90,76,10,24,13,2,215,362
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 155","Boucherville",0,80,81,20,17,9,0,207,384
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 156","Boucherville",1,104,84,11,10,9,2,221,421
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 157","Boucherville",0,104,53,12,18,14,1,202,381
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 158","Boucherville",0,111,85,10,21,8,0,235,408
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 159","Boucherville",1,71,50,12,20,7,1,162,400
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 160","Boucherville",4,102,63,6,21,14,2,212,535
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 161","Boucherville",4,73,41,4,21,9,3,155,324
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 162","Boucherville",2,96,66,10,20,21,6,221,428
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 163","Boucherville",0,65,70,6,20,11,3,175,322
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 164","Boucherville",1,75,63,10,18,11,5,183,333
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 165","Boucherville",1,73,70,9,13,19,5,190,349
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 166","Boucherville",0,103,53,13,16,13,1,199,355
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 167","Boucherville",4,120,72,6,33,11,3,249,418
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 168","Boucherville",0,113,71,13,25,15,0,237,422
