Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lily Eggink,Diane Finley,Bob Forbes,Kim Huffman,Brooke Martin,Adrienne Roberts,Harold Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 29","Haldimand County",3,100,13,51,15,28,4,1,215,513
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 30","Haldimand County",1,73,3,34,8,30,0,1,150,326
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 31","Haldimand County",2,92,4,49,20,24,0,1,192,308
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 32","Haldimand County",1,111,0,36,15,23,2,0,188,342
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 33","Haldimand County",8,124,3,49,14,40,1,0,239,497
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 34","Haldimand County",5,71,0,56,17,52,0,1,202,468
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 35","Haldimand County",10,82,4,60,8,40,3,3,210,476
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 36","Haldimand County",2,111,10,38,16,38,1,4,220,514
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 37","Haldimand County",1,76,9,36,15,51,1,1,190,376
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 38","Haldimand County",2,79,5,35,12,38,0,5,176,367
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 39","Haldimand County",9,102,1,45,22,37,1,0,217,428
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 40","Haldimand County",2,67,5,58,15,39,1,2,189,354
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 41","Haldimand County",10,81,2,55,16,35,0,3,202,389
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 42","Haldimand County",8,92,3,47,16,48,0,3,217,471
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 43","Haldimand County",4,95,11,46,22,31,0,2,211,427
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 44","Haldimand County",2,90,1,33,16,48,0,2,192,423
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 45","Haldimand County",4,81,9,35,12,29,3,0,173,422
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 46","Haldimand County",3,113,5,35,13,38,2,2,211,422
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 47","Norfolk County",0,146,6,55,18,39,4,1,269,502
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 48","Norfolk County",2,157,4,73,27,37,4,1,305,548
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 49","Norfolk County",2,136,9,66,20,31,3,2,269,473
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 50","Haldimand County",6,90,5,42,29,29,2,0,203,439
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 51","Haldimand County",6,100,5,52,14,41,0,0,218,529
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 52","Haldimand County",4,76,3,34,15,39,0,4,175,437
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 53","Haldimand County",3,86,7,56,10,28,1,1,192,422
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 54","Haldimand County",3,58,7,62,20,51,0,0,201,423
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 55","Haldimand County",2,70,0,42,11,45,0,1,171,445
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 56","Haldimand County",1,63,3,39,13,17,6,2,144,319
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 57","Haldimand County",5,89,5,70,17,36,5,1,228,442
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 58","Haldimand County",5,100,5,66,9,50,6,1,242,473
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 59","Haldimand County",1,138,5,38,8,44,6,0,240,518
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 60","Haldimand County",2,85,7,25,14,25,10,0,168,357
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 61","Haldimand County",13,129,3,29,17,31,0,2,224,459
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 62","Haldimand County",11,143,8,39,25,31,0,2,259,516
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 63","Haldimand County",5,117,7,63,20,45,1,1,259,472
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 64","Haldimand County",1,84,3,37,9,36,1,0,171,344
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 65","Haldimand County",3,74,4,51,13,40,3,2,190,341
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 66","Haldimand County",2,106,4,26,14,32,1,0,185,349
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 67","Norfolk County",6,137,8,53,19,33,2,1,259,461
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 68","Norfolk County",5,114,9,47,22,37,5,1,240,460
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 69","Norfolk County",15,171,7,38,17,27,0,1,276,527
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 70","Norfolk County",1,131,5,57,23,31,2,3,253,486
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 71","Norfolk County",0,122,9,54,23,43,3,0,254,492
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 72","Norfolk County",2,84,2,65,20,40,4,1,218,406
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 73","Norfolk County",3,86,2,55,25,47,1,1,220,351
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 74","Haldimand County",4,129,8,48,15,34,0,0,238,409
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 75","Haldimand County",0,98,7,49,18,53,2,0,227,496
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 76","Haldimand County",7,114,3,37,9,35,1,2,208,398
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 77","Haldimand County",3,73,2,30,10,22,0,0,140,300
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 78","Haldimand County",4,78,1,48,10,29,0,1,171,377
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 79","Haldimand County",6,65,4,41,17,23,1,1,158,349
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 80","Norfolk County",3,114,3,56,9,44,6,1,236,424
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 81","Norfolk County",6,76,6,65,21,40,7,1,222,449
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 82","Norfolk County",1,99,3,63,26,52,3,2,249,456
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 83","Norfolk County",6,117,5,56,28,30,4,4,250,476
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 84","Haldimand County",3,105,2,46,16,35,3,0,210,354
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 85","Haldimand County",5,102,7,33,9,37,0,1,194,316
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 86","Haldimand County",6,110,5,33,9,23,3,1,190,395
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 87","Norfolk County",3,105,2,56,14,36,1,2,219,444
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 88","Norfolk County",0,96,5,65,14,34,2,2,218,413
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 89","Haldimand County",6,112,5,38,17,39,1,1,219,398
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 90","Haldimand County",6,111,11,45,12,45,3,0,233,451
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 91","Haldimand County",9,107,6,60,9,38,0,0,229,444
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 92","Haldimand County",4,109,10,33,16,20,4,0,196,346
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 93","Haldimand County",4,86,4,36,17,34,7,2,190,363
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 94","Haldimand County",5,94,4,49,15,23,1,0,191,364
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 95","Haldimand County",4,103,2,42,22,47,0,0,220,409
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 96","Norfolk County",11,152,7,47,13,37,14,1,282,477
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 97","Norfolk County",2,70,3,17,15,21,5,1,134,315
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 98","Norfolk County",6,123,2,50,24,48,0,1,254,449
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 99A","Haldimand County",4,100,8,66,13,42,5,2,240,441
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 99B","Haldimand County",13,46,0,7,0,3,0,1,70,43
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 100","Norfolk County",0,88,1,32,18,21,6,1,167,329
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 101","Norfolk County",3,61,0,40,9,17,1,0,131,248
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 102","Haldimand County",4,113,3,31,14,23,0,1,189,339
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 103","Haldimand County",1,113,3,76,23,54,1,0,271,508
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 104","Norfolk County",7,133,3,49,28,35,4,0,259,523
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 105","Norfolk County",3,97,1,36,11,20,9,3,180,422
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 106","Norfolk County",1,85,2,61,19,35,6,1,210,447
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 107","Norfolk County",6,129,5,53,31,23,10,1,258,470
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 108","Haldimand County",6,126,8,74,14,39,6,1,274,489
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 109","Haldimand County",4,94,8,54,20,35,3,0,218,424
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 110","Haldimand County",1,92,11,52,12,41,4,2,215,406
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 111","Haldimand County",2,83,7,53,10,29,1,2,187,413
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 112","Norfolk County",1,79,3,26,16,19,12,1,157,290
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 113","Norfolk County",0,49,5,21,3,13,4,1,96,237
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 114","Norfolk County",2,74,4,72,23,35,10,1,221,440
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 115","Norfolk County",2,111,6,71,24,34,2,1,251,433
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 116","Norfolk County",2,87,4,66,33,29,7,1,229,481
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 117","Norfolk County",5,125,1,93,24,26,2,1,277,559
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 118","Norfolk County",6,83,0,60,11,28,1,0,189,387
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 119","Norfolk County",0,54,3,49,14,24,8,1,153,402
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 120","Norfolk County",5,76,4,41,23,48,23,5,225,576
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 121","Norfolk County",1,60,2,56,19,28,7,1,174,406
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 122","Norfolk County",2,42,3,25,14,43,10,3,142,434
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 123","Norfolk County",3,88,4,60,22,42,7,1,227,528
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 124A","Norfolk County",0,65,1,57,13,26,4,0,166,349
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 124B","Norfolk County",1,63,2,64,14,27,5,0,176,337
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 125","Norfolk County",1,77,5,46,31,39,8,0,207,514
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 126","Norfolk County",4,83,6,30,12,41,6,1,183,430
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 127","Norfolk County",1,91,4,40,18,29,6,1,190,435
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 128","Norfolk County",1,59,6,36,26,27,9,0,164,421
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 129","Norfolk County",4,139,0,30,19,14,3,0,209,438
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 130","Norfolk County",2,91,0,30,8,29,2,1,163,310
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 131","Norfolk County",1,102,4,41,11,49,4,0,212,420
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 132","Norfolk County",2,105,3,61,23,40,9,0,243,520
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 133","Norfolk County",3,83,9,35,15,28,10,5,188,429
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 134","Norfolk County",2,119,4,59,19,28,11,1,243,531
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 135","Norfolk County",0,89,4,40,19,13,5,2,172,361
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 136","Norfolk County",0,77,3,41,18,46,19,0,204,490
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 137","Norfolk County",1,74,2,38,16,42,14,3,190,488
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 138","Norfolk County",2,39,6,25,10,36,14,0,132,376
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 139","Norfolk County",2,60,1,30,11,28,6,2,140,376
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 140","Norfolk County",1,70,3,45,17,27,2,1,166,381
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 141","Norfolk County",5,43,1,20,10,23,14,5,121,330
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 142","Norfolk County",2,59,2,43,13,31,16,0,166,432
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 143","Norfolk County",2,65,3,43,14,31,7,4,169,413
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 144","Norfolk County",1,61,1,39,19,47,10,2,180,432
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 145","Norfolk County",0,81,4,28,17,31,15,0,176,356
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 146","Norfolk County",0,80,3,34,9,18,2,1,147,339
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 147","Norfolk County",0,101,0,57,9,19,4,2,192,425
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 148","Norfolk County",2,71,1,92,14,25,0,2,207,402
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 149","Norfolk County",3,67,2,65,10,25,1,6,179,402
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 150","Norfolk County",2,70,4,43,14,35,7,1,176,377
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 151","Norfolk County",3,101,6,62,16,29,5,2,224,440
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 152","Norfolk County",3,121,0,75,16,42,3,1,261,529
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 153","Norfolk County",2,91,3,67,25,48,7,1,244,590
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 154","Norfolk County",0,47,3,45,11,24,5,1,136,392
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 155","Norfolk County",0,38,5,51,21,32,6,0,153,487
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 156","Norfolk County",1,72,1,53,22,64,9,2,224,484
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 157","Norfolk County",0,83,7,31,14,21,6,2,164,394
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 158","Norfolk County",0,76,3,73,14,30,8,0,204,482
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 159","Norfolk County",2,64,1,44,9,22,4,0,146,348
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 160","Norfolk County",2,54,4,57,19,48,6,3,193,461
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 161","Norfolk County",1,45,5,56,25,30,10,0,172,376
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 162","Norfolk County",2,37,1,40,12,15,6,2,115,281
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 163","Norfolk County",1,66,1,54,17,34,5,0,178,402
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 164","Norfolk County",1,57,3,48,36,44,5,2,196,408
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 165","Norfolk County",3,85,2,78,22,32,7,1,230,469
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 166","Haldimand County",4,84,5,39,9,28,8,0,177,362
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 167","Norfolk County",6,87,4,50,13,34,6,1,201,447
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 168","Norfolk County",0,78,3,35,11,23,9,5,164,401
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 169","Norfolk County",8,86,2,23,23,32,9,0,183,399
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 170","Norfolk County",1,106,2,31,10,25,1,3,179,343
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 171","Norfolk County",6,130,5,44,22,40,1,4,252,467
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 172","Norfolk County",3,122,1,33,18,23,2,1,203,417
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 173","Norfolk County",4,123,2,41,18,17,2,4,211,424
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 174","Norfolk County",8,131,10,36,7,25,1,4,222,460
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 175","Norfolk County",7,169,4,48,15,36,0,5,284,531
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 176","Norfolk County",0,67,5,35,9,26,2,0,144,324
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 177","Norfolk County",1,83,3,54,15,14,9,1,180,327
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 178","Norfolk County",5,65,2,59,18,34,4,1,188,423
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 179","Norfolk County",1,92,4,75,22,30,1,0,225,440
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 180","Norfolk County",2,51,1,39,21,49,8,0,171,407
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 181","Norfolk County",2,96,10,110,16,22,4,1,261,584
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 182","Norfolk County",0,73,1,64,26,41,13,2,220,533
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 183","Norfolk County",1,90,0,54,24,21,7,1,198,396
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 184","Norfolk County",1,83,7,42,20,30,7,1,191,407
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 185","Norfolk County",1,95,2,49,12,29,27,0,215,434
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 186","Norfolk County",1,93,8,67,35,28,30,0,262,504
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 187","Norfolk County",0,70,6,30,29,24,20,1,180,394
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 188","Norfolk County",0,88,5,29,30,18,17,1,188,412
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 189","Norfolk County",0,64,5,24,24,11,3,3,134,368
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 190","Norfolk County",0,116,3,38,9,24,3,1,194,423
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 191","Norfolk County",3,133,1,33,20,13,3,3,209,449
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 192","Norfolk County",1,100,4,36,17,23,6,6,193,420
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 193","Norfolk County",8,96,3,25,9,28,0,0,169,392
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 194","Norfolk County",0,93,4,29,19,15,1,0,161,536
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 195","Norfolk County",5,118,2,30,3,18,1,0,177,408
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 196","Norfolk County",3,108,9,52,21,35,19,3,250,450
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 197","Norfolk County",1,100,0,52,26,20,7,4,210,419
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 198","Norfolk County",1,124,6,60,18,29,8,0,246,536
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 199","Norfolk County",0,92,0,20,10,16,1,0,139,359
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 200","Norfolk County",2,100,8,24,5,13,3,1,156,438
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 201","Norfolk County",0,80,2,41,18,21,1,1,164,342
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 202","Norfolk County",1,129,9,33,19,27,2,1,221,457
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 203","Norfolk County",4,109,4,23,7,15,2,2,166,315
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 204","Norfolk County",0,69,1,75,18,16,2,2,183,459
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 205","Norfolk County",2,86,1,49,12,16,6,0,172,385
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 206","Norfolk County",2,114,0,48,17,25,8,0,214,420
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 207","Norfolk County",1,133,0,27,16,21,4,3,205,544
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 208","Norfolk County",3,149,9,31,10,9,0,3,214,611
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 400","Haldimand County",2,22,1,11,4,1,0,1,42,138
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 401","Norfolk County",2,32,2,18,2,6,0,2,64,177
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 500","Mobile poll/Bureau itinérant",0,25,2,23,4,6,1,6,67,134
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 501","Mobile poll/Bureau itinérant",2,18,0,19,2,5,0,0,46,72
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 502","Mobile poll/Bureau itinérant",0,19,0,17,5,12,1,6,60,123
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 503A","Mobile poll/Bureau itinérant",10,59,2,23,3,6,1,1,105,200
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 503B","Haldimand County",Merged with No./Fusionné avec le n°99B,,,,,,,,,48
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 504","Mobile poll/Bureau itinérant",2,52,2,54,7,5,0,5,127,204
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 505","Mobile poll/Bureau itinérant",0,46,1,29,1,8,2,2,89,156
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 506","Mobile poll/Bureau itinérant",1,24,2,23,2,4,0,5,61,157
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 600","Haldimand County",4,271,31,209,43,113,0,2,673,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 601","Haldimand County",3,285,18,182,55,94,1,2,640,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 602","Haldimand County",4,256,16,148,35,96,1,1,557,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 603","Haldimand County",3,348,9,149,65,93,3,1,671,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 604","Haldimand County",0,227,10,91,31,59,0,0,418,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 605","Haldimand County",22,279,11,109,41,86,0,1,549,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 606","Haldimand County",10,259,10,149,46,78,0,3,555,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 607","Haldimand County",3,228,11,129,44,64,0,1,480,
