Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Dockrill,Clive Doucet,Billy Joyce,Mike Kelloway,Darlene Lynn LeBlanc,Alfie MacLeod,Laurie Suitor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12001,"Cape Breton--Canso/Cape Breton--Canso"," 22","Cape Breton",3,9,3,86,1,46,55,0,203,438
12001,"Cape Breton--Canso/Cape Breton--Canso"," 23","Cape Breton",3,16,4,48,1,56,38,2,168,400
12001,"Cape Breton--Canso/Cape Breton--Canso"," 24","Cape Breton",6,13,2,54,1,70,51,0,197,405
12001,"Cape Breton--Canso/Cape Breton--Canso"," 25","Cape Breton",5,12,1,40,0,58,37,0,153,351
12001,"Cape Breton--Canso/Cape Breton--Canso"," 26","Cape Breton",7,14,5,114,3,71,36,6,256,555
12001,"Cape Breton--Canso/Cape Breton--Canso"," 27","Cape Breton",4,11,1,71,1,57,33,4,182,358
12001,"Cape Breton--Canso/Cape Breton--Canso"," 28","Cape Breton",3,7,1,67,1,62,27,0,168,419
12001,"Cape Breton--Canso/Cape Breton--Canso"," 29","Cape Breton",3,11,1,59,0,69,34,2,179,341
12001,"Cape Breton--Canso/Cape Breton--Canso"," 30","Cape Breton",4,5,3,58,2,44,40,1,157,338
12001,"Cape Breton--Canso/Cape Breton--Canso"," 31","Cape Breton",10,21,3,187,0,105,49,4,379,753
12001,"Cape Breton--Canso/Cape Breton--Canso"," 32","Cape Breton",8,13,3,114,0,76,56,3,273,573
12001,"Cape Breton--Canso/Cape Breton--Canso"," 33","Cape Breton",6,13,0,69,1,51,42,4,186,428
12001,"Cape Breton--Canso/Cape Breton--Canso"," 34","Port Morien",1,3,4,66,0,54,12,4,144,262
12001,"Cape Breton--Canso/Cape Breton--Canso"," 35","Cape Breton",3,14,3,83,0,76,47,0,226,522
12001,"Cape Breton--Canso/Cape Breton--Canso"," 36","Cape Breton",0,5,3,75,0,64,43,0,190,438
12001,"Cape Breton--Canso/Cape Breton--Canso"," 37","Cape Breton",3,2,0,42,3,38,30,0,118,234
12001,"Cape Breton--Canso/Cape Breton--Canso"," 38","Cape Breton",4,17,1,72,1,82,44,0,221,445
12001,"Cape Breton--Canso/Cape Breton--Canso"," 39","Cape Breton",6,15,4,68,0,59,42,2,196,330
12001,"Cape Breton--Canso/Cape Breton--Canso"," 40","Gardiner Mines",9,14,2,49,2,71,61,1,209,351
12001,"Cape Breton--Canso/Cape Breton--Canso"," 41","Cape Breton",4,6,1,77,0,52,26,3,169,343
12001,"Cape Breton--Canso/Cape Breton--Canso"," 42","Cape Breton",2,6,6,75,0,68,35,4,196,386
12001,"Cape Breton--Canso/Cape Breton--Canso"," 43","Cape Breton",3,7,2,71,0,71,56,3,213,461
12001,"Cape Breton--Canso/Cape Breton--Canso"," 44","Point Cross",0,20,1,46,0,36,10,1,114,217
12001,"Cape Breton--Canso/Cape Breton--Canso"," 45","St. Joseph du Moine",1,16,2,46,0,35,9,6,115,225
12001,"Cape Breton--Canso/Cape Breton--Canso"," 46","Reserve Mines",5,5,4,40,0,67,26,5,152,347
12001,"Cape Breton--Canso/Cape Breton--Canso"," 47","Gardiner Mines",8,6,3,42,2,44,32,2,139,303
12001,"Cape Breton--Canso/Cape Breton--Canso"," 48","Reserve Mines",6,5,3,54,0,59,43,0,170,337
12001,"Cape Breton--Canso/Cape Breton--Canso"," 49","Reserve Mines",3,3,1,50,0,66,38,1,162,334
12001,"Cape Breton--Canso/Cape Breton--Canso"," 50","Port Morien",2,5,2,51,0,66,35,0,161,257
12001,"Cape Breton--Canso/Cape Breton--Canso"," 51","Grand Lake Road",2,6,3,75,2,57,35,3,183,363
12001,"Cape Breton--Canso/Cape Breton--Canso"," 52","Grand Lake Road",7,5,3,109,0,44,37,1,206,381
12001,"Cape Breton--Canso/Cape Breton--Canso"," 53","Sand Lake",4,6,4,42,0,54,28,0,138,273
12001,"Cape Breton--Canso/Cape Breton--Canso"," 54","Birch Grove",1,4,5,53,0,92,34,1,190,310
12001,"Cape Breton--Canso/Cape Breton--Canso"," 55","Main-à-Dieu",1,6,2,55,0,59,13,3,139,231
12001,"Cape Breton--Canso/Cape Breton--Canso"," 56","Mira Road",8,21,1,119,1,83,37,6,276,444
12001,"Cape Breton--Canso/Cape Breton--Canso"," 57","Mira Road",8,8,2,90,0,101,52,2,263,408
12001,"Cape Breton--Canso/Cape Breton--Canso"," 58","Big Intervale",4,21,7,76,0,63,10,0,181,243
12001,"Cape Breton--Canso/Cape Breton--Canso"," 59","Mira Gut",9,10,2,83,1,146,36,5,292,433
12001,"Cape Breton--Canso/Cape Breton--Canso"," 60","Catalone",4,15,0,90,0,122,33,5,269,429
12001,"Cape Breton--Canso/Cape Breton--Canso"," 61","Hillside",8,12,4,69,0,94,34,0,221,414
12001,"Cape Breton--Canso/Cape Breton--Canso"," 62","Sydney River",3,18,3,65,0,94,39,2,224,461
12001,"Cape Breton--Canso/Cape Breton--Canso"," 63","Sydney River",3,9,0,107,0,43,35,0,197,442
12001,"Cape Breton--Canso/Cape Breton--Canso"," 64","Sydney River",5,13,0,97,0,44,39,2,200,404
12001,"Cape Breton--Canso/Cape Breton--Canso"," 65","Sydney River",4,11,0,95,0,73,33,2,218,393
12001,"Cape Breton--Canso/Cape Breton--Canso"," 66","North East Margaree",2,38,3,81,0,107,21,5,257,405
12001,"Cape Breton--Canso/Cape Breton--Canso"," 67","Belle Côte",2,30,0,49,0,34,15,5,135,238
12001,"Cape Breton--Canso/Cape Breton--Canso"," 68","Margaree Harbour",0,24,3,37,0,31,7,0,102,224
12001,"Cape Breton--Canso/Cape Breton--Canso"," 69","Dutch Brook",10,18,1,83,1,134,50,1,298,477
12001,"Cape Breton--Canso/Cape Breton--Canso"," 70","Margaree",4,31,3,48,0,33,12,3,134,130
12001,"Cape Breton--Canso/Cape Breton--Canso"," 71","Sydney River",2,12,1,62,0,58,19,1,155,330
12001,"Cape Breton--Canso/Cape Breton--Canso"," 72","Howie Centre",9,12,2,94,0,70,24,1,212,401
12001,"Cape Breton--Canso/Cape Breton--Canso"," 73","Howie Centre",5,19,1,55,1,69,45,0,195,407
12001,"Cape Breton--Canso/Cape Breton--Canso"," 74","Bateston",7,17,2,81,1,101,32,4,245,418
12001,"Cape Breton--Canso/Cape Breton--Canso"," 75","Louisbourg",1,2,2,24,0,32,13,1,75,155
12001,"Cape Breton--Canso/Cape Breton--Canso"," 76","Louisbourg",1,4,1,61,0,56,31,3,157,260
12001,"Cape Breton--Canso/Cape Breton--Canso"," 77","Louisbourg",1,2,0,56,0,60,14,3,136,322
12001,"Cape Breton--Canso/Cape Breton--Canso"," 78","Sydney Forks",5,8,0,83,0,85,43,4,228,421
12001,"Cape Breton--Canso/Cape Breton--Canso"," 79","Sydney Forks",7,8,3,67,1,87,37,3,213,415
12001,"Cape Breton--Canso/Cape Breton--Canso"," 80","Sydney Forks",3,8,3,46,0,46,20,3,129,337
12001,"Cape Breton--Canso/Cape Breton--Canso"," 81","Sydney Forks",8,8,1,78,0,76,31,0,202,440
12001,"Cape Breton--Canso/Cape Breton--Canso"," 82","Marion Bridge",7,21,3,89,0,151,32,0,303,407
12001,"Cape Breton--Canso/Cape Breton--Canso"," 83","Trout Brook",4,27,3,82,0,123,24,1,264,494
12001,"Cape Breton--Canso/Cape Breton--Canso"," 84","Margaree Forks",0,26,2,53,0,22,5,0,108,124
12001,"Cape Breton--Canso/Cape Breton--Canso"," 85","East Bay",5,8,6,60,0,62,28,1,170,279
12001,"Cape Breton--Canso/Cape Breton--Canso"," 86","Big Pond",2,10,1,55,0,67,16,0,151,234
12001,"Cape Breton--Canso/Cape Breton--Canso"," 87","Dunvegan",1,14,2,62,1,42,12,3,137,244
12001,"Cape Breton--Canso/Cape Breton--Canso"," 88","Scotsville",0,22,4,74,2,57,24,2,185,271
12001,"Cape Breton--Canso/Cape Breton--Canso"," 89","Inverness",3,13,3,54,0,59,29,2,163,251
12001,"Cape Breton--Canso/Cape Breton--Canso"," 90","Inverness",0,15,1,50,0,53,12,10,141,300
12001,"Cape Breton--Canso/Cape Breton--Canso"," 91","Inverness",2,9,0,47,1,45,10,3,117,205
12001,"Cape Breton--Canso/Cape Breton--Canso"," 92","Gabarus",2,10,1,28,1,64,7,2,115,171
12001,"Cape Breton--Canso/Cape Breton--Canso"," 93","Grand Mira South",2,7,1,66,0,54,14,0,144,249
12001,"Cape Breton--Canso/Cape Breton--Canso"," 94","Huntington",2,10,2,36,0,77,15,0,142,254
12001,"Cape Breton--Canso/Cape Breton--Canso"," 95","Big Pond",3,11,0,45,0,45,18,1,123,287
12001,"Cape Breton--Canso/Cape Breton--Canso"," 96","Inverness",1,25,2,88,0,86,27,3,232,386
12001,"Cape Breton--Canso/Cape Breton--Canso"," 97","Strathlorne",5,26,3,74,1,65,21,0,195,377
12001,"Cape Breton--Canso/Cape Breton--Canso"," 98","Whycocomagh",0,11,4,62,2,47,26,2,154,365
12001,"Cape Breton--Canso/Cape Breton--Canso"," 99","Stewartdale",1,21,2,28,0,62,9,0,123,299
12001,"Cape Breton--Canso/Cape Breton--Canso"," 100","Glendyer",3,23,4,71,0,43,17,0,161,236
12001,"Cape Breton--Canso/Cape Breton--Canso"," 101","Mabou",0,29,6,47,1,31,13,4,131,223
12001,"Cape Breton--Canso/Cape Breton--Canso"," 102","Brook Village",2,14,1,46,1,50,14,1,129,194
12001,"Cape Breton--Canso/Cape Breton--Canso"," 103","Whycocomagh Reserve",1,14,2,134,0,7,48,4,210,453
12001,"Cape Breton--Canso/Cape Breton--Canso"," 104","Orangedale",3,16,0,46,0,29,14,6,114,203
12001,"Cape Breton--Canso/Cape Breton--Canso"," 105","Framboise",3,3,0,12,0,29,4,0,51,81
12001,"Cape Breton--Canso/Cape Breton--Canso"," 106","Mabou",2,28,5,82,0,62,14,0,193,290
12001,"Cape Breton--Canso/Cape Breton--Canso"," 107","Johnstown",1,9,5,40,1,40,4,1,101,189
12001,"Cape Breton--Canso/Cape Breton--Canso"," 108","Valley Mills",3,9,4,26,0,23,8,0,73,127
12001,"Cape Breton--Canso/Cape Breton--Canso"," 109","Blues Mills",2,11,3,51,0,60,16,0,143,224
12001,"Cape Breton--Canso/Cape Breton--Canso"," 110","Port Hood",1,24,2,56,1,73,17,4,178,357
12001,"Cape Breton--Canso/Cape Breton--Canso"," 111","Port Hood",3,17,4,80,0,79,19,4,206,430
12001,"Cape Breton--Canso/Cape Breton--Canso"," 112","Glencoe Station",4,36,1,87,2,67,20,1,218,383
12001,"Cape Breton--Canso/Cape Breton--Canso"," 113","Sampsonville",1,13,8,55,0,82,20,5,184,264
12001,"Cape Breton--Canso/Cape Breton--Canso"," 114","Sampsonville",1,8,11,58,1,63,19,2,163,247
12001,"Cape Breton--Canso/Cape Breton--Canso"," 115","Chapel Island 5",3,14,0,69,0,20,71,0,177,414
12001,"Cape Breton--Canso/Cape Breton--Canso"," 116","Grand River",1,4,0,12,0,43,5,5,70,158
12001,"Cape Breton--Canso/Cape Breton--Canso"," 117","Judique",2,21,2,98,0,72,20,4,219,300
12001,"Cape Breton--Canso/Cape Breton--Canso"," 118","St. Georges Channel",3,19,3,68,0,87,25,4,209,359
12001,"Cape Breton--Canso/Cape Breton--Canso"," 119","Glendale",1,14,6,17,1,42,9,0,90,136
12001,"Cape Breton--Canso/Cape Breton--Canso"," 120","St. Peter's",2,15,1,111,0,81,36,4,250,348
12001,"Cape Breton--Canso/Cape Breton--Canso"," 121","West Bay Road",4,25,4,79,0,69,27,0,208,312
12001,"Cape Breton--Canso/Cape Breton--Canso"," 122","L'Ardoise",3,8,8,59,1,59,19,2,159,329
12001,"Cape Breton--Canso/Cape Breton--Canso"," 123","L'Ardoise",0,11,2,44,0,41,7,2,107,201
12001,"Cape Breton--Canso/Cape Breton--Canso"," 124","Rockdale",0,7,6,75,0,73,22,1,184,357
12001,"Cape Breton--Canso/Cape Breton--Canso"," 125","River Bourgeois",2,13,7,76,0,76,27,2,203,315
12001,"Cape Breton--Canso/Cape Breton--Canso"," 126","River Bourgeois",1,16,8,61,0,79,21,0,186,283
12001,"Cape Breton--Canso/Cape Breton--Canso"," 127","Creignish",3,28,3,102,0,89,22,3,250,367
12001,"Cape Breton--Canso/Cape Breton--Canso"," 128","D'Escousse",3,9,9,53,0,31,12,1,118,196
12001,"Cape Breton--Canso/Cape Breton--Canso"," 129","Louisdale",2,12,9,112,2,95,25,6,263,414
12001,"Cape Breton--Canso/Cape Breton--Canso"," 130","Louisdale",2,7,3,101,1,59,29,4,206,371
12001,"Cape Breton--Canso/Cape Breton--Canso"," 131","D'Escousse",1,35,19,103,0,64,41,1,264,445
12001,"Cape Breton--Canso/Cape Breton--Canso"," 132","Port Hastings",1,10,4,68,0,57,25,4,169,300
12001,"Cape Breton--Canso/Cape Breton--Canso"," 133","Port Hastings",1,9,4,64,1,59,25,1,164,297
12001,"Cape Breton--Canso/Cape Breton--Canso"," 134","Port Hastings",2,16,2,57,2,49,23,4,155,274
12001,"Cape Breton--Canso/Cape Breton--Canso"," 135","Sampsons Cove",3,5,39,34,1,32,25,0,139,205
12001,"Cape Breton--Canso/Cape Breton--Canso"," 136","Petit-de-Grat",2,6,43,85,2,27,16,3,184,337
12001,"Cape Breton--Canso/Cape Breton--Canso"," 137","Petit-de-Grat",1,6,28,72,1,35,24,3,170,252
12001,"Cape Breton--Canso/Cape Breton--Canso"," 138","Havre Boucher",2,7,9,84,3,40,21,2,168,353
12001,"Cape Breton--Canso/Cape Breton--Canso"," 139","Cape Jack",1,12,2,51,0,39,17,0,122,197
12001,"Cape Breton--Canso/Cape Breton--Canso"," 140","Havre Boucher",0,12,2,31,1,52,15,0,113,243
12001,"Cape Breton--Canso/Cape Breton--Canso"," 141","Havre Boucher",1,14,4,58,0,59,14,1,151,326
12001,"Cape Breton--Canso/Cape Breton--Canso"," 142","Cleveland",2,14,7,97,0,52,52,6,230,398
12001,"Cape Breton--Canso/Cape Breton--Canso"," 143","Cleveland",3,12,4,62,0,45,45,0,171,273
12001,"Cape Breton--Canso/Cape Breton--Canso"," 144","Arichat",3,21,23,68,2,47,23,3,190,347
12001,"Cape Breton--Canso/Cape Breton--Canso"," 145","Port Hawkesbury",2,11,5,72,0,69,34,2,195,404
12001,"Cape Breton--Canso/Cape Breton--Canso"," 146","Port Hawkesbury",3,20,2,90,0,56,40,3,214,428
12001,"Cape Breton--Canso/Cape Breton--Canso"," 147","Port Hawkesbury",0,12,7,67,3,56,35,5,185,405
12001,"Cape Breton--Canso/Cape Breton--Canso"," 148","Port Hawkesbury",2,8,10,40,1,48,35,4,148,365
12001,"Cape Breton--Canso/Cape Breton--Canso"," 149","Port Hawkesbury",0,7,2,54,0,36,31,2,132,331
12001,"Cape Breton--Canso/Cape Breton--Canso"," 150","Janvrin Harbour",2,8,9,54,2,43,20,6,144,291
12001,"Cape Breton--Canso/Cape Breton--Canso"," 151","Port Hawkesbury",6,13,4,12,0,27,23,3,88,274
12001,"Cape Breton--Canso/Cape Breton--Canso"," 152","Port Hawkesbury",2,10,1,53,0,32,41,4,143,330
12001,"Cape Breton--Canso/Cape Breton--Canso"," 153","West Arichat",1,1,16,49,1,45,17,4,134,190
12001,"Cape Breton--Canso/Cape Breton--Canso"," 154","Arichat",2,11,33,124,2,40,30,18,260,419
12001,"Cape Breton--Canso/Cape Breton--Canso"," 155","Pomquet",1,6,3,49,1,36,17,7,120,226
12001,"Cape Breton--Canso/Cape Breton--Canso"," 156","Pomquet",1,9,0,64,0,58,12,1,145,277
12001,"Cape Breton--Canso/Cape Breton--Canso"," 157","Mulgrave",0,10,3,49,1,42,28,3,136,268
12001,"Cape Breton--Canso/Cape Breton--Canso"," 158","Mulgrave",2,23,6,55,1,50,41,4,182,377
12001,"Cape Breton--Canso/Cape Breton--Canso"," 159","Tracadie",4,8,4,51,0,71,21,0,159,334
12001,"Cape Breton--Canso/Cape Breton--Canso"," 160","Monastery",7,16,9,64,0,87,13,3,199,364
12001,"Cape Breton--Canso/Cape Breton--Canso"," 161","Hadleyville",0,6,3,21,0,23,13,3,69,120
12001,"Cape Breton--Canso/Cape Breton--Canso"," 162","Tracadie",2,12,6,61,1,87,27,1,197,325
12001,"Cape Breton--Canso/Cape Breton--Canso"," 163","Hazel Hill",1,9,6,41,0,38,15,2,112,206
12001,"Cape Breton--Canso/Cape Breton--Canso"," 164","Canso",2,4,2,51,2,46,26,0,133,262
12001,"Cape Breton--Canso/Cape Breton--Canso"," 165","Canso",0,2,2,35,1,24,22,2,88,202
12001,"Cape Breton--Canso/Cape Breton--Canso"," 166","Canso",0,4,1,21,0,24,12,0,62,148
12001,"Cape Breton--Canso/Cape Breton--Canso"," 167","Tracadie",0,8,1,40,0,4,59,0,112,243
12001,"Cape Breton--Canso/Cape Breton--Canso"," 168","Bayfield",3,10,3,41,1,60,19,0,137,288
12001,"Cape Breton--Canso/Cape Breton--Canso"," 169","Pomquet",3,15,4,88,1,51,39,2,203,377
12001,"Cape Breton--Canso/Cape Breton--Canso"," 170","Antigonish, Subd. B",1,4,3,49,0,55,35,2,149,385
12001,"Cape Breton--Canso/Cape Breton--Canso"," 171","St. Francis Harbour",0,10,3,39,1,35,9,0,97,159
12001,"Cape Breton--Canso/Cape Breton--Canso"," 172","Heatherton",3,10,6,94,0,106,27,1,247,375
12001,"Cape Breton--Canso/Cape Breton--Canso"," 173","Port Felix",2,3,5,97,0,43,21,0,171,258
12001,"Cape Breton--Canso/Cape Breton--Canso"," 174","Halfway Cove",2,9,2,52,1,58,21,0,145,272
12001,"Cape Breton--Canso/Cape Breton--Canso"," 175","Boylston",2,7,8,56,0,53,16,6,148,266
12001,"Cape Breton--Canso/Cape Breton--Canso"," 176","Boylston",1,0,1,47,3,58,7,1,118,252
12001,"Cape Breton--Canso/Cape Breton--Canso"," 177","St. Andrews",4,15,4,108,1,67,36,2,237,427
12001,"Cape Breton--Canso/Cape Breton--Canso"," 178","St. Andrews",2,23,3,110,0,112,45,0,295,455
12001,"Cape Breton--Canso/Cape Breton--Canso"," 179","St. Andrews",3,11,3,39,0,32,12,0,100,198
12001,"Cape Breton--Canso/Cape Breton--Canso"," 180","Port Felix",1,4,4,46,1,35,14,6,111,195
12001,"Cape Breton--Canso/Cape Breton--Canso"," 181","Guysborough",1,11,1,63,1,40,18,4,139,324
12001,"Cape Breton--Canso/Cape Breton--Canso"," 182","Guysborough",0,9,3,57,0,18,12,6,105,244
12001,"Cape Breton--Canso/Cape Breton--Canso"," 183","Charlos Cove",2,5,2,59,2,25,14,3,112,196
12001,"Cape Breton--Canso/Cape Breton--Canso"," 184","Tor Bay",2,8,7,38,0,39,12,0,106,203
12001,"Cape Breton--Canso/Cape Breton--Canso"," 185","Erinville",1,11,1,24,0,36,10,0,83,119
12001,"Cape Breton--Canso/Cape Breton--Canso"," 186","Goldboro",1,14,4,11,0,30,17,2,79,123
12001,"Cape Breton--Canso/Cape Breton--Canso"," 187","Country Harbour Lake",1,12,1,110,0,98,24,1,247,410
12001,"Cape Breton--Canso/Cape Breton--Canso"," 500","Mobile poll/Bureau itinérant",0,4,1,44,1,28,1,3,82,103
12001,"Cape Breton--Canso/Cape Breton--Canso"," 501","Mobile poll/Bureau itinérant",0,2,0,20,2,14,10,5,53,57
12001,"Cape Breton--Canso/Cape Breton--Canso"," 502","Mobile poll/Bureau itinérant",1,0,3,21,2,13,1,5,46,59
12001,"Cape Breton--Canso/Cape Breton--Canso"," 503","Mobile poll/Bureau itinérant",1,4,0,13,1,11,2,3,35,70
12001,"Cape Breton--Canso/Cape Breton--Canso"," 600","Chéticamp",1,114,3,266,2,90,49,1,526,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 601","Inverness",5,43,1,142,1,88,37,6,323,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 602","Inverness",5,54,5,136,0,118,31,9,358,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 603","Port Hawkesbury",1,37,1,81,2,82,25,6,235,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 604","Port Hawkesbury",14,57,21,309,4,253,129,14,801,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 605","Tracadie",5,57,11,154,1,150,43,0,421,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 606","Pomquet",5,17,9,143,1,119,37,8,339,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 607","Saint Andrews",2,11,4,73,1,95,23,0,209,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 608","Guysborough",1,18,3,126,2,91,23,0,264,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 609","Canso",5,17,7,68,2,60,28,3,190,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 610","Mulgrave",1,17,1,60,1,52,26,5,163,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 611","Arichat",4,42,29,198,0,112,38,8,431,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 612","Arichat",5,35,6,124,1,119,28,2,320,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 613","Rockdale",7,10,5,128,1,104,35,1,291,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 614","Cape Breton",8,23,3,95,0,81,25,2,237,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 615","Cape Breton",8,22,0,133,2,226,36,5,432,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 616","Cape Breton",25,49,9,254,2,266,74,0,679,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 617","Cape Breton",9,35,4,343,0,258,76,6,731,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 618","Cape Breton",2,11,1,93,0,95,14,7,223,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 619","Cape Breton",2,19,6,164,1,155,70,1,418,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 620","Cape Breton",2,43,5,279,2,194,111,2,638,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 621","Cape Breton",5,18,3,204,1,174,74,7,486,
12001,"Cape Breton--Canso/Cape Breton--Canso"," 622","Cape Breton",11,39,5,210,2,237,149,3,656,
12001,"Cape Breton--Canso/Cape Breton--Canso",,Group 1/Groupe 1, 2,7,4,41,0,25,8,4,91,95
12001,"Cape Breton--Canso/Cape Breton--Canso",,Group 2/Groupe 2, 17,115,30,597,2,540,139,44,1484,
