Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen Crozier,Kerry-Lynne Findlay,Beverly Pixie Hobby,Gordie Hogg,Joel Poulin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 64","Surrey",21,92,19,57,3,1,193,502
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 65","Surrey",22,95,13,64,3,0,197,565
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 66","Surrey",14,68,9,46,2,1,140,410
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 67","Surrey",21,56,13,68,1,1,160,478
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 68","Surrey",16,73,13,69,2,2,175,530
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 69","Surrey",32,72,13,102,1,0,220,495
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 70","Surrey",58,86,11,84,1,2,242,643
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 71","Surrey",26,47,2,74,0,0,149,461
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 72","Surrey",17,135,10,65,1,1,229,600
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 73","Surrey",47,78,15,92,7,1,240,538
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 74","Surrey",25,131,10,88,3,1,258,627
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 75","Surrey",34,106,11,80,6,3,240,629
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 76","Surrey",26,79,15,45,5,2,172,401
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 77","Surrey",22,91,31,62,3,0,209,472
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 78","Surrey",33,68,13,100,4,1,219,548
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 79","Surrey",23,67,6,77,0,0,173,527
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 80","Surrey",19,47,12,34,5,5,122,405
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 81","Surrey",30,59,16,47,8,1,161,426
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 82","Surrey",26,50,19,76,6,1,178,395
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 83","Surrey",46,94,12,76,5,1,234,516
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 84","Surrey",49,69,14,81,9,4,226,478
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 85","Surrey",29,81,15,80,1,4,210,531
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 86","Surrey",37,75,20,93,1,1,227,492
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 87","Surrey",16,56,13,53,0,2,140,365
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 88","Surrey",23,83,18,69,1,0,194,394
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 89","Surrey",42,96,17,120,5,0,280,697
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 90","Surrey",19,110,5,103,7,0,244,643
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 91","Surrey",34,70,20,92,4,0,220,543
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 92","Surrey",18,68,9,60,0,1,156,405
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 93A","Surrey",31,76,14,90,0,1,212,452
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 93B","Surrey",30,92,9,76,3,1,211,502
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 94","Surrey",40,96,11,78,2,0,227,511
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 95","Surrey",28,98,16,89,8,2,241,461
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 96","Surrey",46,116,11,105,3,4,285,580
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 97","Surrey",13,92,2,39,1,0,147,366
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 98","Surrey",30,165,7,93,3,0,298,727
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 99","Surrey",32,97,18,65,5,0,217,438
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 100","Surrey",25,74,14,59,4,0,176,402
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 101","Surrey",29,127,28,95,2,0,281,530
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 102","Surrey",22,99,11,74,0,0,206,436
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 103","Surrey",28,81,18,61,5,0,193,395
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 104","White Rock",45,108,25,85,10,0,273,494
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 105","Surrey",12,103,9,62,1,0,187,434
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 106","White Rock",18,68,34,77,3,1,201,455
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 107","Surrey",31,67,27,72,4,4,205,420
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 108","Surrey",39,107,20,103,4,4,277,567
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 109","Surrey",38,81,19,81,7,0,226,419
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 110","Surrey",60,82,28,78,5,0,253,571
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 111","Surrey",18,70,15,66,6,1,176,452
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 112","Surrey",18,70,23,78,0,2,191,390
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 113","Surrey",27,79,17,69,4,0,196,375
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 114","Surrey",34,70,17,75,7,1,204,404
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 115","White Rock",23,78,12,76,9,0,198,419
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 116","Surrey",5,50,5,45,2,1,108,373
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 117","White Rock",43,83,22,89,6,0,243,636
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 118","White Rock",38,44,15,76,4,1,178,532
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 119A","Surrey",22,51,6,40,3,2,124,397
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 119B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,56
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 120","White Rock",25,33,9,55,2,1,125,482
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 121","White Rock",9,75,12,70,3,0,169,501
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 122","White Rock",27,41,12,50,3,1,134,380
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 123","White Rock",39,62,31,70,8,1,211,505
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 124","White Rock",28,63,16,50,5,0,162,396
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 125","Surrey",23,57,23,87,5,0,195,531
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 126","White Rock",30,37,30,45,7,0,149,411
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 127","White Rock",19,52,19,68,2,0,160,458
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 128","White Rock",21,31,16,67,3,0,138,361
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 129","White Rock",33,61,22,89,2,1,208,465
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 130","Surrey",41,78,25,74,4,1,223,534
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 131","Surrey",47,56,41,102,3,0,249,524
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 132","White Rock",44,78,19,79,3,2,225,479
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 133","White Rock",25,71,11,70,4,0,181,435
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 134","Surrey",35,97,19,94,4,1,250,550
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 135","White Rock",32,60,27,73,6,0,198,410
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 136","White Rock",34,86,12,78,2,0,212,432
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 137","Surrey",19,72,7,67,5,0,170,382
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 138","Surrey",27,46,14,51,6,0,144,394
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 139","White Rock",21,74,8,56,4,2,165,440
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 140","White Rock",16,34,13,57,1,2,123,388
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 141","White Rock",23,56,9,62,4,0,154,430
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 142","White Rock",17,75,23,50,2,1,168,403
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 143","White Rock",24,64,21,88,2,0,199,430
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 144","White Rock",22,59,23,87,3,1,195,399
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 145","White Rock",23,78,30,82,4,1,218,443
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 146","White Rock",13,63,13,84,3,1,177,400
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 147","White Rock",24,69,12,81,2,0,188,417
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 148","White Rock",23,56,22,61,1,0,163,378
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 149","White Rock",27,39,21,68,1,1,157,345
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 150","White Rock",19,48,13,81,2,0,163,503
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 151","White Rock",17,65,11,84,2,2,181,399
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 152","White Rock",17,52,14,90,4,0,177,387
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 153","White Rock",16,58,18,75,4,0,171,403
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 154","White Rock",16,55,10,49,2,1,133,395
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 155","White Rock",13,57,13,52,1,0,136,350
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 156","White Rock",12,76,19,61,1,0,169,425
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 157","White Rock",19,53,19,59,0,1,151,388
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 158","Surrey",32,87,38,108,2,1,268,460
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 159","Surrey",37,103,18,110,3,2,273,480
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 160","Surrey",29,98,19,88,0,1,235,427
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 161","Surrey",26,96,26,86,4,0,238,491
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 162","Surrey",15,80,25,79,1,2,202,417
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 163A","Surrey",25,62,6,69,1,0,163,407
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 163B","Surrey",27,69,14,50,1,0,161,389
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 164","Surrey",21,104,10,51,4,0,190,421
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 165","Surrey",33,100,16,97,8,0,254,550
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 166","Surrey",33,68,21,88,8,0,218,578
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 167","Surrey",18,71,21,52,2,0,164,370
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 168","Surrey",23,69,14,52,4,1,163,488
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 169","Surrey",6,11,2,14,0,0,33,78
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 170","Surrey",26,56,6,45,1,0,134,310
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 171","Surrey",33,104,21,92,3,1,254,532
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 172","Surrey",45,118,17,117,7,0,304,696
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 173","Surrey",28,121,22,109,3,1,284,640
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 174","Surrey",25,104,17,66,0,1,213,520
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 175","Surrey",16,85,11,43,3,0,158,370
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 500A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,51
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 500B","Mobile poll/Bureau itinérant",13,23,3,38,0,6,83,104
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 500C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509A,,,,,,,1
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 501A","Mobile poll/Bureau itinérant",5,14,6,43,0,5,73,87
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 501B","Mobile poll/Bureau itinérant",16,48,5,41,3,6,119,76
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 502","Mobile poll/Bureau itinérant",13,45,7,38,0,3,106,143
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 503","Mobile poll/Bureau itinérant",11,35,5,46,1,4,102,97
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 504","Mobile poll/Bureau itinérant",7,32,6,40,0,5,90,154
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 505","Mobile poll/Bureau itinérant",11,47,5,54,4,5,126,155
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 506A","Mobile poll/Bureau itinérant",9,29,5,20,1,2,66,114
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 506B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506A,,,,,,,14
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 506C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507A,,,,,,,102
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 507A","Mobile poll/Bureau itinérant",13,48,10,53,2,1,127,68
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 507B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,42
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 508","Mobile poll/Bureau itinérant",7,45,10,38,1,2,103,139
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 509A","Mobile poll/Bureau itinérant",8,44,10,58,0,7,127,205
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 509B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510A,,,,,,,16
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 510A","Mobile poll/Bureau itinérant",17,39,10,59,7,2,134,173
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 510B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,31
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 600","Surrey",55,378,53,243,10,2,741,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 601","Surrey",117,491,74,487,23,11,1203,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 602","Surrey",118,604,51,376,16,4,1169,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 603","Surrey",108,539,48,310,12,4,1021,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 604","Surrey",96,595,90,451,13,6,1251,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 605","Surrey",116,440,60,385,11,6,1018,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 606","Surrey",114,716,84,494,16,14,1438,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 607","Surrey",61,493,70,348,7,4,983,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 608","White Rock",61,531,75,402,15,4,1088,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 609","White Rock",67,484,73,360,11,3,998,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 610","White Rock",96,522,95,421,16,3,1153,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 611","White Rock",146,550,134,595,31,6,1462,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 612","Surrey",125,457,85,446,21,5,1139,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 613","White Rock",135,465,115,509,12,11,1247,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 614","Surrey",117,326,99,388,13,3,946,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 615","Surrey",85,380,77,347,18,5,912,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 616","Surrey",100,563,95,467,21,4,1250,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock",,Group 1/Groupe 1, 13,45,14,99,3,4,178,258
59030,"South Surrey--White Rock/Surrey-Sud--White Rock",,Group 2/Groupe 2, 192,701,165,612,16,34,1720,
