Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Travis Ashley,John Barr,Stephen Fuhr,Tracy Gray,Daniel Joseph,Justin Kulik,Silverado Socrates,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 127","Kelowna",18,1,34,72,0,34,0,1,160,420
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 128","Kelowna",14,1,65,62,1,20,0,0,163,368
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 129","Kelowna",13,8,45,90,1,39,0,1,197,470
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 130","Kelowna",25,7,62,93,0,37,0,0,224,545
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 131","Kelowna",14,2,74,98,3,35,0,0,226,507
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 132","Kelowna",17,3,44,79,1,38,0,1,183,454
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 133","Kelowna",20,12,46,73,0,36,0,1,188,473
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 134","Kelowna",15,11,43,55,0,22,0,1,147,431
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 135","Kelowna",11,5,60,89,2,35,0,2,204,457
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 136","Kelowna",23,7,64,81,0,58,1,1,235,517
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 137","Kelowna",9,5,46,70,3,33,0,1,167,450
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 138","Kelowna",12,2,59,88,0,32,0,1,194,450
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 139","Kelowna",12,11,66,64,0,17,0,0,170,411
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 140","Kelowna",7,1,69,87,2,43,0,3,212,492
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 141","Kelowna",23,5,41,70,1,39,0,0,179,389
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 142","Kelowna",11,5,74,118,0,26,1,0,235,523
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 143","Kelowna",23,6,58,74,1,32,0,1,195,464
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 144","Kelowna",27,4,63,64,3,35,0,0,196,463
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 145","Kelowna",14,3,58,72,0,37,0,2,186,509
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 146","Kelowna",19,2,63,81,1,53,0,0,219,481
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 147","Kelowna",9,10,61,93,2,42,1,0,218,450
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 148","Kelowna",13,2,47,74,0,23,0,1,160,395
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 149","Kelowna",21,1,66,108,1,33,0,0,230,554
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 150","Kelowna",17,2,71,109,0,20,0,0,219,455
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 151","Kelowna",7,2,57,96,0,27,1,0,190,423
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 152","Kelowna",9,3,75,97,0,21,1,0,206,481
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 153","Kelowna",21,3,137,140,2,27,0,3,333,556
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 154","Kelowna",21,4,126,118,0,39,0,0,308,510
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 155","Kelowna",14,3,56,120,0,21,0,0,214,441
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 156","Kelowna",30,4,87,101,0,35,0,3,260,485
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 157","Kelowna",24,4,91,127,0,26,0,0,272,475
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 158","Kelowna",25,4,79,107,0,23,0,0,238,547
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 159","Kelowna",16,3,116,106,0,28,0,2,271,616
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 160","Kelowna",14,9,74,66,0,14,0,0,177,413
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 161","Kelowna",20,3,101,122,0,19,0,1,266,595
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 162","Kelowna",14,2,78,105,0,24,0,0,223,478
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 163","Kelowna",10,4,60,68,0,25,0,0,167,410
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 164","Kelowna",13,0,102,81,0,22,0,0,218,421
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 165","Kelowna",20,3,104,106,0,22,0,0,255,584
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 166","Kelowna",22,10,93,133,0,18,0,1,277,526
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 167","Kelowna",14,5,92,163,1,39,0,0,314,682
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 168","Kelowna",15,3,107,143,0,24,0,0,292,584
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 169","Kelowna",33,6,86,122,1,41,2,0,291,593
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 170","Kelowna",30,2,99,98,0,22,0,3,254,485
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 171","Kelowna",34,1,122,131,0,24,1,1,314,609
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 172","Kelowna",24,2,98,93,0,18,0,0,235,449
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 173","Kelowna",9,3,43,81,0,4,0,0,140,343
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 174","Kelowna",16,4,79,154,0,30,0,1,284,562
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 175","Kelowna",17,0,84,109,0,23,0,1,234,483
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 176","Kelowna",10,8,100,110,0,32,0,0,260,553
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 177","Kelowna",12,4,93,129,0,18,0,0,256,542
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 178","Kelowna",27,7,100,121,0,44,0,1,300,564
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 179","Kelowna",18,4,82,120,0,37,1,0,262,519
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 180","Kelowna",14,8,62,131,0,49,0,0,264,505
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 181","Kelowna",11,3,50,94,0,28,0,0,186,426
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 182","Kelowna",15,3,51,129,0,33,0,1,232,471
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 183","Joe Rich",21,5,55,103,0,36,1,0,221,464
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 184","Joe Rich",26,5,67,140,0,23,0,0,261,532
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 185","Kelowna",10,2,78,129,0,12,0,3,234,485
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 186","Kelowna",14,2,80,91,0,22,0,0,209,406
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 187","Kelowna",18,2,92,117,0,14,0,0,243,461
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 188","Kelowna",21,2,98,96,0,30,0,0,247,514
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 189","Kelowna",17,1,117,142,0,14,0,2,293,637
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 190","Kelowna",24,0,97,93,1,26,0,0,241,449
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 191","Kelowna",17,3,58,111,0,23,0,0,212,500
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 192","Kelowna",12,2,101,145,0,33,0,0,293,585
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 193","Central Okanagan",12,0,52,98,0,17,0,0,179,372
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 194","Kelowna",18,0,64,97,0,19,0,0,198,361
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 195","Kelowna",23,3,68,109,0,44,0,0,247,553
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 196","Kelowna",20,0,116,199,0,17,0,0,352,544
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 197","Kelowna",8,4,142,155,0,6,0,1,316,470
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 198","Kelowna",19,3,78,177,1,18,0,2,298,484
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 199","Central Okanagan",Merged with No./Fusionné avec le n°198,,,,,,,,,5
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 400","Kelowna",11,0,68,65,1,7,0,1,153,187
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 401","Kelowna",12,2,50,44,0,8,0,8,124,165
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 500","Mobile poll/Bureau itinérant",3,1,20,18,1,7,1,0,51,72
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 501","Mobile poll/Bureau itinérant",4,2,27,37,2,10,2,3,87,123
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 502","Mobile poll/Bureau itinérant",5,1,17,17,0,2,0,5,47,57
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 503","Mobile poll/Bureau itinérant",6,6,35,34,2,14,0,1,98,169
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 504","Mobile poll/Bureau itinérant",9,1,47,41,1,16,0,7,122,177
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 505","Mobile poll/Bureau itinérant",6,1,39,45,1,13,1,9,115,195
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 506","Mobile poll/Bureau itinérant",3,1,29,45,0,8,0,1,87,130
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 507","Mobile poll/Bureau itinérant",7,1,46,41,0,8,0,6,109,148
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 600","Lake Country--Duck Lake",104,19,425,796,4,81,1,9,1439,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 601","Lake Country--Duck Lake",61,18,164,308,2,54,0,0,607,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 602","Lake Country--Duck Lake",93,22,397,650,5,108,4,8,1287,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 603","Kelowna",26,7,204,425,0,43,1,3,709,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 604","Kelowna",35,5,164,274,1,40,0,0,519,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 605","Kelowna",51,14,258,391,0,39,0,1,754,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 606","Kelowna",25,10,233,278,1,62,1,1,611,
