Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Hua,Gordon Kubanek,Alain Musende,Pierre Poilievre,Chris Rodgers,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35088,"Carleton/Carleton"," 74","Osgoode",18,17,5,116,82,2,240,475
35088,"Carleton/Carleton"," 75","Osgoode",13,8,1,105,82,0,209,416
35088,"Carleton/Carleton"," 76","Osgoode",17,12,4,150,94,1,278,553
35088,"Carleton/Carleton"," 77","Goulbourn",22,1,3,60,89,2,177,415
35088,"Carleton/Carleton"," 78","Goulbourn",36,12,3,72,96,0,219,469
35088,"Carleton/Carleton"," 79","Goulbourn",30,4,5,94,86,2,221,515
35088,"Carleton/Carleton"," 80","Goulbourn",23,15,1,101,83,0,223,457
35088,"Carleton/Carleton"," 81","Goulbourn",23,18,6,83,66,0,196,435
35088,"Carleton/Carleton"," 82","Goulbourn",13,3,2,70,82,3,173,431
35088,"Carleton/Carleton"," 83A","Goulbourn",33,9,3,58,124,6,233,387
35088,"Carleton/Carleton"," 83B","Goulbourn",24,7,5,67,132,5,240,412
35088,"Carleton/Carleton"," 84A","Goulbourn",21,5,0,89,111,1,227,419
35088,"Carleton/Carleton"," 84B","Goulbourn",24,11,0,85,122,2,244,442
35088,"Carleton/Carleton"," 85A","Goulbourn",Merged with No./Fusionné avec le n°83A,,,,,,,66
35088,"Carleton/Carleton"," 85B","Goulbourn",Merged with No./Fusionné avec le n°83B,,,,,,,59
35088,"Carleton/Carleton"," 86A","Goulbourn",Merged with No./Fusionné avec le n°84A,,,,,,,74
35088,"Carleton/Carleton"," 86B","Goulbourn",Merged with No./Fusionné avec le n°84B,,,,,,,69
35088,"Carleton/Carleton"," 87A","Goulbourn",16,6,2,94,104,1,223,534
35088,"Carleton/Carleton"," 87B","Goulbourn",18,10,2,74,104,2,210,524
35088,"Carleton/Carleton"," 88","Goulbourn",26,16,3,79,116,2,242,528
35088,"Carleton/Carleton"," 89","Goulbourn",Merged with No./Fusionné avec le n°123,,,,,,,82
35088,"Carleton/Carleton"," 90","Rideau",15,19,1,89,92,0,216,390
35088,"Carleton/Carleton"," 91","Rideau",19,13,2,98,89,0,221,433
35088,"Carleton/Carleton"," 92","Rideau",21,13,8,69,133,0,244,440
35088,"Carleton/Carleton"," 93","Rideau",16,13,3,91,84,0,207,427
35088,"Carleton/Carleton"," 94","West Carleton",40,22,6,97,117,3,285,586
35088,"Carleton/Carleton"," 95","Goulbourn",30,12,4,72,113,3,234,514
35088,"Carleton/Carleton"," 96A","Goulbourn",36,5,1,51,129,3,225,479
35088,"Carleton/Carleton"," 96B","Goulbourn",29,7,4,84,126,1,251,526
35088,"Carleton/Carleton"," 97","Goulbourn",39,11,2,141,90,2,285,519
35088,"Carleton/Carleton"," 98","Goulbourn",30,11,1,91,94,0,227,458
35088,"Carleton/Carleton"," 99","Goulbourn",24,10,4,80,80,0,198,354
35088,"Carleton/Carleton"," 100","Goulbourn",28,22,6,108,112,5,281,539
35088,"Carleton/Carleton"," 101A","Goulbourn",23,10,5,106,105,1,250,442
35088,"Carleton/Carleton"," 101B","Goulbourn",40,15,4,108,116,2,285,507
35088,"Carleton/Carleton"," 102","Goulbourn",19,8,4,66,65,0,162,347
35088,"Carleton/Carleton"," 103","Goulbourn",31,11,4,70,85,0,201,393
35088,"Carleton/Carleton"," 104","Goulbourn",39,16,6,88,84,1,234,494
35088,"Carleton/Carleton"," 105","Goulbourn",16,7,2,68,58,0,151,364
35088,"Carleton/Carleton"," 106","Goulbourn",11,12,1,77,68,0,169,439
35088,"Carleton/Carleton"," 107","Goulbourn",12,26,1,105,99,1,244,465
35088,"Carleton/Carleton"," 108","Goulbourn",13,12,1,83,96,2,207,439
35088,"Carleton/Carleton"," 109","Goulbourn",24,19,3,123,122,0,291,551
35088,"Carleton/Carleton"," 110","West Carleton",29,10,3,73,99,0,214,477
35088,"Carleton/Carleton"," 111","West Carleton",Merged with No./Fusionné avec le n°115,,,,,,,95
35088,"Carleton/Carleton"," 112","Goulbourn",22,9,1,83,77,2,194,447
35088,"Carleton/Carleton"," 113","Goulbourn",33,4,2,107,84,1,231,443
35088,"Carleton/Carleton"," 114","Goulbourn",18,14,5,86,97,0,220,485
35088,"Carleton/Carleton"," 115","Goulbourn",32,7,2,111,116,1,269,429
35088,"Carleton/Carleton"," 116","Goulbourn",34,12,4,114,95,0,259,488
35088,"Carleton/Carleton"," 117","Goulbourn",29,7,2,71,83,1,193,410
35088,"Carleton/Carleton"," 118","Goulbourn",34,17,3,119,77,1,251,544
35088,"Carleton/Carleton"," 119","Goulbourn",17,13,4,68,46,0,148,334
35088,"Carleton/Carleton"," 120","Goulbourn",18,5,6,47,72,1,149,372
35088,"Carleton/Carleton"," 121","Goulbourn",11,16,1,54,72,0,154,365
35088,"Carleton/Carleton"," 122","Goulbourn",15,7,0,70,46,0,138,338
35088,"Carleton/Carleton"," 123","Goulbourn",34,15,5,73,90,0,217,384
35088,"Carleton/Carleton"," 124","Goulbourn",30,13,2,97,64,1,207,472
35088,"Carleton/Carleton"," 125","Goulbourn",35,19,1,94,69,2,220,545
35088,"Carleton/Carleton"," 126","Goulbourn",18,15,0,61,50,0,144,374
35088,"Carleton/Carleton"," 127","Osgoode",14,1,1,67,26,0,109,181
35088,"Carleton/Carleton"," 128","Osgoode",12,10,4,106,44,0,176,319
