Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dean Allison,Ian Bingham,Harold Jonker,Miles Morton,Nameer Rahman,Terry Teather,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35068,"Niagara West/Niagara-Ouest"," 71","Lincoln",115,53,7,9,17,18,3,222,427
35068,"Niagara West/Niagara-Ouest"," 72","Lincoln",151,52,6,1,22,10,1,243,389
35068,"Niagara West/Niagara-Ouest"," 73","Lincoln",129,86,5,4,25,21,2,272,470
35068,"Niagara West/Niagara-Ouest"," 74A","Lincoln",132,44,7,2,24,7,0,216,375
35068,"Niagara West/Niagara-Ouest"," 74B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,,56
35068,"Niagara West/Niagara-Ouest"," 75","Lincoln",189,80,11,6,50,29,4,369,574
35068,"Niagara West/Niagara-Ouest"," 76","Lincoln",149,80,0,3,29,21,0,282,478
35068,"Niagara West/Niagara-Ouest"," 77","Lincoln",123,56,15,3,26,29,1,253,417
35068,"Niagara West/Niagara-Ouest"," 78","Lincoln",79,47,2,5,45,14,0,192,396
35068,"Niagara West/Niagara-Ouest"," 79","Lincoln",103,74,3,4,35,21,1,241,484
35068,"Niagara West/Niagara-Ouest"," 80","Lincoln",114,101,2,2,25,18,4,266,491
35068,"Niagara West/Niagara-Ouest"," 81","Lincoln",80,92,10,4,39,21,1,247,482
35068,"Niagara West/Niagara-Ouest"," 82","Lincoln",62,69,2,5,20,20,1,179,442
35068,"Niagara West/Niagara-Ouest"," 83","Lincoln",92,82,8,3,20,6,0,211,392
35068,"Niagara West/Niagara-Ouest"," 84","Lincoln",102,87,3,8,28,24,0,252,460
35068,"Niagara West/Niagara-Ouest"," 85","Lincoln",101,87,0,5,34,6,0,233,441
35068,"Niagara West/Niagara-Ouest"," 86","St. Catharines",110,77,5,2,33,14,1,242,534
35068,"Niagara West/Niagara-Ouest"," 87","Lincoln",132,63,13,4,25,14,0,251,397
35068,"Niagara West/Niagara-Ouest"," 88","Grimsby",110,67,3,6,34,14,3,237,423
35068,"Niagara West/Niagara-Ouest"," 89","Grimsby",109,47,8,2,30,9,0,205,447
35068,"Niagara West/Niagara-Ouest"," 90","Grimsby",102,55,5,8,24,16,1,211,391
35068,"Niagara West/Niagara-Ouest"," 91","Grimsby",170,84,7,3,34,14,5,317,584
35068,"Niagara West/Niagara-Ouest"," 92","West Lincoln",66,27,2,1,10,2,0,108,207
35068,"Niagara West/Niagara-Ouest"," 93","Fulton",91,40,8,6,30,8,1,184,326
35068,"Niagara West/Niagara-Ouest"," 94","Lincoln",150,91,4,4,22,32,0,303,549
35068,"Niagara West/Niagara-Ouest"," 95","Lincoln",172,78,28,12,37,26,1,354,610
35068,"Niagara West/Niagara-Ouest"," 96","West Lincoln",88,36,6,7,34,7,0,178,359
35068,"Niagara West/Niagara-Ouest"," 97","West Lincoln",109,54,11,1,21,12,1,209,353
35068,"Niagara West/Niagara-Ouest"," 98","West Lincoln",91,58,7,5,30,15,0,206,407
35068,"Niagara West/Niagara-Ouest"," 99","West Lincoln",111,70,5,2,35,10,0,233,494
35068,"Niagara West/Niagara-Ouest"," 100","Lincoln",102,29,13,2,15,13,0,174,362
35068,"Niagara West/Niagara-Ouest"," 101","West Lincoln",105,32,4,2,30,18,1,192,396
35068,"Niagara West/Niagara-Ouest"," 102","Smithville",85,32,4,5,21,7,0,154,382
35068,"Niagara West/Niagara-Ouest"," 103A","West Lincoln",132,31,5,8,27,14,1,218,392
35068,"Niagara West/Niagara-Ouest"," 103B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,38
35068,"Niagara West/Niagara-Ouest"," 104","Pelham",91,69,1,2,24,10,0,197,364
35068,"Niagara West/Niagara-Ouest"," 105","Pelham",139,44,1,0,18,19,0,221,391
35068,"Niagara West/Niagara-Ouest"," 106","Pelham",73,63,5,1,20,14,1,177,374
35068,"Niagara West/Niagara-Ouest"," 107","Pelham",99,48,4,2,16,14,0,183,363
35068,"Niagara West/Niagara-Ouest"," 108","West Lincoln",120,40,8,4,15,5,0,192,372
35068,"Niagara West/Niagara-Ouest"," 109","West Lincoln",160,37,39,4,25,16,4,285,431
35068,"Niagara West/Niagara-Ouest"," 110","St. Anns",149,45,27,3,23,8,0,255,410
35068,"Niagara West/Niagara-Ouest"," 111","Pelham",72,66,2,0,24,10,1,175,389
35068,"Niagara West/Niagara-Ouest"," 112","Pelham",65,84,2,2,32,19,3,207,392
35068,"Niagara West/Niagara-Ouest"," 113","Pelham",76,59,0,5,30,17,0,187,435
35068,"Niagara West/Niagara-Ouest"," 114","Pelham",169,156,1,2,24,12,0,364,632
35068,"Niagara West/Niagara-Ouest"," 115","Pelham",124,90,2,3,26,12,4,261,472
35068,"Niagara West/Niagara-Ouest"," 116","Pelham",93,98,2,5,73,14,0,285,546
35068,"Niagara West/Niagara-Ouest"," 117","Pelham",89,98,5,5,38,22,1,258,509
35068,"Niagara West/Niagara-Ouest"," 118","Pelham",89,89,0,1,33,15,1,228,445
35068,"Niagara West/Niagara-Ouest"," 119","Pelham",76,76,1,2,10,8,0,173,326
35068,"Niagara West/Niagara-Ouest"," 120","Pelham",110,82,0,3,12,8,0,215,414
35068,"Niagara West/Niagara-Ouest"," 121","Pelham",59,93,2,0,30,9,1,194,395
35068,"Niagara West/Niagara-Ouest"," 122A","West Lincoln",80,80,2,5,25,11,0,203,410
35068,"Niagara West/Niagara-Ouest"," 122B","West Lincoln",87,73,2,3,29,9,1,204,385
35068,"Niagara West/Niagara-Ouest"," 123","West Lincoln",138,87,9,7,44,13,1,299,596
35068,"Niagara West/Niagara-Ouest"," 124","West Lincoln",99,41,6,2,21,10,1,180,352
35068,"Niagara West/Niagara-Ouest"," 125","West Lincoln",126,75,6,2,41,15,2,267,503
35068,"Niagara West/Niagara-Ouest"," 126","West Lincoln",86,25,12,3,10,9,0,145,284
35068,"Niagara West/Niagara-Ouest"," 127","West Lincoln",122,26,16,2,27,12,1,206,399
35068,"Niagara West/Niagara-Ouest"," 128","Pelham",80,85,0,0,28,13,0,206,465
35068,"Niagara West/Niagara-Ouest"," 129","Pelham",76,115,1,4,25,12,0,233,434
35068,"Niagara West/Niagara-Ouest"," 130","Pelham",88,62,1,3,28,17,0,199,404
35068,"Niagara West/Niagara-Ouest"," 131","Pelham",72,108,2,2,19,15,1,219,396
35068,"Niagara West/Niagara-Ouest"," 132","Pelham",74,108,3,1,19,7,0,212,374
35068,"Niagara West/Niagara-Ouest"," 133","Pelham",97,54,5,2,34,19,0,211,434
35068,"Niagara West/Niagara-Ouest"," 134","Pelham",98,39,4,6,15,16,2,180,393
35068,"Niagara West/Niagara-Ouest"," 135","Pelham",102,70,2,5,21,4,0,204,410
35068,"Niagara West/Niagara-Ouest"," 136","Pelham",103,71,1,1,22,8,0,206,425
35068,"Niagara West/Niagara-Ouest"," 137","West Lincoln",101,39,2,2,23,10,2,179,363
35068,"Niagara West/Niagara-Ouest"," 138","West Lincoln",120,48,13,1,13,8,1,204,395
35068,"Niagara West/Niagara-Ouest"," 139","West Lincoln",117,47,5,6,38,16,2,231,412
35068,"Niagara West/Niagara-Ouest"," 140","West Lincoln",94,52,6,9,20,12,0,193,376
35068,"Niagara West/Niagara-Ouest"," 141","Pelham",99,127,1,1,28,6,1,263,474
35068,"Niagara West/Niagara-Ouest"," 142","Pelham",69,105,0,1,36,11,1,223,361
35068,"Niagara West/Niagara-Ouest"," 143","Pelham",83,91,3,3,34,13,0,227,405
35068,"Niagara West/Niagara-Ouest"," 144","Pelham",78,107,0,3,32,9,1,230,426
35068,"Niagara West/Niagara-Ouest"," 145","Pelham",95,91,1,4,30,12,0,233,397
35068,"Niagara West/Niagara-Ouest"," 146","Pelham",101,109,0,1,24,7,0,242,427
35068,"Niagara West/Niagara-Ouest"," 147","West Lincoln",83,16,9,0,15,8,0,131,238
35068,"Niagara West/Niagara-Ouest"," 148","Boyle",112,21,8,3,26,19,0,189,309
35068,"Niagara West/Niagara-Ouest"," 149","Wellandport",98,21,16,15,16,2,0,168,360
35068,"Niagara West/Niagara-Ouest"," 150","Pelham",110,83,1,1,31,17,1,244,441
35068,"Niagara West/Niagara-Ouest"," 151","Pelham",113,52,4,4,24,26,0,223,390
35068,"Niagara West/Niagara-Ouest"," 152","Pelham",115,51,8,2,27,14,1,218,429
35068,"Niagara West/Niagara-Ouest"," 153","Pelham",144,87,2,1,50,13,2,299,536
35068,"Niagara West/Niagara-Ouest"," 154","Caistorville",126,63,0,7,46,21,0,263,438
35068,"Niagara West/Niagara-Ouest"," 155","West Lincoln",81,35,12,1,22,9,0,160,310
35068,"Niagara West/Niagara-Ouest"," 156","West Lincoln",125,15,16,2,14,5,0,177,374
35068,"Niagara West/Niagara-Ouest"," 157","Wellandport",117,16,8,3,22,7,0,173,307
35068,"Niagara West/Niagara-Ouest"," 158","Wainfleet",115,26,7,4,15,14,0,181,373
35068,"Niagara West/Niagara-Ouest"," 159","Wainfleet",145,24,16,3,26,12,0,226,404
35068,"Niagara West/Niagara-Ouest"," 160","Wainfleet",104,58,6,4,27,8,1,208,392
35068,"Niagara West/Niagara-Ouest"," 161","Wainfleet",102,33,4,3,36,15,0,193,356
35068,"Niagara West/Niagara-Ouest"," 162","Wainfleet",115,47,5,0,31,6,1,205,336
35068,"Niagara West/Niagara-Ouest"," 163","Wainfleet",129,38,2,4,33,13,1,220,363
35068,"Niagara West/Niagara-Ouest"," 164","Wainfleet",134,25,8,1,16,13,2,199,338
35068,"Niagara West/Niagara-Ouest"," 165","Wainfleet",98,24,12,4,32,3,0,173,328
35068,"Niagara West/Niagara-Ouest"," 166","Wainfleet",112,36,3,1,27,16,0,195,368
35068,"Niagara West/Niagara-Ouest"," 167","Wainfleet",68,70,1,1,23,14,1,178,348
35068,"Niagara West/Niagara-Ouest"," 168","Wainfleet",87,49,0,2,27,17,1,183,323
35068,"Niagara West/Niagara-Ouest"," 169","Wainfleet",113,32,2,0,38,12,1,198,381
35068,"Niagara West/Niagara-Ouest"," 170","Wainfleet",123,67,3,6,29,14,1,243,475
35068,"Niagara West/Niagara-Ouest"," 171","Wainfleet",110,72,0,3,39,19,2,245,423
35068,"Niagara West/Niagara-Ouest"," 500A","Mobile poll/Bureau itinérant",58,30,1,0,11,7,0,107,39
35068,"Niagara West/Niagara-Ouest"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,,52
35068,"Niagara West/Niagara-Ouest"," 501","Mobile poll/Bureau itinérant",72,19,29,0,3,6,0,129,249
35068,"Niagara West/Niagara-Ouest"," 502","Mobile poll/Bureau itinérant",30,26,1,1,3,4,3,68,120
35068,"Niagara West/Niagara-Ouest"," 503A","Mobile poll/Bureau itinérant",34,21,2,0,5,1,0,63,100
35068,"Niagara West/Niagara-Ouest"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,,29
35068,"Niagara West/Niagara-Ouest"," 504A","Mobile poll/Bureau itinérant",45,17,3,2,5,2,0,74,135
35068,"Niagara West/Niagara-Ouest"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,240
35068,"Niagara West/Niagara-Ouest"," 505","Mobile poll/Bureau itinérant",64,58,2,0,10,5,3,142,239
35068,"Niagara West/Niagara-Ouest"," 600","Grimsby",345,364,1,16,103,44,2,875,
35068,"Niagara West/Niagara-Ouest"," 601","Grimsby",331,403,1,20,118,54,2,929,
35068,"Niagara West/Niagara-Ouest"," 602","Grimsby",439,386,8,15,136,88,3,1075,
35068,"Niagara West/Niagara-Ouest"," 603","Grimsby",377,402,6,19,85,58,3,950,
35068,"Niagara West/Niagara-Ouest"," 604","Lincoln",365,300,13,20,112,73,2,885,
35068,"Niagara West/Niagara-Ouest"," 605","Lincoln",430,307,19,16,132,65,1,970,
35068,"Niagara West/Niagara-Ouest"," 606","Lincoln",391,311,24,11,60,58,3,858,
35068,"Niagara West/Niagara-Ouest"," 607","Lincoln",406,178,7,14,86,72,1,764,
35068,"Niagara West/Niagara-Ouest"," 608","Pelham",344,232,15,3,52,40,2,688,
35068,"Niagara West/Niagara-Ouest"," 609","West Lincoln",577,329,33,26,83,69,6,1123,
35068,"Niagara West/Niagara-Ouest"," 610","West Lincoln",192,110,11,14,40,33,0,400,
35068,"Niagara West/Niagara-Ouest"," 611","Smithville",185,74,5,6,48,18,1,337,
35068,"Niagara West/Niagara-Ouest"," 612","St. Anns",326,60,18,8,51,39,0,502,
35068,"Niagara West/Niagara-Ouest"," 613","Pelham",564,435,5,6,100,69,4,1183,
35068,"Niagara West/Niagara-Ouest"," 614","Pelham",570,642,11,19,134,85,18,1479,
35068,"Niagara West/Niagara-Ouest"," 615","Wainfleet",282,146,7,5,49,42,4,535,
35068,"Niagara West/Niagara-Ouest",,Group 1/Groupe 1, 20,53,0,4,11,6,5,99,123
35068,"Niagara West/Niagara-Ouest",,Group 2/Groupe 2, 454,395,26,12,152,112,31,1182,
