Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Giovanni Abati,Dan Burr,Laura Chesnik,Leo Demarce,Cheryl Hardcastle,Irek Kusmierczyk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 141","Windsor",9,5,1,48,58,58,3,182,415
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 142","Windsor",5,4,0,68,40,69,4,190,514
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 143","Windsor",7,1,1,57,55,85,2,208,459
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 144","Windsor",7,6,0,43,63,52,6,177,491
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 145","Windsor",4,4,0,45,43,39,5,140,520
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 146","Windsor",6,6,1,29,39,26,9,116,469
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 147","Windsor",7,5,0,58,50,55,3,178,381
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 148","Windsor",4,4,0,53,62,59,2,184,459
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 149","Windsor",12,1,0,44,51,46,4,158,513
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 150","Windsor",11,1,1,49,55,24,2,143,396
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 151","Windsor",7,5,2,47,73,50,1,185,469
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 152","Windsor",7,4,1,44,100,35,2,193,472
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 153","Windsor",9,4,0,32,61,52,2,160,399
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 154","Windsor",9,8,0,64,72,43,3,199,456
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 155","Windsor",11,7,0,46,110,41,2,217,478
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 156","Windsor",8,7,0,50,56,53,1,175,528
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 157","Windsor",15,9,2,52,99,46,1,224,515
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 158","Windsor",6,6,2,47,119,50,2,232,466
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 159","Windsor",7,6,0,40,80,40,0,173,484
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 160","Windsor",8,6,2,60,100,35,5,216,508
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 161","Windsor",5,1,0,39,95,55,0,195,460
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 162","Windsor",10,4,1,51,85,42,1,194,446
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 163","Windsor",9,8,2,52,108,46,0,225,486
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 164","Windsor",10,7,0,51,103,45,3,219,486
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 165","Windsor",9,3,0,41,105,40,2,200,520
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 166","Windsor",11,4,1,49,61,72,2,200,448
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 167","Windsor",4,4,2,36,66,50,2,164,456
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 168","Windsor",3,1,2,73,68,121,6,274,522
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 169","Windsor",7,6,2,57,85,72,1,230,472
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 170","Windsor",2,6,0,64,59,73,3,207,472
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 171","Windsor",10,4,0,45,64,92,6,221,427
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 172","Windsor",3,6,0,81,81,92,0,263,510
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 173","Windsor",3,4,0,50,80,63,6,206,423
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 174","Windsor",4,5,0,37,47,69,1,163,382
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 175","Windsor",8,8,0,63,62,55,4,200,514
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 176","Windsor",11,6,1,58,112,51,3,242,659
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 177","Windsor",4,3,0,26,47,33,2,115,385
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 178","Windsor",9,3,1,46,84,42,0,185,457
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 179","Windsor",7,4,0,29,45,46,5,136,439
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 180","Windsor",11,9,0,42,56,47,0,165,404
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 181","Windsor",10,3,1,39,65,58,2,178,437
