Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Zaff Ansari,Chandra Arya,Jean-Luc Cooke,Azim Hooda,Brian St. Louis,Dustan Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35064,"Nepean/Nepean"," 192","Nepean",19,80,7,0,70,0,0,176,437
35064,"Nepean/Nepean"," 193A","Nepean",29,134,8,5,79,0,0,255,470
35064,"Nepean/Nepean"," 193B","Nepean",29,126,3,2,68,1,0,229,434
35064,"Nepean/Nepean"," 194","Nepean",17,42,8,5,81,0,1,154,319
35064,"Nepean/Nepean"," 195","Nepean",25,63,16,1,105,1,0,211,380
35064,"Nepean/Nepean"," 196","Nepean",16,39,9,5,99,0,1,169,325
35064,"Nepean/Nepean"," 400","Nepean",20,38,10,3,41,2,0,114,270
35064,"Nepean/Nepean"," 500","Mobile poll/Bureau itinérant",20,74,8,2,70,1,1,176,274
35064,"Nepean/Nepean"," 501","Mobile poll/Bureau itinérant",17,68,11,1,70,0,9,176,259
35064,"Nepean/Nepean"," 502","Mobile poll/Bureau itinérant",10,55,10,0,68,0,0,143,208
35064,"Nepean/Nepean"," 503","Mobile poll/Bureau itinérant",2,39,3,0,31,2,2,79,255
35064,"Nepean/Nepean"," 504","Mobile poll/Bureau itinérant",6,67,9,1,63,2,1,149,223
35064,"Nepean/Nepean"," 600","Nepean",78,275,57,10,309,1,0,730,
35064,"Nepean/Nepean"," 601","Nepean",91,365,100,24,387,1,6,974,
35064,"Nepean/Nepean"," 602","Nepean",99,488,94,10,384,4,5,1084,
35064,"Nepean/Nepean"," 603","Nepean",149,494,71,13,496,1,3,1227,
35064,"Nepean/Nepean"," 604","Nepean",160,583,102,19,485,0,7,1356,
35064,"Nepean/Nepean"," 605","Nepean",158,663,102,14,588,0,6,1531,
35064,"Nepean/Nepean"," 606","Nepean",126,565,70,10,362,4,1,1138,
