Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Line Bélanger,Dajana Dautovic,Stéphane Girard,Richard Martel,Valérie Tremblay,Jimmy Voyer,Lynda Youde,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 77","Saguenay",0,23,18,35,90,4,4,0,174,376
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 78","Saguenay",1,36,15,51,70,1,13,8,195,425
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 79","Saguenay",1,18,14,48,41,1,9,7,139,329
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 80","Saguenay",0,19,10,54,45,1,4,3,136,302
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 81","Saguenay",0,20,15,39,52,0,5,2,133,292
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 82","Saguenay",0,44,13,54,71,3,3,2,190,437
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 83","Saguenay",3,43,14,126,101,2,9,9,307,480
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 84","Saguenay",5,48,14,69,84,0,6,7,233,439
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 85","Saguenay",1,33,19,120,84,1,9,3,270,452
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 86","Saguenay",0,28,14,89,79,0,11,11,232,406
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 87","Saguenay",2,39,16,92,96,1,3,4,253,492
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 88","Saguenay",4,47,17,120,91,2,3,2,286,498
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 89","Saguenay",3,30,10,71,70,2,5,7,198,339
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 90","Saguenay",1,29,13,60,77,0,6,3,189,312
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 91","Saguenay",0,28,12,107,69,1,3,11,231,485
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 92","Saguenay",0,24,15,75,72,0,4,4,194,435
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 93","Saguenay",0,20,22,84,65,3,3,3,200,381
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 94","Saguenay",0,32,13,84,50,1,1,1,182,346
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 95","Saguenay",2,29,17,91,76,6,7,5,233,417
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 96","Saguenay",0,13,6,74,57,3,3,5,161,340
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 97","Saguenay",2,22,12,85,54,1,3,4,183,355
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 98","Saguenay",5,32,10,55,47,3,2,5,159,372
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 99","Saguenay",1,20,11,76,70,0,6,10,194,426
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 100","Petit-Saguenay",0,22,3,68,67,0,9,3,172,262
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 101","Petit-Saguenay",1,31,4,48,59,3,10,0,156,271
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 102","L'Anse-Saint-Jean",2,18,8,50,57,0,7,3,145,301
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 103","L'Anse-Saint-Jean",1,20,8,37,38,0,10,4,118,304
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 104","L'Anse-Saint-Jean",1,26,5,57,48,1,13,2,153,387
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 105","Saguenay",1,35,9,43,69,2,9,0,168,419
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 106","Saguenay",2,48,13,60,65,3,7,6,204,457
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 107","Saguenay",2,27,12,38,57,2,6,6,150,407
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 108","Saguenay",2,44,13,64,95,4,12,4,238,454
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 109","Saguenay",1,27,10,67,79,0,6,0,190,333
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 110","Saguenay",2,50,19,67,83,2,8,0,231,372
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 111","Saguenay",0,29,9,47,58,1,4,2,150,324
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 112","Saguenay",3,46,14,51,93,0,5,4,216,476
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 113","Saguenay",0,37,14,36,52,0,5,2,146,345
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 114","Saguenay",1,32,22,60,67,2,3,4,191,328
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 115","Saguenay",4,32,6,51,66,0,7,5,171,394
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 116","Saguenay",2,38,17,56,80,2,6,1,202,375
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 117","Saguenay",0,20,23,74,83,4,6,6,216,425
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 118","Saint-Félix-d'Otis",1,31,8,74,102,0,8,3,227,439
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 119","Saint-Félix-d'Otis",2,20,8,100,66,0,0,5,201,450
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 120","Saguenay",2,42,13,47,72,0,5,6,187,441
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 121","Saguenay",3,59,14,78,100,0,11,7,272,526
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 122","Saguenay",0,54,14,51,82,1,5,1,208,453
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 123","Saguenay",1,55,11,57,96,2,1,5,228,480
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 124","Saguenay",1,18,15,46,51,0,3,0,134,409
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 125","Saguenay",2,18,11,52,53,3,2,2,143,360
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 126","Saguenay",1,20,12,60,68,0,5,0,166,448
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 127","Saguenay",2,20,11,76,80,3,5,11,208,449
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 128","Saguenay",0,39,17,85,61,1,8,1,212,452
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 129","Saguenay",0,41,21,119,63,3,4,5,256,539
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 130","Saguenay",2,42,14,109,76,0,3,2,248,414
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 131","Saguenay",2,39,21,60,73,5,7,3,210,312
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 132","Saguenay",1,23,11,75,56,0,8,3,177,296
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 133","Saguenay",3,18,14,89,58,1,3,3,189,323
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 134","Saguenay",1,48,13,77,72,5,8,5,229,381
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 135","Saguenay",0,56,14,84,67,0,10,1,232,417
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 136","Saguenay",1,50,22,91,97,0,7,6,274,453
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 137","Saguenay",2,38,12,73,65,2,3,1,196,401
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 138","Saguenay",3,43,14,73,85,5,12,4,239,431
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 139","Saguenay",0,37,20,71,75,2,9,1,215,379
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 140","Saguenay",2,38,26,72,112,2,5,5,262,450
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 141","Saguenay",0,47,15,83,91,1,4,3,244,518
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 142","Saguenay",2,38,5,60,61,0,4,3,173,357
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 143","Saguenay",1,20,15,63,62,3,2,7,173,408
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 144","Saguenay",0,31,15,46,50,0,5,5,152,364
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 145","Saguenay",0,29,10,45,58,1,6,4,153,398
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 146","Saguenay",1,26,7,67,71,0,7,1,180,379
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 147","Saguenay",3,41,16,84,69,2,5,7,227,428
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 148","Saguenay",2,30,11,45,95,2,6,1,192,372
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 149","Saguenay",0,19,17,75,78,3,0,2,194,418
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 150","Saguenay",0,29,16,76,79,1,5,2,208,385
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 151","Saguenay",0,22,6,68,59,2,5,2,164,376
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 152","Saguenay",0,28,11,102,79,1,6,3,230,414
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 153","Saguenay",3,26,9,88,87,2,8,14,237,516
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 154","Saguenay",0,18,8,48,47,3,5,8,137,322
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 155","Saguenay",0,10,4,78,27,0,2,4,125,339
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 156","Saguenay",2,17,44,125,18,9,12,1,228,498
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 157","Saguenay",1,18,12,68,45,1,7,6,158,414
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 158","Saguenay",2,17,9,71,51,1,8,5,164,383
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 159","Saguenay",1,23,11,77,49,4,4,5,174,406
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 160","Saguenay",2,37,15,44,60,4,6,2,170,332
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 161","Saguenay",1,37,16,90,84,1,6,3,238,424
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 162","Saguenay",1,28,12,96,57,2,5,4,205,380
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 163","Saguenay",0,29,14,127,56,1,6,2,235,455
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 164","Rivière-Éternité",0,41,3,109,51,4,7,1,216,398
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 165","Ferland-et-Boilleau",3,36,10,160,71,5,1,1,287,442
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 400","Saguenay",3,77,1,44,36,0,0,14,175,113
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 401","Saguenay",Merged with No./Fusionné avec le n°400,,,,,,,,,106
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 402","Saguenay",1,90,3,49,47,0,1,21,212,266
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 403","Saguenay",2,53,1,30,33,1,3,17,140,190
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 500","Mobile poll/Bureau itinérant",1,10,1,8,3,0,0,0,23,158
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 501","Mobile poll/Bureau itinérant",0,19,1,16,12,0,1,1,50,165
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 600","Saguenay",5,114,34,358,266,4,12,21,814,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 601","Saguenay",2,100,30,281,260,3,26,25,727,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 602","Saguenay",9,133,44,349,269,3,24,8,839,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 603","Saguenay",6,161,39,190,252,6,34,11,699,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 604","Saguenay",8,148,45,310,259,8,28,20,826,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 605","Saguenay",8,189,33,265,264,7,17,12,795,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 606","Saguenay",7,325,50,483,459,13,30,14,1381,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 607","Saguenay",3,196,55,430,362,6,21,25,1098,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 608","Saguenay",3,117,28,259,244,3,28,16,698,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 609","Saguenay",1,143,27,359,252,8,25,15,830,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 610","Saguenay",5,197,42,388,268,6,23,15,944,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 611","Saguenay",3,152,18,260,245,4,12,11,705,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 612","Saint-Félix-d'Otis",3,34,9,73,77,2,2,0,200,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 613","Saint-Félix-d'Otis",0,58,11,104,68,0,16,6,263,
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord",,Group 1/Groupe 1, 9,60,41,268,18,12,19,8,435,70
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord",,Group 2/Groupe 2, 2,158,109,282,256,6,60,35,908,
