Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Benzen,Scott Forsyth,Larry R. Heather,Holly Heffernan,Stephanie Hoeppner,Hunter Mills,Allie Tulick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48007,"Calgary Heritage/Calgary Heritage"," 23","Calgary",163,38,0,15,3,1,6,1,227,426
48007,"Calgary Heritage/Calgary Heritage"," 24","Calgary",141,26,2,25,5,2,7,0,208,519
48007,"Calgary Heritage/Calgary Heritage"," 25","Calgary",151,39,1,21,5,0,15,0,232,486
48007,"Calgary Heritage/Calgary Heritage"," 26","Calgary",152,32,1,22,2,1,11,1,222,463
48007,"Calgary Heritage/Calgary Heritage"," 27","Calgary",177,23,0,3,2,0,4,2,211,454
48007,"Calgary Heritage/Calgary Heritage"," 28","Calgary",126,32,0,23,6,0,6,0,193,374
48007,"Calgary Heritage/Calgary Heritage"," 29","Calgary",150,57,1,28,7,1,14,1,259,501
48007,"Calgary Heritage/Calgary Heritage"," 30","Calgary",144,27,1,18,10,4,11,2,217,447
48007,"Calgary Heritage/Calgary Heritage"," 31","Calgary",104,41,0,27,6,0,11,0,189,458
48007,"Calgary Heritage/Calgary Heritage"," 32","Calgary",92,32,2,45,7,2,7,1,188,532
48007,"Calgary Heritage/Calgary Heritage"," 33","Calgary",102,25,0,27,2,1,4,0,161,439
48007,"Calgary Heritage/Calgary Heritage"," 34","Calgary",139,47,0,43,7,0,6,1,243,466
48007,"Calgary Heritage/Calgary Heritage"," 35","Calgary",96,37,1,43,7,1,10,1,196,452
48007,"Calgary Heritage/Calgary Heritage"," 36","Calgary",119,32,0,20,2,1,13,0,187,382
48007,"Calgary Heritage/Calgary Heritage"," 37","Calgary",94,32,1,17,6,1,7,0,158,438
48007,"Calgary Heritage/Calgary Heritage"," 38","Calgary",104,29,2,11,6,1,4,1,158,393
48007,"Calgary Heritage/Calgary Heritage"," 39","Calgary",157,40,1,34,4,0,22,2,260,511
48007,"Calgary Heritage/Calgary Heritage"," 40","Calgary",154,47,0,39,1,2,17,0,260,535
48007,"Calgary Heritage/Calgary Heritage"," 41","Calgary",193,39,4,25,6,0,16,1,284,500
48007,"Calgary Heritage/Calgary Heritage"," 42","Calgary",169,32,0,41,7,0,9,1,259,497
48007,"Calgary Heritage/Calgary Heritage"," 43","Calgary",182,28,2,35,7,0,21,1,276,535
48007,"Calgary Heritage/Calgary Heritage"," 44","Calgary",126,24,0,37,5,1,16,0,209,448
48007,"Calgary Heritage/Calgary Heritage"," 45","Calgary",76,20,2,27,6,0,10,0,141,370
48007,"Calgary Heritage/Calgary Heritage"," 46","Calgary",115,26,0,23,8,1,7,1,181,482
48007,"Calgary Heritage/Calgary Heritage"," 47","Calgary",108,27,3,26,4,3,9,0,180,429
48007,"Calgary Heritage/Calgary Heritage"," 48","Calgary",130,34,1,33,7,0,13,0,218,455
48007,"Calgary Heritage/Calgary Heritage"," 49","Calgary",120,38,2,19,4,0,4,0,187,489
48007,"Calgary Heritage/Calgary Heritage"," 50","Calgary",144,39,0,12,4,1,5,1,206,465
48007,"Calgary Heritage/Calgary Heritage"," 51","Calgary",127,23,0,12,0,1,4,0,167,411
48007,"Calgary Heritage/Calgary Heritage"," 52","Calgary",105,42,1,16,4,0,11,0,179,375
48007,"Calgary Heritage/Calgary Heritage"," 53","Calgary",94,35,1,11,7,1,6,2,157,441
48007,"Calgary Heritage/Calgary Heritage"," 54","Calgary",153,22,1,11,3,0,6,0,196,465
48007,"Calgary Heritage/Calgary Heritage"," 55","Calgary",188,31,0,27,3,1,8,0,258,434
48007,"Calgary Heritage/Calgary Heritage"," 56","Calgary",176,26,2,20,4,3,3,0,234,409
48007,"Calgary Heritage/Calgary Heritage"," 57","Calgary",147,27,0,18,3,2,5,0,202,361
48007,"Calgary Heritage/Calgary Heritage"," 58","Calgary",158,48,1,35,5,0,11,0,258,475
48007,"Calgary Heritage/Calgary Heritage"," 59","Calgary",130,35,2,42,11,0,8,0,228,411
48007,"Calgary Heritage/Calgary Heritage"," 60","Calgary",142,17,0,33,1,2,7,0,202,378
48007,"Calgary Heritage/Calgary Heritage"," 61","Calgary",132,35,0,20,6,0,10,1,204,405
48007,"Calgary Heritage/Calgary Heritage"," 62","Calgary",169,30,1,17,8,1,8,0,234,423
48007,"Calgary Heritage/Calgary Heritage"," 63","Calgary",131,22,0,25,4,0,7,0,189,368
48007,"Calgary Heritage/Calgary Heritage"," 64","Calgary",101,25,0,25,3,1,13,2,170,345
48007,"Calgary Heritage/Calgary Heritage"," 65","Calgary",90,29,0,22,11,2,6,2,162,375
48007,"Calgary Heritage/Calgary Heritage"," 66","Calgary",124,32,0,23,2,1,12,1,195,399
48007,"Calgary Heritage/Calgary Heritage"," 67","Calgary",81,42,1,28,6,0,8,0,166,387
48007,"Calgary Heritage/Calgary Heritage"," 68","Calgary",97,36,4,17,5,0,11,1,171,475
48007,"Calgary Heritage/Calgary Heritage"," 69","Calgary",142,25,1,21,5,1,5,0,200,409
48007,"Calgary Heritage/Calgary Heritage"," 70","Calgary",180,40,1,20,2,2,5,0,250,463
48007,"Calgary Heritage/Calgary Heritage"," 71","Calgary",148,50,0,24,1,2,14,1,240,458
48007,"Calgary Heritage/Calgary Heritage"," 72","Calgary",148,33,1,34,5,0,9,1,231,497
48007,"Calgary Heritage/Calgary Heritage"," 73","Calgary",123,28,1,25,5,0,11,2,195,402
48007,"Calgary Heritage/Calgary Heritage"," 74","Calgary",202,34,1,43,10,1,7,1,299,522
48007,"Calgary Heritage/Calgary Heritage"," 75","Calgary",155,40,0,24,11,2,6,1,239,442
48007,"Calgary Heritage/Calgary Heritage"," 76","Calgary",126,32,1,31,6,3,13,1,213,461
48007,"Calgary Heritage/Calgary Heritage"," 77","Calgary",166,30,1,19,7,2,8,0,233,427
48007,"Calgary Heritage/Calgary Heritage"," 78","Calgary",191,41,2,45,3,1,12,0,295,515
48007,"Calgary Heritage/Calgary Heritage"," 79","Calgary",152,38,1,20,12,2,15,0,240,497
48007,"Calgary Heritage/Calgary Heritage"," 80","Calgary",147,40,3,30,2,0,16,0,238,554
48007,"Calgary Heritage/Calgary Heritage"," 81","Calgary",173,37,0,29,5,1,7,0,252,536
48007,"Calgary Heritage/Calgary Heritage"," 82","Calgary",128,31,0,26,2,5,15,1,208,469
48007,"Calgary Heritage/Calgary Heritage"," 83","Calgary",121,13,5,30,5,1,13,0,188,498
48007,"Calgary Heritage/Calgary Heritage"," 84","Calgary",100,26,1,25,7,0,12,1,172,471
48007,"Calgary Heritage/Calgary Heritage"," 85","Calgary",97,41,1,35,5,0,13,3,195,472
48007,"Calgary Heritage/Calgary Heritage"," 86","Calgary",91,22,0,44,6,1,2,1,167,454
48007,"Calgary Heritage/Calgary Heritage"," 87","Calgary",198,39,0,42,3,3,4,0,289,500
48007,"Calgary Heritage/Calgary Heritage"," 88","Calgary",131,24,0,20,5,4,5,0,189,392
48007,"Calgary Heritage/Calgary Heritage"," 89","Calgary",163,36,1,30,5,2,5,2,244,521
48007,"Calgary Heritage/Calgary Heritage"," 90","Calgary",180,32,1,14,2,0,9,0,238,498
48007,"Calgary Heritage/Calgary Heritage"," 91","Calgary",176,36,2,11,6,0,3,2,236,428
48007,"Calgary Heritage/Calgary Heritage"," 92","Calgary",164,28,0,27,4,0,9,0,232,498
48007,"Calgary Heritage/Calgary Heritage"," 93","Calgary",167,29,0,33,4,1,6,1,241,490
48007,"Calgary Heritage/Calgary Heritage"," 94","Calgary",128,30,0,22,1,0,8,1,190,423
48007,"Calgary Heritage/Calgary Heritage"," 95","Calgary",197,36,0,18,3,0,4,0,258,484
48007,"Calgary Heritage/Calgary Heritage"," 96","Calgary",171,37,1,32,5,0,10,0,256,569
48007,"Calgary Heritage/Calgary Heritage"," 97","Calgary",129,42,0,26,5,3,11,0,216,489
48007,"Calgary Heritage/Calgary Heritage"," 98","Calgary",151,24,0,22,5,0,7,3,212,477
48007,"Calgary Heritage/Calgary Heritage"," 99","Calgary",147,53,0,34,1,2,11,0,248,424
48007,"Calgary Heritage/Calgary Heritage"," 100","Calgary",149,40,3,17,7,0,8,1,225,428
48007,"Calgary Heritage/Calgary Heritage"," 101","Calgary",133,23,0,10,1,0,12,0,179,404
48007,"Calgary Heritage/Calgary Heritage"," 102","Calgary",147,13,0,16,3,0,5,0,184,420
48007,"Calgary Heritage/Calgary Heritage"," 103","Calgary",154,36,1,15,10,1,6,0,223,436
48007,"Calgary Heritage/Calgary Heritage"," 104","Calgary",176,20,1,13,5,1,7,3,226,495
48007,"Calgary Heritage/Calgary Heritage"," 105","Calgary",150,28,0,6,2,2,4,3,195,420
48007,"Calgary Heritage/Calgary Heritage"," 106","Calgary",161,34,2,12,5,0,9,0,223,451
48007,"Calgary Heritage/Calgary Heritage"," 107","Calgary",116,29,2,13,6,1,5,0,172,391
48007,"Calgary Heritage/Calgary Heritage"," 108","Calgary",119,34,1,24,2,1,8,1,190,428
48007,"Calgary Heritage/Calgary Heritage"," 109","Calgary",191,29,1,15,2,1,4,1,244,469
48007,"Calgary Heritage/Calgary Heritage"," 110","Calgary",145,23,1,29,6,1,3,4,212,426
48007,"Calgary Heritage/Calgary Heritage"," 111","Calgary",159,34,1,31,0,0,14,0,239,466
48007,"Calgary Heritage/Calgary Heritage"," 112","Calgary",173,39,0,23,7,2,13,1,258,515
48007,"Calgary Heritage/Calgary Heritage"," 113","Calgary",202,42,0,27,4,4,15,0,294,583
48007,"Calgary Heritage/Calgary Heritage"," 114","Calgary",234,32,0,29,5,0,5,2,307,644
48007,"Calgary Heritage/Calgary Heritage"," 115","Calgary",205,37,0,17,4,4,12,0,279,490
48007,"Calgary Heritage/Calgary Heritage"," 116","Calgary",196,61,1,29,4,0,13,0,304,561
48007,"Calgary Heritage/Calgary Heritage"," 117","Calgary",169,43,0,29,6,0,15,3,265,539
48007,"Calgary Heritage/Calgary Heritage"," 118","Calgary",183,27,1,24,9,1,13,0,258,499
48007,"Calgary Heritage/Calgary Heritage"," 119","Calgary",167,39,0,28,2,1,9,0,246,508
48007,"Calgary Heritage/Calgary Heritage"," 120","Calgary",157,42,0,27,4,2,6,2,240,482
48007,"Calgary Heritage/Calgary Heritage"," 121","Calgary",132,34,0,19,2,2,6,0,195,410
48007,"Calgary Heritage/Calgary Heritage"," 122","Calgary",100,28,2,23,11,2,6,0,172,383
48007,"Calgary Heritage/Calgary Heritage"," 123","Calgary",198,29,1,22,4,1,8,0,263,526
48007,"Calgary Heritage/Calgary Heritage"," 124","Calgary",95,23,1,19,2,2,14,1,157,338
48007,"Calgary Heritage/Calgary Heritage"," 125","Calgary",125,10,1,4,2,0,8,1,151,428
48007,"Calgary Heritage/Calgary Heritage"," 126","Calgary",129,20,0,6,3,0,1,1,160,384
48007,"Calgary Heritage/Calgary Heritage"," 127","Calgary",149,16,1,7,2,0,6,0,181,498
48007,"Calgary Heritage/Calgary Heritage"," 128","Calgary",152,15,0,13,1,0,2,2,185,458
48007,"Calgary Heritage/Calgary Heritage"," 129","Calgary",175,16,1,11,2,0,1,1,207,556
48007,"Calgary Heritage/Calgary Heritage"," 130","Calgary",112,28,0,12,4,0,2,1,159,428
48007,"Calgary Heritage/Calgary Heritage"," 131","Calgary",126,26,1,9,2,0,5,2,171,424
48007,"Calgary Heritage/Calgary Heritage"," 132","Calgary",92,13,1,13,5,1,3,1,129,356
48007,"Calgary Heritage/Calgary Heritage"," 133","Calgary",145,22,0,16,1,0,1,0,185,461
48007,"Calgary Heritage/Calgary Heritage"," 134","Calgary",102,23,0,13,1,0,5,0,144,405
48007,"Calgary Heritage/Calgary Heritage"," 135","Calgary",121,28,0,8,3,1,4,0,165,517
48007,"Calgary Heritage/Calgary Heritage"," 136","Calgary",99,38,0,9,1,0,5,2,154,415
48007,"Calgary Heritage/Calgary Heritage"," 137","Calgary",188,37,0,14,3,0,4,2,248,649
48007,"Calgary Heritage/Calgary Heritage"," 138","Calgary",165,15,0,7,2,0,2,0,191,526
48007,"Calgary Heritage/Calgary Heritage"," 139","Calgary",121,33,1,29,6,0,6,1,197,483
48007,"Calgary Heritage/Calgary Heritage"," 140","Calgary",160,31,0,18,1,0,4,0,214,476
48007,"Calgary Heritage/Calgary Heritage"," 141","Calgary",123,23,2,26,4,3,3,1,185,408
48007,"Calgary Heritage/Calgary Heritage"," 142","Calgary",103,20,1,24,1,2,4,1,156,368
48007,"Calgary Heritage/Calgary Heritage"," 143","Calgary",211,41,1,24,0,0,4,2,283,650
48007,"Calgary Heritage/Calgary Heritage"," 144","Calgary",199,45,6,22,2,1,4,2,281,601
48007,"Calgary Heritage/Calgary Heritage"," 145","Calgary",239,41,0,11,3,0,2,0,296,562
48007,"Calgary Heritage/Calgary Heritage"," 146","Calgary",156,36,0,25,3,2,7,1,230,477
48007,"Calgary Heritage/Calgary Heritage"," 147","Calgary",162,9,0,11,4,0,3,0,189,481
48007,"Calgary Heritage/Calgary Heritage"," 148","Calgary",156,28,0,18,2,0,4,2,210,442
48007,"Calgary Heritage/Calgary Heritage"," 149","Calgary",205,25,3,29,5,0,8,1,276,523
48007,"Calgary Heritage/Calgary Heritage"," 150","Calgary",142,27,0,19,1,0,6,0,195,446
48007,"Calgary Heritage/Calgary Heritage"," 151","Calgary",170,34,4,27,3,0,5,1,244,536
48007,"Calgary Heritage/Calgary Heritage"," 152","Calgary",155,25,0,30,1,1,6,1,219,533
48007,"Calgary Heritage/Calgary Heritage"," 153","Calgary",136,18,0,16,2,0,1,0,173,468
48007,"Calgary Heritage/Calgary Heritage"," 154","Calgary",120,29,0,16,1,0,0,1,167,478
48007,"Calgary Heritage/Calgary Heritage"," 155","Calgary",157,30,2,29,1,1,2,0,222,503
48007,"Calgary Heritage/Calgary Heritage"," 156","Calgary",169,25,0,17,0,1,1,0,213,471
48007,"Calgary Heritage/Calgary Heritage"," 157","Calgary",164,23,0,23,6,1,2,0,219,429
48007,"Calgary Heritage/Calgary Heritage"," 158","Calgary",182,33,0,12,2,0,9,0,238,577
48007,"Calgary Heritage/Calgary Heritage"," 159","Calgary",138,19,1,15,2,0,4,0,179,456
48007,"Calgary Heritage/Calgary Heritage"," 160","Calgary",159,41,2,19,4,0,5,1,231,611
48007,"Calgary Heritage/Calgary Heritage"," 161","Calgary",143,40,3,8,4,0,4,0,202,552
48007,"Calgary Heritage/Calgary Heritage"," 162","Calgary",174,25,1,20,5,1,3,0,229,481
48007,"Calgary Heritage/Calgary Heritage"," 163","Calgary",157,24,1,19,2,1,6,0,210,455
48007,"Calgary Heritage/Calgary Heritage"," 164","Calgary",106,37,1,19,4,1,8,1,177,398
48007,"Calgary Heritage/Calgary Heritage"," 165","Calgary",173,16,0,12,6,0,4,3,214,434
48007,"Calgary Heritage/Calgary Heritage"," 166","Calgary",190,39,2,14,3,0,1,1,250,595
48007,"Calgary Heritage/Calgary Heritage"," 167","Calgary",198,34,1,32,4,3,2,2,276,543
48007,"Calgary Heritage/Calgary Heritage"," 168","Calgary",150,21,0,13,2,1,3,0,190,421
48007,"Calgary Heritage/Calgary Heritage"," 169","Calgary",178,31,1,29,0,1,4,2,246,518
48007,"Calgary Heritage/Calgary Heritage"," 170","Calgary",158,21,1,25,7,1,4,2,219,476
48007,"Calgary Heritage/Calgary Heritage"," 171","Calgary",180,31,0,28,3,1,5,4,252,553
48007,"Calgary Heritage/Calgary Heritage"," 172","Calgary",192,46,3,31,12,0,4,0,288,584
48007,"Calgary Heritage/Calgary Heritage"," 400","Calgary",88,19,2,24,4,0,8,0,145,357
48007,"Calgary Heritage/Calgary Heritage"," 500","Mobile poll/Bureau itinérant",139,27,1,7,1,3,1,3,182,414
48007,"Calgary Heritage/Calgary Heritage"," 501A","Calgary",Merged with No./Fusionné avec le n°20,,,,,,,,,42
48007,"Calgary Heritage/Calgary Heritage"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,,200
48007,"Calgary Heritage/Calgary Heritage"," 502","Mobile poll/Bureau itinérant",168,37,8,12,6,4,4,5,244,336
48007,"Calgary Heritage/Calgary Heritage"," 503","Mobile poll/Bureau itinérant",93,38,3,11,1,4,6,4,160,218
48007,"Calgary Heritage/Calgary Heritage"," 600","Calgary",725,141,1,56,12,3,35,5,978,
48007,"Calgary Heritage/Calgary Heritage"," 601","Calgary",701,110,1,72,21,3,51,1,960,
48007,"Calgary Heritage/Calgary Heritage"," 602","Calgary",531,123,3,71,19,3,33,4,787,
48007,"Calgary Heritage/Calgary Heritage"," 603","Calgary",901,139,3,64,25,1,37,4,1174,
48007,"Calgary Heritage/Calgary Heritage"," 604","Calgary",574,131,5,84,35,3,40,3,875,
48007,"Calgary Heritage/Calgary Heritage"," 605","Calgary",693,125,6,113,23,3,38,5,1006,
48007,"Calgary Heritage/Calgary Heritage"," 606","Calgary",602,94,1,66,17,2,35,4,821,
48007,"Calgary Heritage/Calgary Heritage"," 607","Calgary",480,104,0,39,12,6,43,2,686,
48007,"Calgary Heritage/Calgary Heritage"," 608","Calgary",762,95,0,53,11,6,27,6,960,
48007,"Calgary Heritage/Calgary Heritage"," 609","Calgary",725,111,1,47,20,8,40,0,952,
48007,"Calgary Heritage/Calgary Heritage"," 610","Calgary",716,117,3,62,11,5,26,4,944,
48007,"Calgary Heritage/Calgary Heritage"," 611","Calgary",644,141,0,94,20,3,37,1,940,
48007,"Calgary Heritage/Calgary Heritage"," 612","Calgary",1340,121,3,55,30,2,20,0,1571,
48007,"Calgary Heritage/Calgary Heritage"," 613","Calgary",776,101,3,55,11,4,18,0,968,
48007,"Calgary Heritage/Calgary Heritage"," 614","Calgary",1018,145,1,69,24,1,18,4,1280,
48007,"Calgary Heritage/Calgary Heritage"," 615","Calgary",757,87,1,68,9,3,27,1,953,
48007,"Calgary Heritage/Calgary Heritage"," 616","Calgary",788,84,0,63,12,2,12,2,963,
48007,"Calgary Heritage/Calgary Heritage",,Group 1/Groupe 1, 90,67,0,17,2,1,20,17,214,300
48007,"Calgary Heritage/Calgary Heritage",,Group 2/Groupe 2, 1630,328,4,223,45,6,95,43,2374,
