Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jag Anand,William Carnegie,Jasraj Singh Hallan,Dave Levesque,Brent Nichols,Joe Pimlott,William James Ryder,Esther Sutherland,Jonathan Trautman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 115","Calgary",33,4,110,5,2,20,1,2,0,0,177,444
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 116","Calgary",38,8,82,12,0,17,0,0,0,3,160,434
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 117","Calgary",37,6,129,5,2,19,1,3,1,1,204,435
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 118","Calgary",34,6,110,4,5,14,0,0,2,0,175,403
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 119","Calgary",24,6,124,5,2,27,0,0,2,0,190,454
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 120","Calgary",36,7,133,2,1,22,0,2,0,0,203,484
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 121","Calgary",22,1,100,6,5,17,1,1,1,7,161,399
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 122","Calgary",29,8,95,5,2,33,0,0,0,2,174,490
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 123","Calgary",29,10,97,5,2,30,0,1,2,0,176,445
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 124","Calgary",23,8,77,1,2,16,0,1,0,2,130,311
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 125A","Calgary",23,13,68,2,2,20,0,0,0,1,129,341
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 125B","Calgary",29,11,57,3,1,11,0,0,0,2,114,305
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 126","Calgary",25,2,66,7,4,15,0,0,1,5,125,401
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 127","Calgary",28,13,94,11,4,31,0,2,1,3,187,398
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 128","Calgary",15,5,64,6,0,14,0,0,2,3,109,376
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 129","Calgary",32,8,111,8,0,13,1,0,2,0,175,406
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 130","Calgary",35,7,102,7,3,13,0,3,0,1,171,401
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 131","Calgary",28,9,156,9,5,25,0,1,4,0,237,468
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 132A","Calgary",21,3,80,3,1,11,0,0,0,0,119,326
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 132B","Calgary",11,1,10,0,1,1,1,1,0,1,27,85
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 133","Calgary",19,6,106,3,1,13,0,0,1,0,149,322
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 134","Calgary",39,4,82,5,2,14,0,1,0,6,153,401
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 135","Calgary",23,3,65,3,2,23,0,0,1,3,123,372
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 136","Calgary",27,8,76,8,2,9,0,2,2,3,137,380
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 137","Calgary",29,2,88,6,4,20,1,4,1,3,158,400
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 138","Calgary",32,6,119,2,1,17,2,0,1,1,181,417
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 139","Calgary",45,6,106,8,3,18,0,1,0,0,187,409
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 140","Calgary",30,8,109,4,0,21,0,2,0,1,175,391
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 141","Calgary",28,8,86,0,5,14,0,4,0,0,145,449
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 142","Calgary",21,5,69,4,1,20,0,0,0,1,121,455
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 143","Calgary",23,8,50,4,3,12,1,0,0,0,101,472
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 144","Calgary",19,6,68,7,4,12,0,1,0,0,117,426
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 145","Calgary",17,7,74,7,0,22,0,3,0,1,131,453
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 146","Calgary",23,8,91,9,1,17,0,1,0,0,150,424
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 147","Calgary",23,9,127,13,2,31,0,0,0,0,205,401
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 148","Calgary",17,9,98,12,4,23,0,1,0,0,164,412
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 149","Calgary",27,6,76,3,0,21,0,0,0,0,133,305
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 150","Calgary",15,4,124,8,4,14,2,2,0,0,173,338
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 151","Calgary",37,8,121,7,0,13,0,0,2,3,191,450
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 152","Calgary",25,7,93,9,0,16,0,0,0,3,153,397
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 153","Calgary",33,4,90,6,0,27,0,1,0,2,163,442
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 154","Calgary",29,4,115,1,1,20,0,0,1,3,174,426
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 155","Calgary",40,3,108,4,2,17,0,4,1,2,181,496
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 156","Calgary",21,4,63,2,3,23,0,3,2,4,125,366
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 157","Calgary",13,4,49,2,0,14,0,0,0,0,82,228
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 158","Calgary",34,5,95,12,1,21,1,1,1,5,176,439
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 159","Calgary",30,2,75,2,2,25,0,1,0,0,137,374
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 160","Calgary",36,6,86,10,4,14,0,1,1,0,158,469
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 161","Calgary",21,6,134,5,2,26,0,0,1,2,197,452
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 162","Calgary",15,10,107,11,1,26,0,2,0,0,172,447
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 163","Calgary",13,8,90,3,4,5,0,2,1,0,126,510
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 164","Calgary",12,7,40,3,0,13,0,0,0,2,77,288
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 165","Calgary",12,7,40,3,0,13,0,0,0,2,77,417
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 166","Calgary",18,3,86,6,3,23,0,1,1,0,141,461
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 167","Calgary",27,3,42,6,1,12,0,3,0,1,95,374
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 168","Calgary",26,7,105,7,1,13,0,1,3,0,163,464
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 169","Calgary",21,12,103,9,3,13,0,1,0,1,163,450
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 170","Calgary",15,6,70,5,3,10,2,1,0,3,115,404
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 171","Calgary",23,10,90,4,2,13,0,0,3,2,147,459
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 172","Calgary",13,0,84,1,0,10,0,0,0,1,109,307
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 173","Calgary",21,1,112,5,0,23,1,0,0,0,163,440
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 174","Calgary",31,6,125,13,1,16,0,0,1,2,195,517
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 175","Calgary",41,2,99,8,0,18,1,0,1,0,170,451
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 176","Calgary",42,2,138,4,1,24,1,1,0,4,217,495
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 177","Calgary",41,2,96,3,1,9,2,1,0,0,155,456
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 178","Rocky View No. 44",26,5,71,3,1,22,0,0,0,5,133,363
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 179A","Calgary",27,8,76,4,0,13,1,1,1,1,132,356
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 179B","Calgary",29,1,83,5,1,11,0,0,0,2,132,353
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 180","Calgary",25,2,87,3,4,12,2,0,0,6,141,468
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 181","Calgary",20,3,82,5,0,16,0,0,0,2,128,369
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 500","Mobile poll/Bureau itinérant",9,3,30,1,0,5,0,1,0,0,49,88
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 501","Mobile poll/Bureau itinérant",37,2,50,1,0,3,1,0,2,1,97,168
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 600","Calgary",61,13,288,9,0,41,0,0,0,1,413,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 601","Calgary",147,9,443,14,5,55,1,0,1,3,678,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 602","Calgary",206,24,558,22,5,68,3,3,1,6,896,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 603","Calgary",218,16,528,12,2,91,0,4,3,4,878,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 604","Calgary",203,6,365,7,2,48,1,2,0,0,634,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 605","Calgary",177,12,552,31,10,57,3,6,0,0,848,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 606","Calgary",85,22,401,19,4,48,2,2,1,1,585,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 607","Calgary",68,15,331,10,6,33,0,3,1,0,467,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 608","Calgary",90,27,341,15,3,65,0,3,0,4,548,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 609","Calgary",66,20,327,17,5,39,0,2,0,1,477,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 610","Calgary",87,36,401,29,13,42,2,6,1,7,624,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 611","Calgary",80,13,423,6,5,40,2,1,2,4,576,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 612","Calgary",119,24,510,23,7,77,1,4,0,4,769,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 613","Calgary",100,29,531,15,7,74,0,3,1,4,764,
48006,"Calgary Forest Lawn/Calgary Forest Lawn",,Group 1/Groupe 1, 46,10,31,3,0,17,3,0,0,11,121,143
48006,"Calgary Forest Lawn/Calgary Forest Lawn",,Group 2/Groupe 2, 239,49,537,30,9,120,5,9,2,27,1027,
