Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sharma Baljeet,Rejeanne Caron,Billie Cross,Ben Linnick,Adam McAllister,Dan Vandal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 102","Winnipeg",3,57,70,15,8,87,0,240,493
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 103","Winnipeg",1,67,46,20,10,103,0,247,483
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 104","Winnipeg",4,77,45,18,7,124,0,275,457
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 105","Winnipeg",4,90,48,14,4,71,1,232,424
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 106","Winnipeg",2,107,50,16,1,134,1,311,543
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 107","Winnipeg",2,38,40,6,1,37,0,124,305
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 108","Winnipeg",2,28,43,7,0,42,1,123,411
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 109A","Winnipeg",3,49,37,8,1,55,1,154,382
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 109B","Winnipeg",Merged with No./Fusionné avec le n°408,,,,,,,,91
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 110","Winnipeg",5,59,34,9,3,106,1,217,467
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 111","Winnipeg",0,48,33,8,2,54,1,146,348
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 112","Winnipeg",0,80,35,9,3,113,2,242,411
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 113","Winnipeg",1,73,61,12,3,111,1,262,537
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 114","Winnipeg",0,63,27,11,3,88,0,192,411
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 115","Winnipeg",1,86,23,11,0,84,1,206,421
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 116","Winnipeg",0,86,27,9,2,95,1,220,444
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 117","Winnipeg",0,36,30,3,4,59,0,132,360
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 118","Winnipeg",4,24,18,2,1,35,0,84,304
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 119A","Winnipeg",3,54,29,8,7,87,1,189,264
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 119B","Winnipeg",Merged with No./Fusionné avec le n°107,,,,,,,,64
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 120","Winnipeg",5,50,57,14,3,107,2,238,542
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 121","Winnipeg",5,75,66,8,6,74,2,236,517
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 122","Winnipeg",0,113,60,12,7,133,0,325,510
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 123","Winnipeg",0,93,43,18,5,156,2,317,522
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 124","Winnipeg",3,74,46,16,2,127,0,268,511
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 125","Winnipeg",1,81,24,14,0,152,2,274,475
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 126","Winnipeg",0,99,26,10,4,94,1,234,501
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 127","Winnipeg",0,74,30,10,3,62,2,181,371
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 128","Winnipeg",1,101,42,9,1,75,3,232,416
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 129","Winnipeg",1,139,36,9,1,109,0,295,576
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 130A","Winnipeg",2,62,23,8,1,66,0,162,344
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 130B","Winnipeg",0,52,19,7,1,51,0,130,311
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 131","Winnipeg",1,119,44,10,4,96,1,275,563
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 132A","Winnipeg",3,63,15,12,0,84,1,178,393
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 132B","Winnipeg",0,8,2,0,0,8,0,18,79
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 133","Winnipeg",2,122,34,12,3,94,0,267,537
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 134","Winnipeg",2,119,63,17,6,124,1,332,606
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 135","Winnipeg",1,119,44,14,1,114,1,294,517
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 136","Winnipeg",1,128,43,11,1,96,1,281,460
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 137","Winnipeg",2,117,53,9,1,120,0,302,581
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 138","Winnipeg",0,143,42,13,3,125,2,328,628
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 139","Winnipeg",0,100,42,11,6,99,0,258,456
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 140","Winnipeg",2,144,21,18,1,81,0,267,529
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 141","Winnipeg",1,88,38,18,3,90,1,239,400
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 142","Winnipeg",0,79,28,6,0,61,0,174,354
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 143","Winnipeg",1,89,39,10,2,81,3,225,353
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 144","Winnipeg",1,94,40,6,1,95,1,238,422
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 145","Winnipeg",2,76,31,10,3,92,0,214,374
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 146","Winnipeg",0,77,40,10,0,78,4,209,422
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 147A","Winnipeg",2,94,49,8,1,103,0,257,506
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 147B","Winnipeg",4,116,52,8,2,92,3,277,513
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 148A","Winnipeg",2,66,19,5,1,60,1,154,341
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 148B","Winnipeg",0,62,15,3,1,57,0,138,326
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 149","Winnipeg",1,60,21,5,4,69,0,160,356
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 150A","Winnipeg",0,71,18,5,2,79,0,175,397
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 150B","Winnipeg",0,95,23,5,0,91,0,214,424
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 151","Winnipeg",0,157,32,12,8,89,2,300,567
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 400","Winnipeg",1,13,2,15,1,102,2,136,156
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 401","Winnipeg",1,24,7,4,1,65,3,105,137
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 402","Winnipeg",3,20,24,13,3,46,1,110,176
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 403","Winnipeg",0,57,35,11,2,88,2,195,275
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 404","Winnipeg",3,52,15,11,2,74,1,158,235
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 405","Winnipeg",5,123,48,19,4,138,6,343,258
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 406","Winnipeg",6,50,11,7,0,71,0,145,189
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 407","Winnipeg",3,60,23,8,4,60,1,159,242
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 408","Winnipeg",0,48,11,4,1,21,1,86,29
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 409","Winnipeg",1,64,9,8,2,57,2,143,191
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 500","Mobile poll/Bureau itinérant",0,22,5,2,1,131,2,163,226
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 501","Mobile poll/Bureau itinérant",1,13,12,4,2,99,1,132,196
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 600","Winnipeg",3,132,96,67,6,425,4,733,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 601","Winnipeg",2,129,106,61,7,403,2,710,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 602","Winnipeg",6,159,85,49,9,259,2,569,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 603","Winnipeg",2,319,131,36,11,389,1,889,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 604","Winnipeg",2,297,94,38,8,307,5,751,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 605","Winnipeg",3,168,116,58,3,267,4,619,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 606","Winnipeg",2,234,73,19,4,188,0,520,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 607","Winnipeg",2,221,93,41,4,261,2,624,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 608","Winnipeg",8,283,84,42,8,333,3,761,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 609","Winnipeg",4,329,85,40,8,324,6,796,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 610","Winnipeg",4,542,136,58,6,519,4,1269,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 611","Winnipeg",1,613,120,34,13,429,5,1215,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 612","Winnipeg",2,594,103,42,12,478,1,1232,
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital",,Group 1/Groupe 1, 4,27,18,5,2,65,9,130,139
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital",,Group 2/Groupe 2, 5,413,186,98,20,557,39,1318,
