Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sara McCleary,Geo McLean,Terry Sheehan,Sonny Spina,Amy Zuccato,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35092,"Sault Ste. Marie/Sault Ste. Marie"," 39","Sault Ste. Marie",40,10,133,102,1,0,286,467
35092,"Sault Ste. Marie/Sault Ste. Marie"," 40A","Sault Ste. Marie",45,7,116,81,4,0,253,410
35092,"Sault Ste. Marie/Sault Ste. Marie"," 40B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504B,,,,,,,99
35092,"Sault Ste. Marie/Sault Ste. Marie"," 41","Sault Ste. Marie",63,7,73,61,3,2,209,418
35092,"Sault Ste. Marie/Sault Ste. Marie"," 42","Sault Ste. Marie",42,6,96,68,0,9,221,343
35092,"Sault Ste. Marie/Sault Ste. Marie"," 43","Sault Ste. Marie",46,11,101,62,2,2,224,389
35092,"Sault Ste. Marie/Sault Ste. Marie"," 44","Sault Ste. Marie",51,7,86,50,5,1,200,384
35092,"Sault Ste. Marie/Sault Ste. Marie"," 45","Sault Ste. Marie",45,7,49,51,3,1,156,379
35092,"Sault Ste. Marie/Sault Ste. Marie"," 46","Sault Ste. Marie",44,14,89,87,1,2,237,443
35092,"Sault Ste. Marie/Sault Ste. Marie"," 47","Sault Ste. Marie",38,9,78,92,4,0,221,387
35092,"Sault Ste. Marie/Sault Ste. Marie"," 48","Sault Ste. Marie",68,6,46,36,3,4,163,421
35092,"Sault Ste. Marie/Sault Ste. Marie"," 49","Sault Ste. Marie",53,11,76,104,5,2,251,466
35092,"Sault Ste. Marie/Sault Ste. Marie"," 50","Sault Ste. Marie",51,7,127,99,2,3,289,494
35092,"Sault Ste. Marie/Sault Ste. Marie"," 51","Sault Ste. Marie",55,7,83,78,7,4,234,438
35092,"Sault Ste. Marie/Sault Ste. Marie"," 52","Sault Ste. Marie",53,5,145,93,5,3,304,512
35092,"Sault Ste. Marie/Sault Ste. Marie"," 53","Sault Ste. Marie",81,10,79,68,2,2,242,431
35092,"Sault Ste. Marie/Sault Ste. Marie"," 54","Sault Ste. Marie",55,7,102,71,3,3,241,418
35092,"Sault Ste. Marie/Sault Ste. Marie"," 55","Sault Ste. Marie",50,2,67,77,3,3,202,412
35092,"Sault Ste. Marie/Sault Ste. Marie"," 56","Sault Ste. Marie",67,25,125,78,2,3,300,613
35092,"Sault Ste. Marie/Sault Ste. Marie"," 57","Sault Ste. Marie",63,10,69,51,3,0,196,383
35092,"Sault Ste. Marie/Sault Ste. Marie"," 58","Sault Ste. Marie",26,5,69,36,5,3,144,273
35092,"Sault Ste. Marie/Sault Ste. Marie"," 59","Sault Ste. Marie",49,15,119,76,5,3,267,473
35092,"Sault Ste. Marie/Sault Ste. Marie"," 60","Sault Ste. Marie",35,6,120,68,6,3,238,461
35092,"Sault Ste. Marie/Sault Ste. Marie"," 61","Sault Ste. Marie",42,2,111,70,1,0,226,352
35092,"Sault Ste. Marie/Sault Ste. Marie"," 62","Sault Ste. Marie",20,3,88,92,3,1,207,382
35092,"Sault Ste. Marie/Sault Ste. Marie"," 63","Sault Ste. Marie",38,9,111,73,1,3,235,399
35092,"Sault Ste. Marie/Sault Ste. Marie"," 64","Sault Ste. Marie",49,9,84,56,5,2,205,349
35092,"Sault Ste. Marie/Sault Ste. Marie"," 65","Sault Ste. Marie",82,9,89,84,5,3,272,418
35092,"Sault Ste. Marie/Sault Ste. Marie"," 66","Sault Ste. Marie",83,14,76,89,6,3,271,467
35092,"Sault Ste. Marie/Sault Ste. Marie"," 67","Sault Ste. Marie",45,9,69,54,3,1,181,377
35092,"Sault Ste. Marie/Sault Ste. Marie"," 68","Sault Ste. Marie",40,8,71,88,6,0,213,393
35092,"Sault Ste. Marie/Sault Ste. Marie"," 69","Sault Ste. Marie",51,13,66,70,4,1,205,429
35092,"Sault Ste. Marie/Sault Ste. Marie"," 70","Sault Ste. Marie",63,6,49,63,7,0,188,417
35092,"Sault Ste. Marie/Sault Ste. Marie"," 71","Sault Ste. Marie",55,6,70,55,4,1,191,419
35092,"Sault Ste. Marie/Sault Ste. Marie"," 72","Sault Ste. Marie",58,7,59,48,3,3,178,452
35092,"Sault Ste. Marie/Sault Ste. Marie"," 73","Sault Ste. Marie",42,4,50,40,3,1,140,391
35092,"Sault Ste. Marie/Sault Ste. Marie"," 74","Sault Ste. Marie",50,7,45,38,2,0,142,316
35092,"Sault Ste. Marie/Sault Ste. Marie"," 75","Sault Ste. Marie",61,14,97,59,4,2,237,390
35092,"Sault Ste. Marie/Sault Ste. Marie"," 76","Sault Ste. Marie",26,8,115,58,7,0,214,374
35092,"Sault Ste. Marie/Sault Ste. Marie"," 77","Sault Ste. Marie",26,4,36,44,10,1,121,203
35092,"Sault Ste. Marie/Sault Ste. Marie"," 78","Sault Ste. Marie",37,11,118,40,4,3,213,355
35092,"Sault Ste. Marie/Sault Ste. Marie"," 79","Sault Ste. Marie",66,8,64,41,4,3,186,373
35092,"Sault Ste. Marie/Sault Ste. Marie"," 80","Sault Ste. Marie",41,10,69,64,1,1,186,378
35092,"Sault Ste. Marie/Sault Ste. Marie"," 81","Sault Ste. Marie",35,6,54,51,6,1,153,263
35092,"Sault Ste. Marie/Sault Ste. Marie"," 82","Sault Ste. Marie",62,13,48,36,4,1,164,359
35092,"Sault Ste. Marie/Sault Ste. Marie"," 83","Sault Ste. Marie",66,11,72,88,3,1,241,455
35092,"Sault Ste. Marie/Sault Ste. Marie"," 84","Sault Ste. Marie",67,14,56,71,9,1,218,381
35092,"Sault Ste. Marie/Sault Ste. Marie"," 85","Sault Ste. Marie",55,5,55,27,2,1,145,347
35092,"Sault Ste. Marie/Sault Ste. Marie"," 86","Sault Ste. Marie",70,7,43,37,4,0,161,449
35092,"Sault Ste. Marie/Sault Ste. Marie"," 87","Sault Ste. Marie",38,5,71,38,5,0,157,464
35092,"Sault Ste. Marie/Sault Ste. Marie"," 88","Sault Ste. Marie",43,7,53,31,4,1,139,336
35092,"Sault Ste. Marie/Sault Ste. Marie"," 89","Sault Ste. Marie",76,8,99,85,6,1,275,559
35092,"Sault Ste. Marie/Sault Ste. Marie"," 90","Sault Ste. Marie",42,12,63,51,3,4,175,352
35092,"Sault Ste. Marie/Sault Ste. Marie"," 91","Sault Ste. Marie",58,9,48,35,9,0,159,303
35092,"Sault Ste. Marie/Sault Ste. Marie"," 92","Sault Ste. Marie",59,8,72,75,2,0,216,388
35092,"Sault Ste. Marie/Sault Ste. Marie"," 93","Sault Ste. Marie",68,11,90,71,4,0,244,448
35092,"Sault Ste. Marie/Sault Ste. Marie"," 94","Sault Ste. Marie",37,12,95,96,3,0,243,457
35092,"Sault Ste. Marie/Sault Ste. Marie"," 95","Sault Ste. Marie",87,14,99,65,6,0,271,432
35092,"Sault Ste. Marie/Sault Ste. Marie"," 96","Sault Ste. Marie",81,11,77,64,2,0,235,440
35092,"Sault Ste. Marie/Sault Ste. Marie"," 97","Sault Ste. Marie",41,7,95,73,1,0,217,405
35092,"Sault Ste. Marie/Sault Ste. Marie"," 98","Sault Ste. Marie",38,8,64,40,1,1,152,293
35092,"Sault Ste. Marie/Sault Ste. Marie"," 99","Sault Ste. Marie",51,17,124,106,2,2,302,478
35092,"Sault Ste. Marie/Sault Ste. Marie"," 100","Sault Ste. Marie",43,6,62,52,3,0,166,402
35092,"Sault Ste. Marie/Sault Ste. Marie"," 101","Sault Ste. Marie",45,8,104,68,2,2,229,363
35092,"Sault Ste. Marie/Sault Ste. Marie"," 102","Sault Ste. Marie",51,4,79,66,2,3,205,377
35092,"Sault Ste. Marie/Sault Ste. Marie"," 103","Sault Ste. Marie",56,2,69,43,3,0,173,385
35092,"Sault Ste. Marie/Sault Ste. Marie"," 104","Sault Ste. Marie",77,7,108,63,3,0,258,534
35092,"Sault Ste. Marie/Sault Ste. Marie"," 105","Sault Ste. Marie",50,5,97,56,3,7,218,401
35092,"Sault Ste. Marie/Sault Ste. Marie"," 106","Sault Ste. Marie",32,3,69,54,3,1,162,290
35092,"Sault Ste. Marie/Sault Ste. Marie"," 107","Sault Ste. Marie",53,10,53,51,5,2,174,345
35092,"Sault Ste. Marie/Sault Ste. Marie"," 108","Sault Ste. Marie",60,8,35,53,6,2,164,383
35092,"Sault Ste. Marie/Sault Ste. Marie"," 109","Sault Ste. Marie",51,6,41,31,4,4,137,330
35092,"Sault Ste. Marie/Sault Ste. Marie"," 110","Sault Ste. Marie",43,3,58,37,2,3,146,321
35092,"Sault Ste. Marie/Sault Ste. Marie"," 111","Sault Ste. Marie",49,16,74,49,1,0,189,332
35092,"Sault Ste. Marie/Sault Ste. Marie"," 112","Sault Ste. Marie",39,8,101,74,1,1,224,368
35092,"Sault Ste. Marie/Sault Ste. Marie"," 113","Sault Ste. Marie",52,14,78,52,0,0,196,364
35092,"Sault Ste. Marie/Sault Ste. Marie"," 114","Sault Ste. Marie",25,9,91,63,1,0,189,328
35092,"Sault Ste. Marie/Sault Ste. Marie"," 115","Sault Ste. Marie",46,10,56,48,10,2,172,335
35092,"Sault Ste. Marie/Sault Ste. Marie"," 116","Sault Ste. Marie",60,7,118,35,6,1,227,372
35092,"Sault Ste. Marie/Sault Ste. Marie"," 117","Sault Ste. Marie",28,5,82,42,4,4,165,377
35092,"Sault Ste. Marie/Sault Ste. Marie"," 118","Sault Ste. Marie",51,9,64,57,5,3,189,431
35092,"Sault Ste. Marie/Sault Ste. Marie"," 119","Sault Ste. Marie",50,11,56,66,6,1,190,452
35092,"Sault Ste. Marie/Sault Ste. Marie"," 120","Sault Ste. Marie",72,6,57,56,6,2,199,482
35092,"Sault Ste. Marie/Sault Ste. Marie"," 121","Sault Ste. Marie",64,15,49,44,6,3,181,441
35092,"Sault Ste. Marie/Sault Ste. Marie"," 122","Sault Ste. Marie",49,5,13,35,7,0,109,421
35092,"Sault Ste. Marie/Sault Ste. Marie"," 123","Sault Ste. Marie",43,11,34,21,7,1,117,398
35092,"Sault Ste. Marie/Sault Ste. Marie"," 124","Sault Ste. Marie",43,4,32,17,1,1,98,313
35092,"Sault Ste. Marie/Sault Ste. Marie"," 125","Sault Ste. Marie",73,7,76,73,9,3,241,484
35092,"Sault Ste. Marie/Sault Ste. Marie"," 126","Sault Ste. Marie",49,16,96,85,4,7,257,450
35092,"Sault Ste. Marie/Sault Ste. Marie"," 127","Sault Ste. Marie",49,4,46,57,6,2,164,449
35092,"Sault Ste. Marie/Sault Ste. Marie"," 128","Sault Ste. Marie",43,3,43,57,4,0,150,403
35092,"Sault Ste. Marie/Sault Ste. Marie"," 129","Sault Ste. Marie",55,12,48,56,7,5,183,439
35092,"Sault Ste. Marie/Sault Ste. Marie"," 130","Sault Ste. Marie",44,6,92,91,6,0,239,408
35092,"Sault Ste. Marie/Sault Ste. Marie"," 131","Sault Ste. Marie",29,10,81,93,1,7,221,345
35092,"Sault Ste. Marie/Sault Ste. Marie"," 132","Sault Ste. Marie",28,3,86,61,0,2,180,317
35092,"Sault Ste. Marie/Sault Ste. Marie"," 133","Sault Ste. Marie",46,9,109,85,4,1,254,417
35092,"Sault Ste. Marie/Sault Ste. Marie"," 134","Sault Ste. Marie",63,13,90,76,5,0,247,424
35092,"Sault Ste. Marie/Sault Ste. Marie"," 135","Sault Ste. Marie",49,10,143,104,2,2,310,478
35092,"Sault Ste. Marie/Sault Ste. Marie"," 136","Sault Ste. Marie",42,14,91,84,2,0,233,380
35092,"Sault Ste. Marie/Sault Ste. Marie"," 137","Sault Ste. Marie",23,10,103,82,2,2,222,365
35092,"Sault Ste. Marie/Sault Ste. Marie"," 138","Sault Ste. Marie",47,11,71,38,5,1,173,412
35092,"Sault Ste. Marie/Sault Ste. Marie"," 139","Sault Ste. Marie",40,8,65,51,1,0,165,340
35092,"Sault Ste. Marie/Sault Ste. Marie"," 140","Sault Ste. Marie",39,8,128,54,2,0,231,379
35092,"Sault Ste. Marie/Sault Ste. Marie"," 141","Sault Ste. Marie",78,18,71,55,2,0,224,500
35092,"Sault Ste. Marie/Sault Ste. Marie"," 142","Sault Ste. Marie",70,10,107,45,4,0,236,409
35092,"Sault Ste. Marie/Sault Ste. Marie"," 143","Sault Ste. Marie",80,17,63,46,2,2,210,424
35092,"Sault Ste. Marie/Sault Ste. Marie"," 144","Sault Ste. Marie",43,9,81,48,1,0,182,357
35092,"Sault Ste. Marie/Sault Ste. Marie"," 145","Sault Ste. Marie",62,11,69,44,5,1,192,500
35092,"Sault Ste. Marie/Sault Ste. Marie"," 146","Sault Ste. Marie",77,7,54,43,3,0,184,564
35092,"Sault Ste. Marie/Sault Ste. Marie"," 147","Sault Ste. Marie",31,15,124,70,2,6,248,453
35092,"Sault Ste. Marie/Sault Ste. Marie"," 148","Sault Ste. Marie",22,2,66,40,0,1,131,313
35092,"Sault Ste. Marie/Sault Ste. Marie"," 149","Sault Ste. Marie",25,8,42,40,3,2,120,261
35092,"Sault Ste. Marie/Sault Ste. Marie"," 150","Sault Ste. Marie",41,10,91,58,1,1,202,368
35092,"Sault Ste. Marie/Sault Ste. Marie"," 151","Sault Ste. Marie",39,8,97,50,1,2,197,351
35092,"Sault Ste. Marie/Sault Ste. Marie"," 152","Sault Ste. Marie",29,3,118,82,1,0,233,399
35092,"Sault Ste. Marie/Sault Ste. Marie"," 153","Sault Ste. Marie",60,13,125,57,1,0,256,419
35092,"Sault Ste. Marie/Sault Ste. Marie"," 154","Sault Ste. Marie",38,10,168,67,2,0,285,516
35092,"Sault Ste. Marie/Sault Ste. Marie"," 155","Sault Ste. Marie",29,10,90,59,1,1,190,356
35092,"Sault Ste. Marie/Sault Ste. Marie"," 156","Sault Ste. Marie",45,12,55,49,1,0,162,437
35092,"Sault Ste. Marie/Sault Ste. Marie"," 157","Sault Ste. Marie",50,10,106,48,4,1,219,344
35092,"Sault Ste. Marie/Sault Ste. Marie"," 158","Sault Ste. Marie",42,7,126,44,3,1,223,431
35092,"Sault Ste. Marie/Sault Ste. Marie"," 159","Sault Ste. Marie",26,11,151,94,3,4,289,537
35092,"Sault Ste. Marie/Sault Ste. Marie"," 160","Sault Ste. Marie",53,8,92,93,6,1,253,443
35092,"Sault Ste. Marie/Sault Ste. Marie"," 161","Sault Ste. Marie",40,7,69,105,5,1,227,385
35092,"Sault Ste. Marie/Sault Ste. Marie"," 162","Sault Ste. Marie",39,18,91,110,3,3,264,429
35092,"Sault Ste. Marie/Sault Ste. Marie"," 400","Sault Ste. Marie",20,6,71,24,1,2,124,368
35092,"Sault Ste. Marie/Sault Ste. Marie"," 500A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,89
35092,"Sault Ste. Marie/Sault Ste. Marie"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,21
35092,"Sault Ste. Marie/Sault Ste. Marie"," 500C","Sault Ste. Marie",Merged with No./Fusionné avec le n°74,,,,,,,25
35092,"Sault Ste. Marie/Sault Ste. Marie"," 501A","Mobile poll/Bureau itinérant",19,5,54,24,3,1,106,121
35092,"Sault Ste. Marie/Sault Ste. Marie"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502B,,,,,,,101
35092,"Sault Ste. Marie/Sault Ste. Marie"," 502A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,16
35092,"Sault Ste. Marie/Sault Ste. Marie"," 502B","Mobile poll/Bureau itinérant",12,6,44,37,2,3,104,96
35092,"Sault Ste. Marie/Sault Ste. Marie"," 503","Mobile poll/Bureau itinérant",27,10,91,34,4,11,177,250
35092,"Sault Ste. Marie/Sault Ste. Marie"," 504A","Mobile poll/Bureau itinérant",16,3,66,24,3,1,113,257
35092,"Sault Ste. Marie/Sault Ste. Marie"," 504B","Mobile poll/Bureau itinérant",16,6,56,20,1,1,100,48
35092,"Sault Ste. Marie/Sault Ste. Marie"," 600","Algoma",54,10,66,128,5,0,263,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 601","Sault Ste. Marie",71,29,245,286,12,3,646,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 602","Sault Ste. Marie",64,24,173,177,7,5,450,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 603","Sault Ste. Marie",131,17,189,147,5,5,494,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 604","Sault Ste. Marie",89,22,218,134,8,1,472,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 605","Sault Ste. Marie",80,19,199,161,6,4,469,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 606","Sault Ste. Marie",78,26,342,289,9,3,747,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 607","Sault Ste. Marie",99,30,312,249,4,4,698,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 608","Sault Ste. Marie",136,55,505,321,6,8,1031,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 609","Sault Ste. Marie",108,22,332,231,6,5,704,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 610","Sault Ste. Marie",117,23,169,230,9,4,552,
35092,"Sault Ste. Marie/Sault Ste. Marie",,Group 1/Groupe 1, 20,6,47,12,3,3,91,103
35092,"Sault Ste. Marie/Sault Ste. Marie",,Group 2/Groupe 2, 193,72,440,319,17,31,1072,
