Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Anandasangaree,Jessica Hamilton,Kingsley Kwok,Dilano Sally,Bobby Singh,Mark Theodoru,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 50","Scarborough",124,2,15,0,30,1,2,174,393
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 51","Scarborough",97,2,24,2,10,4,1,140,353
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 52","Scarborough",105,8,35,4,17,4,2,175,415
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 53","Scarborough",189,8,32,2,37,5,2,275,693
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 54","Scarborough",158,5,43,3,48,3,0,260,627
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 55","Scarborough",105,5,13,0,11,4,4,142,341
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 56","Scarborough",112,5,13,3,35,2,0,170,339
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 57","Scarborough",128,10,27,1,38,0,3,207,459
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 58","Scarborough",130,4,33,6,37,1,0,211,422
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 59","Scarborough",122,16,45,4,46,3,1,237,437
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 60","Scarborough",158,10,32,2,37,3,0,242,477
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 61","Scarborough",108,2,30,0,24,3,2,169,385
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 62","Scarborough",189,10,42,9,50,2,1,303,548
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 63","Scarborough",122,9,27,1,52,3,2,216,473
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 64","Scarborough",107,2,22,2,23,0,1,157,451
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 65","Scarborough",148,7,18,2,32,5,0,212,425
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 66","Scarborough",151,5,21,1,32,2,6,218,421
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 67","Scarborough",131,10,29,1,29,3,4,207,446
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 68","Scarborough",90,11,15,2,34,2,1,155,362
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 69","Scarborough",124,7,25,0,35,0,0,191,479
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 70","Scarborough",81,22,14,2,56,0,1,176,390
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 71","Scarborough",109,37,40,0,54,1,0,241,478
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 72","Scarborough",79,13,19,6,51,0,0,168,334
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 73","Scarborough",96,14,16,1,67,1,2,197,402
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 74","Scarborough",79,15,27,4,37,5,2,169,323
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 75","Scarborough",81,13,15,2,43,1,0,155,327
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 76","Scarborough",103,9,20,1,52,1,0,186,365
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 77","Scarborough",124,9,20,1,46,1,0,201,402
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 78","Scarborough",106,15,20,2,46,1,0,190,359
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 79","Scarborough",121,6,15,0,42,2,2,188,387
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 80","Scarborough",144,16,24,4,76,0,0,264,504
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 81","Scarborough",137,5,13,0,54,3,1,213,435
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 82","Scarborough",126,12,29,7,54,2,2,232,482
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 83","Scarborough",106,16,25,4,39,1,0,191,359
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 84","Scarborough",93,11,15,4,53,2,2,180,415
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 85","Scarborough",208,11,48,2,48,5,4,326,666
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 86","Scarborough",145,7,29,8,41,3,0,233,470
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 87","Scarborough",150,8,40,0,56,1,0,255,535
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 88","Scarborough",163,15,40,2,46,6,1,273,571
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 89","Scarborough",170,11,32,0,32,4,1,250,501
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 90","Scarborough",196,3,19,2,51,3,3,277,525
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 91","Scarborough",130,9,23,4,52,5,2,225,421
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 92","Scarborough",145,3,10,3,30,1,1,193,362
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 93","Scarborough",151,7,27,2,36,1,6,230,498
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 94","Scarborough",110,6,18,1,23,2,1,161,386
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 95","Scarborough",112,12,25,1,44,5,0,199,398
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 96","Scarborough",117,6,14,0,34,1,2,174,387
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 97","Scarborough",136,16,29,2,48,0,2,233,538
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 98","Scarborough",94,1,40,3,36,0,0,174,402
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 99","Scarborough",146,9,24,1,31,0,3,214,443
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 100","Scarborough",102,0,15,0,41,3,2,163,403
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 101","Scarborough",137,8,32,0,47,5,4,233,451
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 102","Scarborough",181,7,21,5,40,5,0,259,542
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 103","Scarborough",131,9,17,0,18,2,0,177,338
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 104","Scarborough",103,5,16,0,25,1,0,150,339
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 105","Scarborough",138,5,23,1,26,1,1,195,435
