Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Friesen,Tracy Muggli,Erika Ritchie,Neil Sinclair,Kevin Waugh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 70","Saskatoon",7,46,102,7,160,0,322,533
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 71","Saskatoon",1,43,65,6,115,0,230,436
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 72","Saskatoon",2,48,45,1,129,0,225,492
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 73","Saskatoon",4,38,26,3,77,1,149,339
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 74","Saskatoon",3,60,55,5,112,0,235,448
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 75","Saskatoon",5,31,48,1,99,1,185,387
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 76","Saskatoon",3,38,57,3,141,2,244,512
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 77","Saskatoon",5,36,75,11,102,1,230,502
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 78","Saskatoon",1,33,37,6,92,0,169,377
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 79","Saskatoon",3,18,49,2,124,1,197,472
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 80","Saskatoon",9,35,63,10,126,1,244,542
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 81","Saskatoon",2,27,24,2,110,1,166,409
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 82A","Saskatoon",1,18,26,2,59,0,106,289
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 82B","Saskatoon",4,26,41,3,85,0,159,307
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 83","Saskatoon",2,31,31,4,140,0,208,423
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 84","Saskatoon",1,32,70,3,139,1,246,465
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 85A","Saskatoon",1,25,39,4,72,0,141,328
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 85B","Saskatoon",2,25,49,1,83,0,160,306
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 86","Saskatoon",3,46,63,7,98,1,218,478
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 87","Saskatoon",2,42,74,11,100,0,229,513
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 88","Saskatoon",9,41,68,8,113,2,241,490
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 89A","Saskatoon",7,27,31,5,78,1,149,286
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 89B","Saskatoon",2,21,52,7,81,0,163,307
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 90","Saskatoon",4,56,59,10,148,5,282,529
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 91","Saskatoon",2,36,60,6,117,5,226,512
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 92","Saskatoon",2,44,41,6,83,0,176,423
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 93","Saskatoon",1,26,41,5,104,0,177,454
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 94","Saskatoon",4,33,40,12,111,1,201,438
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 95","Saskatoon",1,34,71,4,118,1,229,514
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 96","Saskatoon",2,19,33,6,123,1,184,416
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 97","Saskatoon",2,38,38,2,142,1,223,510
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 98","Saskatoon",4,31,44,8,106,0,193,417
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 99","Saskatoon",2,27,40,9,123,0,201,460
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 100","Saskatoon",2,40,34,6,145,2,229,436
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 101","Saskatoon",2,33,53,8,143,1,240,484
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 102","Saskatoon",6,31,74,1,140,1,253,461
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 103A","Saskatoon",1,30,46,3,89,0,169,347
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 103B","Saskatoon",1,31,63,4,80,4,183,403
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 104","Saskatoon",4,60,58,9,141,5,277,591
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 105A","Saskatoon",1,11,30,2,111,1,156,312
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 105B","Saskatoon",1,23,39,1,89,1,154,309
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 106","Saskatoon",3,36,40,1,111,2,193,463
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 107","Saskatoon",1,46,59,7,122,4,239,455
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 108","Saskatoon",0,27,30,0,87,1,145,336
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 109","Saskatoon",1,22,13,2,114,0,152,303
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 110","Saskatoon",0,16,20,0,124,1,161,308
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 111","Grasswood",1,25,18,5,92,2,143,288
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 112","Saskatoon",3,32,66,6,134,0,241,517
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 113","Saskatoon",0,35,62,3,87,1,188,397
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 114","Saskatoon",1,42,58,3,144,1,249,491
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 115","Saskatoon",3,23,52,3,145,2,228,506
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 116","Saskatoon",4,49,54,5,106,0,218,465
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 117","Saskatoon",4,35,20,3,117,1,180,441
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 118","Saskatoon",2,44,59,5,149,2,261,496
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 119","Saskatoon",0,32,51,0,152,1,236,461
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 120","Saskatoon",2,29,41,5,123,2,202,403
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 121","Saskatoon",4,54,60,3,143,4,268,560
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 122","Saskatoon",2,27,25,7,93,4,158,311
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 123","Saskatoon",3,32,23,1,135,1,195,432
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 124","Saskatoon",4,31,55,4,157,0,251,518
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 125","Saskatoon",7,48,60,5,131,1,252,550
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 126","Saskatoon",7,42,84,7,141,4,285,606
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 127","Saskatoon",0,17,22,1,59,4,103,230
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 128","Saskatoon",0,39,29,4,122,1,195,451
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 129","Grasswood",8,24,34,5,190,2,263,455
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 130","Corman Park No. 344",7,39,41,9,197,0,293,498
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 131","Corman Park No. 344",2,29,48,14,180,2,275,477
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 132","Grasswood",7,18,55,13,233,2,328,554
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 400","Saskatoon",0,28,34,5,73,5,145,179
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 401","Saskatoon",1,12,11,0,135,3,162,199
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 402","Saskatoon",1,24,17,0,79,8,129,142
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 403","Saskatoon",0,18,18,3,58,6,103,176
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 404","Saskatoon",3,16,8,4,26,3,60,95
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 405","Saskatoon",2,15,10,3,40,1,71,119
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 406","Saskatoon",1,10,8,0,10,2,31,81
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 407","Saskatoon",0,13,19,1,34,1,68,99
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 408","Saskatoon",1,20,30,5,58,2,116,159
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 409","Saskatoon",1,30,14,3,82,2,132,183
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 410","Saskatoon",0,51,17,6,56,6,136,159
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 411","Saskatoon",0,19,8,7,64,2,100,113
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 500","Mobile poll/Bureau itinérant",1,17,9,5,33,1,66,140
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 501","Mobile poll/Bureau itinérant",1,12,11,2,25,0,51,94
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 502","Mobile poll/Bureau itinérant",4,8,5,1,18,1,37,73
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 503","Mobile poll/Bureau itinérant",2,32,20,2,62,2,120,177
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 600","Saskatoon",15,180,358,44,346,1,944,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 601","Saskatoon",15,203,363,35,460,5,1081,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 602","Saskatoon",7,157,187,19,359,5,734,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 603","Saskatoon",9,174,192,22,634,7,1038,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 604","Saskatoon",16,125,204,25,552,2,924,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 605","Saskatoon",12,161,170,26,762,6,1137,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 606","Saskatoon",11,169,160,14,699,7,1060,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 607","Saskatoon",10,239,153,26,915,13,1356,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 608","Saskatoon",11,217,226,25,703,1,1183,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 609","Saskatoon",15,192,248,30,517,12,1014,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 610","Saskatoon",21,230,340,27,637,4,1259,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 611","Saskatoon",8,139,178,15,487,3,830,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 612","Saskatoon",18,188,200,25,715,6,1152,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 613","Corman Park",21,143,216,26,620,7,1033,
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood",,Group 1/Groupe 1, 3,55,43,13,23,4,141,182
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood",,Group 2/Groupe 2, 44,518,645,105,1500,32,2844,
