Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Walter Bauer,Dorian Baxter,Lois Brown,Laurie Goble,Yvonne Kelly,Andrew McCaughtrie,Tony Van Bynen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35065,"Newmarket--Aurora/Newmarket--Aurora"," 23","Newmarket",22,0,65,2,41,3,103,1,237,455
35065,"Newmarket--Aurora/Newmarket--Aurora"," 24","Newmarket",25,2,91,0,40,4,101,1,264,468
35065,"Newmarket--Aurora/Newmarket--Aurora"," 25","Newmarket",17,5,67,1,25,5,84,1,205,361
35065,"Newmarket--Aurora/Newmarket--Aurora"," 26","Newmarket",11,4,94,4,31,1,135,1,281,464
35065,"Newmarket--Aurora/Newmarket--Aurora"," 27","Newmarket",11,1,71,0,22,1,51,1,158,309
35065,"Newmarket--Aurora/Newmarket--Aurora"," 28","Newmarket",9,7,74,1,28,2,80,1,202,391
35065,"Newmarket--Aurora/Newmarket--Aurora"," 29","East Gwillimbury",14,5,94,1,22,1,109,1,247,464
35065,"Newmarket--Aurora/Newmarket--Aurora"," 30","Newmarket",16,4,100,2,28,6,103,2,261,552
35065,"Newmarket--Aurora/Newmarket--Aurora"," 31","Newmarket",8,6,114,0,33,5,68,1,235,490
35065,"Newmarket--Aurora/Newmarket--Aurora"," 32","East Gwillimbury",16,3,152,1,33,1,131,0,337,659
35065,"Newmarket--Aurora/Newmarket--Aurora"," 33","East Gwillimbury",13,4,91,2,15,5,113,1,244,450
35065,"Newmarket--Aurora/Newmarket--Aurora"," 34","Newmarket",8,2,104,1,26,4,111,1,257,578
35065,"Newmarket--Aurora/Newmarket--Aurora"," 35","Newmarket",13,3,82,0,25,4,101,0,228,435
35065,"Newmarket--Aurora/Newmarket--Aurora"," 36","Newmarket",18,2,73,0,37,2,94,1,227,440
35065,"Newmarket--Aurora/Newmarket--Aurora"," 37","Newmarket",12,3,97,0,21,5,103,2,243,499
35065,"Newmarket--Aurora/Newmarket--Aurora"," 38","Newmarket",14,6,86,0,38,3,92,0,239,494
35065,"Newmarket--Aurora/Newmarket--Aurora"," 39","Newmarket",14,1,75,0,16,2,90,3,201,374
35065,"Newmarket--Aurora/Newmarket--Aurora"," 40","Newmarket",6,0,33,0,10,0,52,0,101,206
35065,"Newmarket--Aurora/Newmarket--Aurora"," 41","Newmarket",22,5,73,1,35,0,64,4,204,405
35065,"Newmarket--Aurora/Newmarket--Aurora"," 42","Newmarket",22,6,109,1,27,3,123,4,295,549
35065,"Newmarket--Aurora/Newmarket--Aurora"," 43","Newmarket",18,4,67,1,23,4,85,2,204,426
35065,"Newmarket--Aurora/Newmarket--Aurora"," 44","Newmarket",7,1,52,2,22,3,66,2,155,351
35065,"Newmarket--Aurora/Newmarket--Aurora"," 45","Newmarket",22,4,59,0,45,5,95,1,231,438
35065,"Newmarket--Aurora/Newmarket--Aurora"," 46","Newmarket",17,2,59,1,28,3,81,8,199,430
35065,"Newmarket--Aurora/Newmarket--Aurora"," 47","Newmarket",11,1,34,0,39,6,54,3,148,403
35065,"Newmarket--Aurora/Newmarket--Aurora"," 48","Newmarket",9,3,53,0,32,2,45,5,149,390
35065,"Newmarket--Aurora/Newmarket--Aurora"," 49","Newmarket",4,5,45,0,37,2,31,0,124,399
35065,"Newmarket--Aurora/Newmarket--Aurora"," 50","Newmarket",13,1,90,2,38,0,103,1,248,560
35065,"Newmarket--Aurora/Newmarket--Aurora"," 51","Newmarket",13,1,103,1,22,3,88,1,232,452
35065,"Newmarket--Aurora/Newmarket--Aurora"," 52","Newmarket",6,2,73,0,30,4,85,1,201,494
35065,"Newmarket--Aurora/Newmarket--Aurora"," 53","Newmarket",13,5,88,0,35,0,110,4,255,511
35065,"Newmarket--Aurora/Newmarket--Aurora"," 54","Newmarket",20,3,59,0,30,1,78,1,192,398
35065,"Newmarket--Aurora/Newmarket--Aurora"," 55","Newmarket",10,2,69,0,41,2,47,2,173,458
35065,"Newmarket--Aurora/Newmarket--Aurora"," 56","Newmarket",12,2,64,0,40,2,116,3,239,501
35065,"Newmarket--Aurora/Newmarket--Aurora"," 57","Newmarket",20,1,87,0,46,2,96,3,255,560
35065,"Newmarket--Aurora/Newmarket--Aurora"," 58","Newmarket",17,5,69,1,47,3,115,2,259,585
35065,"Newmarket--Aurora/Newmarket--Aurora"," 59","Newmarket",27,1,67,0,25,3,96,1,220,461
35065,"Newmarket--Aurora/Newmarket--Aurora"," 60","Newmarket",19,4,65,0,18,3,86,0,195,475
35065,"Newmarket--Aurora/Newmarket--Aurora"," 61","Newmarket",19,6,115,0,57,4,200,9,410,764
35065,"Newmarket--Aurora/Newmarket--Aurora"," 62","Newmarket",9,5,137,0,30,4,114,0,299,593
35065,"Newmarket--Aurora/Newmarket--Aurora"," 63","Newmarket",8,3,91,0,7,3,101,1,214,422
35065,"Newmarket--Aurora/Newmarket--Aurora"," 64","Newmarket",18,3,129,1,42,4,148,5,350,788
35065,"Newmarket--Aurora/Newmarket--Aurora"," 65","Newmarket",5,1,94,2,21,6,129,3,261,516
35065,"Newmarket--Aurora/Newmarket--Aurora"," 66","Newmarket",11,7,85,0,25,4,142,2,276,607
35065,"Newmarket--Aurora/Newmarket--Aurora"," 67A","Newmarket",12,3,56,0,22,0,67,7,167,268
35065,"Newmarket--Aurora/Newmarket--Aurora"," 67B","Newmarket",Merged with No./Fusionné avec le n°61,,,,,,,,,159
35065,"Newmarket--Aurora/Newmarket--Aurora"," 68","Newmarket",25,5,75,0,33,5,109,1,253,529
35065,"Newmarket--Aurora/Newmarket--Aurora"," 69","Newmarket",22,6,74,0,32,1,100,4,239,474
35065,"Newmarket--Aurora/Newmarket--Aurora"," 70","Newmarket",23,2,43,1,46,1,98,1,215,445
35065,"Newmarket--Aurora/Newmarket--Aurora"," 71","Newmarket",7,11,98,1,38,2,125,2,284,518
35065,"Newmarket--Aurora/Newmarket--Aurora"," 72","Newmarket",3,3,84,0,39,5,95,0,229,381
35065,"Newmarket--Aurora/Newmarket--Aurora"," 73","Newmarket",13,4,84,0,22,6,113,1,243,498
35065,"Newmarket--Aurora/Newmarket--Aurora"," 74","Newmarket",8,6,77,0,20,3,88,1,203,384
35065,"Newmarket--Aurora/Newmarket--Aurora"," 75","Newmarket",13,2,99,0,29,4,98,1,246,486
35065,"Newmarket--Aurora/Newmarket--Aurora"," 76","Newmarket",20,1,89,0,24,5,97,0,236,424
35065,"Newmarket--Aurora/Newmarket--Aurora"," 77A","Newmarket",18,2,47,0,19,1,67,4,158,79
35065,"Newmarket--Aurora/Newmarket--Aurora"," 77B","Newmarket",14,2,38,0,18,2,65,1,140,177
35065,"Newmarket--Aurora/Newmarket--Aurora"," 77C","Newmarket",Merged with No./Fusionné avec le n°87,,,,,,,,,102
35065,"Newmarket--Aurora/Newmarket--Aurora"," 77D","Newmarket",Merged with No./Fusionné avec le n°55,,,,,,,,,5
35065,"Newmarket--Aurora/Newmarket--Aurora"," 78","Newmarket",6,7,77,1,11,3,70,0,175,460
35065,"Newmarket--Aurora/Newmarket--Aurora"," 79","Newmarket",8,1,84,1,18,3,71,2,188,410
35065,"Newmarket--Aurora/Newmarket--Aurora"," 80","Newmarket",11,5,99,0,7,3,71,1,197,464
35065,"Newmarket--Aurora/Newmarket--Aurora"," 81","Newmarket",11,3,109,0,18,6,76,0,223,464
35065,"Newmarket--Aurora/Newmarket--Aurora"," 82","Newmarket",9,10,102,1,10,0,93,2,227,586
35065,"Newmarket--Aurora/Newmarket--Aurora"," 83","Newmarket",5,2,125,1,7,2,56,1,199,546
35065,"Newmarket--Aurora/Newmarket--Aurora"," 84","Newmarket",3,0,91,0,7,1,56,1,159,455
35065,"Newmarket--Aurora/Newmarket--Aurora"," 85","Newmarket",6,4,67,0,8,1,47,3,136,326
35065,"Newmarket--Aurora/Newmarket--Aurora"," 86","Newmarket",13,1,116,0,35,3,94,6,268,683
35065,"Newmarket--Aurora/Newmarket--Aurora"," 87","Newmarket",28,3,76,1,36,4,130,2,280,386
35065,"Newmarket--Aurora/Newmarket--Aurora"," 88","Newmarket",23,5,87,0,33,2,114,1,265,493
35065,"Newmarket--Aurora/Newmarket--Aurora"," 89","Newmarket",13,4,82,1,26,4,113,0,243,501
35065,"Newmarket--Aurora/Newmarket--Aurora"," 90","Newmarket",17,8,83,1,45,1,112,0,267,630
35065,"Newmarket--Aurora/Newmarket--Aurora"," 91","Newmarket",8,1,111,0,20,3,132,0,275,658
35065,"Newmarket--Aurora/Newmarket--Aurora"," 92","Newmarket",10,1,86,0,10,1,74,0,182,381
35065,"Newmarket--Aurora/Newmarket--Aurora"," 93","Newmarket",11,3,82,0,41,2,131,0,270,638
35065,"Newmarket--Aurora/Newmarket--Aurora"," 94","Newmarket",13,1,90,1,33,2,88,0,228,506
35065,"Newmarket--Aurora/Newmarket--Aurora"," 95","Newmarket",15,7,116,0,22,3,142,0,305,737
35065,"Newmarket--Aurora/Newmarket--Aurora"," 96","Newmarket",14,1,71,0,27,0,126,1,240,474
35065,"Newmarket--Aurora/Newmarket--Aurora"," 97","Newmarket",6,2,113,1,20,0,92,1,235,476
35065,"Newmarket--Aurora/Newmarket--Aurora"," 98","Newmarket",23,4,81,0,43,6,118,2,277,496
35065,"Newmarket--Aurora/Newmarket--Aurora"," 99","Newmarket",15,2,77,0,34,1,136,2,267,468
35065,"Newmarket--Aurora/Newmarket--Aurora"," 100","Newmarket",18,4,88,1,37,5,103,6,262,504
35065,"Newmarket--Aurora/Newmarket--Aurora"," 101","Newmarket",14,2,99,1,52,6,134,2,310,618
35065,"Newmarket--Aurora/Newmarket--Aurora"," 102","Newmarket",3,3,62,0,8,3,63,1,143,284
35065,"Newmarket--Aurora/Newmarket--Aurora"," 103","Newmarket",13,1,43,0,15,0,69,1,142,326
35065,"Newmarket--Aurora/Newmarket--Aurora"," 104","Newmarket",15,3,57,0,28,1,80,3,187,425
35065,"Newmarket--Aurora/Newmarket--Aurora"," 105","Newmarket",11,5,148,0,36,2,109,2,313,744
35065,"Newmarket--Aurora/Newmarket--Aurora"," 106","Newmarket",6,2,71,0,23,1,104,1,208,496
35065,"Newmarket--Aurora/Newmarket--Aurora"," 107","Newmarket",9,6,86,0,27,4,94,1,227,527
35065,"Newmarket--Aurora/Newmarket--Aurora"," 108","Newmarket",21,3,116,0,20,6,141,2,309,695
35065,"Newmarket--Aurora/Newmarket--Aurora"," 109","Newmarket",15,5,100,0,7,1,103,0,231,527
35065,"Newmarket--Aurora/Newmarket--Aurora"," 110","Newmarket",5,4,124,0,8,0,100,1,242,437
35065,"Newmarket--Aurora/Newmarket--Aurora"," 111","Newmarket",8,5,55,0,12,0,87,0,167,342
35065,"Newmarket--Aurora/Newmarket--Aurora"," 112","Newmarket",10,1,135,0,23,1,104,3,277,599
35065,"Newmarket--Aurora/Newmarket--Aurora"," 113","Newmarket",10,4,101,2,16,0,93,0,226,513
35065,"Newmarket--Aurora/Newmarket--Aurora"," 114","Newmarket",28,1,97,0,30,2,139,0,297,547
35065,"Newmarket--Aurora/Newmarket--Aurora"," 115","Newmarket",17,4,92,0,23,3,101,2,242,420
35065,"Newmarket--Aurora/Newmarket--Aurora"," 116","Newmarket",8,4,76,0,32,4,139,2,265,516
35065,"Newmarket--Aurora/Newmarket--Aurora"," 117","Newmarket",13,4,95,1,28,1,122,2,266,545
35065,"Newmarket--Aurora/Newmarket--Aurora"," 118","Newmarket",11,3,59,1,24,2,64,1,165,416
35065,"Newmarket--Aurora/Newmarket--Aurora"," 119","Newmarket",15,5,89,2,40,4,119,0,274,498
35065,"Newmarket--Aurora/Newmarket--Aurora"," 120","Newmarket",8,1,71,0,11,3,67,1,162,306
35065,"Newmarket--Aurora/Newmarket--Aurora"," 121","Newmarket",13,1,83,0,25,0,136,0,258,471
35065,"Newmarket--Aurora/Newmarket--Aurora"," 122","Newmarket",13,4,84,0,26,4,112,1,244,522
35065,"Newmarket--Aurora/Newmarket--Aurora"," 123","Newmarket",4,0,62,1,33,2,79,0,181,414
35065,"Newmarket--Aurora/Newmarket--Aurora"," 124","Newmarket",11,5,63,0,23,4,88,1,195,400
35065,"Newmarket--Aurora/Newmarket--Aurora"," 125","Newmarket",12,5,60,0,32,3,81,0,193,384
35065,"Newmarket--Aurora/Newmarket--Aurora"," 126","Newmarket",10,5,70,0,15,2,88,2,192,366
35065,"Newmarket--Aurora/Newmarket--Aurora"," 127","Newmarket",6,3,69,0,37,2,121,2,240,527
35065,"Newmarket--Aurora/Newmarket--Aurora"," 128","Newmarket",4,5,67,0,25,0,101,0,202,448
35065,"Newmarket--Aurora/Newmarket--Aurora"," 129","Newmarket",13,4,101,1,29,4,117,3,272,529
35065,"Newmarket--Aurora/Newmarket--Aurora"," 130","Newmarket",10,5,59,1,27,5,91,3,201,372
35065,"Newmarket--Aurora/Newmarket--Aurora"," 131","Aurora",5,14,119,0,21,2,106,1,268,583
35065,"Newmarket--Aurora/Newmarket--Aurora"," 132","Aurora",7,3,61,0,22,2,88,4,187,484
35065,"Newmarket--Aurora/Newmarket--Aurora"," 133","Aurora",9,10,149,0,18,3,103,4,296,679
35065,"Newmarket--Aurora/Newmarket--Aurora"," 134","Aurora",14,6,83,0,24,3,103,1,234,606
35065,"Newmarket--Aurora/Newmarket--Aurora"," 135","Aurora",14,4,131,1,11,0,112,3,276,688
35065,"Newmarket--Aurora/Newmarket--Aurora"," 136","Aurora",9,4,88,1,32,3,110,0,247,513
35065,"Newmarket--Aurora/Newmarket--Aurora"," 137","Aurora",10,6,150,0,7,1,90,1,265,585
35065,"Newmarket--Aurora/Newmarket--Aurora"," 138","Aurora",11,5,119,0,14,2,95,1,247,496
35065,"Newmarket--Aurora/Newmarket--Aurora"," 139","Aurora",6,4,85,1,19,0,104,1,220,457
35065,"Newmarket--Aurora/Newmarket--Aurora"," 140","Newmarket",7,5,95,0,30,2,127,1,267,518
35065,"Newmarket--Aurora/Newmarket--Aurora"," 141","Newmarket",8,8,89,0,26,9,121,0,261,516
35065,"Newmarket--Aurora/Newmarket--Aurora"," 142","Newmarket",7,5,114,0,22,0,115,0,263,538
35065,"Newmarket--Aurora/Newmarket--Aurora"," 143","Aurora",12,5,125,0,13,1,72,0,228,687
35065,"Newmarket--Aurora/Newmarket--Aurora"," 144","Aurora",6,6,124,0,13,0,113,2,264,587
35065,"Newmarket--Aurora/Newmarket--Aurora"," 145","Aurora",14,4,93,0,18,0,81,1,211,473
35065,"Newmarket--Aurora/Newmarket--Aurora"," 146","Aurora",8,4,90,0,25,0,86,4,217,448
35065,"Newmarket--Aurora/Newmarket--Aurora"," 147","Aurora",5,11,120,0,19,2,99,1,257,658
35065,"Newmarket--Aurora/Newmarket--Aurora"," 148","Aurora",13,5,105,1,28,5,116,5,278,501
35065,"Newmarket--Aurora/Newmarket--Aurora"," 149","Newmarket",6,3,71,0,42,1,122,1,246,528
35065,"Newmarket--Aurora/Newmarket--Aurora"," 150","Newmarket",16,2,56,3,27,0,92,1,197,410
35065,"Newmarket--Aurora/Newmarket--Aurora"," 151","Newmarket",14,2,58,0,22,2,85,0,183,345
35065,"Newmarket--Aurora/Newmarket--Aurora"," 152","Newmarket",9,5,124,1,19,5,109,1,273,552
35065,"Newmarket--Aurora/Newmarket--Aurora"," 153","Aurora",10,0,93,0,28,0,117,5,253,533
35065,"Newmarket--Aurora/Newmarket--Aurora"," 154","Aurora",12,4,114,1,24,4,135,1,295,587
35065,"Newmarket--Aurora/Newmarket--Aurora"," 155","Aurora",10,1,67,0,13,0,85,0,176,349
35065,"Newmarket--Aurora/Newmarket--Aurora"," 156","Aurora",21,4,99,2,35,0,138,3,302,551
35065,"Newmarket--Aurora/Newmarket--Aurora"," 157","Aurora",7,4,80,0,13,0,86,1,191,392
35065,"Newmarket--Aurora/Newmarket--Aurora"," 158","Aurora",17,5,92,2,26,4,114,5,265,521
35065,"Newmarket--Aurora/Newmarket--Aurora"," 159","Aurora",20,3,72,0,38,0,107,0,240,534
35065,"Newmarket--Aurora/Newmarket--Aurora"," 160","Aurora",12,1,95,0,20,2,70,0,200,477
35065,"Newmarket--Aurora/Newmarket--Aurora"," 161","Aurora",6,2,61,0,18,3,74,0,164,486
35065,"Newmarket--Aurora/Newmarket--Aurora"," 162","Aurora",15,5,51,0,22,4,79,0,176,347
35065,"Newmarket--Aurora/Newmarket--Aurora"," 163","Aurora",18,2,75,1,27,0,105,0,228,449
35065,"Newmarket--Aurora/Newmarket--Aurora"," 164","Aurora",18,6,61,0,19,0,101,0,205,420
35065,"Newmarket--Aurora/Newmarket--Aurora"," 165","Aurora",12,4,51,0,15,2,83,1,168,342
35065,"Newmarket--Aurora/Newmarket--Aurora"," 166","Aurora",16,7,90,0,14,1,89,0,217,483
35065,"Newmarket--Aurora/Newmarket--Aurora"," 167","Aurora",9,5,59,0,27,3,72,1,176,421
35065,"Newmarket--Aurora/Newmarket--Aurora"," 168","Aurora",10,0,64,0,14,1,74,2,165,457
35065,"Newmarket--Aurora/Newmarket--Aurora"," 169","Aurora",7,0,46,0,21,0,54,0,128,298
35065,"Newmarket--Aurora/Newmarket--Aurora"," 170","Aurora",6,1,107,0,16,1,98,1,230,504
35065,"Newmarket--Aurora/Newmarket--Aurora"," 171","Aurora",20,5,91,0,20,3,72,1,212,410
35065,"Newmarket--Aurora/Newmarket--Aurora"," 172","Aurora",23,3,81,0,21,3,140,2,273,501
35065,"Newmarket--Aurora/Newmarket--Aurora"," 173","Aurora",22,1,87,0,6,0,76,0,192,383
35065,"Newmarket--Aurora/Newmarket--Aurora"," 174","Aurora",17,3,127,0,28,4,153,1,333,563
35065,"Newmarket--Aurora/Newmarket--Aurora"," 175","Aurora",10,2,59,0,14,0,49,0,134,438
35065,"Newmarket--Aurora/Newmarket--Aurora"," 176","Aurora",23,4,72,0,18,2,114,1,234,403
35065,"Newmarket--Aurora/Newmarket--Aurora"," 177","Aurora",24,6,74,0,24,4,98,1,231,452
35065,"Newmarket--Aurora/Newmarket--Aurora"," 178","Aurora",22,6,56,1,27,3,72,0,187,428
35065,"Newmarket--Aurora/Newmarket--Aurora"," 179","Aurora",1,2,28,0,10,0,13,0,54,86
35065,"Newmarket--Aurora/Newmarket--Aurora"," 180","Aurora",6,3,54,0,25,1,66,0,155,347
35065,"Newmarket--Aurora/Newmarket--Aurora"," 181","Aurora",16,3,72,0,25,4,88,2,210,420
35065,"Newmarket--Aurora/Newmarket--Aurora"," 182","Aurora",26,5,90,1,38,2,99,4,265,522
35065,"Newmarket--Aurora/Newmarket--Aurora"," 183","Aurora",18,5,69,0,31,1,74,0,198,415
35065,"Newmarket--Aurora/Newmarket--Aurora"," 184","Aurora",16,2,38,1,31,2,89,3,182,390
35065,"Newmarket--Aurora/Newmarket--Aurora"," 185","Aurora",14,2,72,0,24,3,105,2,222,433
35065,"Newmarket--Aurora/Newmarket--Aurora"," 186","Aurora",8,2,83,0,12,1,93,1,200,380
35065,"Newmarket--Aurora/Newmarket--Aurora"," 187","Aurora",15,3,83,1,17,1,97,0,217,377
35065,"Newmarket--Aurora/Newmarket--Aurora"," 188","Aurora",19,6,102,0,39,0,114,0,280,499
35065,"Newmarket--Aurora/Newmarket--Aurora"," 189","Aurora",8,7,75,1,12,2,98,1,204,362
35065,"Newmarket--Aurora/Newmarket--Aurora"," 190","Aurora",16,1,54,0,17,0,102,1,191,352
35065,"Newmarket--Aurora/Newmarket--Aurora"," 191","Aurora",18,1,85,1,10,1,114,1,231,448
35065,"Newmarket--Aurora/Newmarket--Aurora"," 400","Newmarket",8,2,27,0,4,1,51,3,96,137
35065,"Newmarket--Aurora/Newmarket--Aurora"," 401","Newmarket",0,1,34,1,1,3,65,1,106,160
35065,"Newmarket--Aurora/Newmarket--Aurora"," 500A","Mobile poll/Bureau itinérant",8,6,75,1,9,1,127,11,238,131
35065,"Newmarket--Aurora/Newmarket--Aurora"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,,,81
35065,"Newmarket--Aurora/Newmarket--Aurora"," 501A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,,,76
35065,"Newmarket--Aurora/Newmarket--Aurora"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,159
35065,"Newmarket--Aurora/Newmarket--Aurora"," 502A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,166
35065,"Newmarket--Aurora/Newmarket--Aurora"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,,91
35065,"Newmarket--Aurora/Newmarket--Aurora"," 503A","Mobile poll/Bureau itinérant",6,7,55,2,9,0,54,2,135,143
35065,"Newmarket--Aurora/Newmarket--Aurora"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,,47
35065,"Newmarket--Aurora/Newmarket--Aurora"," 504","Mobile poll/Bureau itinérant",11,4,65,2,8,3,86,2,181,203
35065,"Newmarket--Aurora/Newmarket--Aurora"," 600","Newmarket",43,7,285,0,95,10,297,6,743,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 601","Newmarket",50,3,278,2,68,4,314,3,722,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 602","Newmarket",72,7,299,2,81,2,388,3,854,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 603","Newmarket",57,2,238,1,73,9,288,4,672,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 604","Newmarket",49,12,335,1,102,8,366,5,878,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 605","Newmarket",32,5,323,1,101,11,338,6,817,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 606","Newmarket",22,11,247,0,57,6,290,3,636,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 607","Newmarket",66,15,482,1,94,5,513,6,1182,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 608","Newmarket",40,7,301,1,79,6,418,4,856,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 609","Newmarket",53,7,297,0,103,8,380,0,848,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 610","Newmarket",55,14,506,2,91,11,503,3,1185,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 611","Newmarket",48,21,632,2,82,5,467,0,1257,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 612","Aurora",40,34,536,2,56,4,407,6,1085,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 613","Aurora",41,21,488,0,74,9,445,5,1083,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 614","Aurora",72,9,347,1,79,9,448,2,967,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 615","Aurora",54,8,363,0,51,3,319,6,804,
35065,"Newmarket--Aurora/Newmarket--Aurora"," 616","Aurora",54,16,269,0,62,4,356,2,763,
35065,"Newmarket--Aurora/Newmarket--Aurora",,Group 1/Groupe 1, 10,0,20,2,17,2,104,13,168,238
35065,"Newmarket--Aurora/Newmarket--Aurora",,Group 2/Groupe 2, 143,5,592,1,264,16,821,43,1885,
