Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Percy Dastur,Farina Hassan,Eleanor Hayward,Lisa Raitt,Adam van Koeverden,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35057,"Milton/Milton"," 70","Milton",5,22,15,77,90,0,209,482
35057,"Milton/Milton"," 71","Milton",5,22,23,114,63,0,227,460
35057,"Milton/Milton"," 72","Milton",2,19,14,86,114,1,236,451
35057,"Milton/Milton"," 73","Milton",4,16,21,86,113,1,241,597
35057,"Milton/Milton"," 74","Milton",6,18,22,105,99,0,250,422
35057,"Milton/Milton"," 75","Milton",7,30,27,119,112,1,296,525
35057,"Milton/Milton"," 76","Milton",0,23,21,133,107,1,285,508
35057,"Milton/Milton"," 77","Milton",3,8,7,51,67,0,136,298
35057,"Milton/Milton"," 78","Milton",1,15,17,59,74,0,166,360
35057,"Milton/Milton"," 79","Milton",2,8,3,67,51,2,133,390
35057,"Milton/Milton"," 80","Milton",1,7,15,48,68,0,139,397
35057,"Milton/Milton"," 81","Milton",4,12,15,74,71,0,176,394
35057,"Milton/Milton"," 82","Milton",1,21,9,77,100,2,210,475
35057,"Milton/Milton"," 83","Milton",2,21,6,94,143,0,266,613
35057,"Milton/Milton"," 84","Milton",0,17,10,95,129,2,253,570
35057,"Milton/Milton"," 85","Milton",0,16,3,108,147,4,278,610
35057,"Milton/Milton"," 86","Milton",2,25,5,91,172,7,302,601
35057,"Milton/Milton"," 87","Milton",9,15,7,85,121,3,240,557
35057,"Milton/Milton"," 88","Milton",2,18,10,141,93,2,266,519
35057,"Milton/Milton"," 89A","Milton",0,12,6,74,40,1,133,310
35057,"Milton/Milton"," 89B","Milton",2,18,12,88,50,0,170,336
35057,"Milton/Milton"," 90","Milton",2,12,19,150,115,1,299,551
35057,"Milton/Milton"," 91","Milton",3,11,19,119,78,0,230,509
35057,"Milton/Milton"," 92","Milton",3,22,20,133,91,2,271,558
35057,"Milton/Milton"," 93","Milton",3,13,10,77,61,2,166,449
35057,"Milton/Milton"," 94","Milton",4,15,17,74,90,1,201,462
35057,"Milton/Milton"," 95","Milton",4,15,13,55,68,2,157,421
35057,"Milton/Milton"," 96","Milton",1,17,6,64,149,1,238,459
35057,"Milton/Milton"," 97","Milton",2,19,8,106,148,5,288,580
35057,"Milton/Milton"," 98","Milton",3,14,16,62,107,1,203,434
35057,"Milton/Milton"," 99","Milton",6,29,6,95,170,2,308,601
35057,"Milton/Milton"," 100","Milton",1,21,5,66,133,1,227,517
35057,"Milton/Milton"," 101","Milton",4,10,19,97,81,0,211,402
35057,"Milton/Milton"," 102","Milton",4,19,17,57,65,1,163,372
35057,"Milton/Milton"," 103","Milton",7,14,16,76,89,0,202,407
35057,"Milton/Milton"," 104","Milton",9,20,18,71,67,0,185,436
35057,"Milton/Milton"," 105","Milton",4,23,12,55,63,0,157,355
35057,"Milton/Milton"," 106","Milton",4,26,10,76,137,3,256,618
35057,"Milton/Milton"," 107","Milton",2,19,23,137,130,0,311,539
35057,"Milton/Milton"," 108","Milton",1,10,5,75,116,0,207,507
35057,"Milton/Milton"," 109","Milton",6,21,26,95,104,1,253,475
35057,"Milton/Milton"," 110","Milton",0,16,11,98,147,1,273,578
35057,"Milton/Milton"," 111","Milton",2,22,12,91,130,0,257,637
35057,"Milton/Milton"," 112","Milton",1,13,6,71,126,2,219,547
35057,"Milton/Milton"," 113","Milton",0,27,4,91,158,0,280,564
35057,"Milton/Milton"," 114","Milton",0,14,10,77,146,0,247,592
35057,"Milton/Milton"," 115","Milton",3,19,5,59,147,5,238,603
35057,"Milton/Milton"," 116","Milton",1,12,5,65,116,2,201,520
35057,"Milton/Milton"," 117","Milton",0,8,5,36,82,0,131,280
35057,"Milton/Milton"," 118","Milton",2,16,9,58,104,1,190,446
35057,"Milton/Milton"," 119","Milton",1,3,12,68,157,1,242,584
35057,"Milton/Milton"," 120","Milton",1,15,1,64,137,0,218,466
35057,"Milton/Milton"," 121","Milton",3,17,4,49,162,0,235,566
35057,"Milton/Milton"," 122","Milton",Merged with No./Fusionné avec le n°123,,,,,,,136
35057,"Milton/Milton"," 123","Milton",6,32,13,80,173,1,305,518
35057,"Milton/Milton"," 124","Milton",0,17,13,55,149,0,234,628
35057,"Milton/Milton"," 125","Milton",6,9,9,65,122,0,211,540
35057,"Milton/Milton"," 126","Milton",1,16,3,64,139,1,224,517
35057,"Milton/Milton"," 127A","Milton",1,17,5,39,80,0,142,408
35057,"Milton/Milton"," 127B","Milton",1,21,6,39,83,0,150,397
35057,"Milton/Milton"," 128","Milton",3,13,8,103,140,0,267,576
35057,"Milton/Milton"," 129","Milton",3,18,8,73,150,1,253,508
35057,"Milton/Milton"," 130","Milton",2,18,9,77,157,1,264,608
35057,"Milton/Milton"," 131","Milton",1,13,5,103,169,0,291,628
35057,"Milton/Milton"," 132","Milton",2,19,6,114,171,2,314,649
35057,"Milton/Milton"," 133","Milton",2,13,8,82,113,5,223,493
35057,"Milton/Milton"," 134","Milton",0,13,11,91,162,3,280,532
35057,"Milton/Milton"," 135","Milton",3,20,7,79,166,2,277,629
35057,"Milton/Milton"," 136","Milton",1,23,7,77,155,0,263,597
35057,"Milton/Milton"," 137A","Milton",1,14,4,46,81,0,146,323
35057,"Milton/Milton"," 137B","Milton",2,13,6,49,83,0,153,323
35057,"Milton/Milton"," 138","Milton",6,22,6,82,179,1,296,638
35057,"Milton/Milton"," 139","Milton",2,20,16,108,155,1,302,599
35057,"Milton/Milton"," 140","Milton",4,25,12,85,156,3,285,584
35057,"Milton/Milton"," 141","Milton",1,13,7,59,167,2,249,634
35057,"Milton/Milton"," 142A","Milton",3,11,2,50,101,0,167,434
35057,"Milton/Milton"," 142B","Milton",0,16,0,56,97,2,171,439
35057,"Milton/Milton"," 143","Milton",1,16,10,58,144,0,229,480
35057,"Milton/Milton"," 144A","Milton",1,11,1,36,133,0,182,421
35057,"Milton/Milton"," 144B","Milton",3,21,1,43,95,0,163,372
35057,"Milton/Milton"," 145A","Milton",3,13,6,54,118,2,196,432
35057,"Milton/Milton"," 145B","Milton",0,21,7,56,96,0,180,428
35057,"Milton/Milton"," 146","Milton",11,14,25,122,69,3,244,483
35057,"Milton/Milton"," 147","Milton",3,21,9,47,107,0,187,575
35057,"Milton/Milton"," 148","Milton",2,12,4,83,130,0,231,603
35057,"Milton/Milton"," 149","Milton",3,22,7,79,118,1,230,553
35057,"Milton/Milton"," 150A","Milton",1,12,2,35,111,3,164,420
35057,"Milton/Milton"," 150B","Milton",0,8,9,38,89,0,144,399
35057,"Milton/Milton"," 151A","Milton",0,12,1,65,89,0,167,389
35057,"Milton/Milton"," 151B","Milton",1,6,3,68,101,0,179,389
35057,"Milton/Milton"," 152","Milton",2,7,6,50,42,0,107,248
35057,"Milton/Milton"," 153","Milton",4,11,21,123,63,0,222,456
35057,"Milton/Milton"," 154","Milton",1,16,24,136,96,0,273,578
35057,"Milton/Milton"," 155","Milton",Merged with No./Fusionné avec le n°156,,,,,,,153
35057,"Milton/Milton"," 156","Milton",2,18,4,64,65,0,153,232
35057,"Milton/Milton"," 157","Milton",4,6,11,78,45,0,144,286
35057,"Milton/Milton"," 158","Burlington",2,12,14,100,69,1,198,437
35057,"Milton/Milton"," 159","Burlington",3,12,21,120,80,0,236,515
35057,"Milton/Milton"," 160","Milton",4,7,13,112,72,0,208,434
35057,"Milton/Milton"," 161","Burlington",1,14,34,124,88,0,261,477
35057,"Milton/Milton"," 162","Burlington",4,24,23,130,81,0,262,482
35057,"Milton/Milton"," 163","Burlington",6,13,24,114,69,1,227,467
35057,"Milton/Milton"," 164","Burlington",5,20,39,128,88,0,280,561
35057,"Milton/Milton"," 165","Burlington",0,13,11,84,76,0,184,401
35057,"Milton/Milton"," 400","Milton",1,6,10,46,59,0,122,206
35057,"Milton/Milton"," 500","Mobile poll/Bureau itinérant",1,3,6,61,46,0,117,193
35057,"Milton/Milton"," 501","Mobile poll/Bureau itinérant",2,2,5,53,70,2,134,202
35057,"Milton/Milton"," 600","Milton",9,71,57,454,618,6,1215,
35057,"Milton/Milton"," 601","Milton",11,52,32,381,683,7,1166,
35057,"Milton/Milton"," 602","Milton",10,67,39,449,754,9,1328,
35057,"Milton/Milton"," 603","Milton",13,79,30,362,641,7,1132,
35057,"Milton/Milton"," 604","Milton",4,41,56,337,379,11,828,
35057,"Milton/Milton"," 605","Milton",13,47,37,310,330,5,742,
35057,"Milton/Milton"," 606","Milton",10,47,64,396,389,5,911,
35057,"Milton/Milton"," 607","Milton",1,35,17,311,655,7,1026,
35057,"Milton/Milton"," 608","Milton",3,32,16,227,434,3,715,
35057,"Milton/Milton"," 609","Milton",10,28,47,251,249,9,594,
35057,"Milton/Milton"," 610","Milton",5,39,21,218,589,45,917,
35057,"Milton/Milton"," 611","Milton",10,64,16,297,822,4,1213,
35057,"Milton/Milton"," 612","Milton",6,59,20,296,621,9,1011,
35057,"Milton/Milton"," 613","Milton",5,48,12,276,481,1,823,
35057,"Milton/Milton"," 614","Milton",8,48,23,282,610,2,973,
35057,"Milton/Milton"," 615","Milton",7,33,44,357,298,3,742,
35057,"Milton/Milton"," 616","Milton",15,46,77,555,343,4,1040,
35057,"Milton/Milton"," 617","Milton",7,31,76,462,307,2,885,
35057,"Milton/Milton",,Group 1/Groupe 1, 0,5,5,15,64,6,95,142
35057,"Milton/Milton",,Group 2/Groupe 2, 13,156,111,759,2496,54,3589,
