Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vassif Aliev,Claire-Emmanuelle Beaulieu,Suzanne Brunelle,Rima El-Helou,Annie Koutrakis,Faiza R'Guiba,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24078,"Vimy/Vimy"," 138","Laval",22,21,0,38,154,8,1,244,479
24078,"Vimy/Vimy"," 139","Laval",19,19,4,33,136,8,2,221,452
24078,"Vimy/Vimy"," 140","Laval",12,13,2,16,69,5,3,120,433
24078,"Vimy/Vimy"," 141","Laval",13,28,2,23,88,4,4,162,457
24078,"Vimy/Vimy"," 142","Laval",19,31,0,28,87,8,1,174,394
24078,"Vimy/Vimy"," 143","Laval",18,30,2,27,102,4,3,186,414
24078,"Vimy/Vimy"," 144","Laval",12,25,3,39,112,4,3,198,464
24078,"Vimy/Vimy"," 145","Laval",12,22,4,32,99,6,7,182,447
24078,"Vimy/Vimy"," 146","Laval",6,85,3,23,129,5,5,256,420
24078,"Vimy/Vimy"," 147","Laval",17,23,2,30,96,5,2,175,433
24078,"Vimy/Vimy"," 148","Laval",4,26,0,16,65,3,3,117,393
24078,"Vimy/Vimy"," 149","Laval",20,35,3,19,83,5,0,165,359
24078,"Vimy/Vimy"," 150","Laval",7,27,2,10,74,5,4,129,368
24078,"Vimy/Vimy"," 151","Laval",18,30,2,11,114,5,1,181,414
24078,"Vimy/Vimy"," 152","Laval",11,27,3,20,75,10,3,149,338
24078,"Vimy/Vimy"," 153","Laval",7,21,0,17,75,3,1,124,328
24078,"Vimy/Vimy"," 154","Laval",13,45,0,8,69,3,6,144,378
24078,"Vimy/Vimy"," 155","Laval",5,23,8,21,86,7,7,157,497
24078,"Vimy/Vimy"," 156","Laval",19,31,1,25,99,8,7,190,415
24078,"Vimy/Vimy"," 157","Laval",21,33,2,30,74,5,0,165,411
24078,"Vimy/Vimy"," 158","Laval",17,28,3,26,90,6,1,171,453
24078,"Vimy/Vimy"," 159","Laval",18,73,9,18,89,11,3,221,536
24078,"Vimy/Vimy"," 160","Laval",15,31,10,45,135,7,5,248,506
24078,"Vimy/Vimy"," 161","Laval",27,39,1,34,109,6,3,219,471
24078,"Vimy/Vimy"," 162","Laval",16,17,3,25,117,3,6,187,458
24078,"Vimy/Vimy"," 163","Laval",20,34,2,43,127,7,3,236,482
24078,"Vimy/Vimy"," 164","Laval",16,34,7,54,134,11,1,257,400
24078,"Vimy/Vimy"," 165","Laval",27,24,2,33,136,9,0,231,354
24078,"Vimy/Vimy"," 166","Laval",23,43,7,39,146,5,3,266,433
24078,"Vimy/Vimy"," 167A","Laval",20,16,2,65,122,4,4,233,491
24078,"Vimy/Vimy"," 167B","Laval",Merged with No./Fusionné avec le n°166,,,,,,,,81
24078,"Vimy/Vimy"," 168","Laval",13,30,4,44,103,6,1,201,479
24078,"Vimy/Vimy"," 169A","Laval",25,15,1,40,118,8,4,211,475
24078,"Vimy/Vimy"," 169B","Laval",Merged with No./Fusionné avec le n°164,,,,,,,,121
24078,"Vimy/Vimy"," 170A","Laval",31,10,2,57,153,6,1,260,470
24078,"Vimy/Vimy"," 170B","Laval",Merged with No./Fusionné avec le n°165,,,,,,,,134
24078,"Vimy/Vimy"," 171","Laval",24,23,5,21,108,7,4,192,396
24078,"Vimy/Vimy"," 172","Laval",20,20,3,22,99,1,0,165,457
24078,"Vimy/Vimy"," 173","Laval",23,27,1,24,86,5,2,168,479
24078,"Vimy/Vimy"," 174","Laval",20,66,3,12,78,5,3,187,470
24078,"Vimy/Vimy"," 175","Laval",19,24,1,37,133,2,3,219,511
24078,"Vimy/Vimy"," 176","Laval",16,19,3,25,113,4,11,191,378
24078,"Vimy/Vimy"," 177","Laval",22,19,0,36,105,9,2,193,436
24078,"Vimy/Vimy"," 178A","Laval",15,24,5,33,119,3,2,201,415
24078,"Vimy/Vimy"," 178B","Laval",Merged with No./Fusionné avec le n°179,,,,,,,,75
24078,"Vimy/Vimy"," 179","Laval",10,28,8,36,113,8,7,210,355
24078,"Vimy/Vimy"," 180","Laval",24,45,5,16,110,8,2,210,431
24078,"Vimy/Vimy"," 181","Laval",14,22,2,37,127,6,2,210,441
24078,"Vimy/Vimy"," 182","Laval",19,19,4,35,120,7,2,206,432
24078,"Vimy/Vimy"," 183","Laval",18,34,2,43,122,5,2,226,344
24078,"Vimy/Vimy"," 184A","Laval",13,13,3,41,130,7,5,212,458
24078,"Vimy/Vimy"," 184B","Laval",Merged with No./Fusionné avec le n°183,,,,,,,,114
24078,"Vimy/Vimy"," 185","Laval",8,27,0,15,101,5,5,161,324
24078,"Vimy/Vimy"," 186","Laval",6,31,1,12,95,2,5,152,423
24078,"Vimy/Vimy"," 187","Laval",18,36,3,9,90,7,9,172,423
24078,"Vimy/Vimy"," 188A","Laval",9,29,5,28,93,13,3,180,443
24078,"Vimy/Vimy"," 188B","Laval",Merged with No./Fusionné avec le n°185,,,,,,,,98
24078,"Vimy/Vimy"," 189","Laval",15,41,0,23,93,8,6,186,461
24078,"Vimy/Vimy"," 190","Laval",12,22,1,16,69,7,2,129,364
24078,"Vimy/Vimy"," 400","Laval",0,5,0,3,12,1,1,22,195
24078,"Vimy/Vimy"," 401","Laval",1,68,3,15,106,4,15,212,290
24078,"Vimy/Vimy"," 402","Laval",5,115,1,13,125,3,8,270,170
24078,"Vimy/Vimy"," 403","Laval",2,91,1,27,85,2,15,223,262
24078,"Vimy/Vimy"," 404A","Laval",2,95,8,22,135,3,0,265,366
24078,"Vimy/Vimy"," 404B","Laval",3,85,2,24,148,3,17,282,379
24078,"Vimy/Vimy"," 405","Laval",3,76,2,8,86,2,5,182,227
24078,"Vimy/Vimy"," 406","Laval",4,78,0,18,135,5,8,248,306
24078,"Vimy/Vimy"," 407","Laval",4,25,1,23,47,2,4,106,222
24078,"Vimy/Vimy"," 408","Laval",3,56,8,9,80,1,13,170,237
24078,"Vimy/Vimy"," 409","Laval",6,121,3,24,166,3,16,339,443
24078,"Vimy/Vimy"," 410","Laval",1,64,3,16,55,1,8,148,176
24078,"Vimy/Vimy"," 411","Laval",7,64,1,12,126,6,0,216,268
24078,"Vimy/Vimy"," 412","Laval",4,61,2,11,142,0,13,233,171
