Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mavis Erickson,Catharine Kendall,Marcia Luccock,Ron Vaillant,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 106","Peace River D",18,10,18,16,164,2,228,535
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 107","Chetwynd",4,6,10,8,91,1,120,286
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 108","Jackfish Lake",15,13,10,12,242,2,294,547
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 109","Chetwynd",17,12,14,17,199,0,259,525
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 110","Chetwynd",12,8,12,5,152,0,189,399
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 111","Chetwynd",4,7,11,7,151,1,181,365
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 112","Chetwynd",25,6,17,16,176,0,240,570
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 113","Chetwynd",13,7,12,8,142,2,184,385
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 114","Chetwynd",6,0,1,2,55,2,66,127
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 115","Fellers Heights",4,7,13,11,97,0,132,243
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 116","Fellers Heights",3,4,6,2,149,0,164,229
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 117","Pouce Coupe",13,6,12,5,133,0,169,331
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 118","Pouce Coupe",11,8,6,5,185,2,217,351
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 119","Pouce Coupe",9,7,8,5,154,0,183,312
