Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert M Bowers,Andrew MacGregor,Maryam Monsef,Alexander Murphy,Ken Ranney,Candace Shaw,Michael Skinner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 120","Peterborough",0,22,73,3,1,51,43,2,195,369
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 121","Peterborough",1,18,76,0,1,42,43,1,182,353
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 122","Peterborough",1,23,55,3,2,36,64,0,184,335
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 123","Smith-Ennismore-Lakefield",2,12,62,5,0,36,106,0,223,465
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 124","Peterborough",1,11,94,1,2,47,81,0,237,546
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 125","Peterborough",0,14,74,5,1,42,42,3,181,429
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 126","Peterborough",0,16,83,8,0,56,73,0,236,481
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 127","Peterborough",2,16,60,1,1,25,91,2,198,407
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 128","Peterborough",0,19,75,3,0,54,77,5,233,486
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 129","Peterborough",0,19,78,2,2,47,51,2,201,454
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 130","Peterborough",3,13,65,6,1,61,55,1,205,465
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 131","Peterborough",0,22,79,3,1,75,22,0,202,486
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 132","Peterborough",0,13,70,1,1,53,24,0,162,434
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 133","Peterborough",0,15,79,6,0,49,34,0,183,381
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 134","Peterborough",0,19,86,4,2,51,53,0,215,429
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 135","Peterborough",1,20,100,6,0,43,38,1,209,406
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 136","Peterborough",0,18,69,4,1,40,50,1,183,408
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 137","Peterborough",0,24,87,5,0,71,35,1,223,454
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 138","Peterborough",1,14,108,6,0,48,60,3,240,459
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 139","Peterborough",1,24,96,5,0,87,36,1,250,604
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 140","Peterborough",1,15,59,2,0,76,26,0,179,471
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 141","Peterborough",0,22,74,4,0,101,30,1,232,624
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 142A","Peterborough",1,6,56,4,0,34,20,2,123,311
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 142B","Peterborough",1,8,59,1,0,29,16,1,115,308
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 143","Peterborough",1,15,108,0,1,53,36,3,217,485
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 144","Peterborough",0,24,137,2,0,28,29,2,222,488
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 145","Peterborough",1,23,90,9,0,37,87,1,248,478
