Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Clune,Ellen Comeau,Éric Ferland,Pierre-Luc Filion,Réjean Hébert,Pierre Nantel,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 50","Longueuil",12,0,3,1,86,11,76,7,196,275
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 51","Longueuil",16,2,2,1,104,12,105,7,249,381
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 52","Longueuil",5,0,5,1,36,5,52,1,105,189
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 53","Longueuil",7,2,22,1,75,30,66,2,205,416
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 54","Longueuil",3,1,19,0,64,16,75,1,179,382
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 55","Longueuil",12,0,20,1,61,22,80,1,197,406
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 56","Longueuil",16,0,10,1,68,17,78,2,192,492
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 57","Longueuil",4,1,25,0,77,31,63,2,203,406
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 58","Longueuil",6,1,21,0,92,33,81,5,239,471
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 59","Longueuil",6,1,15,0,58,29,76,3,188,437
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 60","Longueuil",16,2,9,0,55,19,78,2,181,420
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 61","Longueuil",11,3,17,1,81,22,78,1,214,534
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 62","Longueuil",12,0,26,2,93,32,46,3,214,427
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 63","Longueuil",3,1,10,1,115,17,54,6,207,437
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 64","Longueuil",12,2,42,1,91,22,93,2,265,502
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 65","Longueuil",9,6,22,0,75,19,63,4,198,430
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 66","Longueuil",11,0,14,0,73,30,76,8,212,445
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 67","Longueuil",27,0,22,1,128,21,80,6,285,588
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 68","Longueuil",27,7,14,1,34,20,67,6,176,422
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 69","Longueuil",16,1,20,3,121,26,76,7,270,571
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 70","Longueuil",23,2,26,0,108,21,72,1,253,586
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 71","Longueuil",10,2,18,0,76,12,70,1,189,480
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 72","Longueuil",28,6,22,0,52,13,33,1,155,396
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 73A","Longueuil",14,1,1,0,69,18,60,7,170,242
