Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gölök Z Buday,Bridget Burns,Chris Corsetti,Kyle Demes,Anne Jamieson,Jenny Kwan,Karin Litzcke,Peter Marcus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59035,"Vancouver East/Vancouver-Est"," 87","Vancouver",1,41,21,41,0,131,2,1,0,238,446
59035,"Vancouver East/Vancouver-Est"," 88","Vancouver",0,41,29,30,0,103,2,0,2,207,349
59035,"Vancouver East/Vancouver-Est"," 89","Vancouver",2,20,37,34,0,75,5,0,3,176,403
59035,"Vancouver East/Vancouver-Est"," 90","Vancouver",3,31,42,48,0,91,0,0,1,216,416
59035,"Vancouver East/Vancouver-Est"," 91","Vancouver",3,17,35,31,0,76,0,0,1,163,381
59035,"Vancouver East/Vancouver-Est"," 92","Vancouver",2,20,34,48,0,101,2,0,1,208,441
59035,"Vancouver East/Vancouver-Est"," 93","Vancouver",0,42,45,86,0,151,2,1,1,328,625
59035,"Vancouver East/Vancouver-Est"," 94","Vancouver",4,36,21,41,0,135,0,3,6,246,465
59035,"Vancouver East/Vancouver-Est"," 95","Vancouver",3,20,20,31,0,105,1,0,0,180,365
59035,"Vancouver East/Vancouver-Est"," 96","Vancouver",4,22,25,57,1,112,1,0,1,223,467
59035,"Vancouver East/Vancouver-Est"," 97","Vancouver",1,10,7,14,0,46,4,0,1,83,218
59035,"Vancouver East/Vancouver-Est"," 98","Vancouver",1,42,18,49,0,118,3,0,1,232,445
59035,"Vancouver East/Vancouver-Est"," 99","Vancouver",0,20,17,35,0,79,0,0,2,153,378
59035,"Vancouver East/Vancouver-Est"," 100","Vancouver",1,25,16,61,0,103,7,0,1,214,461
59035,"Vancouver East/Vancouver-Est"," 101","Vancouver",2,29,13,38,0,95,1,0,0,178,422
59035,"Vancouver East/Vancouver-Est"," 102","Vancouver",0,39,23,46,0,121,2,0,2,233,470
59035,"Vancouver East/Vancouver-Est"," 103","Vancouver",0,31,19,32,0,85,0,0,2,169,434
59035,"Vancouver East/Vancouver-Est"," 104","Vancouver",4,41,12,38,0,105,0,0,1,201,491
59035,"Vancouver East/Vancouver-Est"," 105","Vancouver",1,27,18,43,0,102,5,0,1,197,516
59035,"Vancouver East/Vancouver-Est"," 106","Vancouver",3,24,7,20,1,104,1,0,0,160,431
59035,"Vancouver East/Vancouver-Est"," 107","Vancouver",0,32,6,24,0,94,6,1,1,164,504
59035,"Vancouver East/Vancouver-Est"," 108","Vancouver",3,25,8,37,0,99,1,2,3,178,502
59035,"Vancouver East/Vancouver-Est"," 109","Vancouver",3,30,13,38,1,110,5,1,7,208,549
59035,"Vancouver East/Vancouver-Est"," 110","Vancouver",0,32,13,31,0,106,1,1,4,188,476
59035,"Vancouver East/Vancouver-Est"," 111","Vancouver",3,18,18,26,0,84,4,0,0,153,429
59035,"Vancouver East/Vancouver-Est"," 112","Vancouver",1,26,17,21,1,89,2,2,3,162,419
59035,"Vancouver East/Vancouver-Est"," 113","Vancouver",0,36,10,37,1,93,3,2,0,182,384
59035,"Vancouver East/Vancouver-Est"," 114","Vancouver",2,51,13,43,0,97,3,0,0,209,369
59035,"Vancouver East/Vancouver-Est"," 115","Vancouver",2,33,33,35,0,105,4,0,2,214,421
59035,"Vancouver East/Vancouver-Est"," 116","Vancouver",3,43,17,37,0,108,6,1,5,220,397
59035,"Vancouver East/Vancouver-Est"," 117","Vancouver",1,43,13,30,0,100,2,1,0,190,387
59035,"Vancouver East/Vancouver-Est"," 118","Vancouver",2,26,46,38,1,100,0,0,4,217,457
59035,"Vancouver East/Vancouver-Est"," 119","Vancouver",0,33,17,39,1,93,0,0,0,183,384
59035,"Vancouver East/Vancouver-Est"," 120","Vancouver",5,11,32,27,1,79,2,0,9,166,380
59035,"Vancouver East/Vancouver-Est"," 121","Vancouver",2,35,15,37,0,167,3,1,2,262,477
59035,"Vancouver East/Vancouver-Est"," 122","Vancouver",2,33,5,34,2,120,1,1,1,199,395
59035,"Vancouver East/Vancouver-Est"," 123","Vancouver",1,27,8,20,1,92,0,1,0,150,341
59035,"Vancouver East/Vancouver-Est"," 124","Vancouver",3,31,13,36,0,148,3,2,1,237,471
59035,"Vancouver East/Vancouver-Est"," 125","Vancouver",2,39,10,37,0,192,4,0,1,285,549
59035,"Vancouver East/Vancouver-Est"," 126","Vancouver",1,16,29,30,0,74,1,0,1,152,414
59035,"Vancouver East/Vancouver-Est"," 127","Vancouver",5,17,40,38,0,83,0,1,3,187,487
59035,"Vancouver East/Vancouver-Est"," 128","Vancouver",3,11,40,27,1,55,0,0,0,137,367
59035,"Vancouver East/Vancouver-Est"," 129","Vancouver",3,21,46,40,0,98,4,1,2,215,496
59035,"Vancouver East/Vancouver-Est"," 130","Vancouver",2,16,37,28,0,54,5,1,2,145,420
59035,"Vancouver East/Vancouver-Est"," 131","Vancouver",2,11,41,30,0,76,1,1,2,164,464
59035,"Vancouver East/Vancouver-Est"," 132","Vancouver",2,5,23,34,0,42,1,0,0,107,343
59035,"Vancouver East/Vancouver-Est"," 133","Vancouver",6,8,35,34,3,83,0,0,3,172,446
59035,"Vancouver East/Vancouver-Est"," 134","Vancouver",3,29,54,73,0,84,3,0,3,249,483
59035,"Vancouver East/Vancouver-Est"," 135","Vancouver",3,43,41,57,0,94,5,1,1,245,466
59035,"Vancouver East/Vancouver-Est"," 136","Vancouver",3,44,51,56,0,131,5,0,3,293,553
59035,"Vancouver East/Vancouver-Est"," 137","Vancouver",3,20,46,50,0,88,8,0,3,218,480
59035,"Vancouver East/Vancouver-Est"," 138","Vancouver",4,12,37,30,0,94,2,2,2,183,398
59035,"Vancouver East/Vancouver-Est"," 139","Vancouver",4,18,47,25,1,80,2,0,1,178,430
59035,"Vancouver East/Vancouver-Est"," 140","Vancouver",0,14,25,22,0,58,4,0,2,125,367
59035,"Vancouver East/Vancouver-Est"," 141","Vancouver",2,14,25,25,1,96,4,1,1,169,392
59035,"Vancouver East/Vancouver-Est"," 142","Vancouver",3,10,45,31,0,44,1,3,1,138,389
59035,"Vancouver East/Vancouver-Est"," 143","Vancouver",1,46,15,44,0,130,1,2,1,240,446
59035,"Vancouver East/Vancouver-Est"," 144","Vancouver",3,42,14,38,0,122,1,3,1,224,388
59035,"Vancouver East/Vancouver-Est"," 145","Vancouver",4,43,15,41,0,131,3,0,1,238,459
59035,"Vancouver East/Vancouver-Est"," 146","Vancouver",0,57,24,44,0,135,3,0,0,263,517
59035,"Vancouver East/Vancouver-Est"," 147","Vancouver",1,49,18,55,1,108,0,0,0,232,485
59035,"Vancouver East/Vancouver-Est"," 148","Vancouver",2,30,9,20,0,84,0,1,1,147,410
59035,"Vancouver East/Vancouver-Est"," 149","Vancouver",4,28,17,31,0,99,4,0,1,184,461
59035,"Vancouver East/Vancouver-Est"," 150","Vancouver",2,33,14,18,0,150,2,0,1,220,241
59035,"Vancouver East/Vancouver-Est"," 151","Vancouver",0,29,28,41,0,139,3,0,1,241,598
59035,"Vancouver East/Vancouver-Est"," 152","Vancouver",1,31,10,25,0,100,5,0,0,172,466
59035,"Vancouver East/Vancouver-Est"," 153","Vancouver",Merged with No./Fusionné avec le n°150,,,,,,,,,,366
59035,"Vancouver East/Vancouver-Est"," 154","Vancouver",2,27,17,30,1,94,4,1,0,176,387
59035,"Vancouver East/Vancouver-Est"," 155","Vancouver",1,33,39,45,2,105,3,0,3,231,491
59035,"Vancouver East/Vancouver-Est"," 156","Vancouver",1,25,27,29,0,107,2,0,2,193,459
59035,"Vancouver East/Vancouver-Est"," 157","Vancouver",2,38,26,40,0,101,4,0,3,214,450
59035,"Vancouver East/Vancouver-Est"," 158","Vancouver",5,40,30,33,0,99,0,1,3,211,389
59035,"Vancouver East/Vancouver-Est"," 159","Vancouver",11,18,60,37,0,89,2,0,2,219,433
59035,"Vancouver East/Vancouver-Est"," 160","Vancouver",0,26,23,37,0,91,1,0,1,179,396
59035,"Vancouver East/Vancouver-Est"," 161","Vancouver",4,27,49,43,0,103,3,2,1,232,449
59035,"Vancouver East/Vancouver-Est"," 162","Vancouver",2,10,53,47,1,75,1,1,1,191,393
59035,"Vancouver East/Vancouver-Est"," 163","Vancouver",5,16,67,42,0,90,2,0,4,226,494
59035,"Vancouver East/Vancouver-Est"," 164","Vancouver",2,26,18,40,0,150,3,1,2,242,450
59035,"Vancouver East/Vancouver-Est"," 165","Vancouver",2,26,5,26,0,125,1,0,1,186,455
