Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,René Arseneault,Louis Bérubé,Chad Betteridge,Nelson Fox,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 41","Val-d'Amour",178,37,6,36,6,263,425
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 42","Glencoe",60,23,16,60,1,160,310
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 43","Saint-Arthur",120,35,1,14,0,170,256
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 44","Saint-Arthur",82,55,7,44,0,188,300
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 45","Glen Levit",44,8,23,57,3,135,308
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 46","Balmoral",122,16,8,27,5,178,384
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 47","Balmoral",141,34,9,39,4,227,404
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 48","Balmoral",144,29,8,39,1,221,377
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 49","Balmoral",89,29,9,26,2,155,368
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 50","Robinsonville",37,22,26,59,0,144,249
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 51","Kedgwick",58,42,4,14,1,119,252
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 52","Eldon",43,47,5,18,1,114,227
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 53","Kedgwick",90,46,1,16,1,154,391
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 54","Kedgwick River",94,61,9,29,3,196,370
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 55","Kedgwick",90,36,5,17,1,149,348
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 56","Kedgwick",96,35,4,11,1,147,371
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 57","Kedgwick",93,39,2,11,0,145,333
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 58","Saint-Quentin",39,78,8,37,0,162,367
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 59","Saint-Quentin",42,76,2,53,4,177,359
