Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chloé Bernard,Yves-François Blanchet,Michel Blondin,Pierre Carrier,Matthew Dubé,Marie-Chantal Hamel,Véronique Laprise,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24011,"Beloeil--Chambly/Beloeil--Chambly"," 24","Mont-Saint-Hilaire",0,74,1,9,24,29,7,2,146,274
24011,"Beloeil--Chambly/Beloeil--Chambly"," 25A","Mont-Saint-Hilaire",2,87,0,16,17,40,5,1,168,328
24011,"Beloeil--Chambly/Beloeil--Chambly"," 25B","Mont-Saint-Hilaire",0,80,0,9,27,42,4,0,162,329
24011,"Beloeil--Chambly/Beloeil--Chambly"," 26","Mont-Saint-Hilaire",1,88,0,4,25,49,7,2,176,345
24011,"Beloeil--Chambly/Beloeil--Chambly"," 27","Mont-Saint-Hilaire",1,115,0,5,36,36,7,2,202,411
24011,"Beloeil--Chambly/Beloeil--Chambly"," 28","Mont-Saint-Hilaire",1,88,1,16,17,24,10,3,160,402
24011,"Beloeil--Chambly/Beloeil--Chambly"," 29","Mont-Saint-Hilaire",1,47,0,4,7,33,5,2,99,412
24011,"Beloeil--Chambly/Beloeil--Chambly"," 30","Mont-Saint-Hilaire",0,79,0,5,19,43,7,2,155,362
24011,"Beloeil--Chambly/Beloeil--Chambly"," 31","Mont-Saint-Hilaire",0,91,2,12,37,51,6,1,200,410
24011,"Beloeil--Chambly/Beloeil--Chambly"," 32","Mont-Saint-Hilaire",1,113,0,14,34,81,14,1,258,506
24011,"Beloeil--Chambly/Beloeil--Chambly"," 33","Mont-Saint-Hilaire",3,67,0,8,10,50,15,0,153,395
24011,"Beloeil--Chambly/Beloeil--Chambly"," 34","Mont-Saint-Hilaire",2,55,0,7,21,27,7,0,119,330
24011,"Beloeil--Chambly/Beloeil--Chambly"," 35","Mont-Saint-Hilaire",1,57,0,9,23,33,2,3,128,381
24011,"Beloeil--Chambly/Beloeil--Chambly"," 36","Mont-Saint-Hilaire",2,100,0,9,34,25,6,2,178,365
24011,"Beloeil--Chambly/Beloeil--Chambly"," 37","Mont-Saint-Hilaire",0,129,0,13,33,47,5,2,229,465
24011,"Beloeil--Chambly/Beloeil--Chambly"," 38","Mont-Saint-Hilaire",3,71,1,13,25,50,15,4,182,375
24011,"Beloeil--Chambly/Beloeil--Chambly"," 39","Beloeil",2,107,0,7,47,28,10,2,203,393
24011,"Beloeil--Chambly/Beloeil--Chambly"," 40","Beloeil",3,120,0,4,29,39,11,3,209,379
24011,"Beloeil--Chambly/Beloeil--Chambly"," 41","Beloeil",6,104,0,11,30,31,12,7,201,413
24011,"Beloeil--Chambly/Beloeil--Chambly"," 42","Beloeil",2,136,0,5,47,26,11,2,229,414
24011,"Beloeil--Chambly/Beloeil--Chambly"," 43","Beloeil",0,117,1,12,40,29,15,3,217,420
24011,"Beloeil--Chambly/Beloeil--Chambly"," 44","Beloeil",0,127,0,15,26,20,6,0,194,416
24011,"Beloeil--Chambly/Beloeil--Chambly"," 45","Beloeil",0,99,0,13,36,53,9,2,212,408
24011,"Beloeil--Chambly/Beloeil--Chambly"," 46","Beloeil",0,88,0,10,30,29,15,1,173,384
24011,"Beloeil--Chambly/Beloeil--Chambly"," 47","Beloeil",2,90,0,7,22,25,9,5,160,373
24011,"Beloeil--Chambly/Beloeil--Chambly"," 48","Beloeil",2,87,1,10,28,31,5,1,165,317
24011,"Beloeil--Chambly/Beloeil--Chambly"," 49","Beloeil",1,122,0,7,39,29,5,1,204,431
24011,"Beloeil--Chambly/Beloeil--Chambly"," 50","Beloeil",0,72,0,11,17,39,11,5,155,298
24011,"Beloeil--Chambly/Beloeil--Chambly"," 51","Beloeil",1,126,1,6,44,49,13,5,245,425
24011,"Beloeil--Chambly/Beloeil--Chambly"," 52A","Beloeil",2,152,0,10,57,64,23,1,309,601
24011,"Beloeil--Chambly/Beloeil--Chambly"," 52B","Beloeil",0,82,0,1,13,76,19,5,196,249
24011,"Beloeil--Chambly/Beloeil--Chambly"," 53","Beloeil",4,80,1,12,31,30,10,5,173,373
24011,"Beloeil--Chambly/Beloeil--Chambly"," 54","Beloeil",0,69,0,10,18,31,12,5,145,331
24011,"Beloeil--Chambly/Beloeil--Chambly"," 55","Beloeil",2,118,0,11,32,32,7,2,204,410
24011,"Beloeil--Chambly/Beloeil--Chambly"," 56","Beloeil",0,72,1,14,31,33,6,5,162,356
24011,"Beloeil--Chambly/Beloeil--Chambly"," 57","Beloeil",0,104,0,9,35,30,7,4,189,373
24011,"Beloeil--Chambly/Beloeil--Chambly"," 58","Beloeil",2,93,0,6,21,31,13,1,167,405
24011,"Beloeil--Chambly/Beloeil--Chambly"," 59","Beloeil",2,104,0,9,37,43,6,4,205,403
24011,"Beloeil--Chambly/Beloeil--Chambly"," 60","Beloeil",0,96,1,1,21,34,12,9,174,347
24011,"Beloeil--Chambly/Beloeil--Chambly"," 61","Beloeil",1,79,0,9,45,37,6,1,178,335
24011,"Beloeil--Chambly/Beloeil--Chambly"," 62","Beloeil",0,95,0,10,40,35,4,3,187,349
24011,"Beloeil--Chambly/Beloeil--Chambly"," 63","Beloeil",1,125,1,8,29,77,16,4,261,631
24011,"Beloeil--Chambly/Beloeil--Chambly"," 64","Beloeil",0,101,0,8,23,29,8,4,173,331
24011,"Beloeil--Chambly/Beloeil--Chambly"," 65","Beloeil",0,122,1,8,42,37,5,4,219,381
24011,"Beloeil--Chambly/Beloeil--Chambly"," 66","Beloeil",4,96,0,12,38,23,9,2,184,364
24011,"Beloeil--Chambly/Beloeil--Chambly"," 67","Beloeil",0,76,2,16,31,21,10,2,158,395
24011,"Beloeil--Chambly/Beloeil--Chambly"," 68","Beloeil",0,114,1,10,28,34,10,0,197,359
24011,"Beloeil--Chambly/Beloeil--Chambly"," 69","Beloeil",1,94,1,11,35,50,13,1,206,407
24011,"Beloeil--Chambly/Beloeil--Chambly"," 70A","Beloeil",2,112,0,9,20,19,10,3,175,404
24011,"Beloeil--Chambly/Beloeil--Chambly"," 70B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,21
24011,"Beloeil--Chambly/Beloeil--Chambly"," 71","Mont-Saint-Hilaire",1,76,1,11,25,45,8,3,170,353
24011,"Beloeil--Chambly/Beloeil--Chambly"," 72","Mont-Saint-Hilaire",0,79,0,12,22,48,6,0,167,340
24011,"Beloeil--Chambly/Beloeil--Chambly"," 73","Mont-Saint-Hilaire",2,77,0,13,20,51,12,2,177,324
24011,"Beloeil--Chambly/Beloeil--Chambly"," 74","Mont-Saint-Hilaire",0,124,0,20,52,62,10,1,269,448
24011,"Beloeil--Chambly/Beloeil--Chambly"," 75","Otterburn Park",2,91,2,10,38,47,6,4,200,452
24011,"Beloeil--Chambly/Beloeil--Chambly"," 76","Mont-Saint-Hilaire",0,82,0,9,37,57,8,1,194,354
24011,"Beloeil--Chambly/Beloeil--Chambly"," 77","Otterburn Park",0,95,0,11,34,49,4,3,196,404
24011,"Beloeil--Chambly/Beloeil--Chambly"," 78","Otterburn Park",2,136,2,12,41,47,8,5,253,510
24011,"Beloeil--Chambly/Beloeil--Chambly"," 79","Otterburn Park",0,98,0,19,52,47,11,4,231,434
24011,"Beloeil--Chambly/Beloeil--Chambly"," 80","Otterburn Park",0,86,1,8,26,45,13,2,181,377
24011,"Beloeil--Chambly/Beloeil--Chambly"," 81","Otterburn Park",1,117,0,14,38,29,6,0,205,381
24011,"Beloeil--Chambly/Beloeil--Chambly"," 82","Mont-Saint-Hilaire",4,114,0,13,31,55,11,4,232,427
24011,"Beloeil--Chambly/Beloeil--Chambly"," 83","Mont-Saint-Hilaire",3,103,0,24,32,41,9,3,215,394
24011,"Beloeil--Chambly/Beloeil--Chambly"," 84","Mont-Saint-Hilaire",1,100,0,14,45,56,13,0,229,435
24011,"Beloeil--Chambly/Beloeil--Chambly"," 85","Mont-Saint-Hilaire",2,123,1,6,39,61,5,1,238,381
24011,"Beloeil--Chambly/Beloeil--Chambly"," 86","Mont-Saint-Hilaire",0,107,0,9,26,46,9,2,199,419
24011,"Beloeil--Chambly/Beloeil--Chambly"," 87","McMasterville",0,70,0,9,31,28,12,1,151,295
24011,"Beloeil--Chambly/Beloeil--Chambly"," 88","McMasterville",2,64,0,4,20,34,10,5,139,270
24011,"Beloeil--Chambly/Beloeil--Chambly"," 89","McMasterville",1,64,0,8,31,29,4,2,139,292
24011,"Beloeil--Chambly/Beloeil--Chambly"," 90","McMasterville",0,64,1,10,29,40,10,4,158,294
24011,"Beloeil--Chambly/Beloeil--Chambly"," 91","McMasterville",2,89,1,17,32,37,8,1,187,366
24011,"Beloeil--Chambly/Beloeil--Chambly"," 92","McMasterville",0,53,0,3,17,16,6,5,100,236
24011,"Beloeil--Chambly/Beloeil--Chambly"," 93","McMasterville",0,55,1,8,32,22,5,1,124,229
24011,"Beloeil--Chambly/Beloeil--Chambly"," 94","McMasterville",0,81,0,3,25,22,6,1,138,295
24011,"Beloeil--Chambly/Beloeil--Chambly"," 95","McMasterville",1,106,0,7,28,45,10,6,203,406
24011,"Beloeil--Chambly/Beloeil--Chambly"," 96","McMasterville",4,81,0,8,23,34,3,1,154,317
24011,"Beloeil--Chambly/Beloeil--Chambly"," 97","McMasterville",0,65,1,4,16,25,16,4,131,292
24011,"Beloeil--Chambly/Beloeil--Chambly"," 98","McMasterville",1,87,0,8,25,30,6,2,159,306
24011,"Beloeil--Chambly/Beloeil--Chambly"," 99","McMasterville",2,64,0,5,17,15,8,1,112,272
24011,"Beloeil--Chambly/Beloeil--Chambly"," 100","McMasterville",0,93,0,8,29,40,3,3,176,424
24011,"Beloeil--Chambly/Beloeil--Chambly"," 101","Otterburn Park",1,80,0,8,37,47,13,1,187,419
24011,"Beloeil--Chambly/Beloeil--Chambly"," 102","Otterburn Park",4,108,1,19,30,54,10,3,229,487
24011,"Beloeil--Chambly/Beloeil--Chambly"," 103","Otterburn Park",1,118,0,16,34,52,13,3,237,455
24011,"Beloeil--Chambly/Beloeil--Chambly"," 104","Otterburn Park",2,105,0,18,39,61,7,3,235,433
24011,"Beloeil--Chambly/Beloeil--Chambly"," 105","Otterburn Park",0,92,1,16,30,39,18,2,198,419
24011,"Beloeil--Chambly/Beloeil--Chambly"," 106","Otterburn Park",1,97,0,16,42,48,6,0,210,435
24011,"Beloeil--Chambly/Beloeil--Chambly"," 107","Otterburn Park",3,104,0,15,45,36,14,1,218,436
24011,"Beloeil--Chambly/Beloeil--Chambly"," 108","Otterburn Park",2,115,0,13,36,39,17,2,224,474
24011,"Beloeil--Chambly/Beloeil--Chambly"," 109","Otterburn Park",0,87,1,11,40,44,14,2,199,426
24011,"Beloeil--Chambly/Beloeil--Chambly"," 110","Saint-Jean-Baptiste",4,73,0,2,19,23,8,2,131,299
24011,"Beloeil--Chambly/Beloeil--Chambly"," 111","Saint-Jean-Baptiste",5,97,0,4,32,33,15,0,186,383
24011,"Beloeil--Chambly/Beloeil--Chambly"," 112","Saint-Jean-Baptiste",3,77,1,7,20,14,13,4,139,313
24011,"Beloeil--Chambly/Beloeil--Chambly"," 113","Saint-Jean-Baptiste",2,69,0,3,16,23,14,3,130,220
24011,"Beloeil--Chambly/Beloeil--Chambly"," 114","Saint-Jean-Baptiste",0,91,0,7,23,28,17,5,171,295
24011,"Beloeil--Chambly/Beloeil--Chambly"," 115","Saint-Jean-Baptiste",4,111,2,5,28,29,21,2,202,392
24011,"Beloeil--Chambly/Beloeil--Chambly"," 116","Saint-Jean-Baptiste",1,68,1,7,11,29,14,3,134,316
24011,"Beloeil--Chambly/Beloeil--Chambly"," 117","Saint-Jean-Baptiste",1,70,0,1,17,22,14,1,126,266
24011,"Beloeil--Chambly/Beloeil--Chambly"," 118","Saint-Mathias-sur-Richelieu",3,73,2,6,23,40,6,2,155,325
24011,"Beloeil--Chambly/Beloeil--Chambly"," 119","Saint-Mathias-sur-Richelieu",2,92,0,6,21,40,16,2,179,316
24011,"Beloeil--Chambly/Beloeil--Chambly"," 120","Saint-Mathias-sur-Richelieu",1,74,0,10,23,37,10,4,159,302
24011,"Beloeil--Chambly/Beloeil--Chambly"," 121","Saint-Mathias-sur-Richelieu",2,80,1,12,22,30,10,2,159,286
24011,"Beloeil--Chambly/Beloeil--Chambly"," 122","Saint-Mathias-sur-Richelieu",1,96,1,7,20,47,17,1,190,378
24011,"Beloeil--Chambly/Beloeil--Chambly"," 123","Saint-Mathias-sur-Richelieu",1,76,1,3,24,47,6,0,158,295
24011,"Beloeil--Chambly/Beloeil--Chambly"," 124","Saint-Mathias-sur-Richelieu",0,128,1,12,31,39,13,6,230,410
24011,"Beloeil--Chambly/Beloeil--Chambly"," 125","Saint-Mathias-sur-Richelieu",0,75,0,14,10,26,16,5,146,311
24011,"Beloeil--Chambly/Beloeil--Chambly"," 126","Saint-Mathias-sur-Richelieu",1,124,0,11,21,26,13,4,200,394
24011,"Beloeil--Chambly/Beloeil--Chambly"," 127","Saint-Mathias-sur-Richelieu",0,93,0,7,12,30,8,4,154,388
24011,"Beloeil--Chambly/Beloeil--Chambly"," 128","Saint-Mathias-sur-Richelieu",1,69,0,6,20,20,2,2,120,262
24011,"Beloeil--Chambly/Beloeil--Chambly"," 129","Carignan",1,91,1,14,24,77,32,1,241,452
24011,"Beloeil--Chambly/Beloeil--Chambly"," 130","Carignan",1,102,0,6,15,38,13,2,177,410
24011,"Beloeil--Chambly/Beloeil--Chambly"," 131","Carignan",4,147,0,16,27,66,12,7,279,564
24011,"Beloeil--Chambly/Beloeil--Chambly"," 132","Carignan",1,124,0,13,25,54,11,2,230,428
24011,"Beloeil--Chambly/Beloeil--Chambly"," 133","Marieville",4,87,0,5,35,29,22,3,185,419
24011,"Beloeil--Chambly/Beloeil--Chambly"," 134","Marieville",3,113,1,12,24,39,11,2,205,443
24011,"Beloeil--Chambly/Beloeil--Chambly"," 135","Marieville",1,131,2,12,44,65,23,2,280,532
24011,"Beloeil--Chambly/Beloeil--Chambly"," 136A","Marieville",0,54,0,3,15,19,10,4,105,266
24011,"Beloeil--Chambly/Beloeil--Chambly"," 136B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,,,22
24011,"Beloeil--Chambly/Beloeil--Chambly"," 137","Marieville",1,61,1,4,11,17,6,3,104,328
24011,"Beloeil--Chambly/Beloeil--Chambly"," 138","Marieville",1,97,1,8,30,36,10,4,187,520
24011,"Beloeil--Chambly/Beloeil--Chambly"," 139","Marieville",2,125,0,6,25,27,11,4,200,454
24011,"Beloeil--Chambly/Beloeil--Chambly"," 140","Marieville",3,148,1,13,46,51,23,4,289,600
24011,"Beloeil--Chambly/Beloeil--Chambly"," 141","Marieville",1,111,5,14,18,27,12,3,191,413
24011,"Beloeil--Chambly/Beloeil--Chambly"," 142","Marieville",1,61,1,5,5,17,14,3,107,355
24011,"Beloeil--Chambly/Beloeil--Chambly"," 143","Marieville",1,86,1,5,17,29,6,3,148,301
24011,"Beloeil--Chambly/Beloeil--Chambly"," 144","Marieville",2,73,0,5,28,13,13,6,140,368
24011,"Beloeil--Chambly/Beloeil--Chambly"," 145","Marieville",2,72,0,5,13,30,5,5,132,327
24011,"Beloeil--Chambly/Beloeil--Chambly"," 146","Marieville",1,150,1,13,40,56,21,1,283,560
24011,"Beloeil--Chambly/Beloeil--Chambly"," 147","Marieville",2,114,0,11,22,37,11,9,206,387
24011,"Beloeil--Chambly/Beloeil--Chambly"," 148A","Chambly",0,48,0,10,18,39,15,4,134,339
24011,"Beloeil--Chambly/Beloeil--Chambly"," 148B","Chambly",5,69,2,7,20,31,8,3,145,349
24011,"Beloeil--Chambly/Beloeil--Chambly"," 148C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,48
24011,"Beloeil--Chambly/Beloeil--Chambly"," 149","Chambly",4,69,1,5,18,77,19,2,195,447
24011,"Beloeil--Chambly/Beloeil--Chambly"," 150","Chambly",3,70,0,5,21,23,4,1,127,340
24011,"Beloeil--Chambly/Beloeil--Chambly"," 151","Chambly",0,80,0,9,32,50,9,1,181,394
24011,"Beloeil--Chambly/Beloeil--Chambly"," 152","Chambly",3,84,1,3,20,36,9,2,158,359
24011,"Beloeil--Chambly/Beloeil--Chambly"," 153","Chambly",1,73,0,7,22,26,14,0,143,443
24011,"Beloeil--Chambly/Beloeil--Chambly"," 154","Chambly",0,84,2,15,22,44,6,2,175,420
24011,"Beloeil--Chambly/Beloeil--Chambly"," 155","Chambly",0,104,3,11,26,35,10,3,192,456
24011,"Beloeil--Chambly/Beloeil--Chambly"," 156","Chambly",2,105,0,11,33,37,11,1,200,459
24011,"Beloeil--Chambly/Beloeil--Chambly"," 157","Chambly",0,85,0,9,11,26,5,2,138,398
24011,"Beloeil--Chambly/Beloeil--Chambly"," 158","Chambly",1,94,0,2,26,33,8,0,164,326
24011,"Beloeil--Chambly/Beloeil--Chambly"," 159","Chambly",1,75,0,8,24,27,7,2,144,334
24011,"Beloeil--Chambly/Beloeil--Chambly"," 160","Chambly",2,69,0,16,18,29,3,0,137,305
24011,"Beloeil--Chambly/Beloeil--Chambly"," 161","Chambly",0,71,1,6,13,25,12,2,130,414
24011,"Beloeil--Chambly/Beloeil--Chambly"," 162","Chambly",1,97,0,12,25,25,9,5,174,406
24011,"Beloeil--Chambly/Beloeil--Chambly"," 163","Chambly",3,82,1,4,22,42,15,3,172,452
24011,"Beloeil--Chambly/Beloeil--Chambly"," 164","Chambly",0,92,0,8,31,48,7,0,186,381
24011,"Beloeil--Chambly/Beloeil--Chambly"," 165","Chambly",0,89,0,10,18,25,8,0,150,325
24011,"Beloeil--Chambly/Beloeil--Chambly"," 166A","Chambly",0,40,0,8,19,30,4,2,103,270
24011,"Beloeil--Chambly/Beloeil--Chambly"," 166B","Chambly",2,57,1,4,14,83,10,20,191,249
24011,"Beloeil--Chambly/Beloeil--Chambly"," 167","Chambly",3,82,0,6,21,22,7,3,144,363
24011,"Beloeil--Chambly/Beloeil--Chambly"," 168","Chambly",2,80,0,4,25,32,12,1,156,412
24011,"Beloeil--Chambly/Beloeil--Chambly"," 169","Chambly",4,83,0,6,21,42,5,2,163,362
24011,"Beloeil--Chambly/Beloeil--Chambly"," 170","Chambly",2,54,0,7,26,49,8,2,148,327
24011,"Beloeil--Chambly/Beloeil--Chambly"," 171","Chambly",1,134,0,14,39,69,11,2,270,476
24011,"Beloeil--Chambly/Beloeil--Chambly"," 172","Chambly",1,110,0,11,39,49,9,0,219,467
24011,"Beloeil--Chambly/Beloeil--Chambly"," 173","Chambly",1,99,1,10,37,64,21,1,234,539
24011,"Beloeil--Chambly/Beloeil--Chambly"," 174","Marieville",1,81,2,7,14,17,16,3,141,396
24011,"Beloeil--Chambly/Beloeil--Chambly"," 175","Marieville",2,105,1,5,24,40,8,6,191,420
24011,"Beloeil--Chambly/Beloeil--Chambly"," 176","Marieville",2,143,0,10,20,51,28,4,258,501
24011,"Beloeil--Chambly/Beloeil--Chambly"," 177","Marieville",3,86,1,4,14,29,10,2,149,312
24011,"Beloeil--Chambly/Beloeil--Chambly"," 178","Marieville",0,87,1,6,37,26,23,4,184,358
24011,"Beloeil--Chambly/Beloeil--Chambly"," 179","Chambly",2,105,0,15,33,45,10,2,212,454
24011,"Beloeil--Chambly/Beloeil--Chambly"," 180","Chambly",1,114,1,8,34,54,10,2,224,502
24011,"Beloeil--Chambly/Beloeil--Chambly"," 181","Chambly",0,79,1,12,32,45,8,0,177,383
24011,"Beloeil--Chambly/Beloeil--Chambly"," 182","Chambly",0,69,0,7,29,31,7,3,146,322
24011,"Beloeil--Chambly/Beloeil--Chambly"," 183","Chambly",4,111,0,11,50,53,11,2,242,459
24011,"Beloeil--Chambly/Beloeil--Chambly"," 184","Chambly",0,67,0,6,28,41,5,3,150,336
24011,"Beloeil--Chambly/Beloeil--Chambly"," 185","Chambly",0,89,1,8,29,32,12,4,175,431
24011,"Beloeil--Chambly/Beloeil--Chambly"," 186","Chambly",2,103,0,9,34,47,5,2,202,458
24011,"Beloeil--Chambly/Beloeil--Chambly"," 187","Chambly",3,123,1,11,33,48,12,2,233,519
24011,"Beloeil--Chambly/Beloeil--Chambly"," 188","Chambly",2,134,2,8,29,52,27,1,255,519
24011,"Beloeil--Chambly/Beloeil--Chambly"," 189","Chambly",0,87,1,12,37,41,7,4,189,514
24011,"Beloeil--Chambly/Beloeil--Chambly"," 190","Richelieu",0,61,1,6,19,45,8,5,145,326
24011,"Beloeil--Chambly/Beloeil--Chambly"," 191","Richelieu",1,110,1,11,22,39,7,5,196,486
24011,"Beloeil--Chambly/Beloeil--Chambly"," 192","Richelieu",3,62,0,10,31,24,12,2,144,341
24011,"Beloeil--Chambly/Beloeil--Chambly"," 193","Richelieu",0,140,2,10,18,44,14,6,234,556
24011,"Beloeil--Chambly/Beloeil--Chambly"," 194","Richelieu",1,110,1,8,21,48,11,2,202,396
24011,"Beloeil--Chambly/Beloeil--Chambly"," 195","Richelieu",0,112,0,11,24,40,14,1,202,394
24011,"Beloeil--Chambly/Beloeil--Chambly"," 196","Richelieu",3,150,0,17,40,59,13,5,287,549
24011,"Beloeil--Chambly/Beloeil--Chambly"," 197","Richelieu",2,88,1,8,11,31,9,0,150,341
24011,"Beloeil--Chambly/Beloeil--Chambly"," 198","Richelieu",2,102,3,14,26,42,19,6,214,475
24011,"Beloeil--Chambly/Beloeil--Chambly"," 199","Richelieu",4,91,2,6,17,45,14,2,181,411
24011,"Beloeil--Chambly/Beloeil--Chambly"," 200","Chambly",0,70,0,5,33,52,7,2,169,405
24011,"Beloeil--Chambly/Beloeil--Chambly"," 201","Chambly",3,138,0,16,41,66,20,3,287,655
24011,"Beloeil--Chambly/Beloeil--Chambly"," 202","Chambly",1,111,0,20,55,65,10,1,263,577
24011,"Beloeil--Chambly/Beloeil--Chambly"," 203","Chambly",0,97,0,2,28,33,4,1,165,368
24011,"Beloeil--Chambly/Beloeil--Chambly"," 204","Chambly",3,95,0,10,34,53,6,1,202,397
24011,"Beloeil--Chambly/Beloeil--Chambly"," 205","Chambly",1,88,1,5,20,52,15,2,184,379
24011,"Beloeil--Chambly/Beloeil--Chambly"," 206","Chambly",1,138,1,16,39,98,19,2,314,566
24011,"Beloeil--Chambly/Beloeil--Chambly"," 207A","Chambly",0,132,0,16,41,94,33,0,316,604
24011,"Beloeil--Chambly/Beloeil--Chambly"," 207B","Chambly",0,78,1,2,21,51,21,0,174,309
24011,"Beloeil--Chambly/Beloeil--Chambly"," 208","Chambly",0,108,2,9,35,50,9,3,216,391
24011,"Beloeil--Chambly/Beloeil--Chambly"," 209A","Chambly",2,67,1,10,18,33,6,2,139,328
24011,"Beloeil--Chambly/Beloeil--Chambly"," 209B","Chambly",0,78,0,3,22,65,13,0,181,445
24011,"Beloeil--Chambly/Beloeil--Chambly"," 210","Chambly",2,99,1,10,29,63,13,3,220,507
24011,"Beloeil--Chambly/Beloeil--Chambly"," 211","Chambly",2,99,0,14,25,76,18,4,238,490
24011,"Beloeil--Chambly/Beloeil--Chambly"," 212","Chambly",1,150,2,12,43,85,15,4,312,618
24011,"Beloeil--Chambly/Beloeil--Chambly"," 213","Chambly",0,96,1,13,42,63,19,1,235,454
24011,"Beloeil--Chambly/Beloeil--Chambly"," 214","Carignan",2,103,2,7,27,35,13,1,190,500
24011,"Beloeil--Chambly/Beloeil--Chambly"," 215","Carignan",4,81,0,8,14,75,28,0,210,449
24011,"Beloeil--Chambly/Beloeil--Chambly"," 216A","Carignan",2,81,0,14,21,57,13,3,191,439
24011,"Beloeil--Chambly/Beloeil--Chambly"," 216B","Carignan",2,79,2,8,24,68,13,0,196,382
24011,"Beloeil--Chambly/Beloeil--Chambly"," 217","Carignan",3,131,1,12,19,72,22,3,263,539
24011,"Beloeil--Chambly/Beloeil--Chambly"," 218A","Carignan",0,75,0,9,19,47,5,1,156,327
24011,"Beloeil--Chambly/Beloeil--Chambly"," 218B","Carignan",2,83,0,7,16,43,10,6,167,392
24011,"Beloeil--Chambly/Beloeil--Chambly"," 219","Carignan",0,131,1,14,33,137,19,3,338,685
24011,"Beloeil--Chambly/Beloeil--Chambly"," 220","Carignan",0,94,0,9,28,53,6,0,190,379
24011,"Beloeil--Chambly/Beloeil--Chambly"," 221","Carignan",2,102,1,12,34,65,20,6,242,499
24011,"Beloeil--Chambly/Beloeil--Chambly"," 222","Carignan",1,110,1,14,42,63,12,2,245,465
24011,"Beloeil--Chambly/Beloeil--Chambly"," 223","Carignan",2,122,0,11,34,53,13,3,238,603
