Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ian Cameron,Michael Kalmanovitch,Sam Lilly,Dougal MacDonald,Heather McPherson,Eleanor Olszewski,Naomi Rankin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Strathcona/Edmonton Strathcona"," 36","Edmonton",0,5,107,1,74,15,0,1,203,349
48019,"Edmonton Strathcona/Edmonton Strathcona"," 37","Edmonton",3,10,51,0,40,16,0,2,122,367
48019,"Edmonton Strathcona/Edmonton Strathcona"," 38","Edmonton",5,2,80,0,165,18,0,0,270,448
48019,"Edmonton Strathcona/Edmonton Strathcona"," 39","Edmonton",6,8,76,0,171,40,1,0,302,631
48019,"Edmonton Strathcona/Edmonton Strathcona"," 40","Edmonton",6,2,86,0,132,36,1,1,264,513
48019,"Edmonton Strathcona/Edmonton Strathcona"," 41","Edmonton",11,5,60,1,144,26,0,1,248,499
48019,"Edmonton Strathcona/Edmonton Strathcona"," 42","Edmonton",6,2,82,1,138,26,3,1,259,475
48019,"Edmonton Strathcona/Edmonton Strathcona"," 43","Edmonton",8,10,84,0,90,31,1,0,224,413
48019,"Edmonton Strathcona/Edmonton Strathcona"," 44","Edmonton",3,2,54,0,101,19,0,1,180,386
48019,"Edmonton Strathcona/Edmonton Strathcona"," 45","Edmonton",1,3,54,0,91,23,1,0,173,406
48019,"Edmonton Strathcona/Edmonton Strathcona"," 46","Edmonton",4,2,57,0,158,31,3,1,256,509
48019,"Edmonton Strathcona/Edmonton Strathcona"," 47","Edmonton",6,5,42,0,139,32,0,0,224,495
48019,"Edmonton Strathcona/Edmonton Strathcona"," 48","Edmonton",4,2,43,0,139,23,2,1,214,495
48019,"Edmonton Strathcona/Edmonton Strathcona"," 49","Edmonton",3,0,39,0,128,32,1,4,207,438
48019,"Edmonton Strathcona/Edmonton Strathcona"," 50","Edmonton",7,5,46,0,173,20,4,1,256,581
48019,"Edmonton Strathcona/Edmonton Strathcona"," 51","Edmonton",6,3,70,0,116,25,0,0,220,336
48019,"Edmonton Strathcona/Edmonton Strathcona"," 52","Edmonton",3,2,96,1,109,28,1,1,241,443
48019,"Edmonton Strathcona/Edmonton Strathcona"," 53","Edmonton",1,2,77,0,60,15,0,1,156,364
48019,"Edmonton Strathcona/Edmonton Strathcona"," 54A","Edmonton",1,7,86,0,126,30,1,0,251,449
48019,"Edmonton Strathcona/Edmonton Strathcona"," 54B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°31B,,,,,,,,,48
48019,"Edmonton Strathcona/Edmonton Strathcona"," 55","Edmonton",3,5,92,0,117,32,0,1,250,395
48019,"Edmonton Strathcona/Edmonton Strathcona"," 56","Edmonton",2,1,85,0,120,30,0,3,241,452
48019,"Edmonton Strathcona/Edmonton Strathcona"," 57","Edmonton",7,3,90,0,120,35,1,1,257,442
48019,"Edmonton Strathcona/Edmonton Strathcona"," 58","Edmonton",3,2,51,0,149,25,0,1,231,530
48019,"Edmonton Strathcona/Edmonton Strathcona"," 59","Edmonton",5,3,40,1,171,20,1,0,241,423
48019,"Edmonton Strathcona/Edmonton Strathcona"," 60","Edmonton",10,4,41,0,123,11,1,2,192,402
48019,"Edmonton Strathcona/Edmonton Strathcona"," 61","Edmonton",7,2,84,0,140,24,1,1,259,447
48019,"Edmonton Strathcona/Edmonton Strathcona"," 62","Edmonton",2,1,65,0,179,19,0,0,266,466
48019,"Edmonton Strathcona/Edmonton Strathcona"," 63","Edmonton",3,0,112,0,102,25,1,1,244,478
48019,"Edmonton Strathcona/Edmonton Strathcona"," 64","Edmonton",5,7,147,1,128,26,1,0,315,484
48019,"Edmonton Strathcona/Edmonton Strathcona"," 65","Edmonton",2,4,138,1,99,25,1,0,270,457
48019,"Edmonton Strathcona/Edmonton Strathcona"," 66","Edmonton",1,4,113,0,87,28,0,0,233,411
48019,"Edmonton Strathcona/Edmonton Strathcona"," 67","Edmonton",2,2,66,0,111,26,1,2,210,429
48019,"Edmonton Strathcona/Edmonton Strathcona"," 68","Edmonton",4,8,58,0,118,14,1,0,203,447
48019,"Edmonton Strathcona/Edmonton Strathcona"," 69","Edmonton",4,4,63,1,203,39,2,0,316,554
48019,"Edmonton Strathcona/Edmonton Strathcona"," 70","Edmonton",3,2,70,1,144,26,1,0,247,449
48019,"Edmonton Strathcona/Edmonton Strathcona"," 71","Edmonton",1,5,80,0,158,34,1,0,279,511
48019,"Edmonton Strathcona/Edmonton Strathcona"," 72A","Edmonton",0,2,60,1,127,24,1,1,216,479
48019,"Edmonton Strathcona/Edmonton Strathcona"," 72B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506A,,,,,,,,,57
48019,"Edmonton Strathcona/Edmonton Strathcona"," 73","Edmonton",5,1,51,0,129,17,1,1,205,490
48019,"Edmonton Strathcona/Edmonton Strathcona"," 74","Edmonton",2,2,39,1,148,19,0,1,212,402
48019,"Edmonton Strathcona/Edmonton Strathcona"," 75","Edmonton",4,0,122,1,92,14,0,0,233,428
48019,"Edmonton Strathcona/Edmonton Strathcona"," 76","Edmonton",5,0,115,0,123,19,0,1,263,444
48019,"Edmonton Strathcona/Edmonton Strathcona"," 77","Edmonton",2,1,94,0,81,18,0,1,197,345
48019,"Edmonton Strathcona/Edmonton Strathcona"," 78A","Edmonton",6,3,63,1,56,19,1,1,150,353
48019,"Edmonton Strathcona/Edmonton Strathcona"," 78B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,98
48019,"Edmonton Strathcona/Edmonton Strathcona"," 79","Edmonton",4,3,46,0,148,21,0,2,224,485
48019,"Edmonton Strathcona/Edmonton Strathcona"," 80","Edmonton",7,2,64,0,138,18,1,0,230,441
48019,"Edmonton Strathcona/Edmonton Strathcona"," 81","Edmonton",6,4,70,0,146,27,0,1,254,466
48019,"Edmonton Strathcona/Edmonton Strathcona"," 82","Edmonton",8,4,92,0,102,26,1,0,233,532
48019,"Edmonton Strathcona/Edmonton Strathcona"," 83","Edmonton",6,2,79,1,106,16,1,0,211,416
48019,"Edmonton Strathcona/Edmonton Strathcona"," 84","Edmonton",0,1,73,0,104,16,2,0,196,401
48019,"Edmonton Strathcona/Edmonton Strathcona"," 85","Edmonton",3,8,73,0,125,23,0,0,232,488
48019,"Edmonton Strathcona/Edmonton Strathcona"," 86","Edmonton",2,5,63,0,74,32,1,0,177,462
48019,"Edmonton Strathcona/Edmonton Strathcona"," 87A","Edmonton",6,3,69,0,79,11,0,0,168,366
48019,"Edmonton Strathcona/Edmonton Strathcona"," 87B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°31B,,,,,,,,,45
48019,"Edmonton Strathcona/Edmonton Strathcona"," 88","Edmonton",1,5,68,2,138,22,0,1,237,388
48019,"Edmonton Strathcona/Edmonton Strathcona"," 89","Edmonton",4,2,59,0,128,22,2,0,217,416
48019,"Edmonton Strathcona/Edmonton Strathcona"," 90","Edmonton",4,3,70,1,131,41,0,0,250,407
48019,"Edmonton Strathcona/Edmonton Strathcona"," 91","Edmonton",4,2,72,0,151,29,0,0,258,415
48019,"Edmonton Strathcona/Edmonton Strathcona"," 92","Edmonton",0,1,69,0,98,45,0,0,213,377
48019,"Edmonton Strathcona/Edmonton Strathcona"," 93A","Edmonton",4,7,73,1,102,37,0,0,224,417
48019,"Edmonton Strathcona/Edmonton Strathcona"," 93B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,,57
48019,"Edmonton Strathcona/Edmonton Strathcona"," 94","Edmonton",2,2,97,0,95,22,0,1,219,461
48019,"Edmonton Strathcona/Edmonton Strathcona"," 95","Edmonton",6,6,68,1,103,21,0,1,206,454
48019,"Edmonton Strathcona/Edmonton Strathcona"," 96","Edmonton",0,9,62,0,95,24,0,1,191,342
48019,"Edmonton Strathcona/Edmonton Strathcona"," 97","Edmonton",3,5,43,0,100,24,0,1,176,372
