Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jerome Adamo,Anita Anand,James Elwick,JD Meaney,Sushila Pereira,Terence Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35072,"Oakville/Oakville"," 26","Oakville",12,73,4,2,0,71,1,163,407
35072,"Oakville/Oakville"," 27","Oakville",7,100,9,4,0,97,3,220,455
35072,"Oakville/Oakville"," 28","Oakville",5,82,8,2,0,82,1,180,326
35072,"Oakville/Oakville"," 29","Oakville",13,89,6,4,0,79,1,192,396
35072,"Oakville/Oakville"," 30","Oakville",7,97,20,1,0,66,0,191,330
35072,"Oakville/Oakville"," 31","Oakville",10,91,6,1,0,63,3,174,375
35072,"Oakville/Oakville"," 32","Oakville",9,72,9,0,0,76,1,167,393
35072,"Oakville/Oakville"," 33","Oakville",5,108,5,2,0,114,0,234,436
35072,"Oakville/Oakville"," 34","Oakville",12,61,4,2,0,53,0,132,354
35072,"Oakville/Oakville"," 35","Oakville",13,87,5,3,1,68,2,179,443
35072,"Oakville/Oakville"," 36","Oakville",15,61,7,2,0,67,0,152,329
35072,"Oakville/Oakville"," 37","Oakville",7,59,4,4,1,51,2,128,254
35072,"Oakville/Oakville"," 38","Oakville",29,124,14,5,5,96,2,275,484
35072,"Oakville/Oakville"," 39","Oakville",19,75,14,2,0,82,0,192,324
35072,"Oakville/Oakville"," 40","Oakville",19,71,9,2,0,65,1,167,347
35072,"Oakville/Oakville"," 41","Oakville",12,54,3,1,1,87,0,158,377
35072,"Oakville/Oakville"," 42","Oakville",6,68,8,0,0,82,3,167,350
35072,"Oakville/Oakville"," 43","Oakville",12,60,8,1,0,81,0,162,358
35072,"Oakville/Oakville"," 44","Oakville",13,53,8,0,0,63,0,137,304
35072,"Oakville/Oakville"," 45","Oakville",10,100,14,1,0,58,1,184,384
35072,"Oakville/Oakville"," 46","Oakville",17,99,17,8,0,69,2,212,486
35072,"Oakville/Oakville"," 47","Oakville",16,89,8,0,1,53,3,170,336
35072,"Oakville/Oakville"," 48","Oakville",8,63,8,0,0,74,2,155,326
35072,"Oakville/Oakville"," 49","Oakville",1,55,8,0,0,63,2,129,255
35072,"Oakville/Oakville"," 50","Oakville",7,74,19,1,1,66,5,173,290
35072,"Oakville/Oakville"," 51","Oakville",6,69,8,2,0,77,0,162,351
35072,"Oakville/Oakville"," 52","Oakville",6,102,16,0,2,107,0,233,437
35072,"Oakville/Oakville"," 53","Oakville",3,88,7,2,1,86,0,187,451
35072,"Oakville/Oakville"," 54","Oakville",3,68,12,1,0,108,1,193,417
35072,"Oakville/Oakville"," 55","Oakville",12,73,21,3,0,81,1,191,450
35072,"Oakville/Oakville"," 56","Oakville",8,90,10,0,0,90,0,198,407
35072,"Oakville/Oakville"," 57","Oakville",17,71,10,4,0,74,1,177,323
35072,"Oakville/Oakville"," 58","Oakville",23,78,19,3,1,92,1,217,380
35072,"Oakville/Oakville"," 59","Oakville",16,123,17,5,0,87,1,249,422
35072,"Oakville/Oakville"," 60","Oakville",39,122,20,3,1,93,3,281,518
35072,"Oakville/Oakville"," 61","Oakville",13,91,19,3,1,76,0,203,369
35072,"Oakville/Oakville"," 62","Oakville",41,128,11,2,5,103,4,294,502
35072,"Oakville/Oakville"," 63","Oakville",18,96,13,3,0,53,0,183,293
35072,"Oakville/Oakville"," 64","Oakville",17,99,12,3,0,100,0,231,411
35072,"Oakville/Oakville"," 65","Oakville",31,84,24,2,0,52,2,195,404
35072,"Oakville/Oakville"," 66","Oakville",43,71,11,1,0,68,0,194,379
35072,"Oakville/Oakville"," 67","Oakville",58,66,19,7,0,24,1,175,412
35072,"Oakville/Oakville"," 68","Oakville",18,98,14,0,1,54,2,187,408
35072,"Oakville/Oakville"," 69","Oakville",21,52,7,3,3,42,1,129,321
35072,"Oakville/Oakville"," 70","Oakville",23,56,10,1,0,32,1,123,287
35072,"Oakville/Oakville"," 71","Oakville",9,79,6,3,0,68,1,166,390
35072,"Oakville/Oakville"," 72","Oakville",47,100,19,6,0,42,1,215,532
35072,"Oakville/Oakville"," 73","Oakville",5,79,6,1,1,101,1,194,393
35072,"Oakville/Oakville"," 74","Oakville",7,67,2,1,1,101,0,179,416
35072,"Oakville/Oakville"," 75","Oakville",13,60,8,6,0,91,2,180,371
35072,"Oakville/Oakville"," 76","Oakville",9,75,7,3,0,112,0,206,424
35072,"Oakville/Oakville"," 77","Oakville",7,66,9,0,2,74,1,159,379
35072,"Oakville/Oakville"," 78","Oakville",7,74,2,0,0,37,0,120,286
35072,"Oakville/Oakville"," 79","Oakville",18,81,2,4,0,54,0,159,383
35072,"Oakville/Oakville"," 80","Oakville",16,107,11,1,3,41,2,181,342
35072,"Oakville/Oakville"," 81","Oakville",31,109,15,3,1,50,1,210,413
35072,"Oakville/Oakville"," 82","Oakville",15,63,14,5,1,49,4,151,347
35072,"Oakville/Oakville"," 83","Oakville",25,69,10,2,1,51,0,158,366
35072,"Oakville/Oakville"," 84","Oakville",16,79,6,7,0,51,1,160,302
35072,"Oakville/Oakville"," 85","Oakville",25,104,18,10,1,66,0,224,461
35072,"Oakville/Oakville"," 86","Oakville",27,90,5,3,0,63,0,188,431
35072,"Oakville/Oakville"," 87","Oakville",26,96,9,1,1,74,5,212,409
35072,"Oakville/Oakville"," 88","Oakville",19,77,17,2,2,58,0,175,420
35072,"Oakville/Oakville"," 89","Oakville",17,101,18,2,0,89,2,229,455
35072,"Oakville/Oakville"," 90","Oakville",1,67,14,3,0,125,0,210,439
35072,"Oakville/Oakville"," 91","Oakville",3,78,13,3,0,107,0,204,426
35072,"Oakville/Oakville"," 92","Oakville",2,93,13,1,0,104,1,214,446
35072,"Oakville/Oakville"," 93","Oakville",6,81,7,6,0,60,3,163,368
35072,"Oakville/Oakville"," 94","Oakville",10,100,20,2,1,66,1,200,400
35072,"Oakville/Oakville"," 95","Oakville",36,117,22,1,0,109,0,285,479
35072,"Oakville/Oakville"," 96","Oakville",23,89,18,7,0,84,0,221,437
35072,"Oakville/Oakville"," 97","Oakville",30,115,26,6,0,108,4,289,463
35072,"Oakville/Oakville"," 98","Oakville",14,107,10,4,1,83,5,224,386
35072,"Oakville/Oakville"," 99","Oakville",18,115,5,4,0,72,0,214,393
35072,"Oakville/Oakville"," 100","Oakville",28,115,22,4,0,89,4,262,446
35072,"Oakville/Oakville"," 101","Oakville",10,149,15,6,2,88,1,271,431
35072,"Oakville/Oakville"," 102","Oakville",14,103,14,3,0,65,1,200,445
35072,"Oakville/Oakville"," 103","Oakville",7,69,11,1,0,95,0,183,441
35072,"Oakville/Oakville"," 104","Oakville",22,92,15,6,3,63,2,203,386
35072,"Oakville/Oakville"," 105","Oakville",13,97,21,4,0,57,1,193,366
35072,"Oakville/Oakville"," 106","Oakville",7,67,8,1,0,60,0,143,279
35072,"Oakville/Oakville"," 107","Oakville",14,113,9,0,1,69,0,206,419
35072,"Oakville/Oakville"," 108","Oakville",35,85,17,5,0,54,0,196,460
35072,"Oakville/Oakville"," 109","Oakville",29,91,19,2,0,51,3,195,376
35072,"Oakville/Oakville"," 110","Oakville",45,90,26,10,2,62,4,239,529
35072,"Oakville/Oakville"," 111","Oakville",23,70,24,3,1,35,0,156,358
35072,"Oakville/Oakville"," 112","Oakville",34,173,17,7,1,48,14,294,536
35072,"Oakville/Oakville"," 113","Oakville",23,100,14,2,0,45,0,184,387
35072,"Oakville/Oakville"," 114","Oakville",26,90,13,2,2,42,0,175,397
35072,"Oakville/Oakville"," 115","Oakville",15,125,11,3,0,31,2,187,398
35072,"Oakville/Oakville"," 116","Oakville",6,63,4,1,0,41,0,115,288
35072,"Oakville/Oakville"," 117","Oakville",20,89,15,2,0,42,4,172,345
35072,"Oakville/Oakville"," 118","Oakville",20,126,18,3,2,74,5,248,499
35072,"Oakville/Oakville"," 119","Oakville",7,103,5,3,0,99,1,218,411
35072,"Oakville/Oakville"," 120","Oakville",9,53,4,0,0,65,0,131,271
35072,"Oakville/Oakville"," 121","Oakville",11,72,9,1,0,50,1,144,285
35072,"Oakville/Oakville"," 122","Oakville",6,61,2,0,0,72,0,141,321
35072,"Oakville/Oakville"," 123","Oakville",7,74,3,1,1,50,0,136,295
35072,"Oakville/Oakville"," 124","Oakville",15,115,12,3,0,64,0,209,372
35072,"Oakville/Oakville"," 125","Oakville",9,88,12,0,0,81,2,192,407
35072,"Oakville/Oakville"," 126","Oakville",8,101,10,2,0,92,1,214,407
35072,"Oakville/Oakville"," 127","Oakville",14,105,13,4,0,105,7,248,447
35072,"Oakville/Oakville"," 128","Oakville",14,137,13,2,0,145,2,313,587
35072,"Oakville/Oakville"," 129","Oakville",21,106,13,1,2,70,7,220,413
35072,"Oakville/Oakville"," 130","Oakville",23,84,8,0,5,66,0,186,398
35072,"Oakville/Oakville"," 131","Oakville",14,100,15,3,0,109,0,241,585
35072,"Oakville/Oakville"," 132","Oakville",23,78,11,3,0,57,2,174,316
35072,"Oakville/Oakville"," 133","Oakville",13,70,8,4,0,42,1,138,315
35072,"Oakville/Oakville"," 134","Oakville",15,111,20,1,0,55,3,205,403
35072,"Oakville/Oakville"," 135","Oakville",19,95,15,1,2,48,1,181,362
35072,"Oakville/Oakville"," 136","Oakville",24,125,13,4,1,100,0,267,626
35072,"Oakville/Oakville"," 137","Oakville",17,99,3,1,0,85,0,205,338
35072,"Oakville/Oakville"," 138","Oakville",10,119,9,4,0,98,1,241,421
35072,"Oakville/Oakville"," 139","Oakville",13,72,10,7,1,65,0,168,280
35072,"Oakville/Oakville"," 140","Oakville",3,83,5,2,0,66,0,159,315
35072,"Oakville/Oakville"," 141","Oakville",28,118,26,2,0,100,0,274,497
35072,"Oakville/Oakville"," 142","Oakville",12,126,6,3,0,69,1,217,439
35072,"Oakville/Oakville"," 143","Oakville",4,58,5,2,0,70,0,139,366
35072,"Oakville/Oakville"," 144","Oakville",6,75,10,1,0,68,0,160,361
35072,"Oakville/Oakville"," 145","Oakville",12,62,3,0,0,61,0,138,261
35072,"Oakville/Oakville"," 146","Oakville",19,135,14,5,3,59,1,236,559
35072,"Oakville/Oakville"," 147","Oakville",23,94,11,0,0,89,2,219,439
35072,"Oakville/Oakville"," 148","Oakville",25,71,15,4,1,99,0,215,448
35072,"Oakville/Oakville"," 149","Oakville",12,86,19,3,0,97,1,218,415
35072,"Oakville/Oakville"," 150","Oakville",12,105,17,1,0,59,0,194,369
35072,"Oakville/Oakville"," 151","Oakville",11,84,11,1,0,96,0,203,440
35072,"Oakville/Oakville"," 152","Oakville",18,97,6,1,0,99,2,223,495
35072,"Oakville/Oakville"," 153","Oakville",20,91,14,2,0,66,2,195,467
35072,"Oakville/Oakville"," 154","Oakville",24,107,16,7,3,76,0,233,469
35072,"Oakville/Oakville"," 155","Oakville",15,105,6,3,0,76,1,206,442
35072,"Oakville/Oakville"," 156","Oakville",21,133,9,1,0,63,4,231,573
35072,"Oakville/Oakville"," 157","Oakville",16,101,6,1,0,104,0,228,505
35072,"Oakville/Oakville"," 158","Oakville",11,102,5,1,0,69,1,189,412
35072,"Oakville/Oakville"," 159","Oakville",10,88,7,0,0,73,1,179,361
35072,"Oakville/Oakville"," 160","Oakville",16,76,10,4,0,102,3,211,440
35072,"Oakville/Oakville"," 161","Oakville",21,85,14,1,1,64,1,187,349
35072,"Oakville/Oakville"," 162","Oakville",18,72,12,1,1,78,3,185,336
35072,"Oakville/Oakville"," 163","Oakville",11,70,10,6,0,90,1,188,349
35072,"Oakville/Oakville"," 164","Oakville",23,109,12,3,2,84,0,233,444
35072,"Oakville/Oakville"," 165","Oakville",19,62,15,3,0,39,6,144,342
35072,"Oakville/Oakville"," 166","Oakville",21,81,2,8,0,73,3,188,371
35072,"Oakville/Oakville"," 167","Oakville",12,93,10,1,1,69,1,187,351
35072,"Oakville/Oakville"," 168","Oakville",7,77,15,2,0,77,1,179,380
35072,"Oakville/Oakville"," 169","Oakville",18,61,16,2,0,73,5,175,354
35072,"Oakville/Oakville"," 170","Oakville",17,64,8,2,0,69,4,164,414
35072,"Oakville/Oakville"," 171","Oakville",14,76,13,0,0,90,2,195,406
35072,"Oakville/Oakville"," 172","Oakville",8,75,17,0,0,69,0,169,370
35072,"Oakville/Oakville"," 173","Oakville",8,66,8,0,0,86,2,170,429
35072,"Oakville/Oakville"," 174","Oakville",10,89,19,3,0,95,2,218,392
35072,"Oakville/Oakville"," 175","Oakville",10,104,11,1,0,106,0,232,397
35072,"Oakville/Oakville"," 176","Oakville",19,77,11,2,0,93,1,203,454
35072,"Oakville/Oakville"," 177","Oakville",18,83,14,2,0,87,1,205,421
35072,"Oakville/Oakville"," 178","Oakville",14,110,8,2,0,82,1,217,454
35072,"Oakville/Oakville"," 179","Oakville",20,95,15,1,0,81,0,212,439
35072,"Oakville/Oakville"," 180","Oakville",10,104,16,7,2,117,0,256,534
35072,"Oakville/Oakville"," 181","Oakville",10,98,7,0,0,74,0,189,354
35072,"Oakville/Oakville"," 182","Oakville",21,119,6,1,1,87,1,236,463
35072,"Oakville/Oakville"," 183","Oakville",13,70,12,6,0,55,1,157,352
35072,"Oakville/Oakville"," 184","Oakville",9,72,7,3,0,72,0,163,371
35072,"Oakville/Oakville"," 185","Oakville",25,150,11,3,0,107,2,298,611
35072,"Oakville/Oakville"," 186","Oakville",8,81,16,3,0,87,2,197,396
35072,"Oakville/Oakville"," 187","Oakville",22,122,26,6,2,87,1,266,464
35072,"Oakville/Oakville"," 188","Oakville",15,125,21,4,0,81,2,248,470
35072,"Oakville/Oakville"," 189","Oakville",10,26,0,1,1,27,0,65,158
35072,"Oakville/Oakville"," 190","Oakville",8,44,7,0,0,27,0,86,173
35072,"Oakville/Oakville"," 191","Oakville",18,118,17,1,0,115,3,272,487
35072,"Oakville/Oakville"," 192","Oakville",15,149,6,3,0,74,2,249,369
35072,"Oakville/Oakville"," 193","Oakville",14,83,5,5,0,65,10,182,272
35072,"Oakville/Oakville"," 194","Oakville",13,98,12,3,0,82,1,209,418
35072,"Oakville/Oakville"," 195","Oakville",20,92,14,3,2,64,1,196,420
35072,"Oakville/Oakville"," 196","Oakville",19,84,10,0,0,85,0,198,344
35072,"Oakville/Oakville"," 197","Oakville",12,105,17,4,0,93,0,231,430
35072,"Oakville/Oakville"," 198","Oakville",17,118,17,3,1,87,2,245,456
35072,"Oakville/Oakville"," 199","Oakville",27,113,21,4,1,77,0,243,497
35072,"Oakville/Oakville"," 200","Oakville",19,89,8,5,0,58,4,183,471
35072,"Oakville/Oakville"," 201","Oakville",10,67,18,0,0,64,1,160,314
35072,"Oakville/Oakville"," 202","Oakville",15,120,11,2,0,100,2,250,484
35072,"Oakville/Oakville"," 203","Oakville",23,118,10,6,1,65,0,223,432
35072,"Oakville/Oakville"," 204","Oakville",11,105,9,2,0,89,1,217,411
35072,"Oakville/Oakville"," 205","Oakville",20,78,18,2,1,72,3,194,438
35072,"Oakville/Oakville"," 206","Oakville",16,83,8,0,1,67,0,175,344
35072,"Oakville/Oakville"," 207","Oakville",20,91,11,5,0,74,0,201,464
35072,"Oakville/Oakville"," 208","Oakville",16,101,7,2,0,114,0,240,490
35072,"Oakville/Oakville"," 209","Oakville",1,22,3,4,1,52,0,83,172
35072,"Oakville/Oakville"," 210","Oakville",16,96,15,2,0,107,0,236,461
35072,"Oakville/Oakville"," 211","Oakville",19,108,12,1,2,119,2,263,557
35072,"Oakville/Oakville"," 212","Oakville",13,100,11,2,0,84,1,211,413
35072,"Oakville/Oakville"," 213","Oakville",9,85,12,4,0,81,0,191,417
35072,"Oakville/Oakville"," 214","Oakville",24,126,11,7,2,119,1,290,582
35072,"Oakville/Oakville"," 215","Oakville",21,105,20,4,0,94,0,244,425
35072,"Oakville/Oakville"," 216","Oakville",9,82,8,1,0,95,0,195,422
35072,"Oakville/Oakville"," 217","Oakville",15,94,12,1,0,77,0,199,436
35072,"Oakville/Oakville"," 218","Oakville",8,112,10,4,1,109,1,245,459
35072,"Oakville/Oakville"," 400","Oakville",18,102,12,0,2,82,0,216,276
35072,"Oakville/Oakville"," 401","Oakville",10,62,10,3,0,46,0,131,213
35072,"Oakville/Oakville"," 402","Oakville",14,81,9,3,0,53,1,161,260
35072,"Oakville/Oakville"," 403","Oakville",7,67,9,2,1,54,8,148,205
35072,"Oakville/Oakville"," 404","Oakville",2,78,3,1,0,85,0,169,250
35072,"Oakville/Oakville"," 405","Oakville",6,92,8,0,0,62,2,170,269
35072,"Oakville/Oakville"," 406","Oakville",10,91,12,6,0,82,2,203,280
35072,"Oakville/Oakville"," 407","Oakville",13,98,9,4,0,82,0,206,293
35072,"Oakville/Oakville"," 500","Mobile poll/Bureau itinérant",4,40,5,2,0,26,2,79,136
35072,"Oakville/Oakville"," 501","Mobile poll/Bureau itinérant",9,49,7,0,0,44,4,113,165
35072,"Oakville/Oakville"," 502","Mobile poll/Bureau itinérant",11,124,7,0,1,82,11,236,284
35072,"Oakville/Oakville"," 600","Oakville",47,493,34,8,2,420,5,1009,
35072,"Oakville/Oakville"," 601","Oakville",63,591,61,11,1,532,8,1267,
35072,"Oakville/Oakville"," 602","Oakville",50,621,54,6,2,654,2,1389,
35072,"Oakville/Oakville"," 603","Oakville",91,621,61,9,0,473,6,1261,
35072,"Oakville/Oakville"," 604","Oakville",35,494,73,11,2,651,2,1268,
35072,"Oakville/Oakville"," 605","Oakville",115,476,77,14,0,344,5,1031,
35072,"Oakville/Oakville"," 606","Oakville",81,447,54,10,5,359,0,956,
35072,"Oakville/Oakville"," 607","Oakville",38,475,68,12,2,456,2,1053,
35072,"Oakville/Oakville"," 608","Oakville",77,429,69,10,2,256,4,847,
35072,"Oakville/Oakville"," 609","Oakville",67,576,72,7,0,407,11,1140,
35072,"Oakville/Oakville"," 610","Oakville",58,506,45,10,1,435,18,1073,
35072,"Oakville/Oakville"," 611","Oakville",58,485,49,22,3,431,5,1053,
35072,"Oakville/Oakville"," 612","Oakville",78,656,55,21,2,555,4,1371,
35072,"Oakville/Oakville"," 613","Oakville",56,486,46,5,3,466,4,1066,
35072,"Oakville/Oakville"," 614","Oakville",72,488,60,16,1,379,8,1024,
35072,"Oakville/Oakville"," 615","Oakville",74,404,61,14,3,296,6,858,
35072,"Oakville/Oakville"," 616","Oakville",65,439,65,12,3,402,4,990,
35072,"Oakville/Oakville",,Group 1/Groupe 1, 23,174,20,6,0,48,17,288,451
35072,"Oakville/Oakville",,Group 2/Groupe 2, 280,1145,172,27,7,743,53,2427,
