Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Khalis Ahmed,Ghada Alatrash,Christina Bassett,Garry Dirk,Ron Liepert,Marco Reid,Gord Squire,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Calgary Signal Hill/Calgary Signal Hill"," 28","Calgary",34,22,1,2,92,11,6,1,169,446
48012,"Calgary Signal Hill/Calgary Signal Hill"," 29","Calgary",26,41,3,0,82,14,7,0,173,409
48012,"Calgary Signal Hill/Calgary Signal Hill"," 30","Calgary",34,19,0,1,108,7,9,0,178,391
48012,"Calgary Signal Hill/Calgary Signal Hill"," 31","Calgary",31,30,0,2,89,15,5,0,172,438
48012,"Calgary Signal Hill/Calgary Signal Hill"," 32","Calgary",20,31,2,0,92,19,2,0,166,393
48012,"Calgary Signal Hill/Calgary Signal Hill"," 33","Calgary",26,31,0,0,107,11,3,0,178,395
48012,"Calgary Signal Hill/Calgary Signal Hill"," 34","Calgary",39,50,2,0,121,19,2,1,234,444
48012,"Calgary Signal Hill/Calgary Signal Hill"," 35","Calgary",12,20,0,1,155,6,2,0,196,481
48012,"Calgary Signal Hill/Calgary Signal Hill"," 36","Calgary",14,24,0,0,113,0,5,1,157,357
48012,"Calgary Signal Hill/Calgary Signal Hill"," 37","Calgary",19,50,1,0,142,4,0,0,216,489
48012,"Calgary Signal Hill/Calgary Signal Hill"," 38","Calgary",18,38,0,1,154,8,6,0,225,543
48012,"Calgary Signal Hill/Calgary Signal Hill"," 39","Calgary",8,34,1,1,138,13,0,1,196,442
48012,"Calgary Signal Hill/Calgary Signal Hill"," 40","Calgary",10,29,1,1,131,9,3,0,184,431
48012,"Calgary Signal Hill/Calgary Signal Hill"," 41","Calgary",18,30,3,2,112,2,4,1,172,437
48012,"Calgary Signal Hill/Calgary Signal Hill"," 42","Calgary",18,60,1,0,162,6,2,0,249,583
48012,"Calgary Signal Hill/Calgary Signal Hill"," 43","Calgary",33,41,0,0,146,6,1,0,227,502
48012,"Calgary Signal Hill/Calgary Signal Hill"," 44","Calgary",13,29,0,0,135,3,1,1,182,517
48012,"Calgary Signal Hill/Calgary Signal Hill"," 45","Calgary",4,28,1,1,163,1,3,0,201,425
48012,"Calgary Signal Hill/Calgary Signal Hill"," 46","Calgary",20,35,0,0,188,11,4,0,258,573
48012,"Calgary Signal Hill/Calgary Signal Hill"," 47","Calgary",6,20,1,1,147,5,1,0,181,377
48012,"Calgary Signal Hill/Calgary Signal Hill"," 48","Calgary",12,21,0,0,135,0,1,2,171,420
48012,"Calgary Signal Hill/Calgary Signal Hill"," 49","Calgary",9,26,0,1,116,1,6,0,159,382
48012,"Calgary Signal Hill/Calgary Signal Hill"," 50","Calgary",14,19,0,0,120,5,2,0,160,337
48012,"Calgary Signal Hill/Calgary Signal Hill"," 51","Calgary",10,49,1,1,118,4,0,1,184,454
48012,"Calgary Signal Hill/Calgary Signal Hill"," 52","Calgary",8,29,0,0,119,5,2,0,163,371
48012,"Calgary Signal Hill/Calgary Signal Hill"," 53","Calgary",5,31,2,1,106,7,3,0,155,364
48012,"Calgary Signal Hill/Calgary Signal Hill"," 54","Calgary",6,33,3,1,164,5,1,0,213,573
48012,"Calgary Signal Hill/Calgary Signal Hill"," 55","Calgary",18,20,0,0,120,1,0,0,159,412
48012,"Calgary Signal Hill/Calgary Signal Hill"," 56","Calgary",11,41,3,0,153,0,1,2,211,523
48012,"Calgary Signal Hill/Calgary Signal Hill"," 57","Calgary",15,33,1,3,101,7,2,0,162,465
48012,"Calgary Signal Hill/Calgary Signal Hill"," 58A","Calgary",8,23,1,0,140,4,1,0,177,471
48012,"Calgary Signal Hill/Calgary Signal Hill"," 58B","Calgary",7,16,1,0,104,3,2,0,133,395
48012,"Calgary Signal Hill/Calgary Signal Hill"," 59","Calgary",11,31,1,0,164,2,0,0,209,519
48012,"Calgary Signal Hill/Calgary Signal Hill"," 60","Calgary",9,24,0,0,110,3,1,0,147,337
48012,"Calgary Signal Hill/Calgary Signal Hill"," 61","Calgary",18,33,0,0,132,8,7,0,198,488
48012,"Calgary Signal Hill/Calgary Signal Hill"," 62","Calgary",24,32,2,1,143,2,4,0,208,463
48012,"Calgary Signal Hill/Calgary Signal Hill"," 63","Calgary",10,29,1,1,105,4,6,3,159,425
48012,"Calgary Signal Hill/Calgary Signal Hill"," 64","Calgary",16,31,3,0,109,6,5,0,170,371
48012,"Calgary Signal Hill/Calgary Signal Hill"," 65","Calgary",17,28,2,0,83,7,3,0,140,353
48012,"Calgary Signal Hill/Calgary Signal Hill"," 66","Calgary",23,41,1,0,88,12,4,4,173,386
48012,"Calgary Signal Hill/Calgary Signal Hill"," 67","Calgary",10,22,3,1,124,6,5,0,171,379
48012,"Calgary Signal Hill/Calgary Signal Hill"," 68","Calgary",8,21,2,0,115,4,2,1,153,392
48012,"Calgary Signal Hill/Calgary Signal Hill"," 69","Calgary",11,39,1,0,133,4,0,0,188,441
48012,"Calgary Signal Hill/Calgary Signal Hill"," 70","Calgary",10,26,1,0,220,2,1,0,260,576
48012,"Calgary Signal Hill/Calgary Signal Hill"," 71","Calgary",14,19,2,0,187,5,6,0,233,620
48012,"Calgary Signal Hill/Calgary Signal Hill"," 72","Calgary",8,30,2,0,227,1,0,1,269,705
48012,"Calgary Signal Hill/Calgary Signal Hill"," 73","Calgary",12,44,0,0,190,6,3,0,255,542
48012,"Calgary Signal Hill/Calgary Signal Hill"," 74","Calgary",10,25,0,0,151,6,0,0,192,443
48012,"Calgary Signal Hill/Calgary Signal Hill"," 75","Calgary",7,29,0,0,90,1,0,0,127,352
48012,"Calgary Signal Hill/Calgary Signal Hill"," 76","Calgary",8,24,0,0,144,6,1,0,183,453
48012,"Calgary Signal Hill/Calgary Signal Hill"," 77","Calgary",4,14,0,0,62,0,1,1,82,284
48012,"Calgary Signal Hill/Calgary Signal Hill"," 78","Calgary",20,43,3,1,177,8,2,0,254,620
48012,"Calgary Signal Hill/Calgary Signal Hill"," 79","Calgary",19,26,1,0,105,0,0,0,151,446
48012,"Calgary Signal Hill/Calgary Signal Hill"," 80","Calgary",12,23,0,0,71,3,0,0,109,325
48012,"Calgary Signal Hill/Calgary Signal Hill"," 81","Calgary",27,35,4,1,101,6,6,0,180,407
48012,"Calgary Signal Hill/Calgary Signal Hill"," 82","Calgary",24,27,4,2,102,9,9,1,178,464
48012,"Calgary Signal Hill/Calgary Signal Hill"," 83","Calgary",9,18,1,0,129,4,1,0,162,472
48012,"Calgary Signal Hill/Calgary Signal Hill"," 84","Calgary",11,41,1,0,122,8,4,1,188,496
48012,"Calgary Signal Hill/Calgary Signal Hill"," 85","Calgary",7,24,1,0,120,3,4,3,162,458
48012,"Calgary Signal Hill/Calgary Signal Hill"," 86","Calgary",7,19,1,0,92,3,2,2,126,402
48012,"Calgary Signal Hill/Calgary Signal Hill"," 87","Calgary",3,12,2,0,136,5,0,0,158,503
48012,"Calgary Signal Hill/Calgary Signal Hill"," 88","Calgary",6,11,1,0,108,2,3,1,132,446
48012,"Calgary Signal Hill/Calgary Signal Hill"," 89","Calgary",18,39,2,0,88,11,7,0,165,355
48012,"Calgary Signal Hill/Calgary Signal Hill"," 90","Calgary",15,32,4,0,140,16,6,0,213,380
48012,"Calgary Signal Hill/Calgary Signal Hill"," 91","Calgary",20,28,3,0,120,9,2,1,183,346
48012,"Calgary Signal Hill/Calgary Signal Hill"," 92","Calgary",20,51,6,3,132,12,2,2,228,446
48012,"Calgary Signal Hill/Calgary Signal Hill"," 93","Calgary",28,57,2,2,130,15,3,0,237,388
48012,"Calgary Signal Hill/Calgary Signal Hill"," 94","Calgary",29,44,7,0,109,11,3,0,203,430
48012,"Calgary Signal Hill/Calgary Signal Hill"," 95","Calgary",21,30,1,1,101,5,2,0,161,501
48012,"Calgary Signal Hill/Calgary Signal Hill"," 96","Calgary",19,57,7,0,108,7,4,0,202,480
48012,"Calgary Signal Hill/Calgary Signal Hill"," 97","Calgary",12,45,1,1,111,8,2,0,180,398
48012,"Calgary Signal Hill/Calgary Signal Hill"," 98","Calgary",15,43,2,1,110,7,4,1,183,401
48012,"Calgary Signal Hill/Calgary Signal Hill"," 99","Calgary",26,29,0,0,134,0,8,1,198,436
48012,"Calgary Signal Hill/Calgary Signal Hill"," 100","Calgary",13,36,1,1,129,8,2,1,191,407
48012,"Calgary Signal Hill/Calgary Signal Hill"," 101","Calgary",12,23,2,1,105,4,4,0,151,422
48012,"Calgary Signal Hill/Calgary Signal Hill"," 102","Calgary",19,35,2,0,115,8,7,2,188,397
48012,"Calgary Signal Hill/Calgary Signal Hill"," 103","Calgary",16,36,5,1,129,9,4,0,200,455
48012,"Calgary Signal Hill/Calgary Signal Hill"," 104","Calgary",10,29,0,0,103,1,1,0,144,421
48012,"Calgary Signal Hill/Calgary Signal Hill"," 105","Calgary",5,12,2,0,95,2,5,0,121,372
48012,"Calgary Signal Hill/Calgary Signal Hill"," 106","Calgary",11,26,4,0,96,3,5,1,146,407
48012,"Calgary Signal Hill/Calgary Signal Hill"," 107","Calgary",16,38,0,0,94,7,5,0,160,414
48012,"Calgary Signal Hill/Calgary Signal Hill"," 108","Calgary",7,17,0,0,119,3,1,0,147,412
48012,"Calgary Signal Hill/Calgary Signal Hill"," 109","Calgary",7,43,0,0,126,4,1,2,183,443
48012,"Calgary Signal Hill/Calgary Signal Hill"," 110","Calgary",13,11,1,0,101,2,5,0,133,363
48012,"Calgary Signal Hill/Calgary Signal Hill"," 111","Calgary",8,21,0,0,119,3,3,0,154,409
48012,"Calgary Signal Hill/Calgary Signal Hill"," 112","Calgary",15,15,0,2,139,3,1,0,175,464
48012,"Calgary Signal Hill/Calgary Signal Hill"," 113","Calgary",20,47,2,0,109,4,3,0,185,447
48012,"Calgary Signal Hill/Calgary Signal Hill"," 114","Calgary",17,57,9,0,114,11,2,0,210,435
48012,"Calgary Signal Hill/Calgary Signal Hill"," 115","Calgary",17,22,2,2,93,6,1,0,143,334
48012,"Calgary Signal Hill/Calgary Signal Hill"," 116","Calgary",9,19,3,0,92,9,0,0,132,372
48012,"Calgary Signal Hill/Calgary Signal Hill"," 117","Calgary",31,45,0,1,103,8,3,2,193,481
48012,"Calgary Signal Hill/Calgary Signal Hill"," 118","Calgary",23,16,1,2,128,4,5,0,179,362
48012,"Calgary Signal Hill/Calgary Signal Hill"," 119","Calgary",27,29,2,2,86,5,6,0,157,454
48012,"Calgary Signal Hill/Calgary Signal Hill"," 120","Calgary",25,22,7,1,74,11,0,0,140,378
48012,"Calgary Signal Hill/Calgary Signal Hill"," 121","Calgary",23,36,2,1,75,5,6,0,148,443
48012,"Calgary Signal Hill/Calgary Signal Hill"," 122","Calgary",39,34,4,0,78,5,5,1,166,392
48012,"Calgary Signal Hill/Calgary Signal Hill"," 123","Calgary",21,28,3,2,101,5,3,0,163,362
48012,"Calgary Signal Hill/Calgary Signal Hill"," 124","Calgary",24,57,1,0,93,11,1,0,187,494
48012,"Calgary Signal Hill/Calgary Signal Hill"," 125","Calgary",37,55,1,0,135,11,6,2,247,567
48012,"Calgary Signal Hill/Calgary Signal Hill"," 126","Calgary",23,44,3,2,164,7,6,0,249,577
48012,"Calgary Signal Hill/Calgary Signal Hill"," 127","Calgary",36,49,1,2,110,13,7,1,219,486
48012,"Calgary Signal Hill/Calgary Signal Hill"," 128","Calgary",25,56,3,1,117,5,3,0,210,574
48012,"Calgary Signal Hill/Calgary Signal Hill"," 129","Calgary",18,30,3,1,115,2,4,0,173,455
48012,"Calgary Signal Hill/Calgary Signal Hill"," 130","Calgary",6,1,0,0,78,1,1,0,87,236
48012,"Calgary Signal Hill/Calgary Signal Hill"," 131","Calgary",12,20,1,0,128,2,4,1,168,471
48012,"Calgary Signal Hill/Calgary Signal Hill"," 132","Calgary",31,34,3,2,96,10,5,2,183,462
48012,"Calgary Signal Hill/Calgary Signal Hill"," 133","Calgary",9,16,3,0,121,6,2,1,158,389
48012,"Calgary Signal Hill/Calgary Signal Hill"," 134","Calgary",11,28,2,1,116,9,7,0,174,442
48012,"Calgary Signal Hill/Calgary Signal Hill"," 135","Calgary",11,47,3,0,148,1,0,0,210,497
48012,"Calgary Signal Hill/Calgary Signal Hill"," 136","Calgary",22,26,2,0,136,2,1,0,189,446
48012,"Calgary Signal Hill/Calgary Signal Hill"," 137","Calgary",11,25,1,0,124,1,2,0,164,425
48012,"Calgary Signal Hill/Calgary Signal Hill"," 138","Calgary",19,28,2,0,135,5,3,1,193,595
48012,"Calgary Signal Hill/Calgary Signal Hill"," 139","Calgary",10,22,1,2,160,9,6,0,210,505
48012,"Calgary Signal Hill/Calgary Signal Hill"," 140","Calgary",12,34,3,2,125,4,4,0,184,461
48012,"Calgary Signal Hill/Calgary Signal Hill"," 141","Calgary",10,30,0,0,124,6,1,0,171,479
48012,"Calgary Signal Hill/Calgary Signal Hill"," 142","Calgary",10,31,1,1,80,4,4,1,132,370
48012,"Calgary Signal Hill/Calgary Signal Hill"," 143","Calgary",20,44,3,0,122,9,6,1,205,487
48012,"Calgary Signal Hill/Calgary Signal Hill"," 144","Calgary",33,37,1,1,137,6,2,1,218,437
48012,"Calgary Signal Hill/Calgary Signal Hill"," 145","Calgary",20,27,3,3,104,6,3,3,169,391
48012,"Calgary Signal Hill/Calgary Signal Hill"," 146","Calgary",20,32,1,0,103,6,3,3,168,413
48012,"Calgary Signal Hill/Calgary Signal Hill"," 147","Calgary",27,26,1,0,182,9,2,0,247,450
48012,"Calgary Signal Hill/Calgary Signal Hill"," 148","Calgary",20,30,2,0,125,11,2,1,191,379
48012,"Calgary Signal Hill/Calgary Signal Hill"," 149","Calgary",36,28,4,0,73,14,1,0,156,349
48012,"Calgary Signal Hill/Calgary Signal Hill"," 150","Calgary",8,27,3,1,153,4,4,0,200,472
48012,"Calgary Signal Hill/Calgary Signal Hill"," 151","Calgary",15,39,1,2,190,8,2,0,257,488
48012,"Calgary Signal Hill/Calgary Signal Hill"," 152","Calgary",7,18,0,2,160,4,5,0,196,379
48012,"Calgary Signal Hill/Calgary Signal Hill"," 153","Calgary",11,24,2,0,107,7,1,1,153,383
48012,"Calgary Signal Hill/Calgary Signal Hill"," 154","Calgary",10,33,0,0,98,6,5,0,152,386
48012,"Calgary Signal Hill/Calgary Signal Hill"," 155","Calgary",17,32,1,0,189,2,6,0,247,494
48012,"Calgary Signal Hill/Calgary Signal Hill"," 156","Calgary",12,27,1,2,146,4,2,1,195,461
48012,"Calgary Signal Hill/Calgary Signal Hill"," 157","Calgary",14,40,2,0,112,4,3,0,175,455
48012,"Calgary Signal Hill/Calgary Signal Hill"," 158","Calgary",9,26,0,0,212,5,2,0,254,561
48012,"Calgary Signal Hill/Calgary Signal Hill"," 159","Calgary",11,24,1,2,163,5,6,0,212,483
48012,"Calgary Signal Hill/Calgary Signal Hill"," 160","Calgary",15,30,1,0,162,10,3,0,221,552
48012,"Calgary Signal Hill/Calgary Signal Hill"," 161","Calgary",9,32,1,1,109,5,3,0,160,417
48012,"Calgary Signal Hill/Calgary Signal Hill"," 162","Calgary",22,62,2,1,166,12,5,0,270,705
48012,"Calgary Signal Hill/Calgary Signal Hill"," 163","Calgary",11,44,0,0,117,3,5,0,180,422
48012,"Calgary Signal Hill/Calgary Signal Hill"," 164","Calgary",9,25,3,2,111,8,3,0,161,407
48012,"Calgary Signal Hill/Calgary Signal Hill"," 165","Calgary",11,19,2,3,160,2,3,1,201,486
48012,"Calgary Signal Hill/Calgary Signal Hill"," 166","Calgary",21,35,3,1,70,7,3,2,142,388
48012,"Calgary Signal Hill/Calgary Signal Hill"," 167","Calgary",13,28,1,0,104,4,1,0,151,378
48012,"Calgary Signal Hill/Calgary Signal Hill"," 168","Calgary",26,31,3,1,127,13,6,0,207,411
48012,"Calgary Signal Hill/Calgary Signal Hill"," 169","Calgary",10,18,4,0,121,7,4,1,165,326
48012,"Calgary Signal Hill/Calgary Signal Hill"," 170","Calgary",28,54,1,0,98,8,12,0,201,498
48012,"Calgary Signal Hill/Calgary Signal Hill"," 171","Calgary",29,35,1,2,121,11,4,1,204,420
48012,"Calgary Signal Hill/Calgary Signal Hill"," 172","Calgary",36,67,3,0,84,4,1,0,195,519
48012,"Calgary Signal Hill/Calgary Signal Hill"," 173","Calgary",24,30,1,1,121,6,5,1,189,415
48012,"Calgary Signal Hill/Calgary Signal Hill"," 174","Calgary",19,24,2,0,91,5,3,2,146,349
48012,"Calgary Signal Hill/Calgary Signal Hill"," 175","Calgary",32,46,0,1,107,13,1,1,201,394
48012,"Calgary Signal Hill/Calgary Signal Hill"," 176","Calgary",20,24,1,1,137,7,3,1,194,384
48012,"Calgary Signal Hill/Calgary Signal Hill"," 177","Calgary",30,36,2,0,93,5,4,2,172,400
48012,"Calgary Signal Hill/Calgary Signal Hill"," 178","Calgary",11,32,2,0,154,3,4,1,207,474
48012,"Calgary Signal Hill/Calgary Signal Hill"," 179","Calgary",11,25,0,0,120,5,0,1,162,359
48012,"Calgary Signal Hill/Calgary Signal Hill"," 180","Calgary",14,50,4,1,153,6,2,1,231,455
48012,"Calgary Signal Hill/Calgary Signal Hill"," 181","Calgary",10,32,0,0,152,7,4,2,207,425
48012,"Calgary Signal Hill/Calgary Signal Hill"," 182","Calgary",15,43,2,0,136,7,5,0,208,375
48012,"Calgary Signal Hill/Calgary Signal Hill"," 183","Calgary",13,27,2,0,179,3,0,0,224,382
48012,"Calgary Signal Hill/Calgary Signal Hill"," 184","Calgary",23,44,5,1,176,9,3,0,261,503
48012,"Calgary Signal Hill/Calgary Signal Hill"," 185","Calgary",17,23,0,0,112,7,6,1,166,291
48012,"Calgary Signal Hill/Calgary Signal Hill"," 186","Calgary",25,34,3,0,141,12,2,0,217,424
48012,"Calgary Signal Hill/Calgary Signal Hill"," 187","Calgary",17,30,3,4,214,6,4,1,279,492
48012,"Calgary Signal Hill/Calgary Signal Hill"," 188","Calgary",38,44,2,0,82,10,3,1,180,449
48012,"Calgary Signal Hill/Calgary Signal Hill"," 189","Calgary",42,45,6,3,113,8,3,0,220,405
48012,"Calgary Signal Hill/Calgary Signal Hill"," 190","Calgary",29,38,1,2,111,12,2,0,195,445
48012,"Calgary Signal Hill/Calgary Signal Hill"," 191","Calgary",31,50,4,3,117,18,7,0,230,391
48012,"Calgary Signal Hill/Calgary Signal Hill"," 192","Calgary",21,35,3,1,118,13,9,0,200,425
48012,"Calgary Signal Hill/Calgary Signal Hill"," 193","Calgary",26,55,2,2,125,14,3,2,229,363
48012,"Calgary Signal Hill/Calgary Signal Hill"," 194","Calgary",30,42,0,2,145,3,5,0,227,399
48012,"Calgary Signal Hill/Calgary Signal Hill"," 195","Calgary",22,20,2,3,116,8,5,0,176,347
48012,"Calgary Signal Hill/Calgary Signal Hill"," 196","Calgary",34,36,1,0,149,9,2,1,232,395
48012,"Calgary Signal Hill/Calgary Signal Hill"," 197","Calgary",19,24,2,0,145,3,5,1,199,390
48012,"Calgary Signal Hill/Calgary Signal Hill"," 198","Calgary",18,28,7,2,142,6,5,2,210,379
48012,"Calgary Signal Hill/Calgary Signal Hill"," 199","Calgary",27,44,1,0,101,8,3,1,185,391
48012,"Calgary Signal Hill/Calgary Signal Hill"," 500","Mobile poll/Bureau itinérant",6,25,1,0,90,2,0,2,126,151
48012,"Calgary Signal Hill/Calgary Signal Hill"," 501","Mobile poll/Bureau itinérant",6,13,2,0,56,2,3,1,83,140
48012,"Calgary Signal Hill/Calgary Signal Hill"," 502","Mobile poll/Bureau itinérant",2,23,0,0,99,3,0,0,127,151
48012,"Calgary Signal Hill/Calgary Signal Hill"," 503","Mobile poll/Bureau itinérant",6,23,1,2,79,2,1,1,115,159
48012,"Calgary Signal Hill/Calgary Signal Hill"," 504","Mobile poll/Bureau itinérant",6,23,2,6,57,7,6,1,108,263
48012,"Calgary Signal Hill/Calgary Signal Hill"," 505","Mobile poll/Bureau itinérant",4,18,0,5,115,1,1,1,145,195
48012,"Calgary Signal Hill/Calgary Signal Hill"," 600","Calgary",66,140,3,1,1096,16,12,2,1336,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 601","Calgary",113,127,6,2,701,53,21,5,1028,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 602","Calgary",104,120,9,0,628,63,25,4,953,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 603","Calgary",55,121,7,0,1013,23,13,1,1233,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 604","Calgary",68,183,7,2,1000,34,9,2,1305,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 605","Calgary",90,191,12,0,1359,38,28,3,1721,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 606","Calgary",65,166,12,1,862,32,16,6,1160,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 607","Calgary",78,175,12,4,750,68,22,5,1114,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 608","Calgary",140,213,9,4,931,52,41,3,1393,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 609","Calgary",81,140,10,4,961,25,23,1,1245,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 610","Calgary",67,173,8,2,1149,38,21,2,1460,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 611","Calgary",56,152,5,0,1200,23,9,8,1453,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 612","Calgary",45,124,5,3,1170,20,24,1,1392,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 613","Calgary",71,141,11,3,787,20,16,1,1050,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 614","Calgary",122,153,9,2,781,44,29,3,1143,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 615","Calgary",96,172,6,2,662,45,18,9,1010,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 616","Calgary",55,97,5,1,632,21,27,0,838,
48012,"Calgary Signal Hill/Calgary Signal Hill"," 617","Calgary",54,169,8,4,1200,45,26,1,1507,
48012,"Calgary Signal Hill/Calgary Signal Hill",,Group 1/Groupe 1, 21,76,0,1,103,14,1,14,230,356
48012,"Calgary Signal Hill/Calgary Signal Hill",,Group 2/Groupe 2, 270,404,14,7,1838,109,46,59,2747,
