Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Riani De Wet,Stephanie Goertz,Tim Louis,Koltyn Wallar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 90","Wilmot",110,13,23,85,5,0,236,435
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 91","Wilmot",104,11,19,68,2,0,204,334
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 92","Wilmot",92,21,28,51,4,0,196,375
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 93","St. Agatha",100,20,34,87,1,1,243,425
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 94","Kitchener",84,24,22,103,4,4,241,452
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 95","Kitchener",78,28,15,131,2,2,256,496
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 96","Kitchener",47,9,16,73,2,0,147,365
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 97","Kitchener",70,43,20,124,5,1,263,476
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 98","Kitchener",57,29,20,110,7,2,225,494
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 99","Kitchener",50,43,12,130,4,4,243,511
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 100","Kitchener",32,6,8,43,0,6,95,150
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 101","Kitchener",58,32,18,81,3,1,193,441
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 102","Kitchener",51,21,9,77,4,4,166,367
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 103","Kitchener",44,22,17,77,4,1,165,348
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 104","Kitchener",45,26,16,86,2,3,178,349
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 105","Kitchener",124,37,32,118,2,1,314,533
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 106","Kitchener",62,30,30,87,6,3,218,433
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 107","Kitchener",42,19,20,95,3,1,180,407
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 108","Kitchener",65,29,26,120,5,1,246,440
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 109","Kitchener",70,27,18,113,6,4,238,381
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 110","Kitchener",44,18,13,72,0,0,147,237
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 111","Kitchener",92,26,24,136,4,4,286,467
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 112","Kitchener",99,47,21,147,3,4,321,547
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 113","Kitchener",78,40,38,125,8,0,289,453
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 114","Kitchener",59,41,36,110,2,1,249,454
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 115","Kitchener",54,31,15,65,5,1,171,379
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 116","Kitchener",68,33,27,121,3,0,252,442
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 117","Kitchener",55,31,21,61,6,1,175,379
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 118","Kitchener",66,28,26,112,1,1,234,439
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 119","Kitchener",62,19,14,138,4,2,239,444
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 120","Kitchener",66,20,35,100,1,0,222,469
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 121","Kitchener",87,17,21,124,7,0,256,502
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 122","Kitchener",70,15,23,96,8,1,213,406
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 123","Kitchener",78,24,28,94,1,0,225,452
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 124","Kitchener",74,30,22,81,3,0,210,411
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 125","Kitchener",39,24,5,74,2,0,144,345
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 126","Kitchener",85,32,13,66,1,1,198,404
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 127","Kitchener",58,33,18,132,4,2,247,447
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 128","Kitchener",56,32,9,91,4,0,192,414
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 129","Kitchener",78,47,17,106,6,0,254,564
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 130","Kitchener",69,30,25,77,3,0,204,435
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 131","Kitchener",72,33,11,76,5,0,197,417
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 132","Kitchener",74,24,19,96,2,0,215,504
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 133","Kitchener",58,44,25,113,5,3,248,496
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 134","Kitchener",55,34,13,84,4,2,192,421
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 135","Kitchener",60,24,18,79,2,1,184,358
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 136","Kitchener",42,17,4,79,1,0,143,308
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 137","Kitchener",33,5,3,54,1,4,100,159
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 138","Kitchener",63,25,6,59,0,1,154,357
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 139","Kitchener",73,41,14,112,1,6,247,426
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 140","Kitchener",93,35,23,134,3,0,288,588
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 141","Kitchener",86,29,14,120,4,2,255,465
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 142","Kitchener",76,33,36,92,4,4,245,507
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 143","Wilmot",110,1,17,146,3,0,277,401
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 144","Kitchener",41,23,18,87,5,0,174,401
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 145","Kitchener",39,24,13,73,5,0,154,355
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 146","Kitchener",50,24,13,70,3,0,160,428
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 147","Kitchener",80,22,27,104,0,0,233,493
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 148","Kitchener",62,35,21,111,5,1,235,494
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 149","Kitchener",84,16,17,148,11,0,276,592
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 150","Mannheim",84,13,13,66,3,0,179,391
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 151","Wilmot",109,17,28,95,9,0,258,507
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 152","Wilmot",101,22,26,130,5,2,286,499
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 153","Wilmot",96,32,46,114,2,2,292,471
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 154","Baden",64,19,11,39,1,2,136,315
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 155","Wilmot",112,28,24,112,0,2,278,497
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 156","Baden",76,21,23,67,5,1,193,391
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 157","Wilmot",74,22,16,54,1,1,168,333
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 158","Kitchener",33,10,5,67,2,0,117,235
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 159","Kitchener",56,22,18,98,0,3,197,377
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 160","Kitchener",77,32,12,133,4,0,258,425
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 161","Kitchener",44,12,9,73,1,19,158,342
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 162","Kitchener",53,22,14,70,2,0,161,332
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 163","Kitchener",52,25,12,81,0,1,171,309
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 164","Baden",63,10,23,59,2,1,158,296
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 165","Baden",55,23,14,54,0,2,148,290
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 166","Baden",98,27,24,94,6,0,249,432
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 167","Baden",55,25,18,76,3,1,178,305
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 168","Wilmot",100,17,42,91,6,0,256,456
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 169","New Hamburg",157,38,26,134,5,2,362,582
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 170","New Hamburg",96,24,37,67,6,1,231,412
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 171","New Hamburg",85,39,39,66,4,0,233,428
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 172","New Hamburg",50,22,13,43,1,1,130,269
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 173","New Hamburg",50,30,9,38,2,1,130,277
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 174","New Hamburg",96,34,24,95,2,0,251,456
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 175","New Hamburg",112,22,31,54,4,1,224,456
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 176","New Hamburg",120,26,23,117,8,1,295,516
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 177","New Hamburg",52,13,10,36,4,0,115,230
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 178","New Hamburg",103,15,6,57,3,4,188,336
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 179","New Hamburg",82,22,11,76,1,0,192,374
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 180","Kitchener",149,25,25,94,0,2,295,464
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 181","New Dundee",112,26,36,96,2,1,273,386
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 182","New Dundee",121,25,31,70,5,2,254,397
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 183","New Hamburg",70,11,14,61,2,2,160,255
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 184","New Hamburg",89,17,16,80,0,2,204,339
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 185","Haysville",47,13,11,100,1,1,173,367
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 186","Haysville",114,10,22,114,3,2,265,543
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 187","New Hamburg",75,36,21,86,6,0,224,449
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 188","New Hamburg",71,30,23,57,0,1,182,402
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 189","New Hamburg",97,26,23,64,4,0,214,443
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 190","Wilmot",82,18,13,68,2,1,184,330
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 191","Haysville",82,9,18,53,1,0,163,324
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 400","Kitchener",25,3,8,44,0,6,86,122
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 401","Kitchener",7,5,10,18,0,3,43,80
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 500","Mobile poll/Bureau itinérant",33,4,2,13,0,2,54,91
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 501","Mobile poll/Bureau itinérant",37,5,4,24,2,1,73,127
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 502","Mobile poll/Bureau itinérant",42,1,2,16,1,1,63,125
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 600","Woolwich",234,33,51,180,12,1,511,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 601","Woolwich",264,33,44,153,10,3,507,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 602","Elmira",460,66,73,267,12,7,885,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 603","Elmira",428,63,77,251,8,5,832,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 604","Woolwich",288,37,52,175,7,2,561,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 605","Wellesley",242,34,45,137,4,0,462,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 606","Wellesley",314,54,70,234,10,6,688,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 607","Baden",369,64,99,247,10,3,792,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 608","New Hamburg",388,68,85,274,9,5,829,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 609","New Hamburg",259,32,61,231,8,3,594,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 610","Haysville",202,26,54,118,5,3,408,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 611","Kitchener",270,94,55,504,14,7,944,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 612","Kitchener",320,76,93,432,17,16,954,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 613","Kitchener",216,74,75,329,6,1,701,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 614","Kitchener",273,70,74,458,14,4,893,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 615","Kitchener",219,61,40,300,9,3,632,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 616","Kitchener",216,54,27,282,7,2,588,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 617","Kitchener",283,41,41,293,15,6,679,
35046,"Kitchener--Conestoga/Kitchener--Conestoga",,Group 1/Groupe 1, 21,20,14,61,1,5,122,179
35046,"Kitchener--Conestoga/Kitchener--Conestoga",,Group 2/Groupe 2, 445,100,130,414,17,31,1137,
