Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Erin Alyward,Douglas Gordon Burchill,Kenneth Munro,Shelley Termuende,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 123","Grande Prairie",28,4,5,5,176,0,218,483
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 124","Grande Prairie",11,5,15,0,154,0,185,469
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 125","Grande Prairie",9,2,5,2,112,0,130,359
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 126","Grande Prairie",23,3,10,3,192,0,231,442
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 127","Grande Prairie",2,1,4,6,108,2,123,365
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 128","Grande Prairie",15,3,5,5,170,0,198,396
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 129","Grande Prairie",12,6,12,3,160,2,195,402
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 130","Dimsdale",11,7,11,10,307,4,350,705
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 131","Grande Prairie",18,4,14,8,153,3,200,445
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 132","Grande Prairie",31,3,14,6,217,0,271,579
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 133","Grande Prairie",42,6,37,9,176,0,270,475
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 134","Grande Prairie",13,6,7,1,182,0,209,511
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 135","Grande Prairie",11,1,6,4,180,0,202,436
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 136","Grande Prairie",31,5,12,3,251,2,304,768
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 137","Grande Prairie",19,3,9,5,144,2,182,412
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 138","Grande Prairie",9,1,13,4,125,0,152,404
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 139","Grande Prairie",4,3,11,1,148,2,169,400
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 140","Grande Prairie",2,3,8,3,77,0,93,266
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 141","Grande Prairie",22,4,15,8,171,3,223,568
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 142","Grande Prairie",24,4,11,7,135,2,183,457
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 143","Grande Prairie",22,2,8,10,165,5,212,522
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 144","Grande Prairie",24,2,19,6,101,2,154,340
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 145","Grande Prairie",15,10,19,2,138,0,184,456
