Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kristine Bowman,Gordon Francey,Douglas Galavan,Jeremy Hoefsloot,Cory Lystang,Angelena Satdeo,Gerald Soroka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48034,"Yellowhead/Yellowhead"," 52","Bickerdike",8,0,2,5,1,2,116,0,134,341
48034,"Yellowhead/Yellowhead"," 53","Haddock",9,1,3,6,0,5,143,1,168,321
48034,"Yellowhead/Yellowhead"," 54","McLeod Valley",13,0,7,6,0,3,171,4,204,430
48034,"Yellowhead/Yellowhead"," 55","Peers",1,0,6,5,1,0,139,1,153,379
48034,"Yellowhead/Yellowhead"," 56","Green Court",11,0,2,4,3,5,134,0,159,345
48034,"Yellowhead/Yellowhead"," 57","Connor Creek",11,0,6,9,3,2,176,1,208,387
48034,"Yellowhead/Yellowhead"," 58","Connor Creek",10,1,1,3,2,4,72,1,94,229
48034,"Yellowhead/Yellowhead"," 59","Mayerthorpe",18,0,6,6,4,4,156,0,194,412
48034,"Yellowhead/Yellowhead"," 60","Mayerthorpe",15,0,6,5,1,3,144,0,174,323
48034,"Yellowhead/Yellowhead"," 61","Rochfort Bridge",2,0,6,5,4,3,152,0,172,385
48034,"Yellowhead/Yellowhead"," 62","Sangudo",9,1,12,8,1,4,210,0,245,421
48034,"Yellowhead/Yellowhead"," 63","Sangudo",11,0,9,5,1,11,211,0,248,403
48034,"Yellowhead/Yellowhead"," 64","Niton Junction",3,0,4,2,2,1,168,0,180,245
48034,"Yellowhead/Yellowhead"," 65","Cherhill",8,0,1,10,2,4,172,0,197,280
48034,"Yellowhead/Yellowhead"," 66","Glenevis",4,0,3,4,2,1,62,0,76,140
48034,"Yellowhead/Yellowhead"," 67","Alexis 133",65,0,1,25,1,6,8,2,108,412
48034,"Yellowhead/Yellowhead"," 68","Wolf Creek",9,0,1,7,0,1,137,0,155,320
48034,"Yellowhead/Yellowhead"," 69","Pinedale",5,0,3,2,0,0,200,1,211,357
48034,"Yellowhead/Yellowhead"," 70","Pinedale",2,0,2,0,0,3,79,0,86,119
48034,"Yellowhead/Yellowhead"," 71","Wolf Creek",8,0,2,7,0,2,72,0,91,237
48034,"Yellowhead/Yellowhead"," 72","Stanger",7,0,5,9,1,3,90,2,117,171
48034,"Yellowhead/Yellowhead"," 73","Carrot Creek",10,0,7,11,0,6,183,1,218,379
48034,"Yellowhead/Yellowhead"," 74","Ravine",3,0,1,3,0,1,43,0,51,265
48034,"Yellowhead/Yellowhead"," 75","Styal",5,0,6,5,0,2,164,1,183,348
48034,"Yellowhead/Yellowhead"," 76","Wildwood",5,0,2,5,0,0,80,0,92,245
48034,"Yellowhead/Yellowhead"," 77","Wildwood",8,0,18,5,2,5,151,0,189,426
48034,"Yellowhead/Yellowhead"," 78","Styal",1,0,7,1,1,1,71,1,83,215
48034,"Yellowhead/Yellowhead"," 79","MacKay",11,1,8,4,0,9,151,1,185,366
48034,"Yellowhead/Yellowhead"," 80","Evansburg",13,1,11,3,6,3,207,4,248,460
48034,"Yellowhead/Yellowhead"," 81","Entwistle",15,0,13,6,2,11,192,0,239,407
48034,"Yellowhead/Yellowhead"," 82","Evansburg",9,1,4,10,2,3,110,1,140,322
48034,"Yellowhead/Yellowhead"," 83","Entwistle",8,0,14,9,1,5,156,2,195,335
48034,"Yellowhead/Yellowhead"," 84","Ross Haven",12,0,4,8,0,0,62,0,86,375
48034,"Yellowhead/Yellowhead"," 85","Darwell",17,0,7,6,0,4,201,0,235,389
48034,"Yellowhead/Yellowhead"," 86A","West Cove",14,0,2,9,2,3,105,0,135,282
48034,"Yellowhead/Yellowhead"," 86B","West Cove",13,1,4,9,0,5,119,1,152,286
48034,"Yellowhead/Yellowhead"," 87","Jasper",87,1,1,65,1,23,47,3,228,530
48034,"Yellowhead/Yellowhead"," 88","Jasper",100,0,6,66,2,27,79,0,280,624
48034,"Yellowhead/Yellowhead"," 89","Jasper",87,0,5,41,0,33,65,1,232,457
48034,"Yellowhead/Yellowhead"," 90","Jasper",41,0,1,51,1,23,48,1,166,353
48034,"Yellowhead/Yellowhead"," 91","Jasper",43,3,5,37,0,12,45,0,145,308
48034,"Yellowhead/Yellowhead"," 92","Jasper",60,0,4,52,0,20,47,2,185,377
48034,"Yellowhead/Yellowhead"," 93","Jasper",73,1,2,50,2,27,52,0,207,411
48034,"Yellowhead/Yellowhead"," 94","Jasper",52,2,3,36,2,12,61,1,169,315
48034,"Yellowhead/Yellowhead"," 95","Fallis",19,0,6,13,1,4,136,0,179,344
48034,"Yellowhead/Yellowhead"," 96","Fallis",12,0,6,18,1,2,119,1,159,279
48034,"Yellowhead/Yellowhead"," 97","Lac Ste. Anne",15,0,4,9,1,3,111,2,145,350
48034,"Yellowhead/Yellowhead"," 98A","Sunset Point",8,3,3,10,0,6,112,3,145,281
48034,"Yellowhead/Yellowhead"," 98B","Sunset Point",4,0,1,5,0,4,99,2,115,264
48034,"Yellowhead/Yellowhead"," 99","Alberta Beach",8,0,3,8,0,6,98,0,123,278
48034,"Yellowhead/Yellowhead"," 100","Alberta Beach",16,0,7,10,1,3,132,0,169,344
48034,"Yellowhead/Yellowhead"," 101","Alberta Beach",4,1,3,10,1,0,64,0,83,233
48034,"Yellowhead/Yellowhead"," 102","Alberta Beach",5,0,2,2,0,1,63,0,73,171
48034,"Yellowhead/Yellowhead"," 103","Alberta Beach",9,0,14,7,0,3,122,0,155,287
48034,"Yellowhead/Yellowhead"," 104","Alberta Beach",11,0,9,9,0,6,186,2,223,465
48034,"Yellowhead/Yellowhead"," 105","Kapasiwin",5,0,2,7,0,3,44,0,61,261
48034,"Yellowhead/Yellowhead"," 106","Seba Beach",25,3,4,18,0,11,173,0,234,440
48034,"Yellowhead/Yellowhead"," 107","Horen",3,0,6,3,0,5,129,2,148,285
48034,"Yellowhead/Yellowhead"," 108","Moon Lake",8,0,12,8,1,5,287,0,321,453
48034,"Yellowhead/Yellowhead"," 109","Manly Corner",20,0,4,8,0,6,224,0,262,538
48034,"Yellowhead/Yellowhead"," 110","Manly Corner",24,0,10,17,3,7,203,2,266,469
48034,"Yellowhead/Yellowhead"," 111","Manly Corner",19,0,3,11,0,5,200,0,238,421
48034,"Yellowhead/Yellowhead"," 112","Carvel",15,0,8,15,1,11,150,1,201,288
48034,"Yellowhead/Yellowhead"," 113","Carvel",31,0,6,20,1,6,174,0,238,408
48034,"Yellowhead/Yellowhead"," 114","Carvel",8,0,1,8,0,4,109,2,132,221
48034,"Yellowhead/Yellowhead"," 115","Wabamun 133A",76,1,5,36,4,7,19,2,150,445
48034,"Yellowhead/Yellowhead"," 116","Duffield",17,2,7,15,1,4,165,0,211,448
48034,"Yellowhead/Yellowhead"," 117","Duffield",18,0,7,19,0,4,156,0,204,351
48034,"Yellowhead/Yellowhead"," 118","Robb",3,0,2,4,0,0,98,0,107,179
48034,"Yellowhead/Yellowhead"," 119","Wabamun",14,0,7,11,0,5,110,0,147,268
48034,"Yellowhead/Yellowhead"," 120","Smithfield",18,1,7,8,1,3,134,2,174,415
48034,"Yellowhead/Yellowhead"," 121","Wabamun",12,3,2,13,0,2,116,0,148,398
48034,"Yellowhead/Yellowhead"," 122","Smithfield",14,0,5,11,1,6,126,0,163,359
48034,"Yellowhead/Yellowhead"," 123","Keephills",9,0,4,2,0,1,67,0,83,208
48034,"Yellowhead/Yellowhead"," 124","Tomahawk",1,0,13,8,1,2,216,0,241,361
48034,"Yellowhead/Yellowhead"," 125","Rocky Rapids",5,0,3,2,1,3,107,0,121,263
48034,"Yellowhead/Yellowhead"," 126","Rocky Rapids",5,0,3,0,0,1,144,0,153,333
48034,"Yellowhead/Yellowhead"," 127","Brightbank",11,0,7,4,0,8,162,0,192,283
48034,"Yellowhead/Yellowhead"," 128","Brightbank",22,0,7,19,0,7,169,1,225,349
48034,"Yellowhead/Yellowhead"," 129","Easyford",2,0,2,0,0,0,108,0,112,264
48034,"Yellowhead/Yellowhead"," 130","Easyford",3,0,4,7,0,0,123,0,137,306
