Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bianca Boutin,Tommy Bureau,Sébastien CoRhino,Bruno Dabiré,Jean-Yves Duclos,Christiane Gagnon,Luc Joli-Coeur,Luc Paquin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24059,"Québec/Québec"," 94","Québec",13,8,1,2,54,59,5,0,3,145,435
24059,"Québec/Québec"," 95","Québec",4,14,2,1,77,58,9,0,0,165,404
24059,"Québec/Québec"," 96","Québec",5,35,2,0,65,89,17,0,1,214,404
24059,"Québec/Québec"," 97","Québec",32,15,1,1,39,29,7,1,12,137,369
24059,"Québec/Québec"," 98","Québec",14,13,4,0,70,26,8,1,4,140,408
24059,"Québec/Québec"," 99","Québec",32,8,2,1,23,36,5,2,4,113,384
24059,"Québec/Québec"," 100","Québec",41,12,2,1,24,40,2,1,3,126,393
24059,"Québec/Québec"," 101","Québec",63,8,2,5,41,43,2,0,1,165,522
24059,"Québec/Québec"," 102","Québec",38,10,1,0,33,18,6,0,3,109,378
24059,"Québec/Québec"," 103","Québec",22,49,0,0,35,50,13,1,6,176,399
24059,"Québec/Québec"," 104","Québec",13,21,1,3,57,51,11,0,2,159,365
24059,"Québec/Québec"," 105","Québec",27,21,2,1,53,39,6,1,7,157,314
24059,"Québec/Québec"," 106","Québec",21,25,2,1,52,69,13,1,4,188,425
24059,"Québec/Québec"," 107","Québec",15,56,4,4,58,68,9,1,9,224,490
24059,"Québec/Québec"," 108","Québec",70,29,1,1,63,64,7,0,4,239,467
24059,"Québec/Québec"," 109","Québec",57,21,0,6,72,54,12,1,7,230,454
24059,"Québec/Québec"," 110","Québec",61,24,1,8,58,62,3,1,5,223,490
24059,"Québec/Québec"," 111","Québec",69,17,0,2,68,61,9,0,7,233,499
24059,"Québec/Québec"," 112","Québec",41,20,1,5,28,43,3,0,2,143,352
24059,"Québec/Québec"," 113","Québec",51,16,2,3,32,40,7,1,3,155,431
24059,"Québec/Québec"," 114","Québec",53,41,0,7,45,43,4,0,3,196,433
24059,"Québec/Québec"," 115","Québec",12,33,3,1,93,65,19,0,0,226,448
24059,"Québec/Québec"," 116","Québec",13,7,1,3,83,41,9,0,0,157,376
24059,"Québec/Québec"," 117","Québec",7,26,3,4,86,63,10,1,2,202,401
24059,"Québec/Québec"," 118","Québec",9,31,1,3,78,50,15,0,2,189,419
24059,"Québec/Québec"," 119","Québec",2,17,1,0,107,87,4,0,1,219,442
24059,"Québec/Québec"," 120","Québec",16,29,0,3,61,80,19,0,2,210,375
24059,"Québec/Québec"," 121","Québec",13,15,0,0,64,38,11,0,1,142,371
24059,"Québec/Québec"," 122","Québec",83,16,1,2,77,78,9,2,4,272,650
24059,"Québec/Québec"," 123","Québec",75,24,0,4,50,49,8,0,6,216,419
24059,"Québec/Québec"," 124","Québec",73,23,2,5,46,63,7,0,7,226,456
24059,"Québec/Québec"," 125","Québec",70,23,0,2,37,73,10,2,3,220,400
24059,"Québec/Québec"," 126","Québec",72,18,3,5,61,54,0,1,2,216,429
24059,"Québec/Québec"," 127","Québec",72,26,3,3,54,66,11,1,5,241,446
24059,"Québec/Québec"," 128","Québec",50,21,1,2,57,41,5,0,2,179,334
24059,"Québec/Québec"," 129","Québec",63,19,2,6,73,73,11,0,4,251,569
24059,"Québec/Québec"," 130","Québec",41,10,2,7,53,51,5,0,1,170,373
24059,"Québec/Québec"," 131","Québec",66,10,1,2,53,72,6,0,2,212,411
24059,"Québec/Québec"," 132","Québec",52,15,1,1,48,51,6,0,1,175,309
24059,"Québec/Québec"," 133","Québec",25,16,0,1,29,41,6,0,3,121,311
24059,"Québec/Québec"," 134","Québec",22,18,1,3,38,46,9,0,4,141,413
24059,"Québec/Québec"," 135","Québec",29,22,1,5,37,37,7,0,1,139,334
24059,"Québec/Québec"," 136","Québec",29,24,0,3,52,40,6,0,1,155,423
24059,"Québec/Québec"," 137","Québec",13,40,0,0,86,81,21,0,2,243,433
24059,"Québec/Québec"," 138","Québec",11,25,0,2,83,75,9,0,1,206,383
24059,"Québec/Québec"," 139","Québec",8,57,6,0,38,32,16,0,0,157,359
24059,"Québec/Québec"," 140","Québec",19,37,2,1,155,87,16,1,1,319,599
24059,"Québec/Québec"," 141","Québec",15,18,0,1,73,75,8,0,1,191,382
24059,"Québec/Québec"," 142","Québec",5,41,2,8,68,58,15,0,1,198,382
24059,"Québec/Québec"," 143","Québec",19,24,1,0,62,81,11,0,2,200,383
24059,"Québec/Québec"," 144","Québec",16,7,0,3,62,42,5,1,0,136,372
24059,"Québec/Québec"," 145","Québec",12,20,0,6,74,45,12,0,1,170,374
24059,"Québec/Québec"," 146","Québec",10,16,0,1,74,66,7,0,0,174,369
24059,"Québec/Québec"," 147","Québec",9,16,2,0,68,78,7,0,0,180,364
24059,"Québec/Québec"," 148","Québec",17,5,0,2,52,42,4,0,0,122,311
24059,"Québec/Québec"," 149","Québec",9,6,0,0,64,64,4,0,0,147,416
24059,"Québec/Québec"," 150","Québec",17,9,1,2,55,42,7,0,1,134,381
24059,"Québec/Québec"," 151","Québec",10,13,0,2,96,79,6,0,1,207,524
24059,"Québec/Québec"," 152","Québec",35,18,1,1,43,51,12,0,4,165,356
24059,"Québec/Québec"," 153","Québec",40,28,5,3,54,75,12,0,7,224,456
24059,"Québec/Québec"," 154","Québec",35,31,2,3,65,83,12,1,0,232,491
24059,"Québec/Québec"," 155","Québec",36,18,1,6,37,39,6,1,3,147,445
24059,"Québec/Québec"," 156","Québec",10,47,2,4,70,56,25,0,2,216,424
24059,"Québec/Québec"," 157","Québec",11,43,3,2,87,87,12,0,5,250,503
24059,"Québec/Québec"," 158","Québec",14,8,0,2,44,42,7,0,3,120,570
24059,"Québec/Québec"," 159","Québec",15,19,1,2,64,60,8,0,1,170,543
24059,"Québec/Québec"," 160","Québec",17,15,1,4,91,54,14,0,3,199,387
24059,"Québec/Québec"," 161","Québec",16,17,1,1,79,78,13,0,3,208,441
24059,"Québec/Québec"," 162","Québec",12,52,4,3,61,69,14,0,5,220,411
24059,"Québec/Québec"," 163","Québec",10,48,1,0,79,58,13,0,3,212,395
24059,"Québec/Québec"," 164","Québec",12,26,1,1,88,68,17,1,8,222,481
24059,"Québec/Québec"," 165","Québec",7,36,1,0,119,66,15,0,3,247,430
24059,"Québec/Québec"," 166","Québec",15,35,1,1,88,55,15,0,3,213,462
24059,"Québec/Québec"," 167","Québec",8,33,0,2,97,71,13,0,0,224,445
24059,"Québec/Québec"," 168","Québec",20,12,1,1,100,55,7,0,2,198,429
24059,"Québec/Québec"," 169","Québec",18,16,2,1,113,44,11,0,2,207,357
24059,"Québec/Québec"," 170","Québec",37,16,1,4,159,83,13,1,20,334,479
24059,"Québec/Québec"," 171","Québec",44,11,0,4,37,47,9,1,6,159,405
24059,"Québec/Québec"," 172","Québec",56,27,1,6,56,52,11,0,4,213,434
24059,"Québec/Québec"," 173","Québec",52,14,3,3,43,43,7,1,4,170,419
24059,"Québec/Québec"," 174","Québec",69,24,0,4,63,67,10,0,2,239,407
24059,"Québec/Québec"," 175","Québec",45,18,0,2,37,43,11,1,2,159,411
24059,"Québec/Québec"," 176","Québec",48,15,1,2,37,42,8,1,2,156,335
24059,"Québec/Québec"," 177","Québec",55,17,0,1,63,28,6,0,4,174,347
24059,"Québec/Québec"," 178","Québec",53,15,0,8,47,51,6,0,6,186,382
24059,"Québec/Québec"," 179","Québec",80,11,1,2,48,52,8,0,5,207,333
24059,"Québec/Québec"," 180","Québec",61,17,3,5,50,61,4,0,7,208,433
24059,"Québec/Québec"," 181","Québec",34,13,0,8,35,60,0,0,4,154,334
24059,"Québec/Québec"," 182","Québec",51,13,0,1,37,53,4,0,1,160,359
24059,"Québec/Québec"," 183","Québec",62,16,2,2,37,76,6,0,7,208,409
24059,"Québec/Québec"," 184","Québec",55,13,0,10,38,33,9,1,3,162,350
24059,"Québec/Québec"," 185","Québec",75,22,1,8,49,67,9,1,3,235,435
24059,"Québec/Québec"," 186","Québec",61,23,0,3,62,65,8,0,2,224,445
24059,"Québec/Québec"," 400","Québec",13,3,0,1,31,6,1,1,1,57,214
24059,"Québec/Québec"," 401","Québec",2,1,1,0,12,1,0,1,3,21,122
24059,"Québec/Québec"," 402","Québec",8,1,0,0,75,35,1,0,4,124,162
24059,"Québec/Québec"," 403","Québec",9,0,1,2,75,28,0,2,14,131,176
24059,"Québec/Québec"," 404","Québec",25,2,2,0,93,32,0,0,13,167,206
24059,"Québec/Québec"," 405","Québec",24,2,0,2,63,38,0,0,9,138,173
24059,"Québec/Québec"," 406","Québec",31,4,1,0,82,36,2,0,16,172,229
24059,"Québec/Québec"," 407","Québec",21,1,0,2,157,55,1,0,27,264,327
24059,"Québec/Québec"," 500","Mobile poll/Bureau itinérant",9,0,0,1,44,16,0,2,9,81,112
24059,"Québec/Québec"," 501A","Mobile poll/Bureau itinérant",2,0,1,2,35,8,0,0,7,55,31
24059,"Québec/Québec"," 501B","Notre-Dame-des-Anges",Merged with No./Fusionné avec le n°58,,,,,,,,,,112
24059,"Québec/Québec"," 502","Mobile poll/Bureau itinérant",20,2,0,4,82,36,0,2,16,162,232
24059,"Québec/Québec"," 503","Mobile poll/Bureau itinérant",9,2,0,1,25,18,0,0,11,66,117
24059,"Québec/Québec"," 504","Mobile poll/Bureau itinérant",5,0,0,0,30,22,1,1,3,62,110
24059,"Québec/Québec"," 505","Mobile poll/Bureau itinérant",1,0,3,1,12,6,1,1,6,31,64
24059,"Québec/Québec"," 506","Mobile poll/Bureau itinérant",7,0,0,0,26,16,2,0,12,63,119
24059,"Québec/Québec"," 507","Mobile poll/Bureau itinérant",14,3,0,5,46,20,0,3,4,95,139
24059,"Québec/Québec"," 508","Mobile poll/Bureau itinérant",14,7,2,4,32,13,1,2,14,89,132
24059,"Québec/Québec"," 509","Mobile poll/Bureau itinérant",6,0,0,2,17,20,0,0,5,50,74
24059,"Québec/Québec"," 510","Mobile poll/Bureau itinérant",18,3,0,1,81,35,2,0,9,149,224
24059,"Québec/Québec"," 511","Mobile poll/Bureau itinérant",4,1,0,0,63,14,1,0,8,91,116
24059,"Québec/Québec"," 512","Québec",3,0,1,1,9,6,0,0,7,27,128
24059,"Québec/Québec"," 513","Mobile poll/Bureau itinérant",7,3,0,1,47,31,0,1,2,92,108
24059,"Québec/Québec"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,,37
24059,"Québec/Québec"," 600","Québec",314,57,3,18,275,307,39,0,22,1035,
24059,"Québec/Québec"," 601","Québec",284,89,8,26,332,346,39,1,20,1145,
24059,"Québec/Québec"," 602","Québec",277,46,3,10,195,237,22,0,21,811,
24059,"Québec/Québec"," 603","Québec",280,43,4,19,315,354,24,0,31,1070,
24059,"Québec/Québec"," 604","Québec",106,71,5,8,174,202,32,3,18,619,
24059,"Québec/Québec"," 605","Québec",93,101,6,5,217,285,44,2,17,770,
24059,"Québec/Québec"," 606","Québec",72,89,3,5,246,357,52,1,15,840,
24059,"Québec/Québec"," 607","Québec",35,89,8,7,199,320,48,2,9,717,
24059,"Québec/Québec"," 608","Québec",68,52,1,7,253,292,29,1,6,709,
24059,"Québec/Québec"," 609","Québec",167,48,1,6,699,582,43,2,10,1558,
24059,"Québec/Québec"," 610","Québec",116,90,3,8,459,581,67,3,20,1347,
24059,"Québec/Québec"," 611","Québec",81,117,10,10,381,497,74,2,7,1179,
24059,"Québec/Québec"," 612","Québec",87,91,5,12,177,211,44,1,19,647,
24059,"Québec/Québec"," 613","Québec",113,96,1,6,408,471,57,1,19,1172,
24059,"Québec/Québec"," 614","Québec",157,101,2,10,657,618,38,5,21,1609,
24059,"Québec/Québec"," 615","Québec",275,44,8,10,254,285,24,5,35,940,
24059,"Québec/Québec"," 616","Québec",304,53,6,24,213,345,35,2,21,1003,
24059,"Québec/Québec",,Group 1/Groupe 1, 48,19,2,4,95,24,18,3,18,231,196
24059,"Québec/Québec",,Group 2/Groupe 2, 142,204,6,4,479,360,127,3,26,1351,
