Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Christina Gower,Nicholas Insley,Dan Iova,Ron McKinnon,Brad Nickason,Roland Spornicu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 22","Coquitlam",41,59,1,65,8,1,0,175,374
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 23","Coquitlam",23,71,1,50,6,0,1,152,374
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 24","Coquitlam",27,74,0,79,9,4,0,193,399
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 25","Coquitlam",24,47,0,65,10,1,0,147,379
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 26","Coquitlam",44,93,0,95,14,2,0,248,498
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 27","Coquitlam",30,45,1,43,4,0,0,123,336
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 28","Coquitlam",36,42,0,70,9,1,2,160,391
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 29","Coquitlam",31,64,0,67,13,3,0,178,471
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 30","Coquitlam",19,84,0,61,7,1,0,172,430
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 31","Coquitlam",20,74,0,49,13,0,0,156,412
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 32","Coquitlam",19,55,1,49,5,2,1,132,430
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 33","Coquitlam",24,78,0,76,7,3,1,189,518
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 34","Coquitlam",29,76,0,67,8,2,2,184,475
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 35","Coquitlam",41,61,0,64,7,0,0,173,511
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 36","Coquitlam",30,67,0,56,5,2,0,160,412
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 37","Coquitlam",16,68,0,65,6,0,0,155,456
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 38","Coquitlam",44,41,0,52,13,1,0,151,464
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 39","Coquitlam",22,69,0,24,4,1,0,120,448
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 40","Coquitlam",19,73,0,53,12,1,0,158,432
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 41","Coquitlam",41,54,0,56,11,1,1,164,389
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 42","Coquitlam",24,54,0,53,2,1,2,136,337
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 43","Coquitlam",21,51,1,52,13,4,3,145,367
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 44","Coquitlam",25,58,0,71,12,2,1,169,373
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 45","Coquitlam",33,65,0,54,12,4,1,169,473
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 46","Coquitlam",40,62,0,83,28,2,0,215,492
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 47","Coquitlam",44,74,1,49,6,5,1,180,423
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 48","Coquitlam",46,85,0,80,12,0,2,225,571
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 49","Coquitlam",42,58,0,72,7,3,1,183,465
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 50","Coquitlam",56,52,0,74,16,1,0,199,623
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 51","Coquitlam",51,85,0,79,12,4,0,231,487
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 52","Coquitlam",49,91,0,91,7,2,0,240,536
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 53","Coquitlam",32,52,0,81,9,0,1,175,546
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 54","Coquitlam",51,54,1,83,20,3,0,212,521
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 55","Coquitlam",28,39,1,45,11,2,1,127,463
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 56","Coquitlam",32,32,1,39,7,0,1,112,446
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 57","Coquitlam",33,32,0,36,11,1,1,114,453
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 58","Coquitlam",34,34,0,38,8,2,1,117,406
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 59","Coquitlam",42,83,0,74,21,3,1,224,562
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 60","Coquitlam",66,68,0,44,15,1,0,194,446
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 61","Coquitlam",32,70,0,48,9,1,0,160,471
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 62","Coquitlam",42,74,0,66,18,3,0,203,520
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 63","Coquitlam",9,52,0,20,6,0,1,88,281
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 64","Coquitlam",43,106,2,84,13,2,1,251,688
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 65","Coquitlam",33,50,0,43,8,1,2,137,308
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 66","Coquitlam",40,83,0,70,13,0,1,207,549
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 67","Coquitlam",39,84,1,45,12,2,0,183,478
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 68","Coquitlam",37,59,1,65,11,1,0,174,460
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 69","Coquitlam",55,111,0,91,21,4,0,282,530
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 70","Coquitlam",67,88,2,77,16,1,0,251,459
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 71","Coquitlam",56,63,0,65,11,2,1,198,402
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 72","Coquitlam",61,43,1,52,15,5,0,177,364
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 73","Coquitlam",35,25,0,38,9,1,1,109,333
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 74","Coquitlam",52,46,0,57,10,1,3,169,490
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 75","Coquitlam",40,39,1,54,9,3,0,146,445
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 76","Coquitlam",51,60,0,67,8,1,1,188,434
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 77","Coquitlam",73,74,0,94,14,4,1,260,538
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 78","Coquitlam",72,61,3,89,18,3,0,246,561
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 79","Coquitlam",47,51,0,53,10,4,1,166,399
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 80","Coquitlam",56,73,0,54,11,7,2,203,512
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 81","Coquitlam",30,44,0,51,8,4,2,139,385
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 82","Coquitlam",39,61,0,70,13,7,1,191,525
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 83","Coquitlam",35,28,1,36,10,2,2,114,381
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 84","Coquitlam",53,45,0,61,10,0,2,171,556
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 85","Coquitlam",35,62,0,57,4,2,5,165,568
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 86","Coquitlam",52,37,1,65,9,3,0,167,571
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 87","Coquitlam",56,61,0,77,18,9,2,223,600
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 88","Coquitlam",28,59,0,83,16,3,1,190,580
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 89","Coquitlam",33,39,0,49,15,2,2,140,441
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 90","Coquitlam",29,51,0,59,8,3,1,151,432
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 91","Coquitlam",25,37,1,86,11,0,1,161,386
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 92","Coquitlam",33,47,1,54,14,1,0,150,426
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 93","Coquitlam",60,76,2,93,15,3,2,251,745
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 94","Coquitlam",27,31,0,56,4,3,0,121,553
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 95","Coquitlam",26,39,0,46,10,2,1,124,398
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 96","Coquitlam",68,145,0,140,22,6,1,382,1067
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 97","Coquitlam",49,64,0,61,9,2,0,185,518
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 98","Port Coquitlam",39,83,2,55,20,6,0,205,507
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 99","Port Coquitlam",76,74,1,94,18,4,2,269,580
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 100","Port Coquitlam",76,75,0,56,12,6,0,225,449
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 101","Port Coquitlam",55,51,0,54,11,4,1,176,447
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 102","Port Coquitlam",36,47,0,58,4,2,3,150,415
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 103","Port Coquitlam",60,83,0,100,18,0,0,261,510
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 104","Coquitlam",39,58,1,62,17,1,0,178,434
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 105","Coquitlam",47,86,1,81,10,2,0,227,519
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 106","Port Coquitlam",69,75,0,74,22,6,0,246,404
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 107","Coquitlam",81,111,1,80,16,2,0,291,604
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 108","Port Coquitlam",75,78,1,93,17,4,3,271,482
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 109","Port Coquitlam",65,62,1,76,15,6,0,225,435
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 110","Port Coquitlam",52,52,0,60,18,1,1,184,413
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 111","Port Coquitlam",47,54,0,69,13,3,0,186,395
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 112","Port Coquitlam",52,58,0,52,14,1,3,180,404
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 113","Port Coquitlam",65,51,0,67,12,1,1,197,441
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 114","Port Coquitlam",73,74,1,78,12,5,0,243,597
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 115","Port Coquitlam",58,69,0,60,22,4,2,215,468
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 116","Port Coquitlam",72,44,0,69,14,5,3,207,497
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 117","Port Coquitlam",45,56,0,60,10,3,0,174,404
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 118","Port Coquitlam",87,70,1,64,10,3,0,235,511
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 119","Port Coquitlam",64,82,0,57,19,3,1,226,449
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 120","Port Coquitlam",66,40,1,50,12,5,0,174,448
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 121","Port Coquitlam",54,54,1,84,20,4,1,218,471
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 122","Port Coquitlam",66,36,0,61,9,4,1,177,460
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 123","Port Coquitlam",60,43,0,62,17,2,1,185,461
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 124","Port Coquitlam",57,61,0,71,19,6,2,216,564
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 125","Port Coquitlam",76,52,0,77,16,3,2,226,568
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 126","Port Coquitlam",51,65,1,58,15,3,1,194,478
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 127","Port Coquitlam",48,46,0,46,12,6,1,159,395
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 128","Port Coquitlam",57,46,2,68,15,5,0,193,484
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 129","Port Coquitlam",67,46,1,71,15,2,1,203,516
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 130","Port Coquitlam",71,62,0,82,16,1,1,233,617
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 131","Port Coquitlam",39,32,0,36,9,4,2,122,320
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 132","Port Coquitlam",48,49,0,55,9,6,1,168,454
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 133","Port Coquitlam",63,56,0,63,11,6,0,199,487
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 134","Port Coquitlam",73,50,0,60,24,5,3,215,564
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 135","Port Coquitlam",73,42,0,49,17,2,1,184,517
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 136","Port Coquitlam",53,67,0,67,18,8,1,214,496
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 137","Port Coquitlam",55,74,2,75,13,3,3,225,425
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 138","Port Coquitlam",87,86,0,72,13,2,3,263,464
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 139","Port Coquitlam",66,75,1,70,24,4,1,241,526
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 140","Port Coquitlam",74,63,0,74,11,2,0,224,418
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 141","Port Coquitlam",62,62,0,61,21,3,3,212,424
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 142","Port Coquitlam",58,61,1,86,29,4,1,240,409
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 143","Port Coquitlam",74,70,0,84,27,3,0,258,460
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 144","Port Coquitlam",59,35,1,45,11,2,0,153,348
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 145","Port Coquitlam",80,58,0,72,11,7,3,231,570
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 146","Port Coquitlam",78,62,0,74,22,4,2,242,455
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 147","Port Coquitlam",78,54,0,70,17,0,2,221,401
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 148","Port Coquitlam",67,61,0,59,10,1,1,199,400
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 149","Port Coquitlam",59,96,0,79,14,1,1,250,539
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 150","Port Coquitlam",70,75,1,68,15,0,2,231,461
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 151","Port Coquitlam",57,84,1,72,18,7,0,239,588
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 152","Port Coquitlam",108,64,0,119,30,1,0,322,669
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 153","Port Coquitlam",60,74,0,65,16,3,3,221,561
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 154","Port Coquitlam",68,57,0,74,15,2,2,218,451
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 155","Port Coquitlam",65,49,1,98,19,4,1,237,483
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 156","Port Coquitlam",48,58,0,66,7,2,0,181,390
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 157","Port Coquitlam",59,60,0,67,18,1,0,205,518
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 158","Port Coquitlam",51,64,0,71,14,7,6,213,584
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 159","Port Coquitlam",62,56,0,59,24,2,0,203,421
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 160","Port Coquitlam",47,43,0,56,18,3,1,168,453
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 161","Port Coquitlam",63,69,0,83,17,4,1,237,563
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 162","Port Coquitlam",60,66,1,80,25,3,1,236,448
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 163","Port Coquitlam",81,86,1,68,16,3,1,256,499
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 164","Port Coquitlam",84,83,1,100,22,3,0,293,482
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 165","Port Coquitlam",70,110,0,96,30,3,0,309,461
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 166","Port Coquitlam",24,54,0,55,3,1,0,137,354
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 167","Port Coquitlam",52,78,0,87,9,4,0,230,403
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 168","Port Coquitlam",67,110,0,96,13,3,2,291,575
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 169","Port Coquitlam",61,91,0,95,18,2,0,267,460
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 170","Port Coquitlam",70,97,0,92,8,1,0,268,600
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 171","Port Coquitlam",51,58,1,74,11,4,3,202,409
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 172","Port Coquitlam",93,93,0,102,20,4,1,313,616
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 173A","Port Coquitlam",81,87,0,142,14,6,4,334,717
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 173B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,61
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 174","Port Coquitlam",72,129,0,135,30,3,1,370,720
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 175","Port Coquitlam",57,58,0,78,9,1,1,204,467
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 176","Port Coquitlam",75,67,0,58,13,1,0,214,390
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 177","Port Coquitlam",105,110,0,90,28,5,0,338,578
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 178","Port Coquitlam",57,60,1,79,8,2,0,207,379
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 179","Port Coquitlam",89,81,0,101,28,3,2,304,532
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 180","Port Coquitlam",69,94,0,74,13,2,1,253,499
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 181","Port Coquitlam",92,90,0,93,31,1,0,307,636
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 182","Port Coquitlam",45,84,0,87,19,1,0,236,444
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 183","Port Coquitlam",51,116,0,96,24,1,0,288,547
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 184","Port Coquitlam",51,72,0,83,22,0,0,228,479
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 185","Port Coquitlam",35,70,1,102,18,2,0,228,448
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 186","Port Coquitlam",52,82,0,88,17,3,0,242,450
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 187","Port Coquitlam",57,94,0,121,16,0,3,291,481
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 188","Port Coquitlam",43,133,0,99,15,1,2,293,512
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 189","Port Coquitlam",51,101,0,86,18,0,1,257,494
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 190","Port Coquitlam",71,93,0,116,25,7,1,313,535
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 191","Port Coquitlam",28,121,0,104,11,0,1,265,536
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 192","Port Coquitlam",41,88,0,78,13,0,2,222,426
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 400","Coquitlam",38,60,2,92,14,1,4,211,295
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 401","Port Coquitlam",Merged with No./Fusionné avec le n°402,,,,,,,,116
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 402","Port Coquitlam",55,42,0,56,6,3,0,162,92
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 500A","Mobile poll/Bureau itinérant",35,50,2,75,10,0,9,181,183
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,,79
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 501A","Mobile poll/Bureau itinérant",27,23,0,40,2,0,1,93,137
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 501B","Mobile poll/Bureau itinérant",34,39,0,67,11,0,3,154,135
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 600","Coquitlam",138,422,2,321,49,6,4,942,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 601","Coquitlam",91,311,0,260,31,6,0,699,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 602","Coquitlam",73,275,0,265,37,12,1,663,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 603","Coquitlam",180,388,4,363,59,14,2,1010,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 604","Coquitlam",188,424,3,393,114,15,7,1144,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 605","Coquitlam",217,453,3,492,79,15,12,1271,
