Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sara Badiei,Jayson Chabot,Nelly Shin,Roland Verrier,Bryce Watts,Bonita Zarrillo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 84","Coquitlam",66,3,71,0,13,76,0,229,477
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 85","Coquitlam",57,9,82,1,9,69,0,227,473
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 86","Coquitlam",63,7,116,0,18,71,1,276,561
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 87","Coquitlam",48,3,76,0,13,59,1,200,441
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 88","Coquitlam",51,1,89,0,20,73,2,236,456
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 89","Coquitlam",48,3,84,0,16,71,1,223,416
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 90","Coquitlam",62,2,54,0,13,66,2,199,371
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 91","Coquitlam",91,11,62,0,26,89,1,280,554
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 92","Coquitlam",48,7,41,0,9,48,2,155,307
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 93","Coquitlam",59,5,65,0,17,84,4,234,460
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 94","Coquitlam",44,1,82,0,7,63,1,198,389
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 95","Coquitlam",61,3,61,0,6,79,1,211,418
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 96","Coquitlam",53,4,68,1,19,85,0,230,480
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 97","Coquitlam",58,0,59,0,16,54,3,190,443
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 98","Coquitlam",56,1,61,0,20,56,1,195,459
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 99","Coquitlam",50,2,76,1,14,78,3,224,463
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 100","Coquitlam",66,6,57,0,13,78,0,220,461
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 101","Coquitlam",51,2,80,1,10,49,1,194,470
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 102","Coquitlam",63,0,72,0,21,71,2,229,435
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 103","Coquitlam",15,0,23,0,1,5,1,45,140
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 104","Coquitlam",34,1,43,0,6,33,0,117,425
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 105","Coquitlam",59,3,90,0,10,55,2,219,742
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 106","Coquitlam",36,1,31,0,5,25,1,99,348
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 107","Coquitlam",36,0,69,0,6,27,1,139,359
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 108","Coquitlam",73,1,61,0,11,83,2,231,643
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 109","Coquitlam",30,2,66,0,10,39,3,150,385
