Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pam Damoff,Nicolas Dion,Michael Houghton,Gilbert Joseph Jubinville,Sean Weir,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 104","Oakville",123,24,6,2,75,5,235,511
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 105","Oakville",138,17,10,2,98,5,270,553
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 106","Oakville",106,7,3,0,114,1,231,475
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 107","Oakville",91,11,9,0,97,0,208,522
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 108","Oakville",107,11,5,0,88,1,212,503
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 109","Burlington",92,24,11,0,83,1,211,476
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 110","Burlington",103,27,3,1,98,0,232,500
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 111","Burlington",101,22,6,4,122,2,257,480
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 112","Burlington",100,24,16,5,107,0,252,506
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 113","Burlington",85,17,9,0,97,3,211,528
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 114","Burlington",103,29,4,2,100,0,238,534
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 115","Burlington",96,19,9,5,79,0,208,477
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 116","Burlington",175,27,16,1,186,0,405,749
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 117","Burlington",138,31,12,1,97,1,280,523
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 118","Burlington",112,20,15,11,105,0,263,529
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 119","Burlington",113,34,12,2,126,0,287,533
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 120","Burlington",120,24,22,1,110,2,279,570
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 121","Burlington",99,25,8,1,73,3,209,401
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 122","Burlington",97,18,9,3,76,0,203,471
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 123","Burlington",105,26,20,4,101,1,257,513
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 124","Burlington",97,16,5,2,90,1,211,485
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 125","Burlington",112,17,8,2,76,2,217,510
