Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dustin Innes,Steven Kou,Ivan Pak,Françoise Raunet,Alice Wong,Zhe Zhang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Richmond Centre/Richmond-Centre"," 126","Richmond",37,57,2,18,78,2,2,196,418
59025,"Richmond Centre/Richmond-Centre"," 127","Richmond",14,49,4,10,62,0,0,139,296
59025,"Richmond Centre/Richmond-Centre"," 128","Richmond",22,51,1,8,78,0,1,161,374
59025,"Richmond Centre/Richmond-Centre"," 129","Richmond",17,52,2,6,117,0,2,196,430
59025,"Richmond Centre/Richmond-Centre"," 130","Richmond",16,45,6,12,161,0,2,242,504
59025,"Richmond Centre/Richmond-Centre"," 131","Richmond",16,29,1,10,104,1,3,164,386
59025,"Richmond Centre/Richmond-Centre"," 132","Richmond",17,34,1,3,86,4,2,147,437
59025,"Richmond Centre/Richmond-Centre"," 133","Richmond",20,35,1,5,70,0,1,132,308
59025,"Richmond Centre/Richmond-Centre"," 134","Richmond",23,55,4,15,114,1,0,212,428
59025,"Richmond Centre/Richmond-Centre"," 135","Richmond",22,42,1,11,99,0,1,176,442
59025,"Richmond Centre/Richmond-Centre"," 136","Richmond",54,127,4,12,117,0,0,314,570
59025,"Richmond Centre/Richmond-Centre"," 137","Richmond",27,73,2,13,92,1,2,210,389
59025,"Richmond Centre/Richmond-Centre"," 138","Richmond",26,60,0,18,95,0,2,201,335
59025,"Richmond Centre/Richmond-Centre"," 139","Richmond",28,39,3,8,75,0,4,157,287
59025,"Richmond Centre/Richmond-Centre"," 140","Richmond",26,45,1,9,60,1,4,146,292
59025,"Richmond Centre/Richmond-Centre"," 141","Richmond",43,74,4,6,100,1,0,228,435
59025,"Richmond Centre/Richmond-Centre"," 142","Richmond",35,50,2,17,69,0,0,173,348
59025,"Richmond Centre/Richmond-Centre"," 143","Richmond",21,82,4,5,80,0,1,193,450
59025,"Richmond Centre/Richmond-Centre"," 144","Richmond",36,57,7,14,112,1,1,228,484
59025,"Richmond Centre/Richmond-Centre"," 145","Richmond",18,68,0,16,97,1,0,200,401
59025,"Richmond Centre/Richmond-Centre"," 146","Richmond",27,69,2,10,83,0,2,193,451
59025,"Richmond Centre/Richmond-Centre"," 147","Richmond",13,23,3,13,85,2,0,139,392
59025,"Richmond Centre/Richmond-Centre"," 148","Richmond",26,64,4,13,101,3,0,211,575
59025,"Richmond Centre/Richmond-Centre"," 149","Richmond",24,31,4,10,78,2,3,152,483
59025,"Richmond Centre/Richmond-Centre"," 150","Richmond",20,26,1,2,60,0,2,111,320
59025,"Richmond Centre/Richmond-Centre"," 151","Richmond",13,44,1,5,71,0,0,134,346
59025,"Richmond Centre/Richmond-Centre"," 152","Richmond",25,37,1,3,78,0,2,146,356
59025,"Richmond Centre/Richmond-Centre"," 153","Richmond",25,71,1,10,94,0,1,202,517
59025,"Richmond Centre/Richmond-Centre"," 154","Richmond",18,34,1,4,99,0,1,157,444
59025,"Richmond Centre/Richmond-Centre"," 155","Richmond",15,55,0,12,90,0,2,174,409
59025,"Richmond Centre/Richmond-Centre"," 156","Richmond",16,44,1,4,97,0,1,163,439
59025,"Richmond Centre/Richmond-Centre"," 157","Richmond",24,60,4,12,90,2,3,195,444
59025,"Richmond Centre/Richmond-Centre"," 158","Richmond",14,47,1,8,55,0,1,126,274
59025,"Richmond Centre/Richmond-Centre"," 159","Richmond",32,63,1,9,105,0,1,211,470
59025,"Richmond Centre/Richmond-Centre"," 160","Richmond",44,77,1,16,98,0,3,239,581
59025,"Richmond Centre/Richmond-Centre"," 161","Richmond",24,53,2,14,103,0,4,200,470
59025,"Richmond Centre/Richmond-Centre"," 162","Richmond",27,34,2,7,53,1,0,124,311
59025,"Richmond Centre/Richmond-Centre"," 400","Richmond",Merged with No./Fusionné avec le n°404,,,,,,,,111
59025,"Richmond Centre/Richmond-Centre"," 401","Richmond",Merged with No./Fusionné avec le n°404,,,,,,,,147
59025,"Richmond Centre/Richmond-Centre"," 402","Richmond",Merged with No./Fusionné avec le n°55,,,,,,,,0
59025,"Richmond Centre/Richmond-Centre"," 403","Richmond",Merged with No./Fusionné avec le n°404,,,,,,,,60
59025,"Richmond Centre/Richmond-Centre"," 404","Richmond",18,40,1,4,54,0,0,117,141
59025,"Richmond Centre/Richmond-Centre"," 405","Richmond",1,7,0,1,4,0,1,14,99
