Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michel Bourgeois,Jean-Martin Masse,Érica Poirier,Sylvain Prescott,Paul Savard,Julienne Soumaoro,Gabriel Ste-Marie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"Joliette/Joliette"," 102","Notre-Dame-des-Prairies",28,9,3,0,1,2,72,1,116,366
24031,"Joliette/Joliette"," 103A","Saint-Charles-Borromée",33,1,6,0,0,7,57,2,106,283
24031,"Joliette/Joliette"," 103B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,35
24031,"Joliette/Joliette"," 104","Saint-Charles-Borromée",28,5,1,0,0,4,89,3,130,351
24031,"Joliette/Joliette"," 105","Saint-Charles-Borromée",13,11,7,0,0,4,71,6,112,331
24031,"Joliette/Joliette"," 106","Saint-Charles-Borromée",23,4,3,0,1,3,33,3,70,245
24031,"Joliette/Joliette"," 107","Saint-Charles-Borromée",28,8,7,2,1,8,97,3,154,367
24031,"Joliette/Joliette"," 108","Saint-Charles-Borromée",21,13,7,1,1,9,94,5,151,349
24031,"Joliette/Joliette"," 109","Saint-Ambroise-de-Kildare",36,16,7,2,2,12,128,6,209,399
24031,"Joliette/Joliette"," 110","Saint-Ambroise-de-Kildare",21,11,4,2,0,5,69,5,117,255
24031,"Joliette/Joliette"," 111","Saint-Ambroise-de-Kildare",37,21,9,1,0,4,134,4,210,389
24031,"Joliette/Joliette"," 112","Saint-Ambroise-de-Kildare",27,28,7,2,0,7,84,3,158,379
24031,"Joliette/Joliette"," 113","Saint-Thomas",17,12,8,2,1,1,66,3,110,253
24031,"Joliette/Joliette"," 114","Saint-Thomas",21,8,9,2,1,11,111,3,166,386
24031,"Joliette/Joliette"," 115","Saint-Thomas",22,13,7,0,0,11,66,5,124,241
24031,"Joliette/Joliette"," 116","Saint-Thomas",52,11,9,1,2,14,131,2,222,470
24031,"Joliette/Joliette"," 117","Saint-Thomas",49,12,7,4,2,6,99,4,183,323
24031,"Joliette/Joliette"," 118","Saint-Thomas",30,22,11,0,0,11,126,1,201,352
24031,"Joliette/Joliette"," 119","Saint-Thomas",18,13,6,2,0,4,89,1,133,262
24031,"Joliette/Joliette"," 120","Saint-Thomas",31,19,7,0,0,8,82,3,150,355
24031,"Joliette/Joliette"," 121","Saint-Charles-Borromée",31,14,2,2,3,6,85,4,147,353
24031,"Joliette/Joliette"," 122","Saint-Charles-Borromée",27,14,8,0,0,9,91,6,155,363
24031,"Joliette/Joliette"," 123","Saint-Charles-Borromée",29,13,3,0,1,4,90,1,141,351
24031,"Joliette/Joliette"," 124","Saint-Charles-Borromée",35,9,3,0,1,1,61,4,114,363
24031,"Joliette/Joliette"," 125","Saint-Charles-Borromée",33,7,6,2,0,15,105,1,169,388
24031,"Joliette/Joliette"," 126","Saint-Charles-Borromée",35,13,8,0,1,15,101,3,176,384
24031,"Joliette/Joliette"," 127","Saint-Charles-Borromée",20,14,7,0,3,8,77,4,133,353
24031,"Joliette/Joliette"," 128","Saint-Charles-Borromée",40,13,4,0,1,12,107,3,180,420
24031,"Joliette/Joliette"," 129","Saint-Charles-Borromée",38,9,3,2,0,12,94,1,159,395
24031,"Joliette/Joliette"," 130","Joliette",42,14,9,1,3,13,94,4,180,414
24031,"Joliette/Joliette"," 131","Joliette",23,16,6,1,2,6,75,1,130,465
24031,"Joliette/Joliette"," 132","Joliette",44,7,6,1,4,15,111,1,189,445
24031,"Joliette/Joliette"," 133","Joliette",28,9,8,2,0,12,117,1,177,387
24031,"Joliette/Joliette"," 134","Joliette",41,10,6,5,3,5,90,4,164,425
24031,"Joliette/Joliette"," 135","Joliette",18,5,4,4,3,7,63,0,104,447
24031,"Joliette/Joliette"," 136","Joliette",12,5,8,0,0,14,43,2,84,363
24031,"Joliette/Joliette"," 137A","Joliette",7,2,2,0,0,3,16,0,30,109
24031,"Joliette/Joliette"," 137B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,,,,52
24031,"Joliette/Joliette"," 138","Joliette",8,6,5,2,3,9,50,2,85,393
24031,"Joliette/Joliette"," 139","Joliette",19,13,5,1,0,10,72,3,123,393
24031,"Joliette/Joliette"," 140","Joliette",14,6,15,1,3,8,68,4,119,398
24031,"Joliette/Joliette"," 141","Joliette",22,4,6,4,2,7,81,7,133,359
24031,"Joliette/Joliette"," 142","Joliette",29,5,5,1,2,7,73,4,126,393
24031,"Joliette/Joliette"," 143","Joliette",40,14,6,1,0,11,100,2,174,409
24031,"Joliette/Joliette"," 144","Joliette",38,18,1,2,0,8,74,1,142,394
24031,"Joliette/Joliette"," 145","Joliette",42,10,8,1,0,2,82,2,147,376
24031,"Joliette/Joliette"," 146","Joliette",43,12,4,0,0,9,70,8,146,416
24031,"Joliette/Joliette"," 147","Joliette",30,6,7,1,1,6,65,4,120,378
24031,"Joliette/Joliette"," 148","Joliette",18,9,8,0,1,9,45,1,91,474
24031,"Joliette/Joliette"," 149","Saint-Charles-Borromée",12,0,1,0,1,1,15,2,32,156
24031,"Joliette/Joliette"," 150","Saint-Charles-Borromée",22,10,4,0,0,6,82,2,126,326
24031,"Joliette/Joliette"," 151","Saint-Charles-Borromée",13,8,9,1,2,4,80,4,121,355
24031,"Joliette/Joliette"," 152","Saint-Charles-Borromée",23,11,1,0,5,10,61,6,117,312
24031,"Joliette/Joliette"," 153","Saint-Charles-Borromée",19,9,4,1,1,5,83,4,126,338
24031,"Joliette/Joliette"," 154","Saint-Charles-Borromée",22,4,1,0,0,2,44,3,76,268
24031,"Joliette/Joliette"," 155","Saint-Charles-Borromée",24,11,5,1,1,8,74,3,127,420
24031,"Joliette/Joliette"," 156A","Saint-Charles-Borromée",37,21,4,3,1,6,77,2,151,394
24031,"Joliette/Joliette"," 156B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,,17
24031,"Joliette/Joliette"," 157","Rawdon",50,11,5,3,3,13,58,4,147,395
24031,"Joliette/Joliette"," 158","Rawdon",41,14,4,0,0,11,83,0,153,410
24031,"Joliette/Joliette"," 159","Rawdon",57,19,11,3,1,9,123,5,228,355
24031,"Joliette/Joliette"," 160","Rawdon",Merged with No./Fusionné avec le n°159,,,,,,,,,205
24031,"Joliette/Joliette"," 161","Rawdon",26,12,6,2,1,6,61,3,117,395
24031,"Joliette/Joliette"," 162","Rawdon",21,10,15,1,6,6,72,5,136,408
24031,"Joliette/Joliette"," 163","Rawdon",25,17,2,3,0,10,70,3,130,375
24031,"Joliette/Joliette"," 164","Rawdon",39,15,7,1,1,4,39,3,109,359
24031,"Joliette/Joliette"," 165","Entrelacs",49,34,13,1,5,6,118,7,233,427
24031,"Joliette/Joliette"," 166","Entrelacs",52,20,18,4,3,7,127,3,234,410
24031,"Joliette/Joliette"," 167","Joliette",24,10,7,0,0,9,74,2,126,436
24031,"Joliette/Joliette"," 168","Joliette",24,10,5,4,0,14,64,0,121,437
24031,"Joliette/Joliette"," 169","Joliette",17,9,12,1,0,5,75,1,120,427
24031,"Joliette/Joliette"," 170","Joliette",26,13,6,1,2,10,102,4,164,398
24031,"Joliette/Joliette"," 171","Joliette",19,11,10,0,0,16,74,3,133,395
24031,"Joliette/Joliette"," 172","Joliette",35,20,6,4,1,10,98,8,182,441
24031,"Joliette/Joliette"," 173","Joliette",31,7,14,2,0,9,67,4,134,355
24031,"Joliette/Joliette"," 174","Joliette",22,6,10,1,0,11,87,1,138,339
24031,"Joliette/Joliette"," 175","Joliette",41,8,7,0,1,12,135,2,206,459
24031,"Joliette/Joliette"," 176","Joliette",13,12,6,0,0,9,122,4,166,407
24031,"Joliette/Joliette"," 177A","Joliette",32,8,6,0,4,9,107,2,168,382
24031,"Joliette/Joliette"," 177B","Joliette",26,20,8,2,1,13,100,6,176,405
24031,"Joliette/Joliette"," 178","Joliette",41,24,10,4,2,14,125,4,224,367
24031,"Joliette/Joliette"," 179","Joliette",67,26,21,2,2,11,182,4,315,638
24031,"Joliette/Joliette"," 180","Joliette",39,16,3,0,1,6,108,2,175,441
24031,"Joliette/Joliette"," 181","Joliette",Merged with No./Fusionné avec le n°178,,,,,,,,,202
24031,"Joliette/Joliette"," 182","Joliette",24,4,9,0,1,6,76,4,124,394
24031,"Joliette/Joliette"," 183","Joliette",33,15,5,2,2,10,95,0,162,404
24031,"Joliette/Joliette"," 184","Joliette",28,7,5,0,3,7,76,1,127,362
24031,"Joliette/Joliette"," 185","Joliette",38,8,8,0,1,4,82,0,141,384
24031,"Joliette/Joliette"," 186","Joliette",34,7,11,2,3,13,98,3,171,462
24031,"Joliette/Joliette"," 187","Joliette",27,14,11,0,1,12,71,4,140,404
