Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aino Laamanen,Casey Lalonde,Mikko Paavola,Stef Paquette,Marc G Serré,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35069,"Nickel Belt/Nickel Belt"," 45","Hanmer",35,14,6,93,39,0,187,357
35069,"Nickel Belt/Nickel Belt"," 46","Hanmer",46,14,3,78,55,1,197,375
35069,"Nickel Belt/Nickel Belt"," 47","Hanmer",39,13,5,84,68,0,209,420
35069,"Nickel Belt/Nickel Belt"," 48","Hanmer",28,16,2,90,61,1,198,482
35069,"Nickel Belt/Nickel Belt"," 49","Hanmer",36,13,4,77,71,2,203,443
35069,"Nickel Belt/Nickel Belt"," 50","Hanmer",41,8,12,109,70,1,241,501
35069,"Nickel Belt/Nickel Belt"," 51","Hanmer",49,14,4,70,89,0,226,446
35069,"Nickel Belt/Nickel Belt"," 52","Hanmer",46,12,2,78,79,1,218,457
35069,"Nickel Belt/Nickel Belt"," 53","Hagar",72,18,11,67,81,0,249,475
35069,"Nickel Belt/Nickel Belt"," 54","Val Therese",27,12,2,70,55,0,166,352
35069,"Nickel Belt/Nickel Belt"," 55","Val Therese",23,5,2,59,65,1,155,353
35069,"Nickel Belt/Nickel Belt"," 56","Val Therese",35,15,4,72,76,1,203,411
35069,"Nickel Belt/Nickel Belt"," 57","Val Therese",46,10,5,90,72,0,223,451
35069,"Nickel Belt/Nickel Belt"," 58","Val Therese",32,9,3,47,46,0,137,352
35069,"Nickel Belt/Nickel Belt"," 59","Val Therese",40,19,5,94,66,0,224,464
35069,"Nickel Belt/Nickel Belt"," 60","Val Therese",22,11,1,88,57,2,181,425
35069,"Nickel Belt/Nickel Belt"," 61","Val Therese",33,15,0,70,60,1,179,419
35069,"Nickel Belt/Nickel Belt"," 62","Val Therese",13,9,0,49,37,0,108,219
35069,"Nickel Belt/Nickel Belt"," 63","Val Therese",50,12,3,50,69,0,184,390
35069,"Nickel Belt/Nickel Belt"," 64","Val Therese",71,2,4,93,105,0,275,508
35069,"Nickel Belt/Nickel Belt"," 65","Val Therese",40,6,1,69,63,1,180,368
35069,"Nickel Belt/Nickel Belt"," 66","Levack",59,19,22,85,47,0,232,520
35069,"Nickel Belt/Nickel Belt"," 67","Levack",53,9,9,88,65,1,225,533
35069,"Nickel Belt/Nickel Belt"," 68","Falconbridge",55,21,6,128,80,3,293,541
35069,"Nickel Belt/Nickel Belt"," 69A","Garson",42,5,12,54,34,0,147,344
35069,"Nickel Belt/Nickel Belt"," 69B","Garson",41,8,4,52,35,1,141,372
35069,"Nickel Belt/Nickel Belt"," 70","Garson",48,7,4,100,66,0,225,515
35069,"Nickel Belt/Nickel Belt"," 71","Garson",52,8,5,74,91,1,231,432
35069,"Nickel Belt/Nickel Belt"," 72","Garson",49,14,6,75,114,0,258,522
35069,"Nickel Belt/Nickel Belt"," 73","Garson",55,10,7,118,77,0,267,541
35069,"Nickel Belt/Nickel Belt"," 74","Garson",81,6,3,54,75,0,219,481
35069,"Nickel Belt/Nickel Belt"," 75","Garson",29,15,2,81,69,0,196,419
35069,"Nickel Belt/Nickel Belt"," 76","Garson",24,7,9,65,76,1,182,405
35069,"Nickel Belt/Nickel Belt"," 77","Garson",44,14,6,66,78,0,208,449
35069,"Nickel Belt/Nickel Belt"," 78","Crystal Falls",29,10,4,35,63,0,141,314
35069,"Nickel Belt/Nickel Belt"," 79","Sturgeon Falls",18,7,7,29,70,0,131,339
35069,"Nickel Belt/Nickel Belt"," 80","Sturgeon Falls",14,3,7,22,57,0,103,254
35069,"Nickel Belt/Nickel Belt"," 81","Sturgeon Falls",24,7,13,47,101,3,195,508
35069,"Nickel Belt/Nickel Belt"," 82","Sturgeon Falls",6,3,0,20,32,0,61,133
35069,"Nickel Belt/Nickel Belt"," 83","Sturgeon Falls",23,4,0,33,48,2,110,347
35069,"Nickel Belt/Nickel Belt"," 84","Sturgeon Falls",24,2,3,19,46,3,97,267
35069,"Nickel Belt/Nickel Belt"," 85","Sturgeon Falls",36,4,5,48,87,0,180,498
35069,"Nickel Belt/Nickel Belt"," 86","Sturgeon Falls",26,4,2,44,73,1,150,444
35069,"Nickel Belt/Nickel Belt"," 87","Sturgeon Falls",26,7,5,29,86,1,154,382
35069,"Nickel Belt/Nickel Belt"," 88","Blezard Valley",65,14,10,111,85,1,286,541
35069,"Nickel Belt/Nickel Belt"," 89","Blezard Valley",45,9,4,107,83,0,248,552
35069,"Nickel Belt/Nickel Belt"," 90A","Blezard",26,8,6,48,48,1,137,318
35069,"Nickel Belt/Nickel Belt"," 90B","Blezard",39,7,6,55,54,0,161,358
35069,"Nickel Belt/Nickel Belt"," 91","Chelmsford",36,12,9,80,58,2,197,428
35069,"Nickel Belt/Nickel Belt"," 92","Chelmsford",37,14,6,80,58,2,197,468
35069,"Nickel Belt/Nickel Belt"," 93","Chelmsford",32,18,5,71,74,0,200,417
35069,"Nickel Belt/Nickel Belt"," 94","Chelmsford",32,12,9,67,70,7,197,468
35069,"Nickel Belt/Nickel Belt"," 95","Chelmsford",37,15,4,104,64,0,224,484
35069,"Nickel Belt/Nickel Belt"," 96","Chelmsford",27,10,3,55,48,0,143,390
35069,"Nickel Belt/Nickel Belt"," 97","Chelmsford",29,7,11,65,79,1,192,430
35069,"Nickel Belt/Nickel Belt"," 98","Chelmsford",36,10,2,70,56,1,175,471
35069,"Nickel Belt/Nickel Belt"," 99","Chelmsford",54,15,6,91,98,1,265,530
35069,"Nickel Belt/Nickel Belt"," 100","Chelmsford",42,12,4,74,93,2,227,477
35069,"Nickel Belt/Nickel Belt"," 101","Chelmsford",40,7,5,54,59,3,168,370
35069,"Nickel Belt/Nickel Belt"," 102","Chelmsford",48,10,3,71,67,1,200,430
35069,"Nickel Belt/Nickel Belt"," 103","Warren",40,3,2,32,58,0,135,364
35069,"Nickel Belt/Nickel Belt"," 104","Warren",53,11,4,37,72,1,178,356
35069,"Nickel Belt/Nickel Belt"," 105","Warren",28,6,2,44,53,0,133,286
35069,"Nickel Belt/Nickel Belt"," 106","Chelmsford",58,7,4,64,64,0,197,423
35069,"Nickel Belt/Nickel Belt"," 107","Chelmsford",27,18,6,77,55,1,184,475
35069,"Nickel Belt/Nickel Belt"," 108","Chelmsford",31,10,4,84,81,0,210,450
35069,"Nickel Belt/Nickel Belt"," 109","Chelmsford",41,20,5,91,56,1,214,534
35069,"Nickel Belt/Nickel Belt"," 110","Garson",38,12,3,86,65,2,206,503
35069,"Nickel Belt/Nickel Belt"," 111","Garson",41,13,4,78,79,1,216,468
35069,"Nickel Belt/Nickel Belt"," 112","Garson",59,17,7,82,87,0,252,565
35069,"Nickel Belt/Nickel Belt"," 113","Garson",52,10,5,50,35,0,152,374
35069,"Nickel Belt/Nickel Belt"," 114","Azilda",40,8,5,48,64,0,165,344
35069,"Nickel Belt/Nickel Belt"," 115","Azilda",15,6,5,43,35,0,104,252
35069,"Nickel Belt/Nickel Belt"," 116","Azilda",55,8,8,95,99,1,266,524
35069,"Nickel Belt/Nickel Belt"," 117","Azilda",40,14,2,86,88,0,230,481
35069,"Nickel Belt/Nickel Belt"," 118","Azilda",44,8,3,94,118,1,268,465
35069,"Nickel Belt/Nickel Belt"," 119","Azilda",60,7,5,83,81,2,238,481
35069,"Nickel Belt/Nickel Belt"," 120","Azilda",46,16,5,70,107,2,246,511
35069,"Nickel Belt/Nickel Belt"," 121","Azilda",46,13,3,96,66,2,226,479
35069,"Nickel Belt/Nickel Belt"," 122","Azilda",48,11,2,112,110,4,287,530
35069,"Nickel Belt/Nickel Belt"," 123","Azilda",52,16,5,73,124,0,270,524
35069,"Nickel Belt/Nickel Belt"," 124","Azilda",45,14,5,91,99,4,258,516
35069,"Nickel Belt/Nickel Belt"," 125","Markstay",47,10,4,60,55,0,176,320
35069,"Nickel Belt/Nickel Belt"," 126","Markstay",55,14,10,52,54,1,186,375
35069,"Nickel Belt/Nickel Belt"," 127","Sturgeon Falls",36,8,4,56,59,1,164,452
35069,"Nickel Belt/Nickel Belt"," 128","Sturgeon Falls",21,7,2,34,55,5,124,376
35069,"Nickel Belt/Nickel Belt"," 129","Sturgeon Falls",22,11,5,37,59,4,138,339
35069,"Nickel Belt/Nickel Belt"," 130","Sturgeon Falls",21,5,4,16,62,0,108,370
35069,"Nickel Belt/Nickel Belt"," 131","Sturgeon Falls",23,8,5,45,77,1,159,371
35069,"Nickel Belt/Nickel Belt"," 132","Sturgeon Falls",22,4,2,36,56,3,123,324
35069,"Nickel Belt/Nickel Belt"," 133","Sturgeon Falls",11,5,6,25,29,1,77,210
35069,"Nickel Belt/Nickel Belt"," 134","Sturgeon Falls",18,6,3,36,39,2,104,327
35069,"Nickel Belt/Nickel Belt"," 135","Sturgeon Falls",34,7,2,38,48,0,129,378
35069,"Nickel Belt/Nickel Belt"," 136","Sturgeon Falls",30,5,11,63,90,1,200,526
35069,"Nickel Belt/Nickel Belt"," 137","Sturgeon Falls",29,4,1,33,53,1,121,330
35069,"Nickel Belt/Nickel Belt"," 138","Sturgeon Falls",38,3,3,34,90,3,171,435
35069,"Nickel Belt/Nickel Belt"," 139","Dowling",54,10,7,95,46,0,212,406
35069,"Nickel Belt/Nickel Belt"," 140","Dowling",59,12,9,102,62,1,245,448
35069,"Nickel Belt/Nickel Belt"," 141","Dowling",53,12,2,99,51,2,219,473
35069,"Nickel Belt/Nickel Belt"," 142","Dowling",65,16,7,75,70,1,234,471
35069,"Nickel Belt/Nickel Belt"," 143","Dowling",69,17,8,97,67,4,262,526
35069,"Nickel Belt/Nickel Belt"," 144","Onaping",45,7,5,66,35,0,158,337
35069,"Nickel Belt/Nickel Belt"," 145","Onaping Falls",56,14,7,93,54,1,225,423
35069,"Nickel Belt/Nickel Belt"," 146","Sturgeon Falls",10,1,0,14,94,2,121,224
35069,"Nickel Belt/Nickel Belt"," 147","Coniston",39,14,5,95,96,1,250,453
35069,"Nickel Belt/Nickel Belt"," 148","Coniston",41,10,2,97,117,0,267,447
35069,"Nickel Belt/Nickel Belt"," 149","Coniston",41,15,4,114,91,3,268,516
35069,"Nickel Belt/Nickel Belt"," 150","Coniston",49,18,4,71,82,0,224,418
35069,"Nickel Belt/Nickel Belt"," 151","Verner",15,2,1,31,43,0,92,215
35069,"Nickel Belt/Nickel Belt"," 152","Verner",33,8,1,40,106,4,192,420
35069,"Nickel Belt/Nickel Belt"," 153","Verner",21,4,6,41,84,0,156,301
35069,"Nickel Belt/Nickel Belt"," 154","Verner",15,8,3,35,75,1,137,328
35069,"Nickel Belt/Nickel Belt"," 155","Cache Bay",34,9,6,37,62,0,148,306
35069,"Nickel Belt/Nickel Belt"," 156","Cache Bay",36,4,8,41,83,0,172,316
35069,"Nickel Belt/Nickel Belt"," 157","Greater Sudbury / Grand Sudbury",76,19,9,59,113,2,278,500
35069,"Nickel Belt/Nickel Belt"," 158","Greater Sudbury / Grand Sudbury",61,17,3,68,73,4,226,441
35069,"Nickel Belt/Nickel Belt"," 159","Greater Sudbury / Grand Sudbury",96,14,4,50,98,3,265,511
35069,"Nickel Belt/Nickel Belt"," 160","Greater Sudbury / Grand Sudbury",74,15,5,52,92,1,239,446
35069,"Nickel Belt/Nickel Belt"," 161","Greater Sudbury / Grand Sudbury",101,26,3,61,117,1,309,484
35069,"Nickel Belt/Nickel Belt"," 162","Lavigne",47,19,10,45,108,2,231,475
35069,"Nickel Belt/Nickel Belt"," 163","Greater Sudbury / Grand Sudbury",69,22,2,51,133,0,277,524
35069,"Nickel Belt/Nickel Belt"," 164","Greater Sudbury / Grand Sudbury",58,13,5,58,104,2,240,466
35069,"Nickel Belt/Nickel Belt"," 165","Greater Sudbury / Grand Sudbury",67,18,3,52,101,2,243,424
35069,"Nickel Belt/Nickel Belt"," 166","Greater Sudbury / Grand Sudbury",59,16,1,51,118,2,247,503
35069,"Nickel Belt/Nickel Belt"," 167","Greater Sudbury / Grand Sudbury",57,22,6,68,109,1,263,536
35069,"Nickel Belt/Nickel Belt"," 168","St. Charles",56,6,4,60,85,0,211,443
35069,"Nickel Belt/Nickel Belt"," 169","St.-Charles",44,15,3,43,75,1,181,348
35069,"Nickel Belt/Nickel Belt"," 170","St. Charles",64,17,6,50,80,2,219,448
35069,"Nickel Belt/Nickel Belt"," 171","Greater Sudbury / Grand Sudbury",34,9,2,65,90,1,201,360
35069,"Nickel Belt/Nickel Belt"," 172","Greater Sudbury / Grand Sudbury",61,14,5,58,111,0,249,467
35069,"Nickel Belt/Nickel Belt"," 173","Greater Sudbury / Grand Sudbury",97,17,4,83,105,0,306,512
35069,"Nickel Belt/Nickel Belt"," 174","Estaire/Wanup",64,15,7,80,73,0,239,439
35069,"Nickel Belt/Nickel Belt"," 175A","Estaire",46,11,6,64,69,0,196,330
35069,"Nickel Belt/Nickel Belt"," 175B","Estaire",39,14,1,53,82,0,189,323
35069,"Nickel Belt/Nickel Belt"," 176","Monetville",75,12,7,45,59,4,202,384
35069,"Nickel Belt/Nickel Belt"," 177","Whitefish Lake 6",8,3,6,82,30,0,129,313
35069,"Nickel Belt/Nickel Belt"," 178","Noëlville",30,8,6,44,82,0,170,372
35069,"Nickel Belt/Nickel Belt"," 179","Noëlville",48,6,3,51,67,1,176,404
35069,"Nickel Belt/Nickel Belt"," 180","Noëlville",42,8,7,45,73,0,175,377
35069,"Nickel Belt/Nickel Belt"," 181","Alban",56,14,3,46,77,0,196,319
35069,"Nickel Belt/Nickel Belt"," 182","Alban",42,17,4,47,75,0,185,338
35069,"Nickel Belt/Nickel Belt"," 183","Key Junction",46,7,4,43,70,0,170,327
35069,"Nickel Belt/Nickel Belt"," 184","Killarney",31,13,0,44,82,0,170,287
35069,"Nickel Belt/Nickel Belt"," 400","Greater Sudbury / Grand Sudbury",2,1,1,11,29,2,46,120
35069,"Nickel Belt/Nickel Belt"," 401","Greater Sudbury / Grand Sudbury",9,1,1,4,36,8,59,115
35069,"Nickel Belt/Nickel Belt"," 402","West Nipissing / Nipissing Ouest",6,0,0,11,42,4,63,159
35069,"Nickel Belt/Nickel Belt"," 600","Gogama",8,2,1,21,41,0,73,
35069,"Nickel Belt/Nickel Belt"," 601","Dowling",135,36,13,198,168,2,552,
35069,"Nickel Belt/Nickel Belt"," 602","Chelmsford",68,22,13,197,242,6,548,
35069,"Nickel Belt/Nickel Belt"," 603","Chelmsford",100,29,10,182,244,4,569,
35069,"Nickel Belt/Nickel Belt"," 604","Azilda",125,25,15,253,340,0,758,
35069,"Nickel Belt/Nickel Belt"," 605","Val Caron",144,40,17,214,312,1,728,
35069,"Nickel Belt/Nickel Belt"," 606","Val Caron",113,46,8,225,281,2,675,
35069,"Nickel Belt/Nickel Belt"," 607","Val Therese",156,34,17,294,444,1,946,
35069,"Nickel Belt/Nickel Belt"," 608","Hanmer",121,28,8,232,303,6,698,
35069,"Nickel Belt/Nickel Belt"," 609","Capreol",140,30,14,175,152,0,511,
35069,"Nickel Belt/Nickel Belt"," 610","Garson",123,27,14,148,210,1,523,
35069,"Nickel Belt/Nickel Belt"," 611","Garson",164,33,15,186,238,1,637,
35069,"Nickel Belt/Nickel Belt"," 612","Wahnapitae",153,37,23,229,254,1,697,
35069,"Nickel Belt/Nickel Belt"," 613","Sudbury",3,0,0,26,8,1,38,
35069,"Nickel Belt/Nickel Belt"," 614","Sudbury",303,80,20,220,473,0,1096,
35069,"Nickel Belt/Nickel Belt"," 615","Noëlville",105,22,9,65,193,2,396,
35069,"Nickel Belt/Nickel Belt"," 616","Warren",92,20,12,75,164,2,365,
35069,"Nickel Belt/Nickel Belt"," 617","Verner",61,3,6,64,217,1,352,
35069,"Nickel Belt/Nickel Belt"," 618","Springer",151,30,13,178,442,4,818,
35069,"Nickel Belt/Nickel Belt"," 619","Sturgeon Falls",123,44,13,184,440,18,822,
35069,"Nickel Belt/Nickel Belt",,Group 1/Groupe 1, 8,10,2,11,38,2,71,86
35069,"Nickel Belt/Nickel Belt",,Group 2/Groupe 2, 230,61,29,286,735,38,1379,
