Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen Campbell,Tom Cull,Mohamed Hammoud,Bela Kosoian,Lindsay Mathyssen,Michael van Holst,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"London--Fanshawe/London--Fanshawe"," 106","London",4,16,28,4,105,55,1,213,447
35051,"London--Fanshawe/London--Fanshawe"," 107","London",3,10,54,3,80,52,3,205,410
35051,"London--Fanshawe/London--Fanshawe"," 108","London",0,8,52,5,85,29,5,184,508
35051,"London--Fanshawe/London--Fanshawe"," 109","London",0,11,55,2,76,63,6,213,388
35051,"London--Fanshawe/London--Fanshawe"," 110","London",0,8,55,8,96,47,0,214,438
35051,"London--Fanshawe/London--Fanshawe"," 111","London",2,11,76,4,92,49,9,243,546
35051,"London--Fanshawe/London--Fanshawe"," 112","London",2,9,36,11,65,25,1,149,522
35051,"London--Fanshawe/London--Fanshawe"," 113","London",0,7,34,11,79,30,1,162,382
35051,"London--Fanshawe/London--Fanshawe"," 114","London",2,9,51,9,68,40,2,181,427
35051,"London--Fanshawe/London--Fanshawe"," 115","London",2,10,41,6,111,39,1,210,468
35051,"London--Fanshawe/London--Fanshawe"," 116","London",1,21,68,4,82,45,1,222,525
35051,"London--Fanshawe/London--Fanshawe"," 117","London",0,13,47,5,87,62,3,217,549
35051,"London--Fanshawe/London--Fanshawe"," 118","London",1,8,47,6,85,29,1,177,490
35051,"London--Fanshawe/London--Fanshawe"," 119","London",0,8,69,1,80,62,1,221,464
35051,"London--Fanshawe/London--Fanshawe"," 120","London",0,6,52,3,55,62,0,178,382
35051,"London--Fanshawe/London--Fanshawe"," 121","London",0,16,88,4,71,118,2,299,603
35051,"London--Fanshawe/London--Fanshawe"," 122","London",1,16,54,2,75,38,2,188,410
35051,"London--Fanshawe/London--Fanshawe"," 123","London",2,10,53,3,101,76,7,252,495
35051,"London--Fanshawe/London--Fanshawe"," 124","London",3,11,73,6,78,38,5,214,535
35051,"London--Fanshawe/London--Fanshawe"," 125","London",0,9,53,8,86,37,2,195,420
35051,"London--Fanshawe/London--Fanshawe"," 126","London",2,7,47,6,75,46,0,183,391
35051,"London--Fanshawe/London--Fanshawe"," 127","London",0,13,70,7,78,47,1,216,489
35051,"London--Fanshawe/London--Fanshawe"," 128","London",2,10,69,2,90,56,7,236,488
35051,"London--Fanshawe/London--Fanshawe"," 129","London",3,5,45,6,107,43,2,211,475
35051,"London--Fanshawe/London--Fanshawe"," 130","London",0,1,64,2,91,52,5,215,489
35051,"London--Fanshawe/London--Fanshawe"," 131","London",2,2,59,1,99,57,0,220,527
35051,"London--Fanshawe/London--Fanshawe"," 132","London",1,16,83,6,147,124,1,378,724
35051,"London--Fanshawe/London--Fanshawe"," 133","London",1,10,58,3,105,66,1,244,436
35051,"London--Fanshawe/London--Fanshawe"," 134","London",0,11,68,7,105,70,4,265,452
35051,"London--Fanshawe/London--Fanshawe"," 135","London",1,12,59,1,89,43,1,206,506
35051,"London--Fanshawe/London--Fanshawe"," 136","London",0,16,52,3,63,54,1,189,355
35051,"London--Fanshawe/London--Fanshawe"," 137","London",0,5,38,7,62,42,0,154,287
35051,"London--Fanshawe/London--Fanshawe"," 138","London",2,8,51,4,84,44,2,195,409
35051,"London--Fanshawe/London--Fanshawe"," 139","London",1,10,50,4,83,61,1,210,382
35051,"London--Fanshawe/London--Fanshawe"," 140","London",2,14,91,6,116,82,1,312,547
35051,"London--Fanshawe/London--Fanshawe"," 141","London",0,8,72,4,79,70,1,234,441
35051,"London--Fanshawe/London--Fanshawe"," 142","London",1,9,39,4,73,50,1,177,374
35051,"London--Fanshawe/London--Fanshawe"," 143","London",0,1,32,5,44,26,1,109,221
35051,"London--Fanshawe/London--Fanshawe"," 144","London",0,10,44,3,121,63,2,243,519
35051,"London--Fanshawe/London--Fanshawe"," 145","London",0,11,52,1,65,59,0,188,407
35051,"London--Fanshawe/London--Fanshawe"," 146","London",3,14,80,2,112,41,2,254,562
35051,"London--Fanshawe/London--Fanshawe"," 147","London",0,10,56,2,65,49,0,182,355
35051,"London--Fanshawe/London--Fanshawe"," 148","London",0,12,51,3,86,48,1,201,421
35051,"London--Fanshawe/London--Fanshawe"," 149","London",0,6,30,3,57,40,2,138,348
35051,"London--Fanshawe/London--Fanshawe"," 150","London",0,7,100,3,109,75,1,295,543
35051,"London--Fanshawe/London--Fanshawe"," 151","London",0,17,77,5,87,72,0,258,558
35051,"London--Fanshawe/London--Fanshawe"," 152","London",2,16,75,8,72,61,0,234,396
35051,"London--Fanshawe/London--Fanshawe"," 153","London",0,8,60,10,105,54,0,237,530
35051,"London--Fanshawe/London--Fanshawe"," 154","London",2,15,54,3,51,52,0,177,337
35051,"London--Fanshawe/London--Fanshawe"," 155","London",2,10,79,6,106,41,0,244,517
35051,"London--Fanshawe/London--Fanshawe"," 156","London",0,13,51,1,66,29,0,160,325
35051,"London--Fanshawe/London--Fanshawe"," 157","London",1,12,57,5,81,54,5,215,442
35051,"London--Fanshawe/London--Fanshawe"," 158","London",1,7,55,2,83,48,2,198,419
35051,"London--Fanshawe/London--Fanshawe"," 159","London",2,11,70,8,83,46,0,220,435
35051,"London--Fanshawe/London--Fanshawe"," 160","London",0,11,36,6,69,51,2,175,302
35051,"London--Fanshawe/London--Fanshawe"," 161","London",1,7,62,3,104,71,1,249,438
35051,"London--Fanshawe/London--Fanshawe"," 162","London",2,9,59,3,134,76,5,288,468
35051,"London--Fanshawe/London--Fanshawe"," 163","London",1,17,57,4,74,41,2,196,397
35051,"London--Fanshawe/London--Fanshawe"," 164","London",0,10,91,2,82,82,2,269,492
35051,"London--Fanshawe/London--Fanshawe"," 165","London",0,10,81,2,70,59,1,223,482
35051,"London--Fanshawe/London--Fanshawe"," 166","London",0,6,74,1,62,64,5,212,421
35051,"London--Fanshawe/London--Fanshawe"," 167","London",2,12,54,3,80,37,0,188,459
35051,"London--Fanshawe/London--Fanshawe"," 168","London",2,10,65,2,85,28,3,195,428
35051,"London--Fanshawe/London--Fanshawe"," 169","London",2,15,79,12,106,70,5,289,510
35051,"London--Fanshawe/London--Fanshawe"," 170","London",0,14,80,5,100,56,1,256,533
35051,"London--Fanshawe/London--Fanshawe"," 171","London",2,18,72,1,92,56,5,246,422
35051,"London--Fanshawe/London--Fanshawe"," 172","London",2,12,81,4,76,71,1,247,440
35051,"London--Fanshawe/London--Fanshawe"," 173","London",1,9,72,6,88,58,1,235,476
35051,"London--Fanshawe/London--Fanshawe"," 174","London",0,12,41,5,103,47,2,210,608
35051,"London--Fanshawe/London--Fanshawe"," 175","London",0,8,69,1,95,49,3,225,435
35051,"London--Fanshawe/London--Fanshawe"," 176","London",0,6,84,4,83,60,4,241,455
35051,"London--Fanshawe/London--Fanshawe"," 177","London",2,11,65,5,86,40,1,210,519
35051,"London--Fanshawe/London--Fanshawe"," 178","London",0,7,112,1,71,36,1,228,497
35051,"London--Fanshawe/London--Fanshawe"," 179","London",2,8,40,5,100,54,3,212,426
35051,"London--Fanshawe/London--Fanshawe"," 180","London",1,15,70,7,82,83,3,261,423
35051,"London--Fanshawe/London--Fanshawe"," 181","London",1,11,63,6,90,61,2,234,490
35051,"London--Fanshawe/London--Fanshawe"," 182","London",2,10,32,5,101,52,0,202,387
35051,"London--Fanshawe/London--Fanshawe"," 183","London",3,7,55,4,60,62,1,192,360
35051,"London--Fanshawe/London--Fanshawe"," 184","London",0,5,51,1,104,58,3,222,463
35051,"London--Fanshawe/London--Fanshawe"," 185","London",0,11,49,1,54,36,0,151,438
35051,"London--Fanshawe/London--Fanshawe"," 186","London",1,8,58,3,63,26,1,160,375
35051,"London--Fanshawe/London--Fanshawe"," 187","London",1,11,64,3,60,48,1,188,332
35051,"London--Fanshawe/London--Fanshawe"," 188","London",1,8,48,0,57,31,2,147,343
35051,"London--Fanshawe/London--Fanshawe"," 189","London",1,10,63,1,65,33,1,174,340
35051,"London--Fanshawe/London--Fanshawe"," 190","London",0,8,65,0,54,31,2,160,415
35051,"London--Fanshawe/London--Fanshawe"," 191","London",1,3,54,3,39,19,0,119,308
35051,"London--Fanshawe/London--Fanshawe"," 192","London",1,5,38,0,52,39,4,139,357
35051,"London--Fanshawe/London--Fanshawe"," 193","London",0,6,79,3,55,46,2,191,399
35051,"London--Fanshawe/London--Fanshawe"," 194","London",1,3,101,1,54,55,1,216,422
35051,"London--Fanshawe/London--Fanshawe"," 195","London",0,3,74,1,45,26,0,149,332
35051,"London--Fanshawe/London--Fanshawe"," 196","London",0,3,89,2,52,45,1,192,444
35051,"London--Fanshawe/London--Fanshawe"," 197","London",3,4,67,4,42,29,0,149,450
35051,"London--Fanshawe/London--Fanshawe"," 198","London",0,3,39,2,49,25,0,118,340
35051,"London--Fanshawe/London--Fanshawe"," 199","London",2,12,64,1,71,26,3,179,346
35051,"London--Fanshawe/London--Fanshawe"," 200","London",0,5,61,5,66,49,0,186,380
35051,"London--Fanshawe/London--Fanshawe"," 201","London",0,9,61,3,70,45,0,188,349
35051,"London--Fanshawe/London--Fanshawe"," 202","London",2,11,42,0,63,42,0,160,370
35051,"London--Fanshawe/London--Fanshawe"," 203","London",3,11,57,5,73,40,0,189,403
35051,"London--Fanshawe/London--Fanshawe"," 204","London",2,18,57,4,93,41,1,216,545
35051,"London--Fanshawe/London--Fanshawe"," 205","London",1,12,64,2,59,43,4,185,419
35051,"London--Fanshawe/London--Fanshawe"," 206","London",0,9,84,1,82,37,3,216,458
35051,"London--Fanshawe/London--Fanshawe"," 207","London",1,7,78,2,56,37,0,181,332
35051,"London--Fanshawe/London--Fanshawe"," 208","London",2,7,89,7,72,48,0,225,432
35051,"London--Fanshawe/London--Fanshawe"," 209","London",1,8,56,7,85,45,2,204,365
35051,"London--Fanshawe/London--Fanshawe"," 210","London",2,9,65,4,79,69,2,230,456
35051,"London--Fanshawe/London--Fanshawe"," 211","London",3,9,48,2,63,39,0,164,397
35051,"London--Fanshawe/London--Fanshawe"," 400","London",1,25,60,2,147,32,1,268,301
35051,"London--Fanshawe/London--Fanshawe"," 401","London",1,12,46,4,50,37,1,151,252
35051,"London--Fanshawe/London--Fanshawe"," 402A","Mobile poll/Bureau itinérant",2,1,39,0,21,39,7,109,299
35051,"London--Fanshawe/London--Fanshawe"," 402B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°402A,,,,,,,,119
35051,"London--Fanshawe/London--Fanshawe"," 500","Mobile poll/Bureau itinérant",2,4,39,0,18,17,1,81,298
35051,"London--Fanshawe/London--Fanshawe"," 501","Mobile poll/Bureau itinérant",5,2,47,2,29,35,5,125,292
35051,"London--Fanshawe/London--Fanshawe"," 502","Mobile poll/Bureau itinérant",2,4,21,1,22,18,2,70,276
35051,"London--Fanshawe/London--Fanshawe"," 600","London",4,32,173,9,218,164,1,601,
35051,"London--Fanshawe/London--Fanshawe"," 601","London",3,17,125,11,197,150,6,509,
35051,"London--Fanshawe/London--Fanshawe"," 602","London",6,26,128,11,302,179,12,664,
35051,"London--Fanshawe/London--Fanshawe"," 603","London",3,24,85,11,222,124,7,476,
35051,"London--Fanshawe/London--Fanshawe"," 604","London",2,36,98,14,324,174,1,649,
35051,"London--Fanshawe/London--Fanshawe"," 605","London",0,35,135,12,289,170,2,643,
35051,"London--Fanshawe/London--Fanshawe"," 606","London",2,19,106,8,150,117,2,404,
35051,"London--Fanshawe/London--Fanshawe"," 607","London",3,34,110,17,237,166,2,569,
35051,"London--Fanshawe/London--Fanshawe"," 608","London",7,31,94,14,211,139,4,500,
35051,"London--Fanshawe/London--Fanshawe"," 609","London",6,32,151,12,241,157,1,600,
35051,"London--Fanshawe/London--Fanshawe"," 610","London",1,16,146,7,226,157,1,554,
35051,"London--Fanshawe/London--Fanshawe"," 611","London",4,33,285,20,303,251,3,899,
35051,"London--Fanshawe/London--Fanshawe"," 612","London",2,60,200,11,224,147,6,650,
35051,"London--Fanshawe/London--Fanshawe"," 613","London",1,35,238,11,254,217,6,762,
35051,"London--Fanshawe/London--Fanshawe"," 614","London",1,20,235,15,231,159,5,666,
35051,"London--Fanshawe/London--Fanshawe"," 615","London",1,30,175,15,241,143,8,613,
35051,"London--Fanshawe/London--Fanshawe"," 616","London",2,30,300,24,203,170,5,734,
35051,"London--Fanshawe/London--Fanshawe"," 617","London",3,19,344,13,215,139,21,754,
35051,"London--Fanshawe/London--Fanshawe",,Group 1/Groupe 1, 0,9,67,4,33,27,8,148,172
35051,"London--Fanshawe/London--Fanshawe",,Group 2/Groupe 2, 1,69,286,16,388,223,42,1025,
