Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sunny Attwal,Michele Braniff,Manuel Couto,Scott Hamilton,David Haskell,Bryan May,George McMorrow,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35016,"Cambridge/Cambridge"," 43","Cambridge",28,8,0,17,4,43,0,1,101,269
35016,"Cambridge/Cambridge"," 44","Cambridge",90,20,0,36,9,87,0,2,244,503
35016,"Cambridge/Cambridge"," 45","Cambridge",88,13,0,43,4,117,1,4,270,724
35016,"Cambridge/Cambridge"," 46","Cambridge",38,13,2,37,4,44,0,0,138,330
35016,"Cambridge/Cambridge"," 47","Cambridge",58,25,0,50,10,72,0,0,215,540
35016,"Cambridge/Cambridge"," 48","Cambridge",55,13,2,48,14,89,0,0,221,454
35016,"Cambridge/Cambridge"," 49","Cambridge",52,22,0,59,10,78,1,2,224,499
35016,"Cambridge/Cambridge"," 50","Cambridge",67,10,0,38,12,87,1,1,216,443
35016,"Cambridge/Cambridge"," 51","Cambridge",83,20,1,49,3,133,1,0,290,562
35016,"Cambridge/Cambridge"," 52","Cambridge",91,11,0,33,8,129,0,1,273,534
35016,"Cambridge/Cambridge"," 53","Cambridge",84,18,0,47,11,113,1,4,278,515
35016,"Cambridge/Cambridge"," 54","Cambridge",80,18,0,40,23,96,0,1,258,498
35016,"Cambridge/Cambridge"," 55","Cambridge",63,10,0,60,8,85,1,1,228,467
35016,"Cambridge/Cambridge"," 56","Cambridge",86,29,0,67,9,91,1,1,284,585
35016,"Cambridge/Cambridge"," 57","Cambridge",47,20,0,41,6,45,0,0,159,445
35016,"Cambridge/Cambridge"," 58","Cambridge",69,22,1,59,13,85,5,2,256,626
35016,"Cambridge/Cambridge"," 59","Cambridge",54,34,0,71,11,72,1,0,243,444
35016,"Cambridge/Cambridge"," 60","Cambridge",59,40,0,45,8,72,1,0,225,460
35016,"Cambridge/Cambridge"," 61","Cambridge",89,23,0,69,6,137,1,2,327,554
35016,"Cambridge/Cambridge"," 62","Cambridge",65,21,0,70,6,92,0,0,254,478
35016,"Cambridge/Cambridge"," 63","Cambridge",65,18,0,41,11,111,0,2,248,405
35016,"Cambridge/Cambridge"," 64","Cambridge",42,20,1,76,8,69,0,2,218,509
35016,"Cambridge/Cambridge"," 65","Cambridge",49,24,0,47,6,59,2,1,188,468
35016,"Cambridge/Cambridge"," 66","Cambridge",75,22,0,63,6,75,0,0,241,520
35016,"Cambridge/Cambridge"," 67A","Cambridge",62,15,1,21,12,63,0,0,174,372
35016,"Cambridge/Cambridge"," 67B","Cambridge",73,7,0,27,5,64,1,0,177,396
35016,"Cambridge/Cambridge"," 68","Cambridge",73,7,1,35,6,89,0,3,214,549
35016,"Cambridge/Cambridge"," 69","Cambridge",27,6,0,30,7,47,0,2,119,404
35016,"Cambridge/Cambridge"," 70","Cambridge",38,17,0,29,11,77,0,1,173,478
35016,"Cambridge/Cambridge"," 71","Cambridge",60,15,0,28,10,104,0,1,218,428
35016,"Cambridge/Cambridge"," 72","Cambridge",52,15,0,59,7,64,0,2,199,458
35016,"Cambridge/Cambridge"," 73","Cambridge",43,13,1,48,12,119,0,0,236,502
35016,"Cambridge/Cambridge"," 74","Cambridge",33,12,1,39,7,119,0,8,219,484
35016,"Cambridge/Cambridge"," 75","Cambridge",54,19,0,50,5,80,3,2,213,497
35016,"Cambridge/Cambridge"," 76","Cambridge",63,19,1,55,14,81,0,3,236,478
35016,"Cambridge/Cambridge"," 77","Cambridge",47,18,0,52,13,72,4,1,207,469
35016,"Cambridge/Cambridge"," 78","Cambridge",20,4,1,22,0,137,1,1,186,468
35016,"Cambridge/Cambridge"," 79","Cambridge",70,19,1,65,4,57,0,1,217,437
35016,"Cambridge/Cambridge"," 80","North Dumfries",121,22,1,34,11,61,0,2,252,424
35016,"Cambridge/Cambridge"," 81","North Dumfries",150,18,0,35,7,66,0,4,280,478
35016,"Cambridge/Cambridge"," 82","Cambridge",91,27,0,68,11,105,0,1,303,593
35016,"Cambridge/Cambridge"," 83","Cambridge",38,16,2,39,5,71,0,2,173,417
35016,"Cambridge/Cambridge"," 84","Cambridge",87,18,0,20,3,70,1,2,201,339
35016,"Cambridge/Cambridge"," 85","Cambridge",66,20,1,61,12,49,1,3,213,590
35016,"Cambridge/Cambridge"," 86","Cambridge",34,17,0,59,8,55,0,0,173,397
35016,"Cambridge/Cambridge"," 87","Cambridge",94,11,0,76,11,89,0,0,281,425
35016,"Cambridge/Cambridge"," 88","Cambridge",94,7,0,46,12,106,0,2,267,483
35016,"Cambridge/Cambridge"," 89","Cambridge",49,13,0,42,6,51,0,0,161,474
35016,"Cambridge/Cambridge"," 90","Cambridge",58,27,0,32,5,87,1,0,210,514
35016,"Cambridge/Cambridge"," 91","Cambridge",75,24,1,46,6,62,0,1,215,518
35016,"Cambridge/Cambridge"," 92","Cambridge",64,22,0,73,7,94,1,2,263,562
35016,"Cambridge/Cambridge"," 93","Cambridge",33,18,0,47,9,43,0,2,152,409
35016,"Cambridge/Cambridge"," 94","Cambridge",117,23,0,44,8,93,3,1,289,630
35016,"Cambridge/Cambridge"," 95","Cambridge",83,10,5,29,8,112,0,1,248,537
35016,"Cambridge/Cambridge"," 96","Cambridge",95,19,0,46,13,147,0,4,324,658
35016,"Cambridge/Cambridge"," 97","Cambridge",65,16,0,53,5,83,2,1,225,562
35016,"Cambridge/Cambridge"," 98","Cambridge",97,9,0,60,8,123,0,0,297,482
35016,"Cambridge/Cambridge"," 99","Cambridge",103,19,2,94,8,91,0,1,318,533
35016,"Cambridge/Cambridge"," 100","Cambridge",58,9,0,105,4,50,1,0,227,435
35016,"Cambridge/Cambridge"," 101","Cambridge",56,21,1,74,5,80,0,0,237,446
35016,"Cambridge/Cambridge"," 102","Cambridge",85,20,0,84,6,110,1,0,306,461
35016,"Cambridge/Cambridge"," 103","Cambridge",28,10,0,45,4,44,0,0,131,376
35016,"Cambridge/Cambridge"," 104","Cambridge",74,17,0,48,12,90,0,3,244,434
35016,"Cambridge/Cambridge"," 105","Cambridge",83,31,0,73,10,93,1,2,293,502
35016,"Cambridge/Cambridge"," 106","Cambridge",49,16,0,36,7,45,2,1,156,368
35016,"Cambridge/Cambridge"," 107","Cambridge",52,28,0,54,12,112,2,0,260,511
35016,"Cambridge/Cambridge"," 108","Cambridge",45,22,0,71,8,92,0,1,239,480
35016,"Cambridge/Cambridge"," 109","Cambridge",57,22,0,23,4,118,0,1,225,442
35016,"Cambridge/Cambridge"," 110","Cambridge",36,17,0,87,9,79,2,2,232,490
35016,"Cambridge/Cambridge"," 111","Cambridge",25,13,0,60,10,49,1,0,158,402
35016,"Cambridge/Cambridge"," 112","Cambridge",56,12,0,47,4,73,0,0,192,384
35016,"Cambridge/Cambridge"," 113","Cambridge",47,15,0,41,17,91,0,3,214,327
35016,"Cambridge/Cambridge"," 114A","Cambridge",42,13,0,44,15,73,2,2,191,386
35016,"Cambridge/Cambridge"," 114B","Cambridge",Merged with No./Fusionné avec le n°107,,,,,,,,,32
35016,"Cambridge/Cambridge"," 115","Cambridge",48,20,0,72,2,84,0,2,228,589
35016,"Cambridge/Cambridge"," 116","Cambridge",49,29,0,66,13,57,0,1,215,500
35016,"Cambridge/Cambridge"," 117A","Cambridge",41,13,0,48,6,50,3,0,161,320
35016,"Cambridge/Cambridge"," 117B","Cambridge",Merged with No./Fusionné avec le n°113,,,,,,,,,110
35016,"Cambridge/Cambridge"," 118","Cambridge",42,27,0,62,8,58,2,3,202,410
35016,"Cambridge/Cambridge"," 119","Cambridge",48,19,2,73,6,67,1,0,216,507
35016,"Cambridge/Cambridge"," 120","Cambridge",63,25,0,65,19,121,0,0,293,531
35016,"Cambridge/Cambridge"," 121A","Cambridge",53,10,0,28,3,95,0,2,191,356
35016,"Cambridge/Cambridge"," 121B","Cambridge",51,7,0,37,3,92,0,0,190,332
35016,"Cambridge/Cambridge"," 122","Cambridge",68,17,0,62,10,106,2,1,266,484
35016,"Cambridge/Cambridge"," 123","Cambridge",45,11,0,59,13,52,1,0,181,402
35016,"Cambridge/Cambridge"," 124","Cambridge",45,18,0,61,4,85,2,3,218,524
35016,"Cambridge/Cambridge"," 125","Cambridge",46,11,1,63,11,64,1,4,201,554
35016,"Cambridge/Cambridge"," 126","Cambridge",45,15,0,60,12,72,1,0,205,470
35016,"Cambridge/Cambridge"," 127","North Dumfries",89,12,0,25,8,61,3,2,200,396
35016,"Cambridge/Cambridge"," 128","Cambridge",58,16,2,38,8,68,0,1,191,503
35016,"Cambridge/Cambridge"," 129","Cambridge",58,28,0,32,4,115,1,1,239,489
35016,"Cambridge/Cambridge"," 130","Cambridge",60,12,2,51,10,88,0,1,224,553
35016,"Cambridge/Cambridge"," 131","Cambridge",48,18,0,78,14,57,0,0,215,387
35016,"Cambridge/Cambridge"," 132","Cambridge",89,19,0,65,11,60,1,1,246,461
35016,"Cambridge/Cambridge"," 133","Cambridge",68,9,0,33,6,84,0,2,202,438
35016,"Cambridge/Cambridge"," 134","Cambridge",61,8,0,46,4,118,2,1,240,441
35016,"Cambridge/Cambridge"," 135","Cambridge",100,12,1,46,12,81,0,6,258,579
35016,"Cambridge/Cambridge"," 136","Cambridge",68,21,1,37,4,112,0,2,245,564
35016,"Cambridge/Cambridge"," 137","Cambridge",62,4,1,39,9,46,1,1,163,372
35016,"Cambridge/Cambridge"," 138","Cambridge",78,17,0,54,9,92,0,0,250,563
35016,"Cambridge/Cambridge"," 139","Cambridge",82,15,1,35,12,85,0,1,231,466
35016,"Cambridge/Cambridge"," 140","Cambridge",88,13,1,50,9,126,0,2,289,564
35016,"Cambridge/Cambridge"," 141","Cambridge",81,22,0,71,24,78,0,0,276,521
35016,"Cambridge/Cambridge"," 142","Cambridge",47,12,0,38,9,50,1,2,159,445
35016,"Cambridge/Cambridge"," 143","Cambridge",41,22,0,82,5,51,2,0,203,537
35016,"Cambridge/Cambridge"," 144","Cambridge",112,24,0,62,13,124,0,0,335,559
35016,"Cambridge/Cambridge"," 145","Cambridge",75,11,0,43,10,102,0,5,246,455
35016,"Cambridge/Cambridge"," 146","Cambridge",81,13,0,53,2,109,1,0,259,444
35016,"Cambridge/Cambridge"," 147","Cambridge",81,18,0,64,12,106,0,1,282,480
35016,"Cambridge/Cambridge"," 148","Cambridge",87,24,1,40,4,88,0,7,251,546
35016,"Cambridge/Cambridge"," 149","Cambridge",110,26,2,70,13,83,1,4,309,627
35016,"Cambridge/Cambridge"," 150","Cambridge",95,24,0,59,9,104,1,2,294,625
35016,"Cambridge/Cambridge"," 151","Cambridge",103,19,1,56,5,118,0,2,304,581
35016,"Cambridge/Cambridge"," 152","Cambridge",77,17,1,57,5,117,1,2,277,580
35016,"Cambridge/Cambridge"," 153","Cambridge",41,15,0,50,1,59,0,3,169,417
35016,"Cambridge/Cambridge"," 154","Cambridge",45,9,0,34,2,61,1,0,152,345
35016,"Cambridge/Cambridge"," 155","Cambridge",43,12,0,29,6,79,0,0,169,364
35016,"Cambridge/Cambridge"," 156","Cambridge",44,10,0,53,14,58,0,1,180,393
35016,"Cambridge/Cambridge"," 157","Cambridge",51,11,0,50,8,71,0,0,191,365
35016,"Cambridge/Cambridge"," 158","Cambridge",53,10,0,40,6,58,3,3,173,367
35016,"Cambridge/Cambridge"," 159","Cambridge",58,18,0,32,5,85,1,2,201,442
35016,"Cambridge/Cambridge"," 160","Cambridge",46,11,0,36,7,73,0,0,173,366
35016,"Cambridge/Cambridge"," 161","Cambridge",57,13,1,29,4,70,0,0,174,394
35016,"Cambridge/Cambridge"," 162","Cambridge",57,24,2,61,2,58,0,2,206,511
35016,"Cambridge/Cambridge"," 163","Cambridge",66,13,1,70,11,104,1,1,267,517
35016,"Cambridge/Cambridge"," 164","Cambridge",52,23,0,65,8,87,0,2,237,429
35016,"Cambridge/Cambridge"," 165A","Cambridge",52,9,0,47,4,64,0,0,176,347
35016,"Cambridge/Cambridge"," 165B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°18B,,,,,,,,,49
35016,"Cambridge/Cambridge"," 166","Cambridge",92,19,0,40,2,78,0,3,234,511
35016,"Cambridge/Cambridge"," 167","North Dumfries",120,22,0,28,5,108,3,6,292,444
35016,"Cambridge/Cambridge"," 168","North Dumfries",125,20,1,37,6,68,2,1,260,472
35016,"Cambridge/Cambridge"," 169","North Dumfries",89,15,0,39,8,31,0,0,182,353
35016,"Cambridge/Cambridge"," 170","Brant",131,11,0,21,7,38,2,0,210,399
35016,"Cambridge/Cambridge"," 171","North Dumfries",69,18,0,22,8,53,0,1,171,330
35016,"Cambridge/Cambridge"," 172","North Dumfries",77,25,0,27,4,73,0,0,206,402
35016,"Cambridge/Cambridge"," 173","North Dumfries",61,14,0,20,8,67,0,0,170,341
35016,"Cambridge/Cambridge"," 174","North Dumfries",69,20,0,31,5,93,1,2,221,436
35016,"Cambridge/Cambridge"," 175","North Dumfries",75,15,1,32,5,78,1,1,208,355
35016,"Cambridge/Cambridge"," 176","North Dumfries",51,24,0,35,5,77,3,1,196,373
35016,"Cambridge/Cambridge"," 177","North Dumfries",37,20,0,27,5,54,1,0,144,287
35016,"Cambridge/Cambridge"," 178","North Dumfries",90,19,0,25,10,87,0,0,231,481
35016,"Cambridge/Cambridge"," 179","Brant",108,34,0,37,6,98,0,1,284,519
35016,"Cambridge/Cambridge"," 180","Brant",68,27,0,29,9,49,3,2,187,394
35016,"Cambridge/Cambridge"," 181A","North Dumfries",68,22,0,30,2,71,0,2,195,349
35016,"Cambridge/Cambridge"," 181B","North Dumfries",65,16,0,42,2,66,1,1,193,353
35016,"Cambridge/Cambridge"," 182","North Dumfries",83,23,0,55,5,96,0,0,262,489
35016,"Cambridge/Cambridge"," 183","North Dumfries",85,27,0,58,7,96,1,3,277,510
35016,"Cambridge/Cambridge"," 184","North Dumfries",47,17,0,23,5,50,0,0,142,269
35016,"Cambridge/Cambridge"," 185","North Dumfries",51,8,0,16,2,65,1,0,143,248
35016,"Cambridge/Cambridge"," 186","North Dumfries",75,15,0,15,4,71,0,0,180,306
35016,"Cambridge/Cambridge"," 400","Cambridge",36,5,1,16,1,61,0,3,123,181
35016,"Cambridge/Cambridge"," 401","Cambridge",44,11,0,15,8,63,0,4,145,195
35016,"Cambridge/Cambridge"," 402","Cambridge",33,5,0,16,4,40,0,1,99,166
35016,"Cambridge/Cambridge"," 403","Cambridge",26,12,0,16,2,56,0,4,116,203
35016,"Cambridge/Cambridge"," 404","Cambridge",33,5,0,7,1,65,0,0,111,161
35016,"Cambridge/Cambridge"," 405","Cambridge",Merged with No./Fusionné avec le n°406,,,,,,,,,121
35016,"Cambridge/Cambridge"," 406","Cambridge",38,7,0,28,2,69,1,0,145,122
35016,"Cambridge/Cambridge"," 500","Mobile poll/Bureau itinérant",35,1,0,15,4,34,1,0,90,155
35016,"Cambridge/Cambridge"," 501","Mobile poll/Bureau itinérant",26,1,2,8,4,38,0,3,82,131
35016,"Cambridge/Cambridge"," 502","Mobile poll/Bureau itinérant",33,9,1,11,0,51,1,2,108,189
35016,"Cambridge/Cambridge"," 600","Cambridge",194,46,0,122,19,447,3,3,834,
35016,"Cambridge/Cambridge"," 601","Cambridge",201,54,2,87,28,266,2,6,646,
35016,"Cambridge/Cambridge"," 602","Cambridge",174,52,0,123,17,301,1,3,671,
35016,"Cambridge/Cambridge"," 603","Cambridge",214,53,0,111,14,271,6,3,672,
35016,"Cambridge/Cambridge"," 604","Cambridge",273,63,1,85,27,299,2,5,755,
35016,"Cambridge/Cambridge"," 605","Cambridge",206,50,0,109,26,346,3,4,744,
35016,"Cambridge/Cambridge"," 606","Cambridge",380,58,0,148,16,654,2,2,1260,
35016,"Cambridge/Cambridge"," 607","Cambridge",247,36,0,81,18,449,1,11,843,
35016,"Cambridge/Cambridge"," 608","Cambridge",359,52,2,119,16,380,2,7,937,
35016,"Cambridge/Cambridge"," 609","Cambridge",260,45,2,135,34,307,0,4,787,
35016,"Cambridge/Cambridge"," 610","Cambridge",147,50,0,102,18,339,1,3,660,
35016,"Cambridge/Cambridge"," 611","Cambridge",126,40,1,91,17,214,2,1,492,
35016,"Cambridge/Cambridge"," 612","Cambridge",224,39,0,146,22,324,0,0,755,
35016,"Cambridge/Cambridge"," 613","Cambridge",148,53,0,103,22,245,0,7,578,
35016,"Cambridge/Cambridge"," 614","North Dumfries",106,19,0,21,7,85,0,1,239,
35016,"Cambridge/Cambridge"," 615","Cambridge",289,49,0,150,20,378,0,4,890,
35016,"Cambridge/Cambridge"," 616","Cambridge",241,53,0,146,19,255,0,3,717,
35016,"Cambridge/Cambridge"," 617","South Dumfries",134,39,0,13,6,74,0,3,269,
35016,"Cambridge/Cambridge"," 618","North Dumfries",343,83,0,121,25,361,4,1,938,
35016,"Cambridge/Cambridge",,Group 1/Groupe 1, 22,6,0,19,3,80,0,3,133,150
35016,"Cambridge/Cambridge",,Group 2/Groupe 2, 289,123,0,221,29,517,1,34,1214,
