Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Isabelle Bergeron,Sylvie Bérubé,Kiara Cabana-Whiteley,Martin Ferron,Guillaume Lanouette,Jacline Rouleau,Daniel Simon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 37","Waskaganish",16,2,1,4,0,26,1,0,50,345
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 38","Waskaganish",10,0,0,1,2,12,1,2,28,329
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 39","Waskaganish",13,8,5,8,3,31,2,0,70,484
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 40","Waskaganish",12,1,0,6,0,24,3,1,47,347
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 41","Chibougamau",40,72,3,17,1,15,0,2,150,404
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 42","Chibougamau",26,101,4,35,1,13,0,4,184,456
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 43","Chibougamau",42,88,2,37,0,12,1,3,185,403
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 44","Chibougamau",37,62,9,19,2,5,2,2,138,397
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 45","Chibougamau",24,56,3,13,4,20,0,2,122,329
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 46","Chibougamau",18,36,4,25,1,6,0,3,93,341
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 47","Chibougamau",26,58,3,27,2,11,0,3,130,406
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 48","Chibougamau",20,61,0,30,0,7,1,2,121,362
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 49","Chibougamau",41,56,7,26,1,19,1,5,156,452
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 50","Chibougamau",23,66,3,23,0,14,1,7,137,385
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 51","Chibougamau",22,85,5,29,0,5,0,6,152,359
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 52","Chibougamau",25,69,7,32,0,10,3,4,150,359
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 53","Chibougamau",21,64,2,16,0,5,1,2,111,348
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 54","Chibougamau",66,160,6,58,1,25,1,6,323,718
