Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Albas,Allan Duncan,Robert Mellalieu,Mary Ann Murphy,Joan Phillip,Jesse Regier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 164B","Summerland",Merged with No./Fusionné avec le n°168,,,,,,,,85
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 164C","Summerland",Merged with No./Fusionné avec le n°169,,,,,,,,59
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 165A","Summerland",88,2,27,54,42,0,2,215,440
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 165B","Summerland",Merged with No./Fusionné avec le n°171,,,,,,,,73
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 166","Summerland",62,6,19,52,49,0,2,190,450
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 167","Summerland",88,5,12,65,47,0,2,219,478
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 168","Summerland",98,5,27,64,57,0,2,253,419
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 169","Summerland",78,4,24,75,56,2,2,241,428
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 170","Summerland",109,2,29,60,48,0,1,249,475
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 171","Summerland",107,12,19,68,40,1,0,247,424
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 172","Summerland",95,3,22,51,42,1,2,216,458
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 173","Summerland",87,0,23,54,39,1,0,204,454
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 174","Summerland",90,9,26,59,48,0,0,232,535
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 175","Summerland",86,3,8,45,37,2,0,181,462
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 176","Summerland",68,6,19,63,51,0,0,207,431
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 177","Summerland",81,6,25,31,27,0,0,170,441
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 178","Summerland",86,0,22,59,46,0,0,213,508
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 179","Summerland",94,4,18,51,44,0,0,211,489
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 180","Summerland",86,6,22,72,53,0,0,239,480
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 181","Summerland",99,8,17,60,55,1,0,240,445
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 182","Summerland",104,6,20,61,53,0,1,245,496
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 183","Summerland",83,1,27,70,37,0,0,218,442
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 184","Summerland",124,5,26,68,50,1,3,277,483
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 185","Hedley",81,9,42,47,57,8,3,247,463
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 186","Hedley",40,2,7,13,33,0,2,97,401
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 187A","Olalla",74,9,9,33,48,1,1,175,464
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 187B","Olalla",Merged with No./Fusionné avec le n°192,,,,,,,,60
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 188","Olalla",Merged with No./Fusionné avec le n°191,,,,,,,,15
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 189","Keremeos",90,10,11,33,49,2,1,196,479
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 190A","Keremeos",82,8,12,46,32,2,1,183,483
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 190B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,,,11
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 191","Keremeos",83,10,9,41,60,1,0,204,440
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 192","Keremeos",82,11,25,32,46,5,0,201,410
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 193","Cawston",97,3,23,56,71,0,3,253,540
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 194","Keremeos",84,4,12,24,41,1,2,168,455
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 195","Cawston",102,4,31,37,105,1,1,281,456
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 500","Mobile poll/Bureau itinérant",46,4,6,27,11,0,5,99,124
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 501","Mobile poll/Bureau itinérant",21,2,2,20,14,0,0,59,77
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 502","Mobile poll/Bureau itinérant",35,1,5,34,17,0,2,94,129
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 503","Mobile poll/Bureau itinérant",108,3,16,78,18,0,0,223,317
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 504A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,104
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 504B","Kelowna",Merged with No./Fusionné avec le n°119,,,,,,,,19
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 505","Mobile poll/Bureau itinérant",64,2,8,59,16,2,3,154,130
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 506","Mobile poll/Bureau itinérant",44,1,9,34,6,2,0,96,154
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 507","Mobile poll/Bureau itinérant",56,6,7,30,8,2,2,111,206
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 508","Mobile poll/Bureau itinérant",13,4,3,9,12,0,5,46,40
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 509A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510A,,,,,,,,93
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 509B","Summerland",Merged with No./Fusionné avec le n°169,,,,,,,,3
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 509C","Summerland",Merged with No./Fusionné avec le n°169,,,,,,,,48
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 510A","Mobile poll/Bureau itinérant",60,7,14,69,27,2,0,179,146
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 510B","Summerland",Merged with No./Fusionné avec le n°170,,,,,,,,14
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 600","Thompson-Nicola",318,12,47,102,81,3,1,564,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 601","Merritt",518,14,72,191,149,2,4,950,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 602","Merritt",430,12,78,119,113,4,5,761,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 603","West Kelowna",593,26,78,281,83,1,5,1067,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 604","Kelowna",307,22,76,232,136,1,2,776,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 605","Kelowna",472,11,56,312,104,1,2,958,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 606","Kelowna",546,25,66,341,139,2,4,1123,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 607","Kelowna",464,19,68,406,107,3,3,1070,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 608","Kelowna",379,13,86,231,123,1,6,839,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 609","West Kelowna",746,14,84,338,117,1,3,1303,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 610","West Kelowna",723,15,62,277,108,1,6,1192,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 611","West Kelowna",607,16,49,253,92,2,0,1019,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 612","West Kelowna",613,21,73,305,162,1,7,1182,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 613","West Kelowna",612,15,63,204,130,3,6,1033,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 614","West Kelowna",579,12,51,271,91,1,7,1012,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 615","Peachland",701,12,114,255,129,4,6,1221,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 616","Summerland",563,32,120,259,181,0,0,1155,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 617","Summerland",595,25,90,343,166,4,1,1224,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 618","Princeton",517,17,84,223,174,4,6,1025,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 619","Keremeos",471,25,90,226,169,1,13,995,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola",,Group 1/Groupe 1, 38,2,16,55,30,1,6,148,186
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola",,Group 2/Groupe 2, 1225,40,177,575,329,11,68,2425,
