Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Albas,Allan Duncan,Robert Mellalieu,Mary Ann Murphy,Joan Phillip,Jesse Regier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 88A","Kelowna",57,2,21,52,67,1,1,201,495
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 88B","Kelowna",Merged with No./Fusionné avec le n°87,,,,,,,,72
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 89","Kelowna",47,3,21,52,52,3,1,179,395
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 90","Kelowna",71,4,14,51,27,2,2,171,463
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 91","Kelowna",60,1,24,94,51,0,0,230,358
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 92","Kelowna",71,6,30,68,58,0,0,233,423
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 93","Kelowna",54,3,31,67,43,0,1,199,431
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 94","Kelowna",93,2,21,79,49,0,0,244,517
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 95","Kelowna",62,2,20,72,48,2,0,206,483
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 96","Kelowna",57,2,20,56,47,2,2,186,410
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 97","Kelowna",62,5,25,76,69,0,0,237,478
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 98","Kelowna",100,8,11,84,32,0,0,235,452
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 99","Kelowna",133,3,13,57,38,0,1,245,547
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 100","Kelowna",92,4,21,47,36,1,1,202,458
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 101","Kelowna",127,0,6,44,13,0,1,191,446
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 102","Kelowna",102,0,7,69,24,1,3,206,437
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 103A","Kelowna",91,12,21,65,27,0,0,216,495
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 103B","Kelowna",Merged with No./Fusionné avec le n°105,,,,,,,,71
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 104","Kelowna",71,13,21,60,45,1,3,214,478
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 105","Kelowna",74,1,13,69,20,1,3,181,365
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 106","Tsinstikeptum 10",84,1,18,49,28,0,1,181,457
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 107","Westbank",103,12,14,59,32,0,0,220,411
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 108","Lakeview Heights",101,9,10,56,32,0,0,208,491
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 109","Westbank",95,12,17,55,43,1,0,223,519
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 110","Lakeview Heights",129,5,14,52,28,2,0,230,498
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 111","Lakeview Heights",88,8,13,51,21,0,0,181,439
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 112A","Casa Loma",113,0,17,56,21,0,0,207,541
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 112B","Casa Loma",Merged with No./Fusionné avec le n°107,,,,,,,,68
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 113","Lakeview Heights",74,6,15,56,35,1,1,188,504
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 114","Lakeview Heights",123,1,18,54,36,2,0,234,415
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 115A","Lakeview Heights",104,4,9,44,36,0,0,197,493
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 115B","Lakeview Heights",Merged with No./Fusionné avec le n°114,,,,,,,,80
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 116","Kelowna",36,3,17,50,47,2,0,155,287
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 117","Kelowna",68,7,17,51,35,0,1,179,397
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 118A","Kelowna",64,4,11,42,43,0,0,164,426
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 118B","Kelowna",Merged with No./Fusionné avec le n°116,,,,,,,,120
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 119","Kelowna",33,5,17,66,42,0,0,163,416
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 120A","Kelowna",82,6,14,58,61,2,0,223,532
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 120B","Kelowna",Merged with No./Fusionné avec le n°124,,,,,,,,69
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 121","Kelowna",68,5,10,69,45,0,0,197,453
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 122","Kelowna",77,4,20,63,53,0,0,217,517
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 123A","Kelowna",98,8,12,90,29,1,0,238,558
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 123B","Kelowna",Merged with No./Fusionné avec le n°121,,,,,,,,71
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 124","Kelowna",78,2,18,66,31,3,3,201,475
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 125","Kelowna",87,5,17,90,53,1,0,253,464
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 126","Kelowna",94,4,21,82,21,0,0,222,426
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 127","Kelowna",71,5,24,55,42,1,0,198,449
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 128","Kelowna",54,5,27,53,50,0,0,189,491
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 129","Kelowna",72,7,20,71,79,2,3,254,421
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 130","Kelowna",80,4,12,71,52,0,0,219,524
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 131","Kelowna",71,2,20,54,45,3,1,196,550
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 132","Kelowna",67,5,19,87,55,2,0,235,540
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 133","Kelowna",93,10,16,81,43,0,2,245,420
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 134A","Kelowna",74,1,9,68,34,1,3,190,528
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 134B","Kelowna",Merged with No./Fusionné avec le n°126,,,,,,,,137
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 134C","Kelowna",Merged with No./Fusionné avec le n°127,,,,,,,,98
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 135A","Kelowna",112,4,17,73,49,1,0,256,536
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 135B","Kelowna",Merged with No./Fusionné avec le n°129,,,,,,,,136
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 135C","Kelowna",Merged with No./Fusionné avec le n°133,,,,,,,,122
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 135D","Kelowna",Merged with No./Fusionné avec le n°125,,,,,,,,80
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 136A","Tsinstikeptum 9",90,12,22,51,48,0,0,223,494
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 136B","Tsinstikeptum 9",Merged with No./Fusionné avec le n°141,,,,,,,,131
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 137A","Tsinstikeptum 9",163,1,12,60,21,0,0,257,471
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 137B","Tsinstikeptum 9",Merged with No./Fusionné avec le n°140,,,,,,,,155
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 138","Lakeview Heights",94,3,25,41,17,2,2,184,489
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 139","Westbank",106,4,18,58,46,1,1,234,502
