Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Neelam Brar,Rex Brocki,Al Rawdah,Jay Shin,Jagmeet Singh,Brian Sproule,Brennan Wauters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby South/Burnaby-Sud"," 75","Burnaby",31,0,3,61,43,0,13,1,152,672
59003,"Burnaby South/Burnaby-Sud"," 76","Burnaby",32,1,3,50,53,1,6,1,147,418
59003,"Burnaby South/Burnaby-Sud"," 77","Burnaby",49,2,4,112,72,0,4,4,247,635
59003,"Burnaby South/Burnaby-Sud"," 78","Burnaby",34,0,4,39,43,0,10,6,136,362
59003,"Burnaby South/Burnaby-Sud"," 79","Burnaby",49,0,5,54,78,1,10,1,198,481
59003,"Burnaby South/Burnaby-Sud"," 80","Burnaby",44,1,5,80,89,1,15,0,235,547
59003,"Burnaby South/Burnaby-Sud"," 81","Burnaby",19,3,4,45,53,2,8,0,134,369
59003,"Burnaby South/Burnaby-Sud"," 82","Burnaby",33,4,1,39,38,0,5,2,122,364
59003,"Burnaby South/Burnaby-Sud"," 83","Burnaby",39,1,3,79,49,1,14,0,186,512
59003,"Burnaby South/Burnaby-Sud"," 84","Burnaby",40,0,1,58,60,0,11,0,170,447
59003,"Burnaby South/Burnaby-Sud"," 85","Burnaby",62,1,1,37,93,0,13,3,210,486
59003,"Burnaby South/Burnaby-Sud"," 86","Burnaby",28,1,3,30,78,0,8,0,148,391
59003,"Burnaby South/Burnaby-Sud"," 87","Burnaby",25,0,1,33,43,0,8,1,111,361
59003,"Burnaby South/Burnaby-Sud"," 88","Burnaby",28,0,3,46,62,0,9,3,151,517
59003,"Burnaby South/Burnaby-Sud"," 89","Burnaby",27,1,6,26,54,0,8,0,122,463
59003,"Burnaby South/Burnaby-Sud"," 90","Burnaby",28,1,2,42,39,1,5,5,123,339
59003,"Burnaby South/Burnaby-Sud"," 91","Burnaby",42,0,2,28,57,0,6,3,138,405
59003,"Burnaby South/Burnaby-Sud"," 92","Burnaby",37,1,2,51,50,0,13,1,155,439
59003,"Burnaby South/Burnaby-Sud"," 93","Burnaby",19,2,1,21,51,0,4,0,98,380
59003,"Burnaby South/Burnaby-Sud"," 94","Burnaby",28,4,2,42,59,0,9,1,145,394
59003,"Burnaby South/Burnaby-Sud"," 95","Burnaby",64,1,2,68,80,0,11,2,228,572
59003,"Burnaby South/Burnaby-Sud"," 96","Burnaby",51,1,4,77,59,0,8,1,201,590
59003,"Burnaby South/Burnaby-Sud"," 97","Burnaby",58,1,0,84,35,1,6,0,185,512
59003,"Burnaby South/Burnaby-Sud"," 98","Burnaby",37,1,1,22,62,0,4,1,128,456
59003,"Burnaby South/Burnaby-Sud"," 99","Burnaby",30,0,3,26,58,0,13,0,130,435
59003,"Burnaby South/Burnaby-Sud"," 100","Burnaby",40,2,3,57,40,1,6,1,150,424
59003,"Burnaby South/Burnaby-Sud"," 101","Burnaby",28,2,4,54,74,0,14,0,176,426
59003,"Burnaby South/Burnaby-Sud"," 102","Burnaby",36,0,0,46,46,0,11,0,139,373
59003,"Burnaby South/Burnaby-Sud"," 103","Burnaby",27,1,0,68,49,0,6,1,152,452
59003,"Burnaby South/Burnaby-Sud"," 104","Burnaby",29,0,2,54,44,0,9,4,142,415
59003,"Burnaby South/Burnaby-Sud"," 105","Burnaby",48,1,4,42,77,0,8,1,181,433
59003,"Burnaby South/Burnaby-Sud"," 106","Burnaby",44,1,1,100,47,0,15,2,210,417
59003,"Burnaby South/Burnaby-Sud"," 107","Burnaby",40,0,1,116,68,0,15,0,240,522
