Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Bélanger,Josée Bélanger,Ruth Ellen Brosseau,Martin Acetaria Caesar Jubinville,Éric Laferrière,Danny Légaré,Luc Massé,Yves Perron,Christine Poirier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 22","Saint-Boniface",0,18,59,0,2,0,3,43,34,1,160,380
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 23","Saint-Boniface",1,13,68,0,3,0,1,22,26,2,136,284
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 24","Saint-Boniface",0,22,71,0,3,0,6,28,23,3,156,286
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 25","Saint-Élie",0,11,69,2,4,0,1,52,21,0,160,352
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 26","Saint-Élie",0,16,77,0,2,1,2,56,31,2,187,434
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 27","Saint-Élie",1,16,57,0,2,1,1,36,20,1,135,283
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 28","Saint-Élie",0,15,80,1,4,0,2,48,29,1,180,353
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 29","Saint-Étienne-des-Grès",0,34,96,1,3,2,3,75,29,3,246,444
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 30","Saint-Étienne-des-Grès",0,40,76,0,5,0,4,71,25,3,224,423
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 31","Saint-Étienne-des-Grès",0,27,47,0,2,1,2,36,26,4,145,329
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 32","Saint-Étienne-des-Grès",0,16,53,0,3,0,4,47,17,3,143,297
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 33","Saint-Étienne-des-Grès",2,31,79,0,3,0,6,56,23,7,207,406
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 34","Saint-Étienne-des-Grès",0,36,73,0,5,0,4,48,31,2,199,378
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 35","Saint-Étienne-des-Grès",0,32,49,0,3,0,2,34,22,3,145,293
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 36","Saint-Étienne-des-Grès",1,26,62,1,1,1,0,36,13,3,144,358
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 37","Charette",0,34,99,1,1,1,3,64,41,3,247,417
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 38","Charette",0,33,72,1,3,0,6,62,24,2,203,390
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 39","Saint-Barnabé",2,16,110,1,3,0,3,61,22,1,219,408
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 40","Saint-Barnabé",1,30,96,0,2,0,5,31,29,4,198,339
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 41","Saint-Étienne-des-Grès",0,14,45,0,0,0,0,32,14,3,108,203
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 42","Saint-Étienne-des-Grès",2,34,77,0,2,1,10,42,20,7,195,432
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 43","Saint-Thomas-de-Caxton",0,19,69,0,6,0,0,35,12,2,143,237
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 44","Saint-Paulin",0,22,109,0,3,0,1,45,15,1,196,432
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 45","Saint-Paulin",2,18,85,2,3,1,1,52,27,7,198,412
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 46","Saint-Paulin",0,10,89,0,2,0,4,40,5,0,150,361
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 47","Saint-Sévère",0,3,85,0,7,0,1,44,11,3,154,235
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 48","Trois-Rivières",0,57,89,0,7,0,5,43,24,3,228,411
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 49","Trois-Rivières",0,34,63,0,5,0,2,50,18,1,173,360
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 50","Trois-Rivières",1,39,88,2,1,1,2,52,30,0,216,434
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 51","Trois-Rivières",0,48,123,2,4,1,3,54,40,7,282,517
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 52","Trois-Rivières",1,38,81,0,5,1,3,44,34,4,211,412
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 53","Trois-Rivières",1,62,95,0,7,0,3,86,38,7,299,602
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 54","Trois-Rivières",0,36,79,1,1,0,1,39,23,0,180,359
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 55","Trois-Rivières",0,40,63,0,2,1,1,60,31,3,201,395
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 56","Trois-Rivières",1,39,55,0,2,1,2,41,18,1,160,325
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 57","Mandeville",0,21,68,1,3,0,0,129,32,4,258,492
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 58","Mandeville",1,14,44,0,4,0,4,112,24,6,209,403
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 59","Mandeville",0,24,46,0,5,1,3,117,31,5,232,394
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 60","Mandeville",1,19,53,0,7,0,0,99,20,7,206,370
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 61","Mandeville",0,10,40,0,4,0,1,99,14,0,168,335
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 62","Trois-Rivières",0,17,85,1,0,0,3,62,16,5,189,428
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 63","Trois-Rivières",1,23,56,0,4,1,2,71,27,1,186,414
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 64","Trois-Rivières",0,24,54,2,3,0,0,42,18,6,149,395
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 65","Trois-Rivières",0,24,56,0,5,0,1,53,31,3,173,354
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 66","Trois-Rivières",1,23,65,0,5,1,1,77,42,0,215,546
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 67","Trois-Rivières",0,23,70,0,3,0,0,60,31,1,188,420
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 68","Trois-Rivières",0,45,93,0,7,2,4,49,36,0,236,478
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 69","Trois-Rivières",2,41,50,0,2,0,2,61,28,2,188,426
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 70","Sainte-Angèle-de-Prémont",0,19,58,0,0,0,1,59,12,1,150,286
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 71","Sainte-Angèle-de-Prémont",1,22,53,0,0,0,1,43,7,1,128,263
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 72","Saint-Léon-le-Grand",1,28,122,0,1,0,0,48,17,1,218,384
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 73","Saint-Léon-le-Grand",0,20,120,0,2,0,0,63,15,2,222,378
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 74","Yamachiche",0,15,101,0,1,0,3,43,13,1,177,358
