Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Louise Boutin,Naomi Chocyk,Yvonne Hanson,Taleeb Noormohamed,Zach Segal,Jody Wilson-Raybould,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59036,"Vancouver Granville/Vancouver Granville"," 141","Vancouver",4,0,5,23,48,23,2,105,404
59036,"Vancouver Granville/Vancouver Granville"," 142","Vancouver",6,3,18,35,84,49,0,195,542
59036,"Vancouver Granville/Vancouver Granville"," 143","Vancouver",5,3,14,47,38,30,1,138,364
59036,"Vancouver Granville/Vancouver Granville"," 144","Vancouver",10,4,16,38,55,29,0,152,457
59036,"Vancouver Granville/Vancouver Granville"," 145","Vancouver",14,1,16,49,70,40,0,190,503
59036,"Vancouver Granville/Vancouver Granville"," 146","Vancouver",4,1,14,38,51,37,1,146,452
59036,"Vancouver Granville/Vancouver Granville"," 147","Vancouver",4,0,18,41,48,43,2,156,487
59036,"Vancouver Granville/Vancouver Granville"," 148","Vancouver",9,0,9,27,64,36,2,147,460
59036,"Vancouver Granville/Vancouver Granville"," 149","Vancouver",7,0,19,39,42,60,1,168,492
59036,"Vancouver Granville/Vancouver Granville"," 150","Vancouver",2,2,21,40,86,35,4,190,524
59036,"Vancouver Granville/Vancouver Granville"," 151","Vancouver",4,0,11,34,45,32,3,129,423
59036,"Vancouver Granville/Vancouver Granville"," 152","Vancouver",8,1,22,32,49,67,1,180,418
59036,"Vancouver Granville/Vancouver Granville"," 153","Vancouver",9,4,32,45,75,44,1,210,444
59036,"Vancouver Granville/Vancouver Granville"," 154","Vancouver",15,2,21,40,49,43,2,172,459
59036,"Vancouver Granville/Vancouver Granville"," 155","Vancouver",12,0,43,46,43,55,2,201,582
59036,"Vancouver Granville/Vancouver Granville"," 156","Vancouver",11,1,28,34,35,47,3,159,376
59036,"Vancouver Granville/Vancouver Granville"," 157","Vancouver",11,3,39,32,33,48,1,167,439
59036,"Vancouver Granville/Vancouver Granville"," 158","Vancouver",2,1,11,25,56,13,2,110,387
59036,"Vancouver Granville/Vancouver Granville"," 159","Vancouver",4,0,15,45,84,37,1,186,456
59036,"Vancouver Granville/Vancouver Granville"," 160","Vancouver",8,2,15,49,63,38,2,177,527
59036,"Vancouver Granville/Vancouver Granville"," 161","Vancouver",8,2,18,51,51,57,0,187,523
59036,"Vancouver Granville/Vancouver Granville"," 162","Vancouver",4,0,24,31,57,24,0,140,438
59036,"Vancouver Granville/Vancouver Granville"," 163","Vancouver",Merged with No./Fusionné avec le n°166,,,,,,,,263
59036,"Vancouver Granville/Vancouver Granville"," 164","Vancouver",8,1,12,53,76,34,0,184,507
59036,"Vancouver Granville/Vancouver Granville"," 165","Vancouver",3,2,15,40,53,45,0,158,423
59036,"Vancouver Granville/Vancouver Granville"," 166","Vancouver",3,4,36,57,95,46,0,241,349
59036,"Vancouver Granville/Vancouver Granville"," 167","Vancouver",8,0,23,33,66,47,1,178,433
59036,"Vancouver Granville/Vancouver Granville"," 168","Vancouver",14,5,55,62,26,58,1,221,476
59036,"Vancouver Granville/Vancouver Granville"," 169","Vancouver",5,3,46,54,43,79,1,231,477
59036,"Vancouver Granville/Vancouver Granville"," 170","Vancouver",15,7,73,56,40,69,2,262,512
59036,"Vancouver Granville/Vancouver Granville"," 171","Vancouver",14,7,49,61,39,63,0,233,498
59036,"Vancouver Granville/Vancouver Granville"," 172","Vancouver",13,6,47,39,45,48,1,199,439
59036,"Vancouver Granville/Vancouver Granville"," 173","Vancouver",11,4,34,56,41,58,7,211,549
59036,"Vancouver Granville/Vancouver Granville"," 174","Vancouver",5,1,14,43,74,39,1,177,502
59036,"Vancouver Granville/Vancouver Granville"," 175","Vancouver",5,0,15,29,58,26,2,135,416
59036,"Vancouver Granville/Vancouver Granville"," 176","Vancouver",7,2,13,46,73,44,0,185,444
59036,"Vancouver Granville/Vancouver Granville"," 177","Vancouver",5,0,20,36,56,32,0,149,473
59036,"Vancouver Granville/Vancouver Granville"," 178","Vancouver",10,3,25,34,64,40,1,177,486
59036,"Vancouver Granville/Vancouver Granville"," 179","Vancouver",6,1,32,41,24,41,0,145,431
59036,"Vancouver Granville/Vancouver Granville"," 180","Vancouver",10,2,44,35,23,47,1,162,413
59036,"Vancouver Granville/Vancouver Granville"," 181","Vancouver",13,3,33,54,43,36,2,184,509
59036,"Vancouver Granville/Vancouver Granville"," 182","Vancouver",8,1,44,34,31,43,0,161,500
59036,"Vancouver Granville/Vancouver Granville"," 183","Vancouver",8,1,16,24,23,34,0,106,345
59036,"Vancouver Granville/Vancouver Granville"," 500","Mobile poll/Bureau itinérant",6,0,6,29,9,21,3,74,129
59036,"Vancouver Granville/Vancouver Granville"," 501","Mobile poll/Bureau itinérant",7,0,8,20,11,10,4,60,121
59036,"Vancouver Granville/Vancouver Granville"," 502","Mobile poll/Bureau itinérant",5,1,7,15,12,4,0,44,82
59036,"Vancouver Granville/Vancouver Granville"," 503","Mobile poll/Bureau itinérant",6,0,14,19,8,11,2,60,79
59036,"Vancouver Granville/Vancouver Granville"," 504","Mobile poll/Bureau itinérant",3,0,4,15,16,10,2,50,67
