Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Bogunovic,Arthur Green,Daniel Lamache,Heather McQuillan,Dorothy-Jean O'Donnell,Mark Strahl,Kelly Velonis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59006,"Chilliwack--Hope/Chilliwack--Hope"," 25","Chilliwack",10,15,1,34,0,50,30,1,141,460
59006,"Chilliwack--Hope/Chilliwack--Hope"," 26","Chilliwack",3,28,0,28,0,106,45,1,211,509
59006,"Chilliwack--Hope/Chilliwack--Hope"," 27","Chilliwack",8,19,2,39,0,78,33,0,179,375
59006,"Chilliwack--Hope/Chilliwack--Hope"," 28","Skwahla 2",3,25,2,27,0,81,40,0,178,416
59006,"Chilliwack--Hope/Chilliwack--Hope"," 29","Chilliwack",6,11,1,41,1,72,35,0,167,428
59006,"Chilliwack--Hope/Chilliwack--Hope"," 30A","Chilliwack",3,13,1,18,0,62,37,0,134,404
59006,"Chilliwack--Hope/Chilliwack--Hope"," 30B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,10
59006,"Chilliwack--Hope/Chilliwack--Hope"," 31","Chilliwack",9,22,0,34,0,104,27,0,196,422
59006,"Chilliwack--Hope/Chilliwack--Hope"," 32","Chilliwack",9,25,0,48,0,88,38,0,208,491
59006,"Chilliwack--Hope/Chilliwack--Hope"," 33","Chilliwack",17,20,1,50,0,110,37,0,235,503
59006,"Chilliwack--Hope/Chilliwack--Hope"," 34","Chilliwack",9,22,1,53,0,90,32,1,208,550
59006,"Chilliwack--Hope/Chilliwack--Hope"," 35","Chilliwack",9,23,0,27,0,61,44,1,165,382
59006,"Chilliwack--Hope/Chilliwack--Hope"," 36","Chilliwack",4,27,0,35,0,72,42,0,180,442
59006,"Chilliwack--Hope/Chilliwack--Hope"," 37","Chilliwack",3,31,0,28,0,47,15,0,124,383
59006,"Chilliwack--Hope/Chilliwack--Hope"," 38","Chilliwack",6,31,1,47,0,81,44,1,211,548
59006,"Chilliwack--Hope/Chilliwack--Hope"," 39","Chilliwack",6,17,1,58,0,101,34,1,218,536
59006,"Chilliwack--Hope/Chilliwack--Hope"," 40","Chilliwack",17,21,0,48,0,74,36,1,197,531
59006,"Chilliwack--Hope/Chilliwack--Hope"," 41","Chilliwack",16,25,0,48,0,71,34,1,195,501
59006,"Chilliwack--Hope/Chilliwack--Hope"," 42","Chilliwack",10,29,0,55,0,109,17,0,220,491
59006,"Chilliwack--Hope/Chilliwack--Hope"," 43","Chilliwack",10,24,1,49,0,56,45,0,185,462
59006,"Chilliwack--Hope/Chilliwack--Hope"," 44","Chilliwack",7,21,0,72,0,58,22,1,181,562
59006,"Chilliwack--Hope/Chilliwack--Hope"," 45","Chilliwack",5,25,3,56,0,74,52,0,215,530
59006,"Chilliwack--Hope/Chilliwack--Hope"," 46","Chilliwack",5,16,2,51,0,61,47,0,182,475
59006,"Chilliwack--Hope/Chilliwack--Hope"," 47","Chilliwack",9,19,2,41,0,68,46,6,191,518
59006,"Chilliwack--Hope/Chilliwack--Hope"," 48","Chilliwack",11,17,1,42,0,33,32,1,137,585
59006,"Chilliwack--Hope/Chilliwack--Hope"," 49","Chilliwack",12,22,3,44,3,70,44,1,199,520
59006,"Chilliwack--Hope/Chilliwack--Hope"," 50","Chilliwack",8,22,1,37,0,76,35,0,179,444
59006,"Chilliwack--Hope/Chilliwack--Hope"," 51","Chilliwack",8,24,0,46,0,59,27,1,165,505
59006,"Chilliwack--Hope/Chilliwack--Hope"," 52","Chilliwack",7,16,3,23,0,84,32,0,165,502
59006,"Chilliwack--Hope/Chilliwack--Hope"," 53","Chilliwack",6,19,2,33,0,75,34,1,170,457
59006,"Chilliwack--Hope/Chilliwack--Hope"," 54","Chilliwack",7,23,1,50,0,106,36,1,224,528
59006,"Chilliwack--Hope/Chilliwack--Hope"," 55","Chilliwack",20,24,1,48,0,104,50,2,249,552
59006,"Chilliwack--Hope/Chilliwack--Hope"," 56","Chilliwack",4,12,0,38,0,80,55,0,189,540
59006,"Chilliwack--Hope/Chilliwack--Hope"," 57","Chilliwack",12,34,1,40,0,112,57,2,258,566
59006,"Chilliwack--Hope/Chilliwack--Hope"," 58","Chilliwack",9,23,4,30,0,119,34,0,219,520
59006,"Chilliwack--Hope/Chilliwack--Hope"," 59","Chilliwack",4,16,0,16,0,131,20,2,189,434
59006,"Chilliwack--Hope/Chilliwack--Hope"," 60","Chilliwack",3,12,2,12,0,154,18,0,201,369
59006,"Chilliwack--Hope/Chilliwack--Hope"," 61","Chilliwack",16,7,2,7,0,152,14,1,199,401
59006,"Chilliwack--Hope/Chilliwack--Hope"," 62","Popkum 1",8,3,0,24,0,90,31,2,158,316
59006,"Chilliwack--Hope/Chilliwack--Hope"," 63","Chilliwack",9,11,0,43,0,117,27,0,207,522
59006,"Chilliwack--Hope/Chilliwack--Hope"," 64","Popkum 1",14,11,3,36,0,150,47,0,261,550
59006,"Chilliwack--Hope/Chilliwack--Hope"," 65","Chilliwack",1,11,0,20,0,114,29,0,175,388
59006,"Chilliwack--Hope/Chilliwack--Hope"," 66","Chilliwack",9,13,0,34,1,97,30,0,184,406
59006,"Chilliwack--Hope/Chilliwack--Hope"," 67","Skowkale",7,12,0,60,0,110,45,0,234,484
59006,"Chilliwack--Hope/Chilliwack--Hope"," 68","Chilliwack",2,33,2,41,0,135,61,0,274,529
59006,"Chilliwack--Hope/Chilliwack--Hope"," 69","Chilliwack",0,21,1,49,1,86,60,0,218,474
59006,"Chilliwack--Hope/Chilliwack--Hope"," 70","Chilliwack",8,24,0,45,0,128,68,1,274,540
59006,"Chilliwack--Hope/Chilliwack--Hope"," 71","Chilliwack",8,18,1,30,0,112,47,0,216,431
59006,"Chilliwack--Hope/Chilliwack--Hope"," 72","Chilliwack",8,11,0,35,0,82,40,0,176,348
59006,"Chilliwack--Hope/Chilliwack--Hope"," 73","Chilliwack",7,14,2,40,0,100,41,1,205,437
59006,"Chilliwack--Hope/Chilliwack--Hope"," 74","Chilliwack",3,16,2,40,0,117,46,0,224,560
59006,"Chilliwack--Hope/Chilliwack--Hope"," 75","Chilliwack",1,27,0,42,0,87,41,0,198,460
59006,"Chilliwack--Hope/Chilliwack--Hope"," 76","Chilliwack",10,20,0,39,1,101,28,0,199,414
59006,"Chilliwack--Hope/Chilliwack--Hope"," 77","Chilliwack",7,12,0,41,1,93,53,0,207,508
59006,"Chilliwack--Hope/Chilliwack--Hope"," 78","Chilliwack",18,18,1,36,0,96,51,3,223,450
59006,"Chilliwack--Hope/Chilliwack--Hope"," 79","Chilliwack",4,10,0,39,0,103,46,0,202,477
59006,"Chilliwack--Hope/Chilliwack--Hope"," 80","Chilliwack",5,13,1,30,0,81,54,0,184,462
59006,"Chilliwack--Hope/Chilliwack--Hope"," 81","Chilliwack",7,17,0,39,0,95,46,2,206,564
59006,"Chilliwack--Hope/Chilliwack--Hope"," 82","Chilliwack",4,12,0,21,0,53,44,0,134,409
59006,"Chilliwack--Hope/Chilliwack--Hope"," 83","Chilliwack",5,7,0,31,1,79,31,4,158,456
59006,"Chilliwack--Hope/Chilliwack--Hope"," 84","Chilliwack",7,18,0,41,1,100,38,0,205,420
59006,"Chilliwack--Hope/Chilliwack--Hope"," 85","Chilliwack",9,16,0,32,1,72,43,1,174,384
59006,"Chilliwack--Hope/Chilliwack--Hope"," 86","Chilliwack",1,6,2,27,0,79,48,1,164,382
59006,"Chilliwack--Hope/Chilliwack--Hope"," 87","Chilliwack",5,24,2,43,0,79,35,1,189,411
59006,"Chilliwack--Hope/Chilliwack--Hope"," 88","Chilliwack",6,10,0,25,0,168,43,1,253,497
59006,"Chilliwack--Hope/Chilliwack--Hope"," 89","Chilliwack",5,8,0,39,0,71,46,1,170,401
59006,"Chilliwack--Hope/Chilliwack--Hope"," 90A","Chilliwack",2,12,0,26,0,91,30,0,161,320
59006,"Chilliwack--Hope/Chilliwack--Hope"," 90B","Chilliwack",5,19,0,21,0,108,30,0,183,373
59006,"Chilliwack--Hope/Chilliwack--Hope"," 91","Chilliwack",8,16,0,39,0,93,37,0,193,418
59006,"Chilliwack--Hope/Chilliwack--Hope"," 92","Chilliwack",11,17,0,39,0,122,68,0,257,620
59006,"Chilliwack--Hope/Chilliwack--Hope"," 93","Chilliwack",6,18,0,78,1,100,68,1,272,560
59006,"Chilliwack--Hope/Chilliwack--Hope"," 94","Chilliwack",2,20,0,49,1,105,63,1,241,504
59006,"Chilliwack--Hope/Chilliwack--Hope"," 95","Chilliwack",8,10,1,27,1,81,43,0,171,406
59006,"Chilliwack--Hope/Chilliwack--Hope"," 96","Chilliwack",9,23,2,37,1,97,53,0,222,562
59006,"Chilliwack--Hope/Chilliwack--Hope"," 97","Chilliwack",5,21,3,59,0,112,45,0,245,578
59006,"Chilliwack--Hope/Chilliwack--Hope"," 98","Chilliwack",8,27,0,62,0,99,46,0,242,572
59006,"Chilliwack--Hope/Chilliwack--Hope"," 99","Chilliwack",9,33,1,59,0,116,65,0,283,558
59006,"Chilliwack--Hope/Chilliwack--Hope"," 100","Chilliwack",1,17,0,48,0,73,36,4,179,547
59006,"Chilliwack--Hope/Chilliwack--Hope"," 101A","Chilliwack",3,13,0,24,0,76,35,0,151,346
59006,"Chilliwack--Hope/Chilliwack--Hope"," 101B","Chilliwack",4,12,0,15,0,57,36,0,124,344
59006,"Chilliwack--Hope/Chilliwack--Hope"," 102","Chilliwack",9,18,3,17,0,188,38,5,278,519
59006,"Chilliwack--Hope/Chilliwack--Hope"," 103","Chilliwack",5,16,0,28,0,219,40,0,308,540
59006,"Chilliwack--Hope/Chilliwack--Hope"," 104","Chilliwack",5,11,1,30,1,253,42,0,343,538
59006,"Chilliwack--Hope/Chilliwack--Hope"," 105","Chilliwack",1,24,1,27,0,99,34,0,186,302
59006,"Chilliwack--Hope/Chilliwack--Hope"," 106","Cultus Lake",8,23,2,23,0,65,36,0,157,349
59006,"Chilliwack--Hope/Chilliwack--Hope"," 107","Chilliwack",4,17,0,59,1,58,42,1,182,463
59006,"Chilliwack--Hope/Chilliwack--Hope"," 108","Chilliwack",6,25,0,43,0,90,50,0,214,508
59006,"Chilliwack--Hope/Chilliwack--Hope"," 109","Chilliwack",4,16,0,45,0,55,32,0,152,413
59006,"Chilliwack--Hope/Chilliwack--Hope"," 110","Chilliwack",4,12,1,28,1,36,26,1,109,320
59006,"Chilliwack--Hope/Chilliwack--Hope"," 111","Chilliwack",8,23,0,38,1,83,54,1,208,431
59006,"Chilliwack--Hope/Chilliwack--Hope"," 112","Chilliwack",9,26,0,55,0,70,35,1,196,494
59006,"Chilliwack--Hope/Chilliwack--Hope"," 113","Chilliwack",4,15,1,35,0,94,48,1,198,471
59006,"Chilliwack--Hope/Chilliwack--Hope"," 114A","Chilliwack",8,30,0,38,0,82,30,2,190,390
59006,"Chilliwack--Hope/Chilliwack--Hope"," 114B","Chilliwack",7,25,0,36,0,90,34,0,192,409
59006,"Chilliwack--Hope/Chilliwack--Hope"," 115","Chilliwack",9,20,0,44,0,83,45,4,205,500
59006,"Chilliwack--Hope/Chilliwack--Hope"," 116","Chilliwack",8,15,0,49,0,115,54,0,241,504
59006,"Chilliwack--Hope/Chilliwack--Hope"," 117","Chilliwack",12,28,1,58,0,210,71,1,381,561
59006,"Chilliwack--Hope/Chilliwack--Hope"," 118","Chilliwack",6,20,2,37,0,175,34,0,274,429
59006,"Chilliwack--Hope/Chilliwack--Hope"," 119","Chilliwack",4,33,2,45,0,214,33,0,331,512
59006,"Chilliwack--Hope/Chilliwack--Hope"," 120","Chilliwack",4,14,0,39,0,111,49,0,217,528
59006,"Chilliwack--Hope/Chilliwack--Hope"," 121","Chilliwack",5,33,0,45,1,187,35,0,306,496
59006,"Chilliwack--Hope/Chilliwack--Hope"," 122","Chilliwack",6,12,8,12,0,180,20,0,238,493
59006,"Chilliwack--Hope/Chilliwack--Hope"," 123","Chilliwack",4,15,3,15,0,176,21,0,234,465
59006,"Chilliwack--Hope/Chilliwack--Hope"," 124","Chilliwack",5,20,0,19,1,119,35,2,201,429
59006,"Chilliwack--Hope/Chilliwack--Hope"," 125A","Chilliwack",4,12,2,19,0,142,34,0,213,428
59006,"Chilliwack--Hope/Chilliwack--Hope"," 125B","Chilliwack",10,7,1,31,0,148,26,2,225,413
59006,"Chilliwack--Hope/Chilliwack--Hope"," 126","Popkum 1",8,23,3,37,0,118,21,0,210,559
59006,"Chilliwack--Hope/Chilliwack--Hope"," 127A","Chilliwack",4,17,0,18,0,74,27,0,140,327
59006,"Chilliwack--Hope/Chilliwack--Hope"," 127B","Chilliwack",6,7,1,20,0,79,27,0,140,317
59006,"Chilliwack--Hope/Chilliwack--Hope"," 128","Chilliwack",5,21,1,37,1,145,73,1,284,555
59006,"Chilliwack--Hope/Chilliwack--Hope"," 129","Chilliwack",15,14,0,63,0,148,50,0,290,572
59006,"Chilliwack--Hope/Chilliwack--Hope"," 130","Chilliwack",6,19,1,53,0,122,65,2,268,496
59006,"Chilliwack--Hope/Chilliwack--Hope"," 131","Chilliwack",9,17,3,60,0,129,60,1,279,560
59006,"Chilliwack--Hope/Chilliwack--Hope"," 132","Chilliwack",12,13,1,56,0,125,68,3,278,580
59006,"Chilliwack--Hope/Chilliwack--Hope"," 133","Chilliwack",3,21,1,27,0,117,41,0,210,441
59006,"Chilliwack--Hope/Chilliwack--Hope"," 134","Chilliwack",2,20,0,36,0,115,57,0,230,453
59006,"Chilliwack--Hope/Chilliwack--Hope"," 135","Chilliwack",6,28,0,43,0,162,57,2,298,586
59006,"Chilliwack--Hope/Chilliwack--Hope"," 136","Chilliwack",5,21,1,40,0,107,58,1,233,528
59006,"Chilliwack--Hope/Chilliwack--Hope"," 137A","Tzeachten 13",2,8,1,23,0,80,37,0,151,425
59006,"Chilliwack--Hope/Chilliwack--Hope"," 137B","Tzeachten 13",2,14,0,32,0,79,54,0,181,430
59006,"Chilliwack--Hope/Chilliwack--Hope"," 138","Chilliwack",3,20,0,36,1,112,62,0,234,501
59006,"Chilliwack--Hope/Chilliwack--Hope"," 139","Tzeachten 13",7,22,0,76,1,78,37,1,222,509
59006,"Chilliwack--Hope/Chilliwack--Hope"," 140","Tzeachten 13",3,21,1,28,1,91,38,2,185,391
59006,"Chilliwack--Hope/Chilliwack--Hope"," 141","Chilliwack",12,16,1,44,1,132,63,2,271,522
59006,"Chilliwack--Hope/Chilliwack--Hope"," 142","Chilliwack",7,24,1,52,0,110,57,0,251,548
59006,"Chilliwack--Hope/Chilliwack--Hope"," 143","Chilliwack",10,20,1,55,0,132,55,0,273,609
59006,"Chilliwack--Hope/Chilliwack--Hope"," 144","Chilliwack",4,15,1,69,1,127,65,1,283,629
59006,"Chilliwack--Hope/Chilliwack--Hope"," 145","Chilliwack",4,27,1,31,1,136,38,2,240,483
59006,"Chilliwack--Hope/Chilliwack--Hope"," 146","Chilliwack",8,36,3,31,0,126,56,0,260,498
59006,"Chilliwack--Hope/Chilliwack--Hope"," 147","Ruby Creek",5,20,0,40,0,51,18,1,135,336
59006,"Chilliwack--Hope/Chilliwack--Hope"," 148","Hope",2,33,0,28,1,72,25,0,161,411
59006,"Chilliwack--Hope/Chilliwack--Hope"," 149","Hope",0,25,1,44,2,45,28,0,145,347
59006,"Chilliwack--Hope/Chilliwack--Hope"," 150","Hope",2,22,0,38,0,41,33,0,136,376
59006,"Chilliwack--Hope/Chilliwack--Hope"," 151","Aywawwis 15",12,26,0,40,0,109,45,0,232,527
59006,"Chilliwack--Hope/Chilliwack--Hope"," 152","Hope",6,29,1,33,0,69,29,1,168,490
59006,"Chilliwack--Hope/Chilliwack--Hope"," 153","Kawkawa Lake 16",7,37,0,36,2,81,44,1,208,560
59006,"Chilliwack--Hope/Chilliwack--Hope"," 154","Hope",10,21,0,26,0,54,28,1,140,425
59006,"Chilliwack--Hope/Chilliwack--Hope"," 155","Hope",3,20,1,27,0,58,33,0,142,398
59006,"Chilliwack--Hope/Chilliwack--Hope"," 156","Hope",12,24,0,44,0,100,43,0,223,462
59006,"Chilliwack--Hope/Chilliwack--Hope"," 157","Cultus Lake",1,20,0,33,0,31,16,0,101,249
59006,"Chilliwack--Hope/Chilliwack--Hope"," 158","Lindell Beach",7,28,0,29,0,120,84,2,270,503
59006,"Chilliwack--Hope/Chilliwack--Hope"," 159","Lindell Beach",6,29,0,70,0,78,49,0,232,537
59006,"Chilliwack--Hope/Chilliwack--Hope"," 160","Lindell Beach",11,23,0,28,0,69,37,0,168,312
59006,"Chilliwack--Hope/Chilliwack--Hope"," 161","Slesse Park",5,19,1,32,0,79,29,1,166,349
59006,"Chilliwack--Hope/Chilliwack--Hope"," 162","Chilliwack",9,47,0,40,0,102,51,0,249,431
59006,"Chilliwack--Hope/Chilliwack--Hope"," 163","Slesse Park",5,22,3,31,0,91,56,1,209,424
59006,"Chilliwack--Hope/Chilliwack--Hope"," 164","Hope",6,26,0,36,0,110,55,0,233,503
59006,"Chilliwack--Hope/Chilliwack--Hope"," 165","Laidlaw",12,12,0,30,1,61,34,2,152,443
59006,"Chilliwack--Hope/Chilliwack--Hope"," 166","Laidlaw",7,25,1,55,0,90,35,3,216,484
59006,"Chilliwack--Hope/Chilliwack--Hope"," 167","Silver Creek",6,19,0,26,0,57,27,2,137,339
59006,"Chilliwack--Hope/Chilliwack--Hope"," 400","Skowkale",0,1,0,4,0,32,29,0,66,163
59006,"Chilliwack--Hope/Chilliwack--Hope"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,,78
59006,"Chilliwack--Hope/Chilliwack--Hope"," 501","Mobile poll/Bureau itinérant",4,13,3,11,0,62,38,5,136,205
59006,"Chilliwack--Hope/Chilliwack--Hope"," 502","Mobile poll/Bureau itinérant",8,21,1,15,1,75,33,5,159,190
59006,"Chilliwack--Hope/Chilliwack--Hope"," 503","Mobile poll/Bureau itinérant",4,10,3,17,1,67,43,5,150,157
59006,"Chilliwack--Hope/Chilliwack--Hope"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,,,88
59006,"Chilliwack--Hope/Chilliwack--Hope"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,,107
59006,"Chilliwack--Hope/Chilliwack--Hope"," 506","Mobile poll/Bureau itinérant",6,5,5,11,3,61,36,1,128,127
59006,"Chilliwack--Hope/Chilliwack--Hope"," 600","Chilliwack",48,99,1,177,1,538,243,5,1112,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 601","Chilliwack",42,120,11,47,1,712,242,4,1179,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 602","Chilliwack",32,96,9,90,2,868,168,5,1270,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 603","Chilliwack",47,123,4,152,1,503,203,3,1036,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 604","Chilliwack",31,92,1,126,2,275,160,0,687,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 605","Chilliwack",40,88,4,154,2,575,192,2,1057,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 606","Chilliwack",35,91,4,142,3,655,271,3,1204,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 607","Chilliwack",27,114,0,151,3,643,249,5,1192,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 608","Chilliwack",46,120,1,154,1,688,275,5,1290,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 609","Chilliwack",35,161,3,158,1,533,262,2,1155,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 610","Chilliwack",44,110,4,203,2,754,331,6,1454,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 611","Chilliwack",31,60,1,138,2,525,184,1,942,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 612","Chilliwack",14,59,4,49,1,339,66,1,533,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 613","Chilliwack",10,57,0,67,0,204,126,4,468,
59006,"Chilliwack--Hope/Chilliwack--Hope"," 614","Hope",36,218,3,187,3,637,239,7,1330,
59006,"Chilliwack--Hope/Chilliwack--Hope",,Group 1/Groupe 1, 3,22,0,13,1,39,46,6,130,147
59006,"Chilliwack--Hope/Chilliwack--Hope",,Group 2/Groupe 2, 50,163,5,197,1,902,326,28,1672,
