Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kimball Cariou,Don Davies,Donna Petersen,Helen Quan,Tamara Taggart,Lawrence Taylor,Ian Torn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59038,"Vancouver Kingsway/Vancouver Kingsway"," 34","Vancouver",0,72,3,31,52,8,2,1,169,390
59038,"Vancouver Kingsway/Vancouver Kingsway"," 35","Vancouver",1,85,0,52,51,13,2,1,205,422
59038,"Vancouver Kingsway/Vancouver Kingsway"," 36","Vancouver",0,117,1,37,47,10,3,2,217,494
59038,"Vancouver Kingsway/Vancouver Kingsway"," 37","Vancouver",0,103,0,17,67,17,2,0,206,496
59038,"Vancouver Kingsway/Vancouver Kingsway"," 38","Vancouver",2,103,0,32,56,23,2,5,223,413
59038,"Vancouver Kingsway/Vancouver Kingsway"," 39","Vancouver",2,139,2,26,56,15,4,2,246,481
59038,"Vancouver Kingsway/Vancouver Kingsway"," 40","Vancouver",2,114,0,22,53,15,2,0,208,485
59038,"Vancouver Kingsway/Vancouver Kingsway"," 41","Vancouver",1,84,0,25,38,12,3,0,163,426
59038,"Vancouver Kingsway/Vancouver Kingsway"," 42","Vancouver",1,66,0,19,39,12,0,1,138,394
59038,"Vancouver Kingsway/Vancouver Kingsway"," 43","Vancouver",0,88,1,25,56,12,0,1,183,437
59038,"Vancouver Kingsway/Vancouver Kingsway"," 44","Vancouver",2,88,1,43,36,13,2,4,189,402
59038,"Vancouver Kingsway/Vancouver Kingsway"," 45","Vancouver",2,77,0,33,33,21,4,1,171,468
59038,"Vancouver Kingsway/Vancouver Kingsway"," 46","Vancouver",1,76,0,39,33,13,0,2,164,393
59038,"Vancouver Kingsway/Vancouver Kingsway"," 47","Vancouver",0,95,0,28,45,15,0,5,188,455
59038,"Vancouver Kingsway/Vancouver Kingsway"," 48","Vancouver",0,77,0,35,58,23,1,0,194,459
59038,"Vancouver Kingsway/Vancouver Kingsway"," 49","Vancouver",2,86,0,36,35,8,0,1,168,479
59038,"Vancouver Kingsway/Vancouver Kingsway"," 50","Vancouver",3,98,0,21,40,10,1,2,175,420
59038,"Vancouver Kingsway/Vancouver Kingsway"," 51","Vancouver",1,100,0,31,43,5,2,0,182,464
59038,"Vancouver Kingsway/Vancouver Kingsway"," 52","Vancouver",2,97,4,37,41,10,1,2,194,353
59038,"Vancouver Kingsway/Vancouver Kingsway"," 53","Vancouver",1,103,0,45,38,13,1,0,201,425
59038,"Vancouver Kingsway/Vancouver Kingsway"," 54","Vancouver",2,96,0,51,35,19,1,2,206,519
59038,"Vancouver Kingsway/Vancouver Kingsway"," 55","Vancouver",0,73,0,34,43,9,2,1,162,412
59038,"Vancouver Kingsway/Vancouver Kingsway"," 56","Vancouver",3,101,2,45,46,8,3,5,213,483
59038,"Vancouver Kingsway/Vancouver Kingsway"," 57","Vancouver",0,96,0,32,33,10,1,3,175,453
59038,"Vancouver Kingsway/Vancouver Kingsway"," 58","Vancouver",2,106,1,61,60,11,1,0,242,490
