Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Amos,Mario Belec,Claude Bertrand,Dave Blackburn,Jonathan Carreiro-Benoit,Denise Giroux,Louis Lang,Shawn Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac/Pontiac"," 66","Denholm",66,0,7,25,41,16,0,0,2,157,357
24057,"Pontiac/Pontiac"," 67","Low",56,1,5,34,15,11,0,0,1,123,268
24057,"Pontiac/Pontiac"," 68","Low",49,0,0,28,4,17,0,1,1,100,248
24057,"Pontiac/Pontiac"," 69","Low",40,3,11,47,16,14,0,2,1,134,311
24057,"Pontiac/Pontiac"," 70","Val-des-Monts",64,4,5,34,10,6,2,0,0,125,248
24057,"Pontiac/Pontiac"," 71","Val-des-Monts",45,0,6,19,11,8,0,0,1,90,273
24057,"Pontiac/Pontiac"," 72","Val-des-Monts",31,0,3,11,15,6,0,0,0,66,237
24057,"Pontiac/Pontiac"," 73","Val-des-Monts",61,1,7,16,21,17,0,1,0,124,260
24057,"Pontiac/Pontiac"," 74","Val-des-Monts",95,2,17,21,43,16,1,1,4,200,365
24057,"Pontiac/Pontiac"," 75","Val-des-Monts",78,5,11,10,41,9,0,0,3,157,341
24057,"Pontiac/Pontiac"," 76","Val-des-Monts",77,0,14,16,26,23,0,1,3,160,430
24057,"Pontiac/Pontiac"," 77","Val-des-Monts",58,2,6,15,28,9,0,0,0,118,280
24057,"Pontiac/Pontiac"," 78","Val-des-Monts",59,1,8,33,33,13,0,0,3,150,389
24057,"Pontiac/Pontiac"," 79","Val-des-Monts",36,2,10,18,23,12,0,0,1,102,205
24057,"Pontiac/Pontiac"," 80","Val-des-Monts",63,4,18,27,31,13,1,0,4,161,423
24057,"Pontiac/Pontiac"," 81","Sainte-Sophie--East Aldfield",44,1,4,33,40,6,1,3,1,133,279
24057,"Pontiac/Pontiac"," 82","Fort-Coulonge",31,1,3,28,3,9,0,2,5,82,232
24057,"Pontiac/Pontiac"," 83","Fort-Coulonge",26,0,4,35,8,3,0,2,3,81,256
24057,"Pontiac/Pontiac"," 84","Fort-Coulonge",63,2,4,45,7,9,0,2,4,136,341
24057,"Pontiac/Pontiac"," 85A","Fort-Coulonge",53,3,1,43,8,6,0,4,2,120,281
24057,"Pontiac/Pontiac"," 85B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,,8
24057,"Pontiac/Pontiac"," 86","Wakefield",104,3,24,41,15,44,0,1,0,232,413
24057,"Pontiac/Pontiac"," 87","Wakefield",88,1,24,39,5,32,0,0,0,189,349
24057,"Pontiac/Pontiac"," 88","La Pêche",71,2,32,18,7,40,0,1,0,171,319
24057,"Pontiac/Pontiac"," 89","Wakefield",78,5,28,33,5,22,0,0,2,173,309
24057,"Pontiac/Pontiac"," 90","Wakefield",113,5,14,33,11,50,0,0,0,226,370
24057,"Pontiac/Pontiac"," 91","La Pêche",105,2,18,27,16,23,0,0,2,193,395
24057,"Pontiac/Pontiac"," 92","La Pêche",61,2,16,5,0,24,0,0,0,108,239
24057,"Pontiac/Pontiac"," 93","Wakefield",94,1,36,23,16,33,0,0,1,204,458
24057,"Pontiac/Pontiac"," 94","Wakefield",105,0,23,22,5,55,1,0,3,214,364
24057,"Pontiac/Pontiac"," 95","Duclos",38,4,8,23,33,10,0,2,2,120,258
24057,"Pontiac/Pontiac"," 96","Vinton",45,2,1,77,14,12,0,3,3,157,341
24057,"Pontiac/Pontiac"," 97","Campbell's Bay",35,0,1,56,3,10,0,4,2,111,289
24057,"Pontiac/Pontiac"," 98","Campbell's Bay",46,5,7,48,2,7,1,4,0,120,297
24057,"Pontiac/Pontiac"," 99","Ladysmith",72,3,12,69,4,29,0,0,2,191,350
