Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kathy Doyle,Jordyn Ham,Henry Hizon,Kevin Lamoureux,Kyle Mason,Victor Ong,Sai Shanthanand Rajagopal,Andrew Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46012,"Winnipeg North/Winnipeg-Nord"," 401","Winnipeg",2,14,1,31,11,0,1,0,1,61,135
46012,"Winnipeg North/Winnipeg-Nord"," 402","Winnipeg",2,10,1,34,20,1,4,1,9,82,132
46012,"Winnipeg North/Winnipeg-Nord"," 500","Mobile poll/Bureau itinérant",1,17,3,29,13,1,2,0,2,68,123
46012,"Winnipeg North/Winnipeg-Nord"," 501","Mobile poll/Bureau itinérant",0,0,1,23,8,0,1,0,0,33,97
46012,"Winnipeg North/Winnipeg-Nord"," 502","Mobile poll/Bureau itinérant",1,8,0,21,16,0,2,0,1,49,75
46012,"Winnipeg North/Winnipeg-Nord"," 503","Mobile poll/Bureau itinérant",0,33,5,32,24,0,3,0,0,97,146
46012,"Winnipeg North/Winnipeg-Nord"," 504","Mobile poll/Bureau itinérant",3,19,0,44,28,0,2,0,1,97,177
46012,"Winnipeg North/Winnipeg-Nord"," 505","Mobile poll/Bureau itinérant",1,2,2,15,21,0,3,0,0,44,51
46012,"Winnipeg North/Winnipeg-Nord"," 506","Mobile poll/Bureau itinérant",2,10,2,20,20,1,3,1,0,59,235
46012,"Winnipeg North/Winnipeg-Nord"," 600","Winnipeg",4,108,4,368,122,3,10,2,1,622,
46012,"Winnipeg North/Winnipeg-Nord"," 601","Winnipeg",7,169,7,470,201,5,13,1,3,876,
46012,"Winnipeg North/Winnipeg-Nord"," 602","Winnipeg",3,109,6,292,91,3,6,0,1,511,
46012,"Winnipeg North/Winnipeg-Nord"," 603","Winnipeg",0,101,4,233,73,6,6,0,1,424,
46012,"Winnipeg North/Winnipeg-Nord"," 604","Winnipeg",5,133,3,269,85,2,14,1,0,512,
46012,"Winnipeg North/Winnipeg-Nord"," 605","Winnipeg",2,76,0,212,67,4,7,1,1,370,
46012,"Winnipeg North/Winnipeg-Nord"," 606","Winnipeg",1,157,3,418,106,3,10,1,4,703,
46012,"Winnipeg North/Winnipeg-Nord"," 607","Winnipeg",2,106,6,187,88,3,15,1,1,409,
46012,"Winnipeg North/Winnipeg-Nord"," 608","Winnipeg",4,80,4,118,69,2,8,0,1,286,
46012,"Winnipeg North/Winnipeg-Nord"," 609","Winnipeg",4,54,4,125,45,3,5,1,0,241,
46012,"Winnipeg North/Winnipeg-Nord"," 610","Winnipeg",3,35,2,72,41,4,4,0,0,161,
46012,"Winnipeg North/Winnipeg-Nord"," 611","Winnipeg",1,27,1,48,47,6,8,2,0,140,
46012,"Winnipeg North/Winnipeg-Nord"," 612","Winnipeg",2,56,5,96,67,3,9,0,1,239,
46012,"Winnipeg North/Winnipeg-Nord"," 613","Winnipeg",4,51,0,74,93,3,17,1,0,243,
46012,"Winnipeg North/Winnipeg-Nord",,Group 1/Groupe 1, 7,20,4,174,76,4,8,2,23,318,317
46012,"Winnipeg North/Winnipeg-Nord",,Group 2/Groupe 2, 16,193,9,703,249,22,24,6,44,1266,
