Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Clément Badra,Eric-Abel Baland,Anthony Housefather,Diane Johnston,Xavier Levesque,Zachary Lozoff,David Tordjman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24052,"Mount Royal/Mont-Royal"," 18","Mont-Royal",25,24,101,0,22,2,28,2,204,396
24052,"Mount Royal/Mont-Royal"," 19","Mont-Royal",23,17,89,1,29,2,10,2,173,340
24052,"Mount Royal/Mont-Royal"," 20","Montréal",11,19,97,0,10,2,20,4,163,354
24052,"Mount Royal/Mont-Royal"," 21","Mont-Royal",18,29,135,1,20,0,39,6,248,510
24052,"Mount Royal/Mont-Royal"," 22","Mont-Royal",11,11,97,0,11,2,11,0,143,354
24052,"Mount Royal/Mont-Royal"," 23","Montréal",12,16,64,0,7,0,19,0,118,248
24052,"Mount Royal/Mont-Royal"," 24","Mont-Royal",18,21,111,0,29,0,28,2,209,463
24052,"Mount Royal/Mont-Royal"," 25","Montréal",5,11,89,0,9,1,16,0,131,361
24052,"Mount Royal/Mont-Royal"," 26","Mont-Royal",12,21,142,0,15,1,44,2,237,479
24052,"Mount Royal/Mont-Royal"," 27","Mont-Royal",12,9,53,1,23,0,8,0,106,220
24052,"Mount Royal/Mont-Royal"," 28","Mont-Royal",7,17,97,1,8,1,31,1,163,398
24052,"Mount Royal/Mont-Royal"," 29","Mont-Royal",12,21,77,0,45,0,22,2,179,418
24052,"Mount Royal/Mont-Royal"," 30","Mont-Royal",4,6,111,2,11,0,20,2,156,358
24052,"Mount Royal/Mont-Royal"," 31","Mont-Royal",29,23,109,0,26,0,28,1,216,399
24052,"Mount Royal/Mont-Royal"," 32","Mont-Royal",11,15,82,0,8,1,25,0,142,356
24052,"Mount Royal/Mont-Royal"," 33","Mont-Royal",7,13,93,0,14,3,42,1,173,426
24052,"Mount Royal/Mont-Royal"," 34","Mont-Royal",14,9,128,1,17,4,35,1,209,427
24052,"Mount Royal/Mont-Royal"," 35","Mont-Royal",18,6,89,0,16,1,36,0,166,382
24052,"Mount Royal/Mont-Royal"," 36","Mont-Royal",15,15,85,0,10,0,37,0,162,345
24052,"Mount Royal/Mont-Royal"," 37","Mont-Royal",23,14,81,0,17,3,37,1,176,385
24052,"Mount Royal/Mont-Royal"," 38","Mont-Royal",13,19,113,0,16,5,38,1,205,405
24052,"Mount Royal/Mont-Royal"," 39","Mont-Royal",11,22,105,1,7,0,17,2,165,482
24052,"Mount Royal/Mont-Royal"," 40","Mont-Royal",11,14,100,0,7,6,44,0,182,471
24052,"Mount Royal/Mont-Royal"," 41","Montréal",13,23,113,1,12,0,39,2,203,449
24052,"Mount Royal/Mont-Royal"," 42","Mont-Royal",8,15,82,0,10,1,20,0,136,359
24052,"Mount Royal/Mont-Royal"," 43","Montréal",8,20,100,0,11,0,12,5,156,467
24052,"Mount Royal/Mont-Royal"," 44","Mont-Royal",12,12,92,1,6,1,10,1,135,417
24052,"Mount Royal/Mont-Royal"," 45","Montréal",11,20,125,1,13,0,16,0,186,422
24052,"Mount Royal/Mont-Royal"," 46","Montréal",4,9,123,1,5,0,10,2,154,297
24052,"Mount Royal/Mont-Royal"," 47","Montréal",8,12,111,0,5,1,7,4,148,365
24052,"Mount Royal/Mont-Royal"," 48","Montréal",1,16,110,2,6,0,8,0,143,293
24052,"Mount Royal/Mont-Royal"," 49","Montréal",6,28,182,2,3,1,31,9,262,443
24052,"Mount Royal/Mont-Royal"," 50","Montréal",3,8,88,0,2,1,19,3,124,283
24052,"Mount Royal/Mont-Royal"," 51","Montréal",4,23,153,2,4,2,18,5,211,405
24052,"Mount Royal/Mont-Royal"," 52","Montréal",4,12,149,0,4,1,22,10,202,424
24052,"Mount Royal/Mont-Royal"," 53","Montréal",6,17,98,0,2,2,30,4,159,431
24052,"Mount Royal/Mont-Royal"," 54","Montréal",14,13,142,1,1,1,27,6,205,413
24052,"Mount Royal/Mont-Royal"," 55","Montréal",7,31,73,0,8,0,4,0,123,360
24052,"Mount Royal/Mont-Royal"," 56","Montréal",7,16,110,0,9,0,17,0,159,387
24052,"Mount Royal/Mont-Royal"," 57","Montréal",10,29,82,1,8,5,13,0,148,368
24052,"Mount Royal/Mont-Royal"," 58","Montréal",9,24,99,1,7,1,17,0,158,410
24052,"Mount Royal/Mont-Royal"," 59","Montréal",4,26,91,0,4,3,26,1,155,330
24052,"Mount Royal/Mont-Royal"," 60","Montréal",3,15,81,1,3,0,16,1,120,341
24052,"Mount Royal/Mont-Royal"," 61","Montréal",10,12,99,2,2,1,19,0,145,474
24052,"Mount Royal/Mont-Royal"," 62","Montréal",3,9,45,0,2,1,11,0,71,341
24052,"Mount Royal/Mont-Royal"," 63","Montréal",7,19,122,0,4,4,13,5,174,563
24052,"Mount Royal/Mont-Royal"," 64","Montréal",4,17,65,1,0,0,20,1,108,371
24052,"Mount Royal/Mont-Royal"," 65","Montréal",6,23,145,0,4,2,17,5,202,434
24052,"Mount Royal/Mont-Royal"," 66","Montréal",2,20,95,0,2,0,13,0,132,447
24052,"Mount Royal/Mont-Royal"," 67","Montréal",5,21,118,1,3,4,17,2,171,483
24052,"Mount Royal/Mont-Royal"," 68","Montréal",4,21,100,0,1,0,11,2,139,338
24052,"Mount Royal/Mont-Royal"," 69","Montréal",0,3,27,0,1,1,10,3,45,352
24052,"Mount Royal/Mont-Royal"," 70","Montréal",0,10,63,0,1,0,7,1,82,290
24052,"Mount Royal/Mont-Royal"," 71","Montréal",5,28,85,0,6,1,20,4,149,393
24052,"Mount Royal/Mont-Royal"," 72","Montréal",7,20,118,1,3,0,17,2,168,530
24052,"Mount Royal/Mont-Royal"," 73","Montréal",1,15,115,4,3,0,12,0,150,527
24052,"Mount Royal/Mont-Royal"," 74","Montréal",15,3,56,0,0,2,17,1,94,361
24052,"Mount Royal/Mont-Royal"," 75","Montréal",4,16,78,0,0,0,11,0,109,477
24052,"Mount Royal/Mont-Royal"," 76","Montréal",3,18,71,0,5,0,9,3,109,332
24052,"Mount Royal/Mont-Royal"," 77","Montréal",7,13,103,0,4,2,18,3,150,391
24052,"Mount Royal/Mont-Royal"," 78","Montréal",15,29,77,0,13,3,8,1,146,379
24052,"Mount Royal/Mont-Royal"," 79","Montréal",3,7,42,1,3,2,23,0,81,302
24052,"Mount Royal/Mont-Royal"," 80","Montréal",22,18,62,0,3,0,11,0,116,373
24052,"Mount Royal/Mont-Royal"," 81","Montréal",8,31,97,1,8,3,27,0,175,467
24052,"Mount Royal/Mont-Royal"," 82","Montréal",9,27,69,0,9,2,12,0,128,400
24052,"Mount Royal/Mont-Royal"," 83","Montréal",10,24,64,1,13,2,24,2,140,388
24052,"Mount Royal/Mont-Royal"," 84","Montréal",10,19,73,1,5,2,19,1,130,392
24052,"Mount Royal/Mont-Royal"," 85","Montréal",6,23,110,0,3,1,18,0,161,422
24052,"Mount Royal/Mont-Royal"," 86","Montréal",9,21,65,0,3,8,11,4,121,349
24052,"Mount Royal/Mont-Royal"," 87","Montréal",4,15,138,0,2,3,34,5,201,471
24052,"Mount Royal/Mont-Royal"," 88","Montréal",10,18,93,0,10,2,12,2,147,391
24052,"Mount Royal/Mont-Royal"," 89","Montréal",2,24,91,0,6,1,14,2,140,375
24052,"Mount Royal/Mont-Royal"," 90","Hampstead",6,20,87,1,1,3,33,1,152,467
24052,"Mount Royal/Mont-Royal"," 91","Montréal",14,37,195,1,6,1,32,1,287,628
24052,"Mount Royal/Mont-Royal"," 92","Montréal",25,45,185,1,18,5,34,2,315,697
24052,"Mount Royal/Mont-Royal"," 93","Mont-Royal",4,26,108,3,3,2,24,2,172,501
24052,"Mount Royal/Mont-Royal"," 94","Montréal",6,4,80,0,1,2,31,1,125,372
24052,"Mount Royal/Mont-Royal"," 95","Montréal",9,10,113,0,11,3,21,4,171,444
24052,"Mount Royal/Mont-Royal"," 96","Montréal",12,22,87,0,10,0,22,3,156,343
24052,"Mount Royal/Mont-Royal"," 97","Montréal",12,30,89,1,7,2,24,0,165,329
24052,"Mount Royal/Mont-Royal"," 98","Montréal",17,27,87,1,7,4,16,0,159,348
24052,"Mount Royal/Mont-Royal"," 99","Montréal",10,32,79,0,12,3,19,0,155,382
24052,"Mount Royal/Mont-Royal"," 100","Montréal",14,22,59,0,12,0,12,2,121,282
24052,"Mount Royal/Mont-Royal"," 101","Montréal",13,34,108,0,8,1,22,0,186,448
24052,"Mount Royal/Mont-Royal"," 102","Montréal",19,36,124,0,16,7,27,2,231,536
24052,"Mount Royal/Mont-Royal"," 103","Montréal",8,8,86,0,3,1,21,2,129,411
24052,"Mount Royal/Mont-Royal"," 104","Hampstead",7,10,59,1,2,0,34,0,113,359
24052,"Mount Royal/Mont-Royal"," 105","Hampstead",6,13,41,0,0,1,48,1,110,387
24052,"Mount Royal/Mont-Royal"," 106","Hampstead",6,6,56,0,1,1,43,0,113,352
24052,"Mount Royal/Mont-Royal"," 107","Hampstead",4,1,66,0,0,3,57,1,132,423
24052,"Mount Royal/Mont-Royal"," 108","Hampstead",3,5,53,0,0,0,41,1,103,400
24052,"Mount Royal/Mont-Royal"," 109","Hampstead",4,1,32,0,2,1,37,1,78,344
24052,"Mount Royal/Mont-Royal"," 110","Hampstead",10,19,56,0,4,2,39,2,132,367
24052,"Mount Royal/Mont-Royal"," 111","Côte-Saint-Luc",9,19,45,0,7,0,32,3,115,425
24052,"Mount Royal/Mont-Royal"," 112","Hampstead",14,16,95,0,9,4,31,0,169,437
24052,"Mount Royal/Mont-Royal"," 113","Hampstead",3,12,64,0,4,1,40,0,124,418
24052,"Mount Royal/Mont-Royal"," 114","Hampstead",7,14,92,1,4,3,58,2,181,431
24052,"Mount Royal/Mont-Royal"," 115","Hampstead",8,15,81,0,2,0,34,1,141,388
24052,"Mount Royal/Mont-Royal"," 116","Hampstead",12,23,73,0,3,0,27,1,139,369
24052,"Mount Royal/Mont-Royal"," 117","Hampstead",5,2,75,0,0,2,53,2,139,432
24052,"Mount Royal/Mont-Royal"," 118","Hampstead",6,7,54,0,0,0,44,1,112,382
24052,"Mount Royal/Mont-Royal"," 119","Côte-Saint-Luc",4,6,31,0,0,0,21,1,63,206
24052,"Mount Royal/Mont-Royal"," 120","Côte-Saint-Luc",5,10,59,0,0,2,26,3,105,360
24052,"Mount Royal/Mont-Royal"," 121","Côte-Saint-Luc",3,3,54,0,0,1,46,4,111,500
24052,"Mount Royal/Mont-Royal"," 122","Côte-Saint-Luc",1,10,76,0,1,1,47,0,136,566
24052,"Mount Royal/Mont-Royal"," 123","Côte-Saint-Luc",9,6,70,0,0,4,36,1,126,440
24052,"Mount Royal/Mont-Royal"," 124","Côte-Saint-Luc",4,3,90,0,2,3,33,3,138,433
24052,"Mount Royal/Mont-Royal"," 125","Côte-Saint-Luc",1,6,57,0,1,2,48,1,116,369
24052,"Mount Royal/Mont-Royal"," 126","Côte-Saint-Luc",7,11,77,0,1,1,28,0,125,338
24052,"Mount Royal/Mont-Royal"," 127","Côte-Saint-Luc",7,9,85,0,1,5,30,6,143,320
24052,"Mount Royal/Mont-Royal"," 128","Côte-Saint-Luc",8,11,117,0,4,3,19,1,163,340
24052,"Mount Royal/Mont-Royal"," 129","Côte-Saint-Luc",12,29,137,0,2,0,45,2,227,450
24052,"Mount Royal/Mont-Royal"," 130","Côte-Saint-Luc",8,19,80,0,4,1,27,9,148,486
24052,"Mount Royal/Mont-Royal"," 131","Côte-Saint-Luc",6,8,84,0,2,1,46,3,150,533
24052,"Mount Royal/Mont-Royal"," 132","Côte-Saint-Luc",5,14,86,1,2,1,40,3,152,467
24052,"Mount Royal/Mont-Royal"," 133","Côte-Saint-Luc",2,13,86,0,2,1,52,2,158,566
24052,"Mount Royal/Mont-Royal"," 134","Côte-Saint-Luc",1,4,56,0,1,0,43,0,105,447
24052,"Mount Royal/Mont-Royal"," 135","Côte-Saint-Luc",1,7,50,0,2,3,52,0,115,459
24052,"Mount Royal/Mont-Royal"," 136","Côte-Saint-Luc",3,2,47,0,0,0,50,0,102,471
24052,"Mount Royal/Mont-Royal"," 137","Côte-Saint-Luc",2,9,47,1,0,0,30,0,89,435
24052,"Mount Royal/Mont-Royal"," 138","Côte-Saint-Luc",1,1,44,0,0,0,46,0,92,357
24052,"Mount Royal/Mont-Royal"," 139","Côte-Saint-Luc",7,9,45,0,0,2,31,0,94,427
24052,"Mount Royal/Mont-Royal"," 140","Côte-Saint-Luc",4,6,34,0,0,0,25,2,71,404
24052,"Mount Royal/Mont-Royal"," 141","Côte-Saint-Luc",6,5,37,1,0,0,35,2,86,459
24052,"Mount Royal/Mont-Royal"," 142","Côte-Saint-Luc",4,4,41,0,0,0,24,0,73,323
24052,"Mount Royal/Mont-Royal"," 143","Côte-Saint-Luc",0,0,44,0,0,0,18,0,62,430
24052,"Mount Royal/Mont-Royal"," 144","Côte-Saint-Luc",3,5,61,0,0,0,66,0,135,491
24052,"Mount Royal/Mont-Royal"," 145","Côte-Saint-Luc",0,3,48,0,0,2,45,0,98,486
24052,"Mount Royal/Mont-Royal"," 146","Côte-Saint-Luc",3,5,56,0,0,1,31,0,96,416
24052,"Mount Royal/Mont-Royal"," 147","Côte-Saint-Luc",1,1,34,0,0,0,21,2,59,389
24052,"Mount Royal/Mont-Royal"," 148","Côte-Saint-Luc",0,6,39,0,1,1,17,7,71,410
24052,"Mount Royal/Mont-Royal"," 149","Côte-Saint-Luc",2,5,39,0,1,0,42,1,90,299
24052,"Mount Royal/Mont-Royal"," 150","Côte-Saint-Luc",10,4,62,0,0,1,35,0,112,460
24052,"Mount Royal/Mont-Royal"," 151","Côte-Saint-Luc",2,4,47,0,0,1,18,5,77,377
24052,"Mount Royal/Mont-Royal"," 152","Côte-Saint-Luc",4,16,73,0,2,1,39,2,137,349
24052,"Mount Royal/Mont-Royal"," 153","Côte-Saint-Luc",8,16,114,0,5,3,61,5,212,553
24052,"Mount Royal/Mont-Royal"," 154","Côte-Saint-Luc",12,12,108,0,5,3,50,6,196,674
24052,"Mount Royal/Mont-Royal"," 155","Côte-Saint-Luc",11,13,90,0,3,1,38,1,157,342
24052,"Mount Royal/Mont-Royal"," 156","Côte-Saint-Luc",5,20,114,2,1,0,31,5,178,396
24052,"Mount Royal/Mont-Royal"," 157","Côte-Saint-Luc",9,24,104,0,4,1,26,0,168,339
24052,"Mount Royal/Mont-Royal"," 158","Côte-Saint-Luc",9,10,100,0,3,0,18,0,140,327
24052,"Mount Royal/Mont-Royal"," 159","Côte-Saint-Luc",1,10,57,0,0,0,44,2,114,421
24052,"Mount Royal/Mont-Royal"," 160","Côte-Saint-Luc",1,8,44,0,0,0,32,1,86,299
24052,"Mount Royal/Mont-Royal"," 161","Côte-Saint-Luc",7,3,59,0,3,1,44,4,121,391
24052,"Mount Royal/Mont-Royal"," 162","Côte-Saint-Luc",1,9,57,0,2,2,19,0,90,363
24052,"Mount Royal/Mont-Royal"," 163","Côte-Saint-Luc",5,5,77,0,2,0,26,0,115,386
24052,"Mount Royal/Mont-Royal"," 164","Côte-Saint-Luc",8,2,52,1,0,2,60,1,126,389
24052,"Mount Royal/Mont-Royal"," 165","Côte-Saint-Luc",10,7,85,0,1,3,28,2,136,354
24052,"Mount Royal/Mont-Royal"," 166","Côte-Saint-Luc",1,9,99,0,1,0,29,3,142,434
24052,"Mount Royal/Mont-Royal"," 167","Côte-Saint-Luc",4,13,83,0,0,2,32,3,137,428
24052,"Mount Royal/Mont-Royal"," 400","Montréal",2,2,11,0,1,0,8,2,26,212
24052,"Mount Royal/Mont-Royal"," 401","Montréal",1,1,5,0,1,0,6,2,16,182
24052,"Mount Royal/Mont-Royal"," 402","Montréal",2,0,6,0,1,2,9,0,20,130
24052,"Mount Royal/Mont-Royal"," 403","Montréal",2,7,35,0,4,1,12,1,62,181
24052,"Mount Royal/Mont-Royal"," 404","Montréal",1,2,26,0,1,0,2,0,32,90
24052,"Mount Royal/Mont-Royal"," 405","Montréal",3,6,24,0,6,0,4,0,43,100
24052,"Mount Royal/Mont-Royal"," 406","Montréal",8,13,59,3,10,2,14,4,113,235
24052,"Mount Royal/Mont-Royal"," 407","Montréal",6,16,60,0,7,3,10,0,102,199
24052,"Mount Royal/Mont-Royal"," 408","Montréal",3,5,39,0,4,1,22,0,74,202
24052,"Mount Royal/Mont-Royal"," 409","Montréal",6,9,54,1,2,1,29,0,102,184
24052,"Mount Royal/Mont-Royal"," 410","Montréal",2,5,29,0,2,0,6,0,44,105
24052,"Mount Royal/Mont-Royal"," 411","Montréal",0,5,16,0,1,1,6,1,30,72
24052,"Mount Royal/Mont-Royal"," 412","Montréal",0,6,16,0,2,2,15,0,41,302
24052,"Mount Royal/Mont-Royal"," 413","Montréal",5,7,42,0,1,0,16,1,72,264
24052,"Mount Royal/Mont-Royal"," 414","Côte-Saint-Luc",1,1,24,1,0,0,5,1,33,231
24052,"Mount Royal/Mont-Royal"," 415","Côte-Saint-Luc",0,4,51,0,0,2,12,0,69,228
24052,"Mount Royal/Mont-Royal"," 416","Côte-Saint-Luc",2,3,23,0,0,1,16,2,47,231
24052,"Mount Royal/Mont-Royal"," 417","Côte-Saint-Luc",2,3,25,0,1,0,15,1,47,236
24052,"Mount Royal/Mont-Royal"," 418","Côte-Saint-Luc",7,11,152,0,5,2,25,4,206,253
24052,"Mount Royal/Mont-Royal"," 419","Côte-Saint-Luc",1,14,56,1,2,1,12,2,89,282
24052,"Mount Royal/Mont-Royal"," 420","Côte-Saint-Luc",10,11,51,0,2,2,5,2,83,237
24052,"Mount Royal/Mont-Royal"," 500","Mobile poll/Bureau itinérant",8,8,111,0,5,0,15,8,155,298
24052,"Mount Royal/Mont-Royal"," 501A","Montréal",Merged with No./Fusionné avec le n°61,,,,,,,,,168
24052,"Mount Royal/Mont-Royal"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,51
24052,"Mount Royal/Mont-Royal"," 502A","Côte-Saint-Luc",Merged with No./Fusionné avec le n°133,,,,,,,,,26
24052,"Mount Royal/Mont-Royal"," 502B","Côte-Saint-Luc",Merged with No./Fusionné avec le n°122,,,,,,,,,180
24052,"Mount Royal/Mont-Royal"," 503","Côte-Saint-Luc",Merged with No./Fusionné avec le n°136,,,,,,,,,287
24052,"Mount Royal/Mont-Royal"," 504A","Côte-Saint-Luc",Merged with No./Fusionné avec le n°153,,,,,,,,,95
24052,"Mount Royal/Mont-Royal"," 504B","Côte-Saint-Luc",Merged with No./Fusionné avec le n°157,,,,,,,,,77
24052,"Mount Royal/Mont-Royal"," 600","Mont-Royal",143,104,772,2,122,15,249,6,1413,
24052,"Mount Royal/Mont-Royal"," 601","Mont-Royal",123,86,775,2,134,18,207,13,1358,
24052,"Mount Royal/Mont-Royal"," 602","Mont-Royal",88,86,609,0,48,3,236,14,1084,
24052,"Mount Royal/Mont-Royal"," 603","Montréal",21,57,568,3,10,5,102,11,777,
24052,"Mount Royal/Mont-Royal"," 604","Montréal",37,69,714,4,35,6,137,45,1047,
24052,"Mount Royal/Mont-Royal"," 605","Montréal",61,95,505,1,62,6,149,13,892,
24052,"Mount Royal/Mont-Royal"," 606","Côte-Saint-Luc",20,28,212,0,25,6,41,0,332,
24052,"Mount Royal/Mont-Royal"," 607","Hampstead",74,100,611,2,43,4,236,12,1082,
24052,"Mount Royal/Mont-Royal"," 608","Hampstead",25,21,330,1,7,2,191,6,583,
24052,"Mount Royal/Mont-Royal"," 609","Côte-Saint-Luc",30,54,951,1,11,8,740,28,1823,
24052,"Mount Royal/Mont-Royal"," 610","Côte-Saint-Luc",39,62,976,2,6,13,753,21,1872,
24052,"Mount Royal/Mont-Royal"," 611","Côte-Saint-Luc",34,60,431,1,7,4,215,13,765,
24052,"Mount Royal/Mont-Royal",,Group 1/Groupe 1, 25,16,98,1,5,1,20,13,179,309
24052,"Mount Royal/Mont-Royal",,Group 2/Groupe 2, 162,185,1906,2,49,19,2713,68,5104,
