Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Cooper,Kelsey Reichel,Churence Rogers,Sharon Vokey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 10B","Brookfield",5,2,29,13,0,49,182
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 11","Ladle Cove--Aspen Cove",5,5,55,39,1,105,271
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 12","Greenspond",5,0,110,30,0,145,236
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 13","Frederickton",3,4,15,46,0,68,174
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 14","Badger's Quay--Pool's Island",14,2,117,35,0,168,328
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 15","Valleyfield",22,4,136,43,0,205,417
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 16","Davidsville",9,2,53,37,0,101,260
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 17A","Carmanville--Camanville South",Merged with No./Fusionné avec le n°18A,,,,,,150
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 17B","Carmanville--Camanville South",Merged with No./Fusionné avec le n°18B,,,,,,113
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 18A","Noggin Cove--Camanville North",12,7,56,55,0,130,141
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 18B","Noggin Cove--Camanville North",16,4,40,61,0,121,167
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 19A","Noggin Cove--Camanville North",Merged with No./Fusionné avec le n°18A,,,,,,107
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 19B","Noggin Cove--Camanville North",Merged with No./Fusionné avec le n°18B,,,,,,117
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 20","Bonavista",8,4,34,48,0,94,299
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 21","Bonavista",13,3,31,42,0,89,266
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 22","Bonavista",8,9,83,67,1,168,430
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 23","Bonavista",7,3,28,34,1,73,201
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 24","Bonavista",13,4,51,78,0,146,409
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 25","Elliston",15,6,48,39,1,109,267
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 26","Bonavista",18,3,46,48,0,115,276
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 27","Bonavista",17,2,60,64,0,143,354
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 28","Bonavista",8,1,46,45,0,100,290
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 29","Bonavista",9,1,46,55,0,111,304
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 30","St. Brendan's",9,2,34,14,0,59,118
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 31","Centreville",7,1,111,65,5,189,332
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 32","Wareham",7,2,67,58,8,142,247
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 33","Centreville--Indian Bay",3,2,77,58,9,149,285
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 34","Centreville-Wareham-Trinity",4,4,89,30,3,130,254
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 35","Upper Amherst Cove--Middle Amherst Cove",13,10,51,23,0,97,180
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 36","Little Catalina",14,6,95,48,1,164,347
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 37","Catalina",18,2,62,45,1,128,281
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 38","Catalina",13,2,49,58,0,122,304
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 39","Burnside-St. Chads",4,2,24,14,0,44,64
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 40","Duntara--Keels",6,4,26,12,0,48,87
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 41","Melrose",9,3,32,40,6,90,187
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 42","Port Union",20,2,68,60,0,150,293
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 43","Hare Bay",14,2,77,78,0,171,366
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 44","Salvage",5,1,23,10,4,43,112
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 45","Open Hall--Red Cliff--Tickle Cove",1,3,28,15,0,47,69
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 46","Dover",13,5,58,48,7,131,413
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 47","Dover",6,0,14,14,0,34,115
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 48","Hare Bay",25,1,86,105,0,217,472
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 49","King's Cove",9,4,30,24,2,69,151
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 50","Eastport--Sandy Cove",23,12,120,56,2,213,405
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 51","English Harbour--Champney's East",2,1,8,21,0,32,61
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 52","Champney's West--Champney's Arm",7,3,18,18,0,46,76
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 53","Traytown",19,9,85,58,11,182,305
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 54","Sandringham",6,5,31,32,2,76,186
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 55","Plate Cove West--Plate Cove East",12,2,47,55,0,116,228
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 56","Eastport--Happy Adventure",20,5,67,50,4,146,303
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 57","Trinity East--Port Rexton",27,1,83,69,1,181,330
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 58","Glovertown",11,2,49,38,0,100,217
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 59","Glovertown--Saunders Cove",16,4,60,88,0,168,394
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 60","Glovertown",13,6,52,90,6,167,366
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 61","Glovertown",13,3,49,45,0,110,244
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 62","Glovertown",22,5,61,110,2,200,423
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 63","Grates Cove",2,3,36,6,1,48,118
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 64","Trinity--Lockston",9,0,24,50,1,84,132
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 65","Middle Brook",25,3,44,24,6,102,222
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 66","Middle Brook",10,1,27,49,1,88,222
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 67","Middle Brook",17,2,45,40,4,108,252
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 68","Gambo",32,5,80,63,6,186,468
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 69","Dark Cove",34,5,79,71,6,195,497
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 70","Bay de Verde",22,3,86,21,2,134,306
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 71","Bay de Verde",6,0,50,8,8,72,113
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 72","Southern Bay--Princeton",17,4,62,68,7,158,287
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 73","Goose Cove--Dunfield",5,2,23,43,0,73,117
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 74","Old Bonaventure--New Bonaventure--Trouty",7,4,14,37,2,64,108
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 75","Sweet Bay",5,1,41,34,1,82,155
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 76","Old Perlican",17,1,86,18,3,125,328
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 77","Old Perlican",6,3,40,10,1,60,150
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 78","Charlottetown",10,3,52,38,1,104,196
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 79","Terra Nova",5,3,33,20,0,61,91
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 80","Cannings Cove",5,2,30,28,0,65,182
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 81","Low Point--Lower Island Cove--Caplin Cove",17,0,82,25,7,131,276
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 82","Portland--Jamestown--Winter Brook",12,3,39,42,0,96,97
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 83A","Lethbridge",16,2,35,47,1,101,377
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 83B","Lethbridge",19,3,63,81,1,167,376
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 84","Sibleys Cove--Lead Cove",7,0,41,26,4,78,121
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 85","Musgravetown",19,6,79,96,0,200,463
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 86","Bloomfield",22,3,72,107,0,204,409
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 87","Burnt Point--Job's Cove",12,2,61,25,0,100,236
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 88","Burnt Point--Job's Cove",9,2,36,17,1,65,147
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 89","Brownsdale--New Melbourne",12,1,46,17,1,77,212
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 90","Burgoynes Cove--New Burnt Cove--Clifton",2,1,11,35,1,50,80
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 91","Britannia--Lower Lance Cove",7,1,41,19,2,70,143
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 92","Hant's Harbour",31,2,93,54,8,188,362
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 93","Bunyan's Cove",16,4,59,73,0,152,313
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 94","Harcourt--Barton--Monroe",8,3,48,57,3,119,192
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 95","Northern Bay--Ochre Pit Cove",16,7,42,31,3,99,242
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 96","Western Bay",28,9,61,37,0,135,305
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 97","Blackhead--Broad Cove--Adams Cove",18,8,93,29,1,149,255
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 98","Small Point--Kingston--Spout Cove",6,2,29,11,0,48,66
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 99","Petley",6,0,17,13,0,36,71
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 100","Winterton--Turks Cove",24,8,121,69,0,222,426
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 101","Milton--Georges Brook",28,3,96,95,8,230,476
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 102","Elliott's Cove--Aspey Brook--Snooks Harbour--Random Heights",11,7,29,44,2,93,176
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 103","Hickman's Harbour",10,3,62,39,0,114,263
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 104","Butter Cove--Southport--Gooseberry Cove",6,1,63,38,0,108,174
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 105","Salmon Cove--Perry's Cove",26,8,81,43,0,158,299
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 106","Salmon Cove--Perry's Cove",25,6,94,56,0,181,348
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 107","New Perlican",9,3,41,34,1,88,159
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 108","Port Blandford",8,0,56,29,2,95,202
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 109","Port Blandford",15,4,57,56,5,137,232
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 110","Clarenville",15,4,67,25,2,113,379
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 111","Clarenville",41,1,58,77,2,179,442
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 112","Clarenville",23,7,75,64,6,175,414
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 113","Clarenville",25,7,66,81,6,185,416
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 114","Shoal Harbour",27,1,47,84,0,159,392
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 115","Clarenville",37,2,69,64,0,172,443
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 116","Shoal Harbour",49,6,108,81,4,248,550
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 117","Shoal Harbour",29,6,64,71,0,170,417
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 118","Lady Cove--Robinson Bight Weybridge",12,4,43,37,1,97,148
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 119","Little Heart's Ease",15,2,57,35,2,111,202
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 120","Clarenville",28,4,81,65,0,178,387
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 121","Clarenville",34,6,102,63,1,206,441
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 122","Clarenville",35,4,84,85,3,211,471
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 123","Clarenville",23,4,38,30,0,95,366
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 124","Hatchet Cove--St. Jones Within",5,2,21,28,7,63,100
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 125","Heart's Content",30,7,82,68,5,192,311
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 126","Adeytown--Deep Bight",11,3,49,37,0,100,166
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 127","Hodge's Cove--Caplin Cove",23,7,52,88,4,174,278
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 128","Heart's Desire",9,3,46,20,4,82,185
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 129","Hillview",25,4,50,57,5,141,261
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 130","Queen's Cove--Long Beach",4,3,32,39,4,82,154
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 131","North West Brook-Ivany's Cove",19,2,41,52,0,114,234
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 132","Heart's Delight",21,2,66,44,10,143,268
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 133","Heart's Delight",17,9,103,77,9,215,343
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 134","Cavendish",19,4,49,29,0,101,215
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 135","Whiteway",16,0,65,41,7,129,251
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 136","Sunnyside",20,6,69,102,0,197,362
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 137","Green's Harbour",17,4,35,36,1,93,178
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 138","Green's Harbour",28,14,73,68,3,186,353
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 139","North Harbour",9,1,58,29,5,102,150
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 140","Goobies",4,1,20,20,0,45,63
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 141","Hopeall",12,9,35,42,4,102,155
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 142","Come By Chance",17,2,54,61,3,137,232
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 143","Bellevue",13,6,63,51,0,133,197
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 144","New Harbour",31,13,59,99,1,203,371
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 145","New Harbour",27,3,32,67,0,129,278
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 146","Chance Cove",11,4,101,29,9,154,248
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 147","Swift Current",15,3,47,50,5,120,199
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 148","Dildo",31,6,83,88,2,210,422
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 149","Dildo",31,4,62,55,4,156,307
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 150","Garden Cove",7,2,23,11,0,43,74
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 151","Arnold's Cove",36,5,107,62,0,210,369
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 152","Arnold's Cove",22,5,112,42,1,182,370
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 153","Old Shop",14,4,65,36,6,125,239
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 154","Southern Harbour",20,3,47,81,0,151,332
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 155","South Dildo",21,2,75,43,0,141,186
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 156","Thornlea",7,1,14,26,0,48,79
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 157","Long Cove",11,2,33,41,3,90,179
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 158","Norman's Cove",35,8,102,65,8,218,410
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 159","Chapel Arm",30,4,75,97,6,212,375
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 160","Blaketown",51,8,95,73,7,234,452
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 161","Little Harbour East",3,0,24,20,2,49,75
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 162","Whitbourne",44,7,81,56,1,189,357
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 163","Whitbourne",50,6,96,59,1,212,444
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 164","Fair Haven",3,2,40,13,1,59,70
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 165","Grand le Pierre",4,1,23,52,0,80,203
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 166","Terrenceville",11,1,30,85,8,135,415
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 167","Monkstown",1,0,3,2,0,6,12
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 168","Brookside--Boat Harbour",6,0,23,59,2,90,155
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 169","Harbour Mille--Little Harbour East",6,2,21,33,0,62,94
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 170","English Harbour East",2,1,16,30,0,49,119
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 171","Little Bay East",9,2,20,23,0,54,93
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 172","Bay L'Argent",16,2,50,45,7,120,216
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 173","South East Bight",2,1,15,16,1,35,62
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 174","Parkers Cove",9,4,37,67,1,118,230
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 175","Petit Forte",1,0,25,16,0,42,60
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 176","Jacques Fontaine",4,1,24,55,3,87,141
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 177","St. Bernard's",9,5,41,89,10,154,229
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 178","Rushoon",4,2,36,51,8,101,236
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 179","Baine Harbour",4,2,20,46,2,74,109
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 180","Red Harbour",8,3,25,35,1,72,153
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 181","Jean de Baie--Spanish Room",7,1,26,66,0,100,210
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 182","Marystown",25,4,85,84,1,199,456
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 183","Marystown",11,1,42,46,0,100,356
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 184","Marystown",23,2,52,54,6,137,319
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 185","Port au Bras",5,4,30,28,1,68,148
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 186","Fox Cove-Mortier",10,5,61,47,8,131,250
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 187","Rock Harbour",3,0,10,8,0,21,43
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 188","Marystown",15,5,83,62,3,168,308
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 189","Marystown",9,1,47,48,1,106,219
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 190","Marystown",18,3,55,49,0,125,327
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 191","Marystown",13,5,45,76,11,150,353
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 192","Marystown",14,5,60,78,2,159,294
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 193","Marystown",26,2,36,76,3,143,315
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 194","Marystown",20,9,61,77,8,175,439
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 195","Garnish",13,1,92,103,7,216,475
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 196","Marystown",17,5,65,79,4,170,337
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 197","Marystown",36,5,81,128,11,261,537
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 198","Winterland",19,4,77,73,3,176,306
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 199","Burin",13,3,53,48,7,124,274
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 200","Burin",17,3,57,62,4,143,273
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 201","Burin",13,2,51,29,5,100,280
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 202","Salt Pond--Burin",30,4,68,72,0,174,393
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 203","Lewin's Cove",17,3,66,74,1,161,328
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 204","Lewin's Cove--Big Salmonier",19,2,65,67,1,154,332
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 205","Frenchman's Cove",5,3,34,45,1,88,159
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 206","Burin",29,9,86,78,0,202,382
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 207","Fortune",7,1,48,54,0,110,244
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 208","Fortune",8,1,49,34,0,92,227
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 209","Fortune",11,2,73,48,1,135,339
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 210","Fortune",5,2,66,51,0,124,304
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 211","Corbin--Epworth",6,4,24,19,0,53,97
