Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Douglas Bebb,Terry Grimwood,Gordon Jeffrey,Gabrielle Loren,Dana Taylor,Patrick Weiler,Judith Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 14","Squamish",11,0,2,54,90,75,40,1,273,590
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 15","Squamish",4,1,0,50,59,52,33,1,200,474
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 16","Squamish",5,1,0,36,53,57,20,1,173,402
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 17","Squamish",10,1,1,39,62,71,42,0,226,456
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 18","Squamish",3,1,0,22,69,89,46,3,233,499
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 19","Squamish",3,1,1,52,46,55,32,1,191,446
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 20","Whistler",2,0,1,27,69,76,16,0,191,463
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 21","Whistler",3,0,0,43,75,143,32,0,296,554
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 22","Whistler",3,0,2,28,72,94,22,2,223,460
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 23","Whistler",3,0,0,31,49,70,24,0,177,406
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 24","Whistler",1,0,0,18,63,100,28,0,210,460
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 25","Whistler",0,0,0,35,71,74,12,1,193,451
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 26","Whistler",2,0,2,29,54,103,27,0,217,497
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 27","Whistler",2,0,0,29,57,79,17,0,184,460
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 28","Whistler",2,1,2,26,63,90,23,0,207,511
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 29","Squamish-Lillooet D",2,1,1,17,65,101,20,1,208,505
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 30","Whistler",2,1,4,15,52,79,25,1,179,384
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 31","Irvines Landing",1,0,1,42,61,56,24,1,186,361
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 32","Irvines Landing",7,1,0,39,33,40,35,1,156,330
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 33","Whistler",1,0,1,20,47,63,10,1,143,432
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 34","Whistler",3,1,0,28,66,75,24,2,199,447
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 35","Whistler",2,0,1,17,63,83,24,0,190,432
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 36","Whistler",1,0,2,29,32,61,19,0,144,384
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 37","Whistler",2,0,1,22,31,42,29,0,127,417
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 38","Squamish-Lillooet D",0,0,0,20,47,71,22,0,160,405
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 39","Whistler",2,0,0,17,62,94,27,1,203,449
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 40","Whistler",1,0,0,24,45,70,17,5,162,424
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 41","Whistler",2,0,1,21,68,54,22,1,169,411
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 42","Donnely Landing",5,1,0,46,40,57,41,0,190,392
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 43","Irvines Landing",8,0,4,49,35,52,28,0,176,381
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 44","Donnely Landing",5,0,1,50,26,59,44,1,186,391
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 45","Irvines Landing",3,0,2,47,52,46,29,1,180,367
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 46","Tuwanek",5,1,2,34,36,71,33,0,182,477
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 47","Tuwanek",1,1,0,45,44,84,43,0,218,462
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 48","Sechelt",4,1,0,52,39,60,37,0,193,453
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 49","Sechelt",0,4,0,34,64,62,55,0,219,482
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 50","Sechelt",6,1,1,57,36,60,45,1,207,507
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 51A","Sechelt",0,2,0,30,23,56,22,0,133,369
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 51B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,25
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 51C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,20
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 52","Sechelt",0,1,0,31,33,46,55,0,166,438
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 53","Halfmoon Bay",5,0,0,32,37,61,22,1,158,351
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 54","Halfmoon Bay",2,0,0,51,36,41,18,0,148,305
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 55","Halfmoon Bay",0,0,0,33,35,47,16,0,131,287
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 56","Squamish",6,0,0,53,56,89,21,0,225,411
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 57","Squamish",3,0,2,52,68,107,41,0,273,478
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 58","Squamish",1,0,2,47,75,91,33,1,250,484
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 59","Squamish",1,1,0,49,55,105,35,0,246,503
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 60","Squamish",2,0,2,38,90,77,14,1,224,425
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 61","Squamish",2,0,0,43,62,96,48,3,254,475
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 62","Squamish",3,1,0,13,64,54,21,0,156,329
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 63","Squamish",1,1,2,28,71,44,63,4,214,493
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 64","Squamish",5,1,0,35,81,73,49,3,247,590
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 65A","Squamish",2,0,0,21,71,60,44,1,199,335
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 65B","Squamish",3,0,0,16,60,51,33,3,166,346
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 65C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,19
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 66","Squamish",0,0,1,24,53,47,52,1,178,398
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 67","Squamish",0,0,0,14,33,40,22,0,109,230
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 68","Squamish",6,1,0,17,31,63,26,3,147,313
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 69","Squamish",3,0,0,22,43,45,23,0,136,257
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 70","Squamish",4,0,0,46,57,71,23,0,201,403
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 71","Squamish",4,1,1,33,61,62,42,1,205,442
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 72","Squamish",1,0,0,55,49,65,31,0,201,414
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 73","Squamish",4,0,0,22,60,47,40,2,175,378
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 74","Squamish",5,3,1,28,45,61,46,2,191,368
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 75","Squamish",2,2,0,55,37,65,33,0,194,449
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 76","Squamish",0,1,0,42,45,65,36,1,190,449
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 77","Squamish",2,0,1,30,60,94,35,2,224,481
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 78","Squamish",1,1,0,20,53,54,38,1,168,421
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 79","Squamish",2,0,0,42,34,45,33,0,156,428
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 80","Squamish",0,1,0,36,62,63,42,0,204,415
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 81","Sunshine Coast B",2,0,1,29,41,33,40,1,147,339
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 82","Sunshine Coast B",4,0,1,25,48,49,45,0,172,330
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 83","Halfmoon Bay",1,0,1,27,38,47,34,0,148,339
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 84","Welcome Beach",2,0,1,39,33,41,37,0,153,320
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 85","Selma Park",11,0,1,44,36,64,50,1,207,415
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 86","Davis Bay",3,0,2,44,39,61,35,1,185,368
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 87","Roberts Creek",4,0,0,51,41,54,51,1,202,391
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 88","Roberts Creek",5,3,0,35,41,47,30,0,161,332
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 89","Roberts Creek",2,0,2,26,40,41,39,2,152,333
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 90","Sechelt",4,1,1,72,54,88,69,5,294,530
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 91","Sechelt",3,2,1,44,45,52,75,2,224,464
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 92","Sechelt",1,2,1,63,44,70,58,2,241,482
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 93","Sechelt",2,2,0,74,36,78,46,2,240,464
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 94","Sechelt",7,0,2,45,36,62,42,0,194,453
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 95","Sechelt",1,0,1,49,37,62,36,2,188,417
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 96","Langdale",0,0,0,35,39,33,45,1,153,306
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 97","Gibsons",2,0,1,19,38,52,35,0,147,295
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 98","Langdale",2,0,0,25,31,30,38,1,127,282
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 99","Sechelt",0,2,1,5,26,11,98,1,144,399
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 100","Selma Park",1,0,2,33,60,49,54,1,200,502
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 101","Sechelt",5,0,1,51,40,69,26,0,192,493
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 102","Squamish",8,0,1,35,70,93,43,0,250,521
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 103","Squamish",2,0,2,35,77,64,57,2,239,524
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 104","Squamish",5,1,0,17,85,59,44,3,214,523
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 105","Squamish",7,0,1,30,84,89,39,1,251,466
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 106","Squamish",0,1,0,44,52,71,67,5,240,477
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 107","Squamish",2,0,0,16,45,37,38,1,139,295
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 108","Squamish",3,0,0,37,16,43,6,1,106,246
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 109","Gambier Harbour",2,0,0,10,31,29,7,0,79,129
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 110","Roberts Creek",2,0,0,18,64,45,34,0,163,348
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 111","Roberts Creek",4,0,1,52,35,46,45,2,185,366
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 112","Roberts Creek",2,2,4,23,50,48,47,0,176,382
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 113","Roberts Creek",1,0,0,23,59,35,35,0,153,347
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 114","Roberts Creek",2,0,0,23,46,52,50,0,173,391
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 115","Roberts Creek",2,0,0,22,56,49,49,0,178,363
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 116","Roberts Creek",3,0,0,21,85,52,38,1,200,376
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 117","Gower Point",5,0,0,29,31,25,49,0,139,318
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 118","Granthams Landing",2,0,0,19,33,50,34,0,138,286
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 119","Gibsons",4,0,0,8,50,39,27,1,129,283
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 120","Gibsons",0,0,2,17,41,40,33,0,133,337
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 121","Gibsons",6,0,0,17,42,47,37,0,149,368
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 122","Gibsons",3,0,1,28,45,41,32,1,151,396
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 123","Gibsons",0,0,0,29,36,66,30,0,161,364
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 124","Gibsons",7,1,1,32,46,39,58,1,185,366
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 125","Gibsons",3,0,1,48,35,57,56,2,202,519
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 126","Gibsons",4,0,4,16,30,45,44,1,144,356
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 127","Gibsons",2,1,0,13,19,20,10,2,67,191
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 128","Gibsons",2,0,0,27,34,39,36,0,138,363
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 129","Gibsons",1,1,0,36,44,62,53,0,197,362
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 130","Gibsons",2,0,0,23,41,45,48,2,161,411
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 131","Gibsons",2,1,0,31,37,32,42,0,145,389
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 132","Gibsons",3,0,0,32,40,45,20,0,140,339
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 133","Gibsons",7,1,0,40,53,54,40,0,195,402
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 134","Gibsons",1,0,1,26,47,48,26,0,149,292
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 135","Gibsons",0,1,1,38,55,52,33,0,180,361
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 136","Gower Point",1,1,0,42,44,41,58,0,187,318
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 137","Gower Point",2,0,1,29,47,40,63,0,182,319
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 138","Gibsons",8,0,0,36,53,41,60,0,198,346
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 139","Gibsons",2,0,1,36,46,50,32,1,168,319
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 140","Lions Bay",5,1,0,80,60,78,21,1,246,381
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 141","Lions Bay",4,1,1,89,57,74,11,0,237,440
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 142","Lions Bay",4,0,0,48,49,55,12,0,168,329
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 143","West Vancouver",1,0,1,41,41,72,10,2,168,349
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 144","Sunset Beach",8,1,1,57,45,81,13,0,206,492
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 145","West Vancouver",0,0,0,73,36,96,7,0,212,439
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 146","West Vancouver",5,1,2,47,36,99,21,1,212,487
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 147","West Vancouver",2,0,0,97,44,74,12,0,229,453
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 148","West Vancouver",4,0,0,82,36,107,14,0,243,515
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 149","West Vancouver",0,0,0,93,38,65,8,2,206,452
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 150","Bowen Island",2,0,0,15,63,47,33,1,161,362
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 151","Bowen Island",5,0,0,25,44,72,19,2,167,343
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 152","Bowen Island",7,0,1,18,55,63,21,1,166,390
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 153","Bowen Island",1,0,0,20,51,66,23,0,161,320
