Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nadia Bourque,Liana Canton Cusmano,Michael Forian,Tommy Gaudet,Jean Langlais,Marc Miller,Louise B. O'Sullivan,Marc Patenaude,Linda Sullivan,Sophie Thiébaut,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 21A","Montréal",16,12,13,1,2,110,0,0,0,26,0,180,542
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 21B","Montréal",11,17,14,0,5,96,1,0,0,30,1,175,372
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 22","Montréal",10,9,38,0,4,67,0,0,0,25,0,153,517
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 23","Montréal",5,6,8,0,2,45,0,0,0,15,2,83,354
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 24","Montréal",1,7,12,0,1,64,0,0,0,22,0,107,408
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 25","Montréal",3,2,10,0,1,74,0,0,0,7,0,97,447
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 26","Montréal",8,7,19,0,0,51,0,0,0,25,1,111,546
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 27","Montréal",10,11,10,0,0,63,0,2,0,15,1,112,300
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 28","Montréal",20,4,3,0,2,54,0,0,0,15,0,98,514
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 29","Montréal",52,13,17,0,7,107,0,0,0,14,1,211,549
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 30","Montréal",45,11,20,1,4,151,0,0,0,18,3,253,627
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 31","Montréal",13,13,14,1,0,86,0,0,0,25,4,156,369
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 32","Montréal",8,5,8,0,0,32,0,0,0,14,0,67,130
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 33","Montréal",25,16,9,1,1,115,0,0,0,26,2,195,478
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 34A","Montréal",25,21,26,0,7,162,0,0,0,55,5,301,679
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 34B","Montréal",22,11,6,0,1,94,0,0,0,28,1,163,338
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 35","Montréal",20,22,19,0,3,155,0,0,0,42,1,262,635
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 36","Montréal",14,14,13,1,7,111,0,0,0,34,2,196,551
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 37A","Montréal",32,12,11,0,3,97,0,0,0,45,2,202,440
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 37B","Montréal",24,8,16,0,1,106,0,0,0,18,0,173,393
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 38","Montréal",6,14,18,0,1,70,0,0,0,21,0,130,497
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 39","Montréal",5,5,26,0,1,90,0,0,0,10,0,137,456
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 40","Montréal",3,6,13,0,1,65,1,0,0,29,2,120,411
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 41","Montréal",8,9,27,1,0,102,2,0,0,22,0,171,474
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 42","Montréal",7,5,38,0,0,110,1,1,0,16,0,178,565
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 43","Montréal",1,9,10,0,3,47,0,0,0,20,0,90,305
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 44","Montréal",2,9,19,0,0,66,0,0,0,21,1,118,366
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 45","Montréal",6,9,14,1,2,52,0,0,0,18,3,105,370
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 46A","Montréal",10,9,30,2,1,141,2,0,0,37,0,232,601
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 46B","Montréal",18,10,23,0,2,111,0,0,0,32,0,196,643
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 47","Montréal",1,4,14,0,2,30,0,0,0,29,0,80,453
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 48","Montréal",5,6,12,0,2,71,0,0,0,14,1,111,477
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 49","Montréal",2,4,13,0,0,55,0,0,0,11,2,87,403
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 50","Montréal",12,9,15,0,3,74,1,0,0,36,0,150,373
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 51","Montréal",11,8,17,0,0,110,0,0,0,27,1,174,578
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 52","Montréal",7,3,3,1,0,68,0,0,0,16,2,100,317
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 53","Montréal",39,18,39,0,2,113,0,0,0,36,3,250,636
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 54A","Montréal",22,20,16,1,1,142,0,1,0,49,0,252,639
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 54B","Montréal",33,18,26,0,7,129,1,1,1,41,2,259,632
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 55","Montréal",24,10,26,0,3,113,0,0,0,32,0,208,499
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 56","Montréal",22,13,14,0,3,100,1,0,0,31,1,185,495
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 57A","Montréal",38,12,15,0,0,154,0,0,0,28,1,248,603
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 57B","Montréal",30,22,19,0,2,166,1,0,1,29,3,273,585
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 58","Montréal",25,22,22,1,7,152,0,1,0,52,4,286,645
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 59","Montréal",17,11,26,2,5,137,0,1,0,38,1,238,529
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 60","Montréal",6,8,38,0,3,72,0,0,0,10,0,137,555
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 61","Montréal",5,12,13,0,1,63,1,0,0,11,0,106,352
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 62","Montréal",8,13,14,0,0,85,0,0,0,27,0,147,461
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 63","Montréal",0,8,14,1,3,56,0,0,0,8,3,93,415
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 64","Montréal",4,3,19,0,2,70,0,0,0,8,1,107,373
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 65","Montréal",2,4,7,0,2,44,0,0,0,13,1,73,305
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 66","Montréal",2,4,12,1,0,71,0,0,0,16,0,106,390
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 67","Montréal",4,16,12,1,1,62,0,0,0,32,2,130,451
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 68","Montréal",9,14,11,0,2,68,1,0,0,29,0,134,424
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 69","Montréal",7,9,9,1,0,70,1,0,0,26,1,124,370
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 70","Montréal",1,1,12,1,2,54,0,0,0,17,2,90,349
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 71","Montréal",9,8,12,1,2,46,1,0,0,22,3,104,495
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 72","Montréal",9,14,13,0,7,67,1,0,0,46,1,158,434
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 73","Montréal",11,6,18,0,1,75,0,0,0,21,0,132,412
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 74","Montréal",5,5,10,0,1,45,0,0,0,9,0,75,360
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 75","Montréal",3,5,13,0,2,56,0,0,0,27,0,106,373
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 76","Montréal",2,5,9,0,2,64,1,0,0,34,0,117,394
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 77","Montréal",6,19,16,0,1,74,3,0,0,23,0,142,402
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 78","Montréal",5,8,18,1,1,74,0,0,0,31,0,138,505
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 79","Montréal",5,3,7,0,0,62,1,0,0,12,1,91,408
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 80","Montréal",34,13,12,0,5,129,0,1,0,26,1,221,487
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 81","Montréal",Results combined with No./Résultats combinés au n°82,,,,,,,,,,,,396
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 82","Montréal",64,50,25,1,1,213,1,1,0,106,8,470,480
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 83","Montréal",30,14,9,1,0,88,0,0,0,51,5,198,406
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 84","Montréal",28,10,13,0,0,70,1,1,2,19,11,155,314
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 85","Montréal",32,21,15,0,2,139,1,0,0,34,3,247,537
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 86","Montréal",60,17,19,0,3,151,0,0,0,49,5,304,591
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 87","Montréal",30,12,11,2,3,69,2,0,0,26,5,160,336
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 88","Montréal",49,15,5,1,1,102,1,0,1,51,1,227,415
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 89","Montréal",8,10,13,0,0,120,0,0,1,32,6,190,463
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 90","Montréal",7,6,7,1,0,174,1,0,1,34,2,233,545
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 91","Montréal",9,10,8,0,3,133,0,0,0,44,2,209,537
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 92","Montréal",19,21,21,0,3,161,2,0,0,28,0,255,660
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 93","Montréal",13,21,6,2,3,107,0,0,0,46,1,199,405
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 94","Montréal",10,8,12,0,2,149,1,0,1,41,2,226,536
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 95","Montréal",19,19,21,0,0,139,0,0,0,26,0,224,546
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 96","Montréal",25,16,14,0,0,108,0,0,0,29,0,192,468
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 97","Montréal",17,16,24,0,4,131,0,0,1,29,4,226,367
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 98","Montréal",27,9,17,1,2,137,0,0,0,38,4,235,516
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 99","Montréal",10,11,7,0,1,108,1,0,0,30,3,171,397
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 100","Montréal",22,35,14,0,0,90,0,0,0,28,2,191,422
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 101","Montréal",23,10,9,0,1,92,0,0,0,35,2,172,435
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 102","Montréal",17,23,4,0,1,71,0,0,0,60,0,176,351
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 103","Montréal",20,9,8,0,1,153,0,0,2,28,2,223,485
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 104","Montréal",29,11,12,0,2,69,1,0,0,38,3,165,393
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 105","Montréal",15,27,17,1,2,106,0,0,0,46,1,215,481
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 106","Montréal",13,14,5,2,3,92,1,0,1,38,3,172,355
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 107","Montréal",32,22,16,0,2,98,0,0,0,45,1,216,535
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 108","Montréal",26,15,17,0,0,109,0,0,0,24,4,195,419
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 109","Montréal",30,20,6,0,1,71,0,0,0,58,4,190,383
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 110","Montréal",30,20,10,1,0,90,0,0,1,39,6,197,411
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 111","Montréal",13,11,14,1,1,86,1,0,0,31,3,161,357
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 112","Montréal",18,15,5,1,3,47,0,0,0,27,2,118,319
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 113","Montréal",33,11,5,0,2,58,0,0,0,43,5,157,348
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 114","Montréal",41,13,11,1,3,62,0,1,0,50,1,183,411
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 115","Montréal",27,8,12,1,0,65,0,1,0,42,12,168,339
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 116","Montréal",29,20,8,2,2,72,0,0,1,58,0,192,444
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 117","Montréal",28,10,8,2,2,50,1,1,0,39,3,144,403
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 118","Montréal",37,24,14,1,3,108,0,1,0,42,1,231,443
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 119","Montréal",17,14,4,0,2,78,1,1,0,25,3,145,371
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 120","Montréal",14,15,10,0,2,62,1,0,0,38,3,145,342
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 121","Montréal",18,22,7,1,0,88,1,0,0,46,0,183,379
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 122","Montréal",31,14,10,0,2,114,0,0,0,35,2,208,491
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 123","Montréal",25,38,4,1,2,109,0,0,0,37,2,218,485
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 124","Montréal",36,6,9,0,2,66,0,0,0,28,3,150,388
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 125","Montréal",32,20,7,2,0,90,0,0,1,42,1,195,404
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 126","Montréal",50,2,3,0,6,67,0,0,0,44,2,174,381
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 127A","Verdun",33,7,32,0,4,140,0,0,0,24,1,241,445
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 127B","Verdun",47,15,57,0,0,226,0,0,1,25,13,384,697
