Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stepan Balatsko,Chinook Blais-Leduc,Christine Dandenault,JP Fortin,Simon Marchand,Christine Marcoux,Soraya Martinez Ferrada,Robert D. Morais,Catheryn Roy-Goyette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24028,"Hochelaga/Hochelaga"," 33","Montréal",0,0,0,0,53,5,56,2,18,3,137,343
24028,"Hochelaga/Hochelaga"," 34","Montréal",0,0,0,0,58,17,106,11,30,3,225,536
24028,"Hochelaga/Hochelaga"," 35","Montréal",2,0,1,1,45,3,54,1,15,3,125,433
24028,"Hochelaga/Hochelaga"," 36","Montréal",2,0,2,0,92,7,61,4,23,5,196,457
24028,"Hochelaga/Hochelaga"," 37","Montréal",4,4,1,1,87,13,64,12,28,0,214,431
24028,"Hochelaga/Hochelaga"," 38","Montréal",4,0,0,0,72,10,57,9,34,5,191,378
24028,"Hochelaga/Hochelaga"," 39","Montréal",1,0,0,1,72,15,66,1,33,1,190,356
24028,"Hochelaga/Hochelaga"," 40","Montréal",2,2,0,0,81,10,57,6,43,4,205,429
24028,"Hochelaga/Hochelaga"," 41","Montréal",2,0,1,0,73,20,82,9,18,2,207,389
24028,"Hochelaga/Hochelaga"," 42","Montréal",3,0,0,0,82,19,83,10,30,5,232,437
24028,"Hochelaga/Hochelaga"," 43","Montréal",1,0,1,0,94,22,91,15,28,0,252,378
24028,"Hochelaga/Hochelaga"," 44","Montréal",0,1,0,1,86,12,67,10,37,1,215,379
24028,"Hochelaga/Hochelaga"," 45","Montréal",5,0,0,0,94,28,122,12,43,4,308,486
24028,"Hochelaga/Hochelaga"," 46","Montréal",2,1,0,3,78,10,72,7,45,2,220,417
24028,"Hochelaga/Hochelaga"," 47","Montréal",1,0,0,0,65,20,130,7,43,2,268,507
24028,"Hochelaga/Hochelaga"," 48","Montréal",0,0,0,1,101,10,114,7,21,2,256,503
24028,"Hochelaga/Hochelaga"," 49","Montréal",2,1,0,1,58,15,87,5,43,3,215,455
24028,"Hochelaga/Hochelaga"," 50","Montréal",1,3,0,0,72,10,69,17,39,5,216,444
24028,"Hochelaga/Hochelaga"," 51","Montréal",1,1,0,0,73,4,62,14,43,2,200,380
24028,"Hochelaga/Hochelaga"," 52","Montréal",2,2,1,0,65,14,66,15,45,2,212,487
24028,"Hochelaga/Hochelaga"," 53","Montréal",1,0,0,0,86,8,37,8,21,2,163,387
24028,"Hochelaga/Hochelaga"," 54","Montréal",0,2,0,0,62,10,37,6,28,3,148,359
24028,"Hochelaga/Hochelaga"," 55","Montréal",4,0,4,0,24,27,123,3,13,1,199,390
24028,"Hochelaga/Hochelaga"," 56","Montréal",0,0,0,0,54,13,91,4,22,7,191,417
24028,"Hochelaga/Hochelaga"," 57","Montréal",4,0,0,0,71,16,111,9,36,2,249,533
24028,"Hochelaga/Hochelaga"," 58","Montréal",4,1,1,2,77,14,92,5,40,2,238,400
24028,"Hochelaga/Hochelaga"," 59","Montréal",3,1,2,0,71,3,76,10,29,6,201,440
24028,"Hochelaga/Hochelaga"," 60","Montréal",0,1,0,0,54,8,77,6,19,2,167,422
24028,"Hochelaga/Hochelaga"," 61","Montréal",1,2,0,2,51,5,69,4,15,4,153,362
24028,"Hochelaga/Hochelaga"," 62","Montréal",1,0,0,0,91,16,81,11,44,6,250,451
24028,"Hochelaga/Hochelaga"," 63","Montréal",1,2,0,1,67,8,92,8,35,1,215,367
24028,"Hochelaga/Hochelaga"," 64","Montréal",0,1,0,0,86,8,73,3,31,3,205,346
24028,"Hochelaga/Hochelaga"," 65","Montréal",4,1,0,0,100,9,96,5,41,5,261,418
24028,"Hochelaga/Hochelaga"," 66","Montréal",0,1,0,0,37,10,36,4,13,1,102,383
24028,"Hochelaga/Hochelaga"," 67","Montréal",7,0,0,0,88,6,48,20,67,4,240,523
24028,"Hochelaga/Hochelaga"," 68","Montréal",2,1,1,0,54,30,112,9,25,4,238,409
24028,"Hochelaga/Hochelaga"," 69","Montréal",9,1,0,0,48,16,114,10,28,10,236,494
24028,"Hochelaga/Hochelaga"," 70","Montréal",1,1,0,0,64,11,99,7,25,2,210,433
24028,"Hochelaga/Hochelaga"," 71","Montréal",2,1,0,0,61,13,89,10,24,6,206,389
24028,"Hochelaga/Hochelaga"," 72","Montréal",5,0,1,0,56,12,92,12,25,1,204,464
24028,"Hochelaga/Hochelaga"," 73","Montréal",3,1,0,2,78,17,72,8,33,2,216,486
24028,"Hochelaga/Hochelaga"," 74","Montréal",1,1,0,0,65,10,77,8,36,3,201,429
24028,"Hochelaga/Hochelaga"," 75","Montréal",1,1,0,0,49,6,69,4,32,3,165,336
24028,"Hochelaga/Hochelaga"," 76","Montréal",0,1,0,1,64,10,86,12,25,0,199,391
24028,"Hochelaga/Hochelaga"," 77","Montréal",0,0,0,0,77,11,51,4,35,2,180,374
24028,"Hochelaga/Hochelaga"," 78","Montréal",1,0,1,0,54,13,67,13,29,3,181,436
24028,"Hochelaga/Hochelaga"," 79","Montréal",0,2,0,0,66,6,48,4,32,1,159,372
24028,"Hochelaga/Hochelaga"," 80","Montréal",0,0,0,1,45,6,53,7,41,3,156,369
24028,"Hochelaga/Hochelaga"," 81","Montréal",0,0,0,0,47,4,65,6,32,0,154,366
24028,"Hochelaga/Hochelaga"," 82","Montréal",0,0,0,0,24,2,90,4,13,10,143,346
24028,"Hochelaga/Hochelaga"," 83","Montréal",3,3,0,0,59,11,81,21,66,4,248,529
24028,"Hochelaga/Hochelaga"," 84","Montréal",3,4,1,2,57,9,45,16,48,3,188,439
24028,"Hochelaga/Hochelaga"," 85","Montréal",0,0,0,0,49,9,41,9,50,6,164,443
24028,"Hochelaga/Hochelaga"," 86","Montréal",2,3,0,1,57,9,87,7,47,1,214,477
24028,"Hochelaga/Hochelaga"," 87","Montréal",0,0,1,1,71,9,92,4,36,0,214,479
24028,"Hochelaga/Hochelaga"," 88","Montréal",2,1,0,0,57,3,51,5,52,7,178,432
24028,"Hochelaga/Hochelaga"," 89","Montréal",0,2,0,2,56,4,54,14,42,2,176,433
24028,"Hochelaga/Hochelaga"," 90","Montréal",1,1,0,0,43,11,67,8,24,1,156,347
24028,"Hochelaga/Hochelaga"," 91","Montréal",3,0,0,0,106,6,69,13,42,1,240,413
24028,"Hochelaga/Hochelaga"," 92","Montréal",4,1,0,0,71,11,88,6,39,1,221,413
24028,"Hochelaga/Hochelaga"," 93","Montréal",2,1,0,1,60,10,82,16,49,4,225,536
24028,"Hochelaga/Hochelaga"," 94","Montréal",0,1,0,1,60,13,67,6,33,6,187,503
24028,"Hochelaga/Hochelaga"," 95","Montréal",0,1,1,0,53,8,85,9,30,3,190,505
24028,"Hochelaga/Hochelaga"," 96","Montréal",5,1,0,0,88,10,109,17,31,0,261,458
24028,"Hochelaga/Hochelaga"," 97","Montréal",2,2,0,0,42,6,76,7,28,3,166,335
24028,"Hochelaga/Hochelaga"," 98","Montréal",2,2,0,1,62,7,98,12,47,4,235,475
24028,"Hochelaga/Hochelaga"," 99","Montréal",1,0,0,0,77,12,75,9,35,2,211,455
24028,"Hochelaga/Hochelaga"," 100","Montréal",2,3,1,0,66,12,79,8,30,6,207,464
24028,"Hochelaga/Hochelaga"," 101","Montréal",1,0,2,0,59,8,71,5,33,4,183,402
24028,"Hochelaga/Hochelaga"," 102","Montréal",1,1,0,0,73,5,65,14,53,6,218,399
24028,"Hochelaga/Hochelaga"," 103","Montréal",1,1,0,1,63,12,39,10,36,3,166,382
24028,"Hochelaga/Hochelaga"," 104","Montréal",0,1,0,2,56,12,63,10,35,5,184,422
24028,"Hochelaga/Hochelaga"," 105","Montréal",2,3,0,1,87,2,40,17,93,4,249,507
24028,"Hochelaga/Hochelaga"," 106","Montréal",2,5,0,2,48,4,52,11,49,11,184,424
24028,"Hochelaga/Hochelaga"," 107","Montréal",1,1,0,0,71,5,49,9,71,1,208,485
24028,"Hochelaga/Hochelaga"," 108","Montréal",2,2,1,1,51,3,42,13,61,9,185,446
24028,"Hochelaga/Hochelaga"," 109","Montréal",4,0,0,0,82,2,35,12,53,1,189,389
24028,"Hochelaga/Hochelaga"," 110","Montréal",5,3,0,0,57,3,33,8,46,8,163,402
24028,"Hochelaga/Hochelaga"," 111","Montréal",1,2,1,1,42,6,34,8,42,4,141,350
24028,"Hochelaga/Hochelaga"," 112","Montréal",1,3,0,2,59,5,44,12,60,3,189,385
24028,"Hochelaga/Hochelaga"," 113","Montréal",0,3,0,1,49,5,35,11,62,0,166,442
24028,"Hochelaga/Hochelaga"," 114","Montréal",1,2,0,0,70,5,61,11,61,0,211,431
24028,"Hochelaga/Hochelaga"," 115","Montréal",4,2,1,1,73,5,56,14,56,2,214,424
24028,"Hochelaga/Hochelaga"," 116","Montréal",1,1,2,2,100,19,121,13,48,3,310,572
24028,"Hochelaga/Hochelaga"," 117","Montréal",2,1,1,0,37,6,59,6,25,1,138,314
24028,"Hochelaga/Hochelaga"," 118","Montréal",0,2,1,0,96,9,86,9,53,6,262,471
24028,"Hochelaga/Hochelaga"," 119","Montréal",3,0,1,1,37,25,86,5,31,1,190,470
24028,"Hochelaga/Hochelaga"," 120","Montréal",4,1,1,1,67,18,98,13,37,6,246,513
24028,"Hochelaga/Hochelaga"," 121","Montréal",0,2,0,0,64,5,45,11,89,2,218,452
24028,"Hochelaga/Hochelaga"," 122","Montréal",0,2,0,0,66,0,33,11,69,4,185,371
24028,"Hochelaga/Hochelaga"," 123","Montréal",1,2,0,0,84,3,30,10,71,3,204,396
24028,"Hochelaga/Hochelaga"," 124","Montréal",0,3,0,0,67,4,39,5,49,0,167,365
24028,"Hochelaga/Hochelaga"," 125","Montréal",0,2,0,0,70,3,43,13,47,3,181,379
24028,"Hochelaga/Hochelaga"," 126","Montréal",1,1,0,0,79,1,32,13,79,1,207,457
24028,"Hochelaga/Hochelaga"," 127","Montréal",2,2,0,4,62,5,36,5,54,4,174,421
24028,"Hochelaga/Hochelaga"," 128","Montréal",0,1,0,0,44,4,28,9,28,3,117,339
24028,"Hochelaga/Hochelaga"," 129","Montréal",0,5,1,0,54,1,39,14,61,6,181,452
24028,"Hochelaga/Hochelaga"," 130","Montréal",2,1,0,0,67,3,43,11,59,2,188,407
24028,"Hochelaga/Hochelaga"," 131","Montréal",1,1,0,2,63,10,42,5,47,5,176,446
24028,"Hochelaga/Hochelaga"," 132","Montréal",0,0,0,1,52,8,52,6,49,3,171,395
24028,"Hochelaga/Hochelaga"," 133","Montréal",2,2,0,1,70,1,36,17,94,3,226,464
24028,"Hochelaga/Hochelaga"," 134","Montréal",1,2,0,0,47,1,37,14,46,3,151,369
24028,"Hochelaga/Hochelaga"," 135","Montréal",0,2,0,0,55,4,38,12,49,3,163,416
24028,"Hochelaga/Hochelaga"," 136","Montréal",2,2,1,0,54,3,41,13,76,2,194,459
24028,"Hochelaga/Hochelaga"," 137","Montréal",2,1,0,0,45,6,38,9,54,5,160,345
24028,"Hochelaga/Hochelaga"," 138","Montréal",0,5,0,0,63,3,77,13,68,2,231,443
24028,"Hochelaga/Hochelaga"," 139","Montréal",2,1,0,0,61,9,75,15,82,2,247,460
24028,"Hochelaga/Hochelaga"," 140","Montréal",1,1,1,0,64,2,62,14,55,8,208,459
24028,"Hochelaga/Hochelaga"," 141","Montréal",4,0,0,0,68,3,47,19,59,7,207,457
24028,"Hochelaga/Hochelaga"," 142","Montréal",1,4,1,0,43,6,27,3,55,3,143,325
24028,"Hochelaga/Hochelaga"," 143","Montréal",1,2,0,0,73,1,44,7,46,1,175,332
24028,"Hochelaga/Hochelaga"," 144","Montréal",1,1,0,0,45,6,43,6,72,2,176,429
24028,"Hochelaga/Hochelaga"," 145","Montréal",0,0,0,0,43,1,31,10,50,5,140,322
24028,"Hochelaga/Hochelaga"," 146","Montréal",1,0,0,1,77,6,41,10,60,1,197,466
24028,"Hochelaga/Hochelaga"," 147","Montréal",1,4,1,1,47,0,28,7,61,2,152,391
24028,"Hochelaga/Hochelaga"," 148","Montréal",2,1,0,1,55,2,56,19,60,5,201,449
24028,"Hochelaga/Hochelaga"," 149","Montréal",0,0,0,1,37,8,60,3,51,0,160,396
24028,"Hochelaga/Hochelaga"," 150","Montréal",4,0,0,1,39,4,37,12,46,2,145,291
24028,"Hochelaga/Hochelaga"," 151","Montréal",1,0,0,0,61,3,43,12,54,4,178,378
24028,"Hochelaga/Hochelaga"," 152","Montréal",5,0,1,0,96,6,66,22,70,4,270,545
24028,"Hochelaga/Hochelaga"," 153","Montréal",2,1,0,0,83,15,69,13,75,4,262,457
24028,"Hochelaga/Hochelaga"," 154","Montréal",0,1,2,0,62,1,39,17,72,2,196,388
24028,"Hochelaga/Hochelaga"," 155","Montréal",0,0,0,0,66,5,50,4,57,5,187,372
24028,"Hochelaga/Hochelaga"," 156","Montréal",1,0,0,0,58,6,55,14,66,2,202,368
24028,"Hochelaga/Hochelaga"," 157","Montréal",2,0,2,1,88,7,94,6,48,8,256,479
24028,"Hochelaga/Hochelaga"," 158","Montréal",1,2,0,2,60,5,55,15,65,7,212,414
24028,"Hochelaga/Hochelaga"," 159","Montréal",1,3,0,0,29,0,34,9,47,3,126,297
24028,"Hochelaga/Hochelaga"," 160","Montréal",1,1,0,0,49,3,28,13,73,2,170,496
24028,"Hochelaga/Hochelaga"," 161","Montréal",4,0,0,0,36,2,49,9,53,2,155,479
24028,"Hochelaga/Hochelaga"," 162","Montréal",1,1,0,0,50,2,38,10,69,1,172,358
24028,"Hochelaga/Hochelaga"," 163","Montréal",2,1,0,1,46,9,56,7,47,3,172,387
24028,"Hochelaga/Hochelaga"," 164","Montréal",0,6,1,1,71,6,58,17,89,4,253,470
24028,"Hochelaga/Hochelaga"," 165","Montréal",2,4,0,1,72,2,39,15,86,12,233,475
24028,"Hochelaga/Hochelaga"," 166","Montréal",0,4,0,0,57,3,55,11,63,2,195,462
24028,"Hochelaga/Hochelaga"," 167","Montréal",0,0,0,0,38,3,25,2,32,0,100,267
24028,"Hochelaga/Hochelaga"," 168","Montréal",1,1,0,0,82,8,49,23,83,4,251,474
24028,"Hochelaga/Hochelaga"," 169","Montréal",1,3,0,0,55,4,40,8,54,0,165,348
24028,"Hochelaga/Hochelaga"," 170","Montréal",1,1,0,0,62,4,29,10,71,3,181,381
24028,"Hochelaga/Hochelaga"," 171","Montréal",0,0,0,1,65,1,26,12,74,2,181,389
24028,"Hochelaga/Hochelaga"," 172","Montréal",1,3,2,0,56,4,32,21,86,2,207,433
24028,"Hochelaga/Hochelaga"," 173","Montréal",1,2,1,0,20,1,41,5,29,1,101,358
24028,"Hochelaga/Hochelaga"," 174","Montréal",2,2,0,0,51,8,54,11,75,2,205,418
24028,"Hochelaga/Hochelaga"," 175","Montréal",1,3,0,0,61,4,35,18,88,2,212,426
24028,"Hochelaga/Hochelaga"," 176","Montréal",0,2,0,0,55,2,28,4,37,3,131,373
24028,"Hochelaga/Hochelaga"," 177","Montréal",1,1,0,0,89,4,28,7,76,3,209,416
24028,"Hochelaga/Hochelaga"," 178","Montréal",1,3,0,0,56,4,54,12,83,3,216,470
24028,"Hochelaga/Hochelaga"," 179","Montréal",0,2,0,0,42,2,49,7,37,1,140,300
24028,"Hochelaga/Hochelaga"," 180","Montréal",3,1,0,0,61,3,42,21,64,5,200,427
24028,"Hochelaga/Hochelaga"," 181","Montréal",1,3,1,0,37,4,47,13,59,4,169,334
24028,"Hochelaga/Hochelaga"," 182","Montréal",4,0,2,0,53,6,53,10,51,2,181,398
24028,"Hochelaga/Hochelaga"," 183","Montréal",0,2,0,3,51,6,45,7,60,1,175,361
24028,"Hochelaga/Hochelaga"," 184","Montréal",0,1,1,3,56,5,26,14,80,0,186,372
24028,"Hochelaga/Hochelaga"," 185","Montréal",0,2,0,1,61,4,75,14,58,2,217,450
24028,"Hochelaga/Hochelaga"," 186","Montréal",1,0,1,0,38,0,29,7,60,1,137,331
24028,"Hochelaga/Hochelaga"," 187","Montréal",0,1,0,0,37,1,53,5,68,1,166,363
24028,"Hochelaga/Hochelaga"," 188","Montréal",0,6,0,0,49,2,50,9,92,1,209,454
24028,"Hochelaga/Hochelaga"," 189","Montréal",0,1,0,0,62,7,44,17,63,3,197,407
24028,"Hochelaga/Hochelaga"," 400","Montréal",4,0,1,0,117,15,129,2,0,21,289,366
24028,"Hochelaga/Hochelaga"," 401","Montréal",0,0,0,0,42,2,42,4,9,1,100,228
24028,"Hochelaga/Hochelaga"," 402","Montréal",0,0,0,0,46,12,42,2,12,0,114,254
24028,"Hochelaga/Hochelaga"," 403","Montréal",0,0,0,0,28,6,23,3,10,0,70,183
24028,"Hochelaga/Hochelaga"," 404","Montréal",0,0,1,1,133,16,193,5,11,14,374,508
24028,"Hochelaga/Hochelaga"," 405","Montréal",2,1,2,0,77,10,114,3,3,12,224,307
24028,"Hochelaga/Hochelaga"," 406","Montréal",1,2,0,2,167,16,169,10,23,2,392,615
24028,"Hochelaga/Hochelaga"," 407","Montréal",1,0,0,0,137,20,172,11,40,3,384,604
24028,"Hochelaga/Hochelaga"," 500A","Mobile poll/Bureau itinérant",1,0,0,2,9,5,37,2,3,1,60,99
24028,"Hochelaga/Hochelaga"," 500B","Montréal",Merged with No./Fusionné avec le n°42,,,,,,,,,,,16
24028,"Hochelaga/Hochelaga"," 501A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,,,73
24028,"Hochelaga/Hochelaga"," 501B","Mobile poll/Bureau itinérant",1,0,2,0,17,8,31,2,1,8,70,97
24028,"Hochelaga/Hochelaga"," 502A","Mobile poll/Bureau itinérant",1,1,3,1,17,5,24,3,3,9,67,86
24028,"Hochelaga/Hochelaga"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,,,,,52
24028,"Hochelaga/Hochelaga"," 503A","Mobile poll/Bureau itinérant",0,1,2,0,12,2,33,2,1,3,56,85
24028,"Hochelaga/Hochelaga"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,,,,,32
24028,"Hochelaga/Hochelaga"," 503C","Montréal",Merged with No./Fusionné avec le n°67,,,,,,,,,,,24
24028,"Hochelaga/Hochelaga"," 504A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,,,,,58
24028,"Hochelaga/Hochelaga"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,,,,108
24028,"Hochelaga/Hochelaga"," 600","Montréal",7,0,0,0,333,48,333,25,75,9,830,
24028,"Hochelaga/Hochelaga"," 601","Montréal",7,5,2,0,285,61,390,39,103,13,905,
24028,"Hochelaga/Hochelaga"," 602","Montréal",6,2,3,0,395,68,406,30,77,9,996,
24028,"Hochelaga/Hochelaga"," 603","Montréal",4,2,1,0,246,24,213,30,95,11,626,
24028,"Hochelaga/Hochelaga"," 604","Montréal",6,3,2,1,353,43,207,32,107,15,769,
24028,"Hochelaga/Hochelaga"," 605","Montréal",2,2,2,4,320,52,318,37,116,7,860,
24028,"Hochelaga/Hochelaga"," 606","Montréal",6,3,0,0,236,27,177,18,83,7,557,
24028,"Hochelaga/Hochelaga"," 607","Montréal",6,2,0,0,301,36,294,43,143,11,836,
24028,"Hochelaga/Hochelaga"," 608","Montréal",4,2,3,1,479,76,419,39,131,22,1176,
24028,"Hochelaga/Hochelaga"," 609","Montréal",1,4,0,0,291,23,185,61,225,13,803,
24028,"Hochelaga/Hochelaga"," 610","Montréal",10,5,2,2,358,30,268,58,224,20,977,
24028,"Hochelaga/Hochelaga"," 611","Montréal",0,4,5,2,302,13,177,49,239,18,809,
24028,"Hochelaga/Hochelaga"," 612","Montréal",8,5,1,0,253,23,143,55,240,13,741,
24028,"Hochelaga/Hochelaga"," 613","Montréal",3,5,2,0,232,19,193,49,203,10,716,
24028,"Hochelaga/Hochelaga"," 614","Montréal",2,6,3,1,265,15,166,42,247,4,751,
24028,"Hochelaga/Hochelaga"," 615","Montréal",5,6,0,2,325,28,169,67,253,9,864,
24028,"Hochelaga/Hochelaga",,Group 1/Groupe 1, 0,1,0,0,23,10,74,12,27,11,158,182
24028,"Hochelaga/Hochelaga",,Group 2/Groupe 2, 6,13,6,1,367,65,422,106,371,35,1392,
