Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rhonda Chen,Alana DeLong,Blair Herbert,Lydia Hwitsum,Alistair MacGregor,Robin Morton Stanbridge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 18","Somenos",4,53,17,20,61,4,3,162,348
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 19","Westholme",5,68,30,47,98,1,0,249,548
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 20","Somenos",7,72,29,43,88,2,2,243,578
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 21","Somenos",3,74,44,43,93,1,0,258,515
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 22","Somenos",6,54,22,13,73,2,3,173,377
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 23","Duncan",2,40,29,20,56,0,0,147,368
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 24","Duncan",8,43,29,34,73,1,0,188,452
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 25","Duncan",4,45,29,22,63,0,0,163,370
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 26","Duncan",3,59,13,30,76,0,0,181,430
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 27","Westholme",8,84,22,33,99,1,2,249,544
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 28","Westholme",5,60,19,38,74,0,1,197,528
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 29","Westholme",3,88,31,35,73,0,0,230,459
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 30","Crofton",2,74,29,39,87,0,0,231,497
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 31","Crofton",7,61,35,36,67,3,2,211,475
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 32","Crofton",2,63,27,36,60,1,1,190,352
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 33","Paldi",11,75,20,37,67,1,0,211,491
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 34","Sahtlam",5,50,22,40,78,0,2,197,501
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 35","Hayward",2,51,31,26,101,0,4,215,473
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 36","Hayward",6,52,35,34,105,1,2,235,514
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 37","Duncan",7,44,19,33,80,0,1,184,520
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 38","Duncan",5,53,30,45,120,0,1,254,623
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 39","Hayward",6,55,29,40,84,2,1,217,493
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 40","Somenos",1,48,18,32,100,0,1,200,395
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 41","Hayward",4,47,29,45,121,2,1,249,510
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 42","Duncan",1,31,21,46,64,0,1,164,493
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 43","Duncan",1,35,14,27,61,0,1,139,322
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 44","Duncan",0,36,12,45,85,0,3,181,400
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 45","Duncan",3,69,52,45,95,3,0,267,653
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 46","Duncan",7,42,16,32,102,0,1,200,447
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 47","Sahtlam",6,49,17,40,67,1,0,180,379
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 48","Duncan",4,49,20,30,62,2,0,167,400
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 49","Sahtlam",3,36,16,32,48,1,1,137,306
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 50","Duncan",0,67,27,36,69,1,0,200,453
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 51","Cowichan 1",3,27,9,36,77,0,0,152,378
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 52","Duncan",0,22,13,38,71,0,0,144,419
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 53","Duncan",5,28,18,41,73,1,0,166,375
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 54","Duncan",4,28,24,27,63,0,0,146,514
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 55","Duncan",1,23,25,22,42,1,2,116,329
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 56","Duncan",2,20,25,18,53,1,0,119,327
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 57","Duncan",5,33,16,30,61,1,1,147,372
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 58","Duncan",0,22,19,20,48,1,0,110,331
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 59","Duncan",2,36,10,37,84,1,0,170,438
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 60","Duncan",5,40,31,45,71,2,0,194,431
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 61","Duncan",2,23,9,19,72,2,1,128,308
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 62","Duncan",0,18,23,17,60,1,0,119,286
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 63","Duncan",5,16,15,19,47,2,0,104,347
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 64","Duncan",2,18,17,10,39,1,0,87,363
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 65","Duncan",4,31,22,29,95,1,1,183,453
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 66","Deerholme",3,78,33,108,105,3,0,330,621
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 67","Cowichan 1",1,23,15,19,20,2,1,81,258
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 68","Cowichan 1",2,54,14,23,57,0,1,151,316
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 69","Eagle Heights",3,24,20,28,46,1,1,123,354
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 70","Cowichan 1",0,2,0,37,82,0,1,122,424
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 71","Cowichan 1",0,45,18,35,44,0,0,142,309
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 72","Cowichan 1",0,21,7,58,126,1,2,215,483
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 73","Cowichan 1",1,12,9,29,100,0,0,151,397
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 74","Maple Bay",0,48,38,41,65,0,0,192,372
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 75","Duncan",2,47,29,28,58,0,1,165,381
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 76","Duncan",3,59,43,30,81,0,2,218,390
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 77","Cowichan 1",3,26,23,50,68,0,0,170,379
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 78","Maple Bay",1,51,21,14,36,0,1,124,292
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 79","Cowichan 1",0,2,1,18,60,0,1,82,267
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 80","Maple Bay",4,72,43,55,86,0,0,260,472
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 81","Maple Bay",1,93,57,27,96,0,2,276,551
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 82","Maple Bay",6,69,38,35,86,0,1,235,398
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 83","Maple Bay",3,71,26,32,56,1,0,189,360
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 84","Maple Bay",5,104,51,52,104,1,2,319,553
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 85","Maple Bay",7,85,33,39,83,0,1,248,484
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 86","Maple Bay",3,53,32,55,67,0,1,211,406
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 87","Cowichan 1",2,33,21,41,45,0,0,142,284
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 88","Cowichan Lake ",5,81,45,50,73,0,2,256,578
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 89","Cowichan Lake ",6,39,23,30,56,1,1,156,347
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 90","Lake Cowichan",3,42,28,33,59,0,2,167,403
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 91","Lake Cowichan",3,34,18,31,66,1,1,154,320
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 92","Lake Cowichan",2,51,26,42,91,2,0,214,510
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 93","Lake Cowichan",8,42,24,40,83,0,0,197,438
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 94","Lake Cowichan",2,40,22,21,52,0,0,137,292
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 95","Lake Cowichan",8,66,29,53,104,1,3,264,574
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 96","Sooke",7,31,13,43,61,1,0,156,307
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 97","Port Renfrew",3,20,10,44,112,0,1,190,332
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 98","Cowichan Station",3,46,23,48,89,0,0,209,409
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 99","Cowichan Station",0,81,27,60,93,2,1,264,475
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 100","Shawnigan Lake",1,52,19,45,52,2,2,173,265
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 101","Cowichan Station",5,68,27,89,72,0,2,263,474
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 102","Cowichan Bay",3,63,36,38,113,0,1,254,466
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 103","Cowichan Bay",5,61,58,87,124,1,1,337,615
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 104","Cowichan Bay",1,48,35,57,109,0,0,250,449
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 105","Cowichan Bay",8,45,30,41,76,1,1,202,501
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 106","Cowichan Bay",3,59,19,36,51,0,0,168,409
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 107","Cowichan Bay",1,53,18,49,80,0,0,201,424
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 108","Cobble Hill",11,47,24,29,63,0,1,175,456
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 109","Cobble Hill",1,50,25,42,72,0,1,191,365
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 110","Hatch Point 12",2,40,23,41,56,1,0,163,374
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 111","Cobble Hill",8,54,32,59,77,1,0,231,439
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 112","Cobble Hill",4,51,33,34,69,0,0,191,397
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 113","Hatch Point 12",0,39,35,48,62,0,1,185,388
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 114","Hatch Point 12",3,45,28,28,66,1,3,174,339
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 115","Hatch Point 12",3,64,41,20,17,0,0,145,268
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 116","Hatch Point 12",0,85,44,19,37,0,0,185,329
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 117","Mill Bay",2,42,19,34,70,0,0,167,350
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 118","Hatch Point 12",1,101,57,37,46,0,0,242,437
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 119","Hatch Point 12",2,46,15,37,46,0,0,146,296
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 120","Cobble Hill",4,31,18,41,38,0,0,132,306
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 121","Cobble Hill",4,70,27,40,55,0,0,196,453
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 122","Cobble Hill",2,61,23,41,48,2,0,177,466
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 123","Mill Bay",8,70,38,38,60,0,0,214,488
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 124","Mill Bay",4,42,48,32,57,0,1,184,420
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 125","Shawnigan Lake",2,52,21,56,70,0,0,201,448
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 126","Shawnigan Lake",3,43,20,49,56,0,0,171,395
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 127","Shawnigan Lake",6,32,24,41,63,0,1,167,326
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 128","Sooke",1,48,29,49,53,2,0,182,454
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 129","Shawnigan Lake",2,59,27,56,62,0,0,206,442
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 130","Shawnigan Lake",3,47,25,69,49,0,0,193,451
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 131","Shawnigan Lake",4,53,35,38,60,2,0,192,491
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 132","Cobble Hill",4,46,39,31,59,2,0,181,405
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 133","Mill Bay",1,37,25,25,47,0,1,136,285
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 134","Shawnigan",1,24,9,34,49,1,1,119,299
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 135","Mill Bay",4,51,23,34,30,2,1,145,352
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 136","Shawnigan Lake",3,28,23,56,59,1,0,170,345
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 137","Shawnigan Lake",3,38,26,55,53,1,0,176,328
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 138","Cliffside",9,50,30,54,61,0,1,205,407
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 139","Cliffside",5,22,22,39,28,0,0,116,220
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 140","Shawnigan",3,60,27,76,54,0,1,221,469
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 141","Mill Bay",2,23,18,25,39,0,0,107,234
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 142","Mill Bay",5,36,34,34,51,0,0,160,371
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 143","Mill Bay",1,27,41,30,46,0,0,145,326
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 144","Mill Bay",1,79,55,46,64,0,1,246,615
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 145","Mill Bay",3,24,24,56,49,0,0,156,437
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 146","Malahat",4,46,39,29,65,1,1,185,494
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 147","Langford",1,47,30,57,62,1,0,198,425
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 148","Langford",2,66,37,51,66,0,0,222,487
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 149","Langford",0,37,29,56,52,0,2,176,409
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 150","Langford",2,21,8,22,51,0,0,104,247
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 151","Millstream",1,46,34,35,68,0,0,184,389
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 152","Sooke 1",1,70,41,17,52,1,0,182,432
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 153","Sooke 1",1,53,34,11,24,0,0,123,281
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 154","Sooke 1",4,99,81,36,54,0,4,278,712
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 155","Sooke 1",0,66,50,24,62,0,1,203,544
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 156","Langford",2,58,40,23,75,3,1,202,506
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 157","Sooke 1",2,76,45,28,62,0,0,213,486
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 158","Langford",4,38,40,30,67,0,3,182,426
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 159","Langford",3,71,60,37,83,0,0,254,529
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 160","Langford",3,60,45,31,97,0,1,237,574
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 161","Langford",6,48,37,32,85,1,1,210,489
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 162","Langford",3,40,45,21,64,0,1,174,561
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 163","Langford",0,64,36,42,85,0,0,227,500
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 164","Langford",4,46,41,36,83,1,0,211,517
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 165","Langford",3,46,46,35,96,0,1,227,570
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 166","Langford",0,63,55,51,85,0,0,254,575
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 167A","Langford",7,69,44,38,73,0,0,231,525
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 167B","Langford",4,40,28,40,86,0,0,198,467
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 168","Langford",3,76,59,38,97,0,0,273,597
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 169","Langford",5,70,51,46,94,6,1,273,637
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 170","Langford",3,29,30,40,57,0,1,160,319
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 171","Langford",2,41,49,27,97,0,0,216,432
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 172","Langford",6,64,48,44,112,0,0,274,447
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 173A","Langford",2,59,29,47,109,1,1,248,525
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 173B","Langford",2,43,49,38,72,0,3,207,440
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 174","Langford",5,59,43,49,78,0,2,236,509
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 175","Langford",4,56,36,24,55,0,1,176,412
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 176","Langford",4,62,21,21,83,0,2,193,413
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 177","Langford",2,60,44,47,89,1,2,245,568
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 178","Langford",4,41,36,45,101,0,0,227,549
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 179A","Langford",3,46,44,26,84,0,1,204,404
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 179B","Langford",3,39,34,27,88,0,1,192,361
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 180","Langford",3,52,45,43,121,0,0,264,664
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 181","Langford",6,66,51,52,104,3,0,282,571
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 182","Langford",1,28,29,37,81,0,0,176,429
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 183","Langford",3,43,22,32,68,0,1,169,400
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 184","Langford",0,34,33,30,74,0,0,171,397
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 185","Langford",3,63,38,43,114,0,2,263,530
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 186","Langford",4,33,25,26,76,0,0,164,383
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 187","Langford",1,33,32,22,78,0,0,166,390
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 188","Langford",1,54,32,44,93,0,1,225,500
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 189","Langford",4,48,32,45,144,3,0,276,691
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 190","Langford",4,60,42,34,98,3,2,243,630
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 191","Langford",2,26,16,13,30,0,1,88,249
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 192","Langford",5,40,53,39,103,4,1,245,536
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 193","Langford",3,48,44,33,79,1,1,209,486
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 194","Langford",4,52,57,49,81,3,1,247,628
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 195","Langford",6,48,53,39,86,0,2,234,617
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 196","Langford",2,26,39,40,101,1,0,209,479
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 197","Langford",4,29,43,25,115,0,0,216,469
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 198","Langford",3,63,61,33,90,0,0,250,620
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 199","Langford",5,31,30,37,76,0,1,180,425
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 200","Langford",3,46,61,39,87,0,0,236,649
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 201","Langford",0,16,28,19,80,2,0,145,321
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 202","Langford",4,34,41,35,105,0,0,219,581
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 203","Langford",6,65,38,40,87,0,0,236,536
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 204","Langford",6,29,31,33,75,1,2,177,470
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 205","Langford",2,47,42,42,121,0,1,255,646
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 206","Langford",2,27,30,31,54,0,0,144,393
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 207","Langford",2,38,59,43,94,1,0,237,582
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 208","Langford",4,58,54,41,106,0,3,266,521
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 209","Langford",1,37,31,46,84,0,0,199,607
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 210","Langford",1,23,27,22,65,0,0,138,377
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 500","Mobile poll/Bureau itinérant",1,7,8,5,7,0,0,28,29
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 501","Mobile poll/Bureau itinérant",0,7,5,9,6,0,1,28,30
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 502","Mobile poll/Bureau itinérant",1,11,6,4,17,2,0,41,39
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 503","Mobile poll/Bureau itinérant",0,12,13,23,42,1,0,91,143
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 504","Mobile poll/Bureau itinérant",1,18,13,15,34,1,6,88,105
