Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Henri Cousineau,Kalden Dhatsenpa,Cathy Lepage,Casandra Poitras,Stéphane Robichaud,Sherry Romanado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 56","Longueuil",2,40,77,21,3,65,3,211,454
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 57","Longueuil",2,22,65,12,7,39,2,149,450
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 58","Longueuil",1,22,75,17,17,55,3,190,467
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 59","Longueuil",4,30,62,18,6,51,5,176,448
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 60","Longueuil",2,30,67,8,8,61,6,182,446
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 61","Longueuil",2,26,63,10,11,41,6,159,402
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 62","Longueuil",3,31,37,9,9,49,3,141,365
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 63","Longueuil",3,34,66,11,5,49,2,170,485
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 64","Longueuil",2,16,62,15,9,48,3,155,386
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 65","Longueuil",1,22,57,16,11,43,3,153,385
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 66","Longueuil",0,31,60,10,8,52,5,166,388
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 67","Longueuil",0,18,65,20,8,56,2,169,453
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 68","Longueuil",1,20,49,11,11,48,2,142,385
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 69","Longueuil",0,16,79,11,16,78,0,200,458
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 70","Longueuil",0,24,66,9,12,69,0,180,443
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 71","Longueuil",2,12,59,13,18,49,0,153,337
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 72","Longueuil",2,18,62,10,12,55,3,162,378
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 73","Longueuil",1,26,65,8,16,60,5,181,448
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 74","Longueuil",1,14,68,16,9,72,3,183,432
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 75","Longueuil",5,20,76,9,14,44,5,173,390
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 76","Longueuil",3,17,69,9,6,37,3,144,385
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 77","Longueuil",1,18,64,11,13,67,2,176,453
