Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Monica Ciriello,Gary Duyzer,Edward Graydon,Matthew Green,Jasper Kujavsky,Tony Lemma,Jason Lopez,Melina Mamone,Nathalie Xian Yi Yan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35035,"Hamilton Centre/Hamilton-Centre"," 21","Hamilton",49,1,1,133,111,3,42,7,0,4,351,571
35035,"Hamilton Centre/Hamilton-Centre"," 22","Hamilton",34,3,1,114,84,1,20,3,0,3,263,521
35035,"Hamilton Centre/Hamilton-Centre"," 23","Hamilton",31,0,2,117,92,1,14,6,1,5,269,547
35035,"Hamilton Centre/Hamilton-Centre"," 24","Hamilton",31,2,4,69,120,3,8,3,0,13,253,527
35035,"Hamilton Centre/Hamilton-Centre"," 25","Hamilton",28,0,0,83,64,0,11,4,0,0,190,366
35035,"Hamilton Centre/Hamilton-Centre"," 26","Hamilton",34,0,0,103,76,0,18,3,1,3,238,642
35035,"Hamilton Centre/Hamilton-Centre"," 27","Hamilton",21,0,1,68,45,0,7,5,0,3,150,397
35035,"Hamilton Centre/Hamilton-Centre"," 28","Hamilton",37,3,1,81,30,0,13,4,2,2,173,450
35035,"Hamilton Centre/Hamilton-Centre"," 29","Hamilton",32,0,0,81,62,1,10,8,0,2,196,587
35035,"Hamilton Centre/Hamilton-Centre"," 30","Hamilton",29,0,1,81,45,1,8,2,0,1,168,412
35035,"Hamilton Centre/Hamilton-Centre"," 31","Hamilton",22,2,1,95,57,1,14,7,0,2,201,573
35035,"Hamilton Centre/Hamilton-Centre"," 32","Hamilton",22,0,0,124,70,1,8,3,1,3,232,421
35035,"Hamilton Centre/Hamilton-Centre"," 33","Hamilton",15,0,0,80,58,0,9,4,1,2,169,389
35035,"Hamilton Centre/Hamilton-Centre"," 34","Hamilton",15,1,1,88,64,3,9,5,0,0,186,446
35035,"Hamilton Centre/Hamilton-Centre"," 35","Hamilton",31,0,3,122,87,1,30,7,2,3,286,654
35035,"Hamilton Centre/Hamilton-Centre"," 36","Hamilton",24,0,1,69,25,0,4,3,0,0,126,390
35035,"Hamilton Centre/Hamilton-Centre"," 37","Hamilton",22,4,0,75,29,0,9,1,0,0,140,412
35035,"Hamilton Centre/Hamilton-Centre"," 38","Hamilton",52,1,1,93,41,1,7,4,1,1,202,467
35035,"Hamilton Centre/Hamilton-Centre"," 39","Hamilton",25,1,2,81,48,0,32,3,2,1,195,442
35035,"Hamilton Centre/Hamilton-Centre"," 40","Hamilton",43,1,0,99,32,1,17,7,0,0,200,502
35035,"Hamilton Centre/Hamilton-Centre"," 41","Hamilton",54,0,1,112,41,1,12,3,0,0,224,553
35035,"Hamilton Centre/Hamilton-Centre"," 42","Hamilton",45,1,1,118,62,2,16,3,0,1,249,554
35035,"Hamilton Centre/Hamilton-Centre"," 43","Hamilton",41,0,1,73,41,0,11,4,0,2,173,424
35035,"Hamilton Centre/Hamilton-Centre"," 44","Hamilton",22,1,0,82,34,0,10,3,1,2,155,432
35035,"Hamilton Centre/Hamilton-Centre"," 45","Hamilton",28,1,0,75,48,0,17,3,1,2,175,446
35035,"Hamilton Centre/Hamilton-Centre"," 46","Hamilton",30,3,1,91,61,0,12,7,1,1,207,466
35035,"Hamilton Centre/Hamilton-Centre"," 47","Hamilton",11,0,1,83,46,0,7,4,3,0,155,414
35035,"Hamilton Centre/Hamilton-Centre"," 48","Hamilton",19,0,3,111,75,1,7,5,0,7,228,517
35035,"Hamilton Centre/Hamilton-Centre"," 49","Hamilton",22,1,0,83,41,0,8,3,0,0,158,379
35035,"Hamilton Centre/Hamilton-Centre"," 50","Hamilton",18,0,1,78,44,0,13,1,0,1,156,359
35035,"Hamilton Centre/Hamilton-Centre"," 51","Hamilton",19,0,0,115,56,0,19,5,0,0,214,346
35035,"Hamilton Centre/Hamilton-Centre"," 52","Hamilton",20,0,0,108,77,1,5,9,0,6,226,341
35035,"Hamilton Centre/Hamilton-Centre"," 53","Hamilton",46,0,2,156,56,0,20,5,0,1,286,601
35035,"Hamilton Centre/Hamilton-Centre"," 54","Hamilton",33,1,1,97,26,0,6,6,0,0,170,420
35035,"Hamilton Centre/Hamilton-Centre"," 55","Hamilton",37,0,0,81,46,1,12,4,0,0,181,398
35035,"Hamilton Centre/Hamilton-Centre"," 56","Hamilton",41,0,0,105,52,1,16,1,0,1,217,468
35035,"Hamilton Centre/Hamilton-Centre"," 57","Hamilton",22,0,1,109,33,2,6,4,1,1,179,412
35035,"Hamilton Centre/Hamilton-Centre"," 58","Hamilton",25,3,0,85,86,0,5,6,0,4,214,443
35035,"Hamilton Centre/Hamilton-Centre"," 59","Hamilton",28,2,3,84,53,1,15,4,0,4,194,426
35035,"Hamilton Centre/Hamilton-Centre"," 60","Hamilton",20,2,2,91,26,1,6,3,0,1,152,429
35035,"Hamilton Centre/Hamilton-Centre"," 61","Hamilton",32,1,1,103,43,0,8,3,2,5,198,442
35035,"Hamilton Centre/Hamilton-Centre"," 62","Hamilton",14,1,1,81,41,1,9,7,0,6,161,454
35035,"Hamilton Centre/Hamilton-Centre"," 63","Hamilton",23,1,0,108,39,0,9,4,0,0,184,492
35035,"Hamilton Centre/Hamilton-Centre"," 64","Hamilton",26,0,0,72,51,0,8,5,0,5,167,441
35035,"Hamilton Centre/Hamilton-Centre"," 65","Hamilton",28,0,1,86,77,0,6,4,0,0,202,479
35035,"Hamilton Centre/Hamilton-Centre"," 66","Hamilton",35,1,3,102,36,1,5,5,0,0,188,498
35035,"Hamilton Centre/Hamilton-Centre"," 67","Hamilton",29,0,0,89,53,0,19,6,0,2,198,389
35035,"Hamilton Centre/Hamilton-Centre"," 68A","Hamilton",25,1,0,94,41,0,14,2,0,0,177,360
35035,"Hamilton Centre/Hamilton-Centre"," 68B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°90B,,,,,,,,,,,17
35035,"Hamilton Centre/Hamilton-Centre"," 69","Hamilton",43,0,1,66,99,1,7,3,0,1,221,527
35035,"Hamilton Centre/Hamilton-Centre"," 70","Hamilton",25,1,1,77,68,1,10,9,1,2,195,448
35035,"Hamilton Centre/Hamilton-Centre"," 71","Hamilton",25,1,0,109,44,0,18,3,0,0,200,387
35035,"Hamilton Centre/Hamilton-Centre"," 72","Hamilton",17,0,4,41,58,0,9,1,2,4,136,316
35035,"Hamilton Centre/Hamilton-Centre"," 73","Hamilton",27,0,0,87,72,0,7,3,0,2,198,440
35035,"Hamilton Centre/Hamilton-Centre"," 74","Hamilton",22,4,3,64,54,3,12,4,2,0,168,422
35035,"Hamilton Centre/Hamilton-Centre"," 75","Hamilton",23,1,3,98,51,0,8,2,2,5,193,367
35035,"Hamilton Centre/Hamilton-Centre"," 76","Hamilton",32,0,0,112,68,1,21,4,0,2,240,385
35035,"Hamilton Centre/Hamilton-Centre"," 77","Hamilton",30,0,1,109,82,0,28,1,0,2,253,443
35035,"Hamilton Centre/Hamilton-Centre"," 78","Hamilton",32,0,1,130,68,0,30,3,0,1,265,456
35035,"Hamilton Centre/Hamilton-Centre"," 79","Hamilton",33,0,0,119,65,0,39,7,0,3,266,434
35035,"Hamilton Centre/Hamilton-Centre"," 80","Hamilton",24,2,0,78,68,0,15,4,0,1,192,396
35035,"Hamilton Centre/Hamilton-Centre"," 81","Hamilton",24,1,0,73,33,0,6,3,1,0,141,356
35035,"Hamilton Centre/Hamilton-Centre"," 82","Hamilton",28,0,2,97,69,0,8,8,1,1,214,491
35035,"Hamilton Centre/Hamilton-Centre"," 83","Hamilton",27,0,1,76,81,0,15,4,1,0,205,407
35035,"Hamilton Centre/Hamilton-Centre"," 84","Hamilton",18,0,0,78,37,0,20,2,0,0,155,356
35035,"Hamilton Centre/Hamilton-Centre"," 85","Hamilton",33,1,2,97,76,4,12,4,0,0,229,547
35035,"Hamilton Centre/Hamilton-Centre"," 86","Hamilton",24,1,0,110,62,1,15,9,1,2,225,493
35035,"Hamilton Centre/Hamilton-Centre"," 87","Hamilton",25,0,1,105,44,0,10,3,0,1,189,396
35035,"Hamilton Centre/Hamilton-Centre"," 88","Hamilton",27,0,0,107,66,3,14,4,1,0,222,381
35035,"Hamilton Centre/Hamilton-Centre"," 89","Hamilton",28,0,0,101,53,0,14,1,0,0,197,475
35035,"Hamilton Centre/Hamilton-Centre"," 90A","Hamilton",25,1,1,111,31,0,11,3,1,2,186,448
35035,"Hamilton Centre/Hamilton-Centre"," 90B","Mobile poll/Bureau itinérant",9,0,0,8,14,0,2,0,0,1,34,23
35035,"Hamilton Centre/Hamilton-Centre"," 91","Hamilton",38,1,0,103,49,1,17,4,0,0,213,480
35035,"Hamilton Centre/Hamilton-Centre"," 92","Hamilton",28,3,0,85,42,0,15,1,0,0,174,414
35035,"Hamilton Centre/Hamilton-Centre"," 93","Hamilton",34,2,1,110,62,0,22,5,0,2,238,556
35035,"Hamilton Centre/Hamilton-Centre"," 94","Hamilton",24,0,0,107,49,0,22,3,0,2,207,460
35035,"Hamilton Centre/Hamilton-Centre"," 95","Hamilton",35,0,1,120,50,0,14,5,2,0,227,461
35035,"Hamilton Centre/Hamilton-Centre"," 96","Hamilton",25,2,0,112,51,0,10,5,0,0,205,481
35035,"Hamilton Centre/Hamilton-Centre"," 97","Hamilton",29,1,0,114,52,0,16,4,1,3,220,460
35035,"Hamilton Centre/Hamilton-Centre"," 98","Hamilton",15,0,0,117,45,1,17,5,0,0,200,416
35035,"Hamilton Centre/Hamilton-Centre"," 99","Hamilton",38,1,0,142,39,1,14,4,1,1,241,464
35035,"Hamilton Centre/Hamilton-Centre"," 100","Hamilton",36,0,0,98,41,0,13,6,0,1,195,456
35035,"Hamilton Centre/Hamilton-Centre"," 101","Hamilton",46,1,0,104,45,0,10,4,0,3,213,464
35035,"Hamilton Centre/Hamilton-Centre"," 102","Hamilton",26,0,1,105,44,0,16,6,1,1,200,465
35035,"Hamilton Centre/Hamilton-Centre"," 103","Hamilton",43,1,0,103,57,1,29,11,0,0,245,498
35035,"Hamilton Centre/Hamilton-Centre"," 104","Hamilton",25,3,0,68,32,0,20,5,1,2,156,406
35035,"Hamilton Centre/Hamilton-Centre"," 105","Hamilton",35,1,1,146,100,0,37,0,1,2,323,518
35035,"Hamilton Centre/Hamilton-Centre"," 106","Hamilton",25,0,0,164,115,1,35,2,1,2,345,542
35035,"Hamilton Centre/Hamilton-Centre"," 107","Hamilton",30,0,0,95,81,1,28,5,0,1,241,363
35035,"Hamilton Centre/Hamilton-Centre"," 108","Hamilton",15,0,1,86,44,0,4,1,0,3,154,403
35035,"Hamilton Centre/Hamilton-Centre"," 109A","Hamilton",33,3,0,96,51,0,11,2,1,2,199,433
35035,"Hamilton Centre/Hamilton-Centre"," 109B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°90B,,,,,,,,,,,20
35035,"Hamilton Centre/Hamilton-Centre"," 110A","Hamilton",19,2,1,146,37,0,17,7,0,1,230,542
35035,"Hamilton Centre/Hamilton-Centre"," 110B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°90B,,,,,,,,,,,9
35035,"Hamilton Centre/Hamilton-Centre"," 111","Hamilton",28,1,0,134,52,1,19,2,2,1,240,440
35035,"Hamilton Centre/Hamilton-Centre"," 112","Hamilton",23,1,2,70,71,0,20,6,0,0,193,344
35035,"Hamilton Centre/Hamilton-Centre"," 113","Hamilton",16,0,0,91,73,0,4,5,0,2,191,420
35035,"Hamilton Centre/Hamilton-Centre"," 114","Hamilton",22,1,0,133,76,0,24,6,0,3,265,417
35035,"Hamilton Centre/Hamilton-Centre"," 115","Hamilton",46,1,0,95,90,0,22,4,0,0,258,508
35035,"Hamilton Centre/Hamilton-Centre"," 116","Hamilton",32,4,0,109,85,0,27,8,1,2,268,475
35035,"Hamilton Centre/Hamilton-Centre"," 117","Hamilton",21,0,0,66,49,0,12,5,0,0,153,339
35035,"Hamilton Centre/Hamilton-Centre"," 118","Hamilton",18,0,0,100,37,0,11,3,0,4,173,465
35035,"Hamilton Centre/Hamilton-Centre"," 119","Hamilton",19,0,0,82,40,0,16,6,3,9,175,386
35035,"Hamilton Centre/Hamilton-Centre"," 120","Hamilton",25,0,0,75,49,0,9,2,0,0,160,413
35035,"Hamilton Centre/Hamilton-Centre"," 121","Hamilton",17,0,0,87,43,0,10,5,0,0,162,405
35035,"Hamilton Centre/Hamilton-Centre"," 122","Hamilton",28,0,0,81,41,0,15,3,0,0,168,389
35035,"Hamilton Centre/Hamilton-Centre"," 123A","Hamilton",18,2,0,97,32,1,20,3,1,0,174,403
35035,"Hamilton Centre/Hamilton-Centre"," 123B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°90B,,,,,,,,,,,16
35035,"Hamilton Centre/Hamilton-Centre"," 124","Hamilton",45,1,0,127,65,1,23,1,0,3,266,449
35035,"Hamilton Centre/Hamilton-Centre"," 125","Hamilton",37,1,0,99,58,0,17,3,1,1,217,409
35035,"Hamilton Centre/Hamilton-Centre"," 126","Hamilton",53,1,1,98,88,0,21,2,0,0,264,494
35035,"Hamilton Centre/Hamilton-Centre"," 127","Hamilton",52,3,2,122,96,2,17,4,0,4,302,618
35035,"Hamilton Centre/Hamilton-Centre"," 128","Hamilton",40,0,1,104,87,0,11,6,0,6,255,463
35035,"Hamilton Centre/Hamilton-Centre"," 129","Hamilton",24,1,0,92,59,1,23,5,0,2,207,401
35035,"Hamilton Centre/Hamilton-Centre"," 130","Hamilton",32,0,1,110,71,5,23,5,1,3,251,493
35035,"Hamilton Centre/Hamilton-Centre"," 131","Hamilton",34,1,1,120,66,0,26,0,1,0,249,550
35035,"Hamilton Centre/Hamilton-Centre"," 132","Hamilton",28,0,0,128,46,1,14,1,1,1,220,401
35035,"Hamilton Centre/Hamilton-Centre"," 133","Hamilton",32,0,1,107,49,0,18,2,1,0,210,380
35035,"Hamilton Centre/Hamilton-Centre"," 134","Hamilton",40,2,1,123,86,2,12,4,0,0,270,589
35035,"Hamilton Centre/Hamilton-Centre"," 135","Hamilton",26,0,1,61,51,0,9,3,1,0,152,349
35035,"Hamilton Centre/Hamilton-Centre"," 136","Hamilton",26,1,0,89,95,0,21,3,0,0,235,428
35035,"Hamilton Centre/Hamilton-Centre"," 137","Hamilton",42,0,1,129,57,1,11,3,0,0,244,493
35035,"Hamilton Centre/Hamilton-Centre"," 138","Hamilton",41,0,1,77,85,0,10,6,1,7,228,445
35035,"Hamilton Centre/Hamilton-Centre"," 139","Hamilton",34,0,0,138,55,0,9,10,1,2,249,565
35035,"Hamilton Centre/Hamilton-Centre"," 140","Hamilton",26,2,0,106,67,1,25,1,2,1,231,363
35035,"Hamilton Centre/Hamilton-Centre"," 141","Hamilton",37,1,1,101,56,0,28,2,0,3,229,366
35035,"Hamilton Centre/Hamilton-Centre"," 142","Hamilton",31,0,0,82,95,0,31,1,0,2,242,356
35035,"Hamilton Centre/Hamilton-Centre"," 143","Hamilton",40,0,0,109,84,0,28,3,0,0,264,398
35035,"Hamilton Centre/Hamilton-Centre"," 144","Hamilton",34,0,0,91,80,0,20,2,0,0,227,384
35035,"Hamilton Centre/Hamilton-Centre"," 145","Hamilton",46,0,0,60,84,0,15,0,0,1,206,366
35035,"Hamilton Centre/Hamilton-Centre"," 146","Hamilton",38,0,1,104,51,1,17,3,0,0,215,433
35035,"Hamilton Centre/Hamilton-Centre"," 147","Hamilton",52,0,0,123,100,1,28,1,0,0,305,470
35035,"Hamilton Centre/Hamilton-Centre"," 148","Hamilton",38,1,0,119,62,11,19,5,0,0,255,461
35035,"Hamilton Centre/Hamilton-Centre"," 149","Hamilton",30,0,1,76,73,0,24,4,1,0,209,386
35035,"Hamilton Centre/Hamilton-Centre"," 150","Hamilton",59,0,3,121,66,1,16,3,0,0,269,461
35035,"Hamilton Centre/Hamilton-Centre"," 151","Hamilton",45,0,0,120,78,0,23,8,1,0,275,494
35035,"Hamilton Centre/Hamilton-Centre"," 152","Hamilton",32,0,0,118,77,0,34,4,0,0,265,407
35035,"Hamilton Centre/Hamilton-Centre"," 153","Hamilton",56,0,0,147,127,0,47,9,0,0,386,542
35035,"Hamilton Centre/Hamilton-Centre"," 154","Hamilton",58,0,1,108,161,1,23,0,0,1,353,570
35035,"Hamilton Centre/Hamilton-Centre"," 155","Hamilton",55,1,0,132,155,0,48,0,0,0,391,554
35035,"Hamilton Centre/Hamilton-Centre"," 156","Hamilton",32,0,0,91,82,2,18,3,0,2,230,396
35035,"Hamilton Centre/Hamilton-Centre"," 157","Hamilton",33,0,0,110,67,0,20,3,2,2,237,399
35035,"Hamilton Centre/Hamilton-Centre"," 158","Hamilton",73,0,0,102,80,1,23,4,2,0,285,453
35035,"Hamilton Centre/Hamilton-Centre"," 159","Hamilton",39,1,0,84,91,1,16,0,0,0,232,397
35035,"Hamilton Centre/Hamilton-Centre"," 160","Hamilton",48,2,1,95,86,3,23,8,0,1,267,445
35035,"Hamilton Centre/Hamilton-Centre"," 400","Hamilton",11,1,0,47,26,0,2,1,0,1,89,198
35035,"Hamilton Centre/Hamilton-Centre"," 401","Hamilton",36,3,1,87,67,0,18,3,0,0,215,391
35035,"Hamilton Centre/Hamilton-Centre"," 402","Hamilton",22,0,2,95,43,0,3,1,2,3,171,302
35035,"Hamilton Centre/Hamilton-Centre"," 403","Hamilton",27,1,2,73,75,3,15,10,0,13,219,353
35035,"Hamilton Centre/Hamilton-Centre"," 404","Hamilton",21,0,1,58,65,0,9,1,1,0,156,273
35035,"Hamilton Centre/Hamilton-Centre"," 500","Mobile poll/Bureau itinérant",3,0,2,21,17,0,2,2,0,5,52,181
35035,"Hamilton Centre/Hamilton-Centre"," 501","Mobile poll/Bureau itinérant",10,1,1,26,34,0,3,0,0,1,76,126
35035,"Hamilton Centre/Hamilton-Centre"," 502","Mobile poll/Bureau itinérant",9,1,1,20,42,1,9,0,0,4,87,179
35035,"Hamilton Centre/Hamilton-Centre"," 503","Mobile poll/Bureau itinérant",13,2,4,27,18,3,1,0,0,6,74,210
35035,"Hamilton Centre/Hamilton-Centre"," 504","Mobile poll/Bureau itinérant",20,2,3,14,19,3,4,0,0,3,68,144
35035,"Hamilton Centre/Hamilton-Centre"," 505","Mobile poll/Bureau itinérant",9,2,0,7,28,1,2,0,0,3,52,166
35035,"Hamilton Centre/Hamilton-Centre"," 506","Mobile poll/Bureau itinérant",9,1,1,20,23,1,2,1,0,0,58,124
35035,"Hamilton Centre/Hamilton-Centre"," 600","Hamilton ",26,2,0,156,84,0,25,8,1,1,303,
35035,"Hamilton Centre/Hamilton-Centre"," 601","Hamilton ",71,2,0,170,62,0,26,5,1,1,338,
35035,"Hamilton Centre/Hamilton-Centre"," 602","Hamilton ",78,1,0,218,91,3,29,16,0,2,438,
35035,"Hamilton Centre/Hamilton-Centre"," 603","Hamilton ",103,1,1,289,147,8,44,8,2,2,605,
35035,"Hamilton Centre/Hamilton-Centre"," 604","Hamilton ",88,3,1,348,134,8,50,11,0,2,645,
35035,"Hamilton Centre/Hamilton-Centre"," 605","Hamilton ",67,2,1,274,130,0,40,13,1,2,530,
35035,"Hamilton Centre/Hamilton-Centre"," 606","Hamilton ",40,1,2,225,86,3,42,11,0,3,413,
35035,"Hamilton Centre/Hamilton-Centre"," 607","Hamilton ",45,0,0,150,52,0,22,10,1,2,282,
35035,"Hamilton Centre/Hamilton-Centre"," 608","Hamilton ",46,3,0,181,87,1,21,11,0,3,353,
35035,"Hamilton Centre/Hamilton-Centre"," 609","Hamilton ",56,1,1,202,151,3,29,11,1,1,456,
35035,"Hamilton Centre/Hamilton-Centre"," 610","Hamilton ",80,2,1,211,193,0,39,14,1,2,543,
35035,"Hamilton Centre/Hamilton-Centre"," 611","Hamilton ",79,3,0,242,190,2,51,2,0,2,571,
35035,"Hamilton Centre/Hamilton-Centre"," 612","Hamilton ",96,1,0,247,167,2,47,8,0,4,572,
35035,"Hamilton Centre/Hamilton-Centre"," 613","Hamilton ",52,1,0,231,185,0,48,6,0,1,524,
35035,"Hamilton Centre/Hamilton-Centre",,Group 1/Groupe 1, 17,1,0,67,86,0,20,6,1,20,218,284
35035,"Hamilton Centre/Hamilton-Centre",,Group 2/Groupe 2, 136,5,4,603,332,11,126,25,1,53,1296,
